Wavelength (nm)	344 ZnC3 (SE442).abs
613.40	0.12276
613.60	0.12307
613.80	0.12322
614.00	0.12417
614.20	0.12510
614.40	0.12510
614.60	0.12574
614.80	0.12605
615.00	0.12683
615.20	0.12808
615.40	0.12856
615.60	0.12856
615.80	0.12824
616.00	0.12793
616.20	0.12808
616.40	0.12887
616.60	0.12949
616.80	0.13012
617.00	0.13091
617.20	0.13137
617.40	0.13153
617.60	0.13153
617.80	0.13201
618.00	0.13216
618.20	0.13294
618.40	0.13341
618.60	0.13357
618.80	0.13357
619.00	0.13451
619.20	0.13514
619.40	0.13561
619.60	0.13577
619.80	0.13639
620.00	0.13671
620.20	0.13686
620.40	0.13655
620.60	0.13733
620.80	0.13796
621.00	0.13827
621.20	0.13827
621.40	0.13827
621.60	0.13874
621.80	0.13968
622.00	0.14047
622.20	0.14078
622.40	0.14031
622.60	0.13984
622.80	0.14047
623.00	0.14109
623.20	0.14188
623.40	0.14157
623.60	0.14157
623.80	0.14188
624.00	0.14235
624.20	0.14266
624.40	0.14297
624.60	0.14376
624.80	0.14376
625.00	0.14376
625.20	0.14407
625.40	0.14470
625.60	0.14548
625.80	0.14611
626.00	0.14674
626.20	0.14721
626.40	0.14768
626.60	0.14783
626.80	0.14831
627.00	0.14877
627.20	0.14940
627.40	0.14972
627.60	0.14987
627.80	0.15050
628.00	0.15081
628.20	0.15144
628.40	0.15191
628.60	0.15285
628.80	0.15363
629.00	0.15363
629.20	0.15426
629.40	0.15504
629.60	0.15567
629.80	0.15630
630.00	0.15646
630.20	0.15739
630.40	0.15849
630.60	0.15927
630.80	0.15959
631.00	0.16022
631.20	0.16068
631.40	0.16100
631.60	0.16147
631.80	0.16194
632.00	0.16288
632.20	0.16382
632.40	0.16429
632.60	0.16523
632.80	0.16617
633.00	0.16774
633.20	0.16837
633.40	0.16883
633.60	0.16931
633.80	0.16947
634.00	0.16978
634.20	0.17088
634.40	0.17166
634.60	0.17291
634.80	0.17338
635.00	0.17401
635.20	0.17510
635.40	0.17620
635.60	0.17746
635.80	0.17808
636.00	0.17918
636.20	0.18012
636.40	0.18075
636.60	0.18153
636.80	0.18200
637.00	0.18310
637.20	0.18372
637.40	0.18467
637.60	0.18513
637.80	0.18701
638.00	0.18843
638.20	0.18953
638.40	0.19015
638.60	0.19109
638.80	0.19187
639.00	0.19282
639.20	0.19376
639.40	0.19516
639.60	0.19611
639.80	0.19721
640.00	0.19814
640.20	0.19924
640.40	0.20065
640.60	0.20222
640.80	0.20348
641.00	0.20520
641.20	0.20629
641.40	0.20708
641.60	0.20708
641.80	0.20834
642.00	0.20974
642.20	0.21146
642.40	0.21241
642.60	0.21335
642.80	0.21429
643.00	0.21601
643.20	0.21821
643.40	0.21993
643.60	0.22103
643.80	0.22166
644.00	0.22291
644.20	0.22479
644.40	0.22698
644.60	0.22840
644.80	0.22996
645.00	0.23153
645.20	0.23310
645.40	0.23467
645.60	0.23608
645.80	0.23796
646.00	0.24015
646.20	0.24172
646.40	0.24313
646.60	0.24470
646.80	0.24658
647.00	0.24877
647.20	0.25065
647.40	0.25206
647.60	0.25426
647.80	0.25645
648.00	0.25865
648.20	0.26037
648.40	0.26288
648.60	0.26476
648.80	0.26648
649.00	0.26899
649.20	0.27181
649.40	0.27447
649.60	0.27620
649.80	0.27808
650.00	0.28028
650.20	0.28294
650.40	0.28592
650.60	0.28874
650.80	0.29203
651.00	0.29422
651.20	0.29579
651.40	0.29783
651.60	0.30034
651.80	0.30394
652.00	0.30771
652.20	0.31069
652.40	0.31335
652.60	0.31632
652.80	0.31915
653.00	0.32213
653.20	0.32557
653.40	0.32918
653.60	0.33200
653.80	0.33435
654.00	0.33733
654.20	0.34140
654.40	0.34563
654.60	0.34971
654.80	0.35284
655.00	0.35629
655.20	0.36021
655.40	0.36413
655.60	0.36757
655.80	0.37118
656.00	0.37479
656.20	0.37886
656.40	0.38294
656.60	0.38685
656.80	0.39046
657.00	0.39438
657.20	0.39877
657.40	0.40331
657.60	0.40817
657.80	0.41240
658.00	0.41664
658.20	0.42118
658.40	0.42620
658.60	0.43106
658.80	0.43575
659.00	0.44061
659.20	0.44532
659.40	0.44986
659.60	0.45457
