Wavelength (nm)	L329 ZnC-Es3,13 (SE335).abs
387.80	0.23350
388.00	0.23274
388.20	0.23160
388.40	0.23041
388.60	0.23161
388.80	0.23102
389.00	0.23625
389.20	0.23301
389.40	0.23489
389.60	0.23656
389.80	0.23408
390.00	0.23618
390.20	0.23797
390.40	0.23893
390.60	0.24245
390.80	0.24599
391.00	0.24415
391.20	0.24650
391.40	0.25104
391.60	0.25271
391.80	0.25109
392.00	0.25285
392.20	0.25444
392.40	0.25809
392.60	0.26036
392.80	0.26084
393.00	0.26303
393.20	0.26453
393.40	0.26670
393.60	0.26841
393.80	0.27076
394.00	0.27489
394.20	0.27744
394.40	0.27882
394.60	0.28057
394.80	0.28447
395.00	0.28730
395.20	0.29086
395.40	0.29020
395.60	0.29582
395.80	0.29820
396.00	0.30063
396.20	0.30235
396.40	0.30684
396.60	0.30740
396.80	0.31160
397.00	0.31571
397.20	0.31617
397.40	0.31934
397.60	0.32508
397.80	0.32666
398.00	0.32945
398.20	0.33372
398.40	0.33572
398.60	0.33846
398.80	0.34014
399.00	0.34390
399.20	0.34570
399.40	0.34941
399.60	0.35427
399.80	0.35347
400.00	0.35429
400.20	0.35958
400.40	0.36003
400.60	0.36099
400.80	0.36421
401.00	0.36924
401.20	0.37095
401.40	0.37136
401.60	0.37466
401.80	0.37501
402.00	0.37736
402.20	0.37963
402.40	0.38289
402.60	0.38169
402.80	0.38416
403.00	0.38511
403.20	0.38566
403.40	0.38738
403.60	0.39278
403.80	0.39219
404.00	0.39096
404.20	0.39447
404.40	0.39559
404.60	0.39820
404.80	0.39764
405.00	0.39973
405.20	0.40084
405.40	0.40160
405.60	0.40435
405.80	0.40452
406.00	0.40323
406.20	0.40583
406.40	0.40760
406.60	0.40629
406.80	0.40866
407.00	0.41183
407.20	0.41257
407.40	0.41405
407.60	0.41855
407.80	0.41796
408.00	0.41698
408.20	0.42292
408.40	0.42379
408.60	0.42272
408.80	0.42703
409.00	0.42992
409.20	0.43188
409.40	0.43456
409.60	0.43858
409.80	0.44029
410.00	0.44224
410.20	0.44873
410.40	0.45067
410.60	0.45576
410.80	0.46127
411.00	0.46643
411.20	0.47056
411.40	0.47766
411.60	0.48241
411.80	0.48738
412.00	0.49406
412.20	0.50174
412.40	0.50929
412.60	0.51618
412.80	0.52261
413.00	0.53261
413.20	0.54288
413.40	0.54988
413.60	0.56007
413.80	0.57028
414.00	0.58028
414.20	0.59288
414.40	0.60178
414.60	0.61447
414.80	0.62396
415.00	0.63783
415.20	0.64698
415.40	0.65886
415.60	0.66965
415.80	0.68332
416.00	0.69543
416.20	0.70764
416.40	0.72090
416.60	0.73025
416.80	0.74269
417.00	0.75364
417.20	0.76501
417.40	0.77740
417.60	0.78920
417.80	0.79903
418.00	0.80765
418.20	0.82092
418.40	0.83082
418.60	0.84002
418.80	0.84821
419.00	0.85682
419.20	0.86533
419.40	0.87067
419.60	0.88069
419.80	0.88804
420.00	0.89102
420.20	0.90018
420.40	0.90704
420.60	0.91113
420.80	0.91631
421.00	0.92520
421.20	0.92797
421.40	0.93362
421.60	0.93547
421.80	0.94183
422.00	0.94658
422.20	0.94635
422.40	0.95304
422.60	0.95678
422.80	0.95856
423.00	0.96235
423.20	0.96547
423.40	0.96775
423.60	0.97213
423.80	0.97453
424.00	0.97840
424.20	0.98021
424.40	0.98313
424.60	0.98635
424.80	0.98926
425.00	0.99150
425.20	0.99600
425.40	0.99592
425.60	1.0000
425.80	0.99706
426.00	0.99920
426.20	0.99888
426.40	0.99755
426.60	0.99661
426.80	0.99748
427.00	0.99902
427.20	0.99687
427.40	0.99169
427.60	0.99112
427.80	0.99002
428.00	0.98370
428.20	0.97918
428.40	0.97656
428.60	0.97166
428.80	0.96653
429.00	0.95940
429.20	0.95196
429.40	0.94415
429.60	0.93417
429.80	0.92472
430.00	0.91521
430.20	0.90395
430.40	0.89320
430.60	0.88261
430.80	0.86872
431.00	0.85496
431.20	0.84017
431.40	0.82507
431.60	0.81190
431.80	0.79869
432.00	0.77995
432.20	0.76305
432.40	0.74510
432.60	0.72899
432.80	0.71002
433.00	0.69299
433.20	0.67603
433.40	0.65723
433.60	0.63990
433.80	0.62320
434.00	0.60365
434.20	0.58547
434.40	0.56741
434.60	0.55030
434.80	0.53269
435.00	0.51308
435.20	0.49848
435.40	0.47970
435.60	0.46498
435.80	0.44553
436.00	0.42998
436.20	0.41423
436.40	0.39851
436.60	0.38319
436.80	0.36779
437.00	0.35343
437.20	0.33942
437.40	0.32386
437.60	0.31161
437.80	0.30071
438.00	0.28900
438.20	0.27672
438.40	0.26443
438.60	0.25375
438.80	0.24270
439.00	0.23840
439.20	0.22695
439.40	0.21604
439.60	0.20718
439.80	0.20093
440.00	0.19256
440.20	0.18508
440.40	0.17913
440.60	0.17343
440.80	0.16359
441.00	0.15636
441.20	0.15175
441.40	0.14544
441.60	0.14033
441.80	0.13600
442.00	0.12932
442.20	0.12497
442.40	0.12294
442.60	0.11593
442.80	0.11311
443.00	0.10929
443.20	0.10572
443.40	0.10132
443.60	0.10006
443.80	0.098077
444.00	0.093748
444.20	0.090953
444.40	0.089328
444.60	0.087542
444.80	0.084061
445.00	0.079883
445.20	0.081134
445.40	0.078248
445.60	0.075513
445.80	0.073778
446.00	0.073969
446.20	0.070811
446.40	0.071134
446.60	0.070215
446.80	0.066693
447.00	0.064473
447.20	0.065765
447.40	0.063545
447.60	0.061446
447.80	0.060437
448.00	0.061062
448.20	0.059478
448.40	0.059589
448.60	0.060396
448.80	0.057944
449.00	0.057147
449.20	0.057561
449.40	0.055946
449.60	0.056420
449.80	0.055613
450.00	0.054110
450.20	0.054402
450.40	0.052899
450.60	0.053151
450.80	0.050487
451.00	0.052182
451.20	0.051617
451.40	0.050790
451.60	0.051324
451.80	0.049508
452.00	0.050840
452.20	0.051900
452.40	0.050709
452.60	0.048600
452.80	0.049609
453.00	0.048226
453.20	0.049175
453.40	0.049266
453.60	0.046955
453.80	0.048115
454.00	0.047550
454.20	0.046864
454.40	0.044715
454.60	0.047480
454.80	0.047782
455.00	0.046824
455.20	0.045562
455.40	0.046319
455.60	0.045451
455.80	0.046077
456.00	0.046874
456.20	0.045108
456.40	0.043877
456.60	0.044604
456.80	0.045492
457.00	0.045249
457.20	0.044351
457.40	0.045017
457.60	0.045502
457.80	0.045734
458.00	0.044634
458.20	0.044301
458.40	0.046571
458.60	0.043837
458.80	0.044715
459.00	0.044089
459.20	0.045260
459.40	0.044149
459.60	0.045471
459.80	0.045532
460.00	0.046097
460.20	0.044200
460.40	0.043837
460.60	0.045290
460.80	0.043372
461.00	0.043605
461.20	0.044957
461.40	0.046087
461.60	0.042050
461.80	0.042848
462.00	0.044271
462.20	0.043090
462.40	0.042424
462.60	0.044472
462.80	0.042807
463.00	0.043786
463.20	0.041748
463.40	0.043362
463.60	0.042394
463.80	0.042081
464.00	0.042474
464.20	0.041051
464.40	0.041899
464.60	0.042898
464.80	0.041304
465.00	0.041707
465.20	0.042747
465.40	0.042101
465.60	0.041546
465.80	0.043251
466.00	0.043332
466.20	0.042767
466.40	0.042313
466.60	0.042283
466.80	0.042757
467.00	0.043554
467.20	0.040819
467.40	0.041314
467.60	0.040527
467.80	0.042545
468.00	0.042283
468.20	0.041273
468.40	0.040617
468.60	0.042545
468.80	0.042939
469.00	0.040799
469.20	0.041243
469.40	0.041092
469.60	0.041899
469.80	0.041707
470.00	0.042333
470.20	0.042767
470.40	0.041324
470.60	0.042807
470.80	0.041213
471.00	0.040406
471.20	0.041960
471.40	0.041142
471.60	0.039709
471.80	0.040062
472.00	0.041516
472.20	0.041395
472.40	0.039962
472.60	0.041717
472.80	0.041092
473.00	0.040698
473.20	0.041788
473.40	0.042858
473.60	0.041889
473.80	0.040567
474.00	0.040537
474.20	0.041405
474.40	0.039114
474.60	0.041566
474.80	0.041213
475.00	0.041243
475.20	0.040375
475.40	0.041728
475.60	0.039447
475.80	0.041213
476.00	0.042303
476.20	0.042716
476.40	0.041939
476.60	0.040305
476.80	0.043019
477.00	0.042151
477.20	0.041395
477.40	0.040617
477.60	0.043130
477.80	0.041808
478.00	0.043514
478.20	0.043393
478.40	0.042353
478.60	0.041485
478.80	0.041062
479.00	0.042363
479.20	0.041707
479.40	0.043494
479.60	0.041859
479.80	0.041294
480.00	0.042111
480.20	0.043352
480.40	0.040305
480.60	0.041193
480.80	0.042202
481.00	0.041758
481.20	0.041122
481.40	0.041738
481.60	0.040002
481.80	0.040355
482.00	0.039972
482.20	0.041818
482.40	0.041526
482.60	0.041324
482.80	0.041929
483.00	0.041132
483.20	0.042797
483.40	0.043100
483.60	0.038266
483.80	0.041173
484.00	0.041566
484.20	0.040981
484.40	0.042131
484.60	0.041334
484.80	0.039507
485.00	0.040940
485.20	0.040900
485.40	0.042434
485.60	0.043332
485.80	0.039548
486.00	0.041142
486.20	0.042151
486.40	0.040517
486.60	0.039215
486.80	0.040587
487.00	0.040850
487.20	0.037721
487.40	0.040375
487.60	0.041092
487.80	0.041092
488.00	0.039225
488.20	0.040799
488.40	0.038952
488.60	0.040860
488.80	0.039265
489.00	0.038892
489.20	0.038498
489.40	0.039659
489.60	0.040315
489.80	0.040587
490.00	0.040264
490.20	0.039699
490.40	0.037186
490.60	0.039598
490.80	0.040264
491.00	0.038367
491.20	0.040234
491.40	0.039124
491.60	0.040355
491.80	0.038640
492.00	0.037822
492.20	0.039477
492.40	0.041374
492.60	0.040547
492.80	0.039760
493.00	0.039386
493.20	0.038357
493.40	0.038095
493.60	0.038408
493.80	0.036571
494.00	0.036853
494.20	0.038498
494.40	0.039225
494.60	0.037711
494.80	0.038599
495.00	0.036510
495.20	0.036127
495.40	0.038327
495.60	0.037287
495.80	0.036864
496.00	0.037297
496.20	0.037186
496.40	0.037933
496.60	0.037368
496.80	0.036803
497.00	0.034199
497.20	0.034744
497.40	0.034785
497.60	0.034704
497.80	0.034543
498.00	0.036046
498.20	0.036137
498.40	0.036218
498.60	0.037752
498.80	0.036389
499.00	0.038700
499.20	0.037752
499.40	0.037348
499.60	0.037025
499.80	0.037176
500.00	0.036420
500.20	0.039316
500.40	0.037096
500.60	0.037277
500.80	0.039205
501.00	0.040143
501.20	0.038680
501.40	0.038730
501.60	0.037782
501.80	0.039528
502.00	0.038236
502.20	0.038539
502.40	0.038064
502.60	0.039396
502.80	0.038761
503.00	0.040073
503.20	0.038216
503.40	0.038044
503.60	0.040184
503.80	0.038387
504.00	0.039770
504.20	0.040184
504.40	0.038266
504.60	0.038922
504.80	0.041334
505.00	0.040890
505.20	0.038963
505.40	0.040809
505.60	0.040729
505.80	0.040587
506.00	0.040093
506.20	0.040991
506.40	0.041738
506.60	0.041304
506.80	0.041516
507.00	0.043060
507.20	0.042898
507.40	0.042020
507.60	0.041879
507.80	0.043130
508.00	0.042444
508.20	0.041506
508.40	0.043050
508.60	0.044260
508.80	0.043574
509.00	0.043504
509.20	0.044472
509.40	0.041334
509.60	0.043625
509.80	0.045360
510.00	0.043504
510.20	0.045613
510.40	0.044382
510.60	0.045048
510.80	0.044008
511.00	0.046481
511.20	0.045885
511.40	0.045764
511.60	0.046955
511.80	0.046390
512.00	0.046723
512.20	0.045582
512.40	0.047419
512.60	0.046672
512.80	0.045593
513.00	0.047803
513.20	0.048014
513.40	0.047611
513.60	0.047893
513.80	0.047863
514.00	0.047480
514.20	0.047883
514.40	0.048307
514.60	0.048802
514.80	0.047399
515.00	0.047742
515.20	0.046602
515.40	0.047813
515.60	0.047863
515.80	0.048529
516.00	0.049498
516.20	0.045905
516.40	0.047490
516.60	0.048650
516.80	0.048751
517.00	0.046511
517.20	0.047782
517.40	0.048852
517.60	0.047227
517.80	0.048882
518.00	0.049972
518.20	0.049135
518.40	0.047954
518.60	0.048600
518.80	0.047883
519.00	0.048539
519.20	0.047742
519.40	0.049145
519.60	0.046218
519.80	0.047015
520.00	0.046067
520.20	0.045825
520.40	0.047106
520.60	0.047560
520.80	0.048014
521.00	0.047076
521.20	0.046793
521.40	0.046743
521.60	0.046067
521.80	0.044059
522.00	0.045260
522.20	0.045007
522.40	0.045179
522.60	0.045572
522.80	0.042838
523.00	0.042525
523.20	0.043181
523.40	0.045169
523.60	0.043352
523.80	0.043090
524.00	0.042676
524.20	0.041354
524.40	0.041728
524.60	0.042434
524.80	0.041576
525.00	0.041697
525.20	0.043584
525.40	0.041899
525.60	0.039719
525.80	0.042454
526.00	0.039982
526.20	0.041899
526.40	0.041041
526.60	0.040204
526.80	0.039245
527.00	0.039649
527.20	0.039608
527.40	0.040224
527.60	0.040587
527.80	0.041051
528.00	0.038781
528.20	0.039750
528.40	0.039568
528.60	0.038710
528.80	0.037822
529.00	0.038841
529.20	0.035915
529.40	0.038175
529.60	0.036157
529.80	0.035723
530.00	0.037469
530.20	0.036954
530.40	0.036399
530.60	0.037217
530.80	0.036288
531.00	0.035713
531.20	0.037267
531.40	0.035400
531.60	0.038337
531.80	0.034341
532.00	0.034714
532.20	0.033977
532.40	0.034855
532.60	0.034109
532.80	0.034593
533.00	0.033897
533.20	0.033846
533.40	0.035441
533.60	0.033019
533.80	0.034310
534.00	0.033897
534.20	0.031878
534.40	0.034119
534.60	0.034068
534.80	0.032282
535.00	0.032746
535.20	0.033241
535.40	0.032837
535.60	0.031626
535.80	0.030445
536.00	0.032050
536.20	0.031172
536.40	0.032413
536.60	0.032211
536.80	0.032020
537.00	0.032746
537.20	0.032736
537.40	0.029981
537.60	0.030193
537.80	0.029810
538.00	0.029931
538.20	0.031788
538.40	0.030889
538.60	0.031293
538.80	0.029568
539.00	0.029598
539.20	0.030667
539.40	0.030415
539.60	0.028447
539.80	0.030980
540.00	0.030768
540.20	0.029941
540.40	0.032373
540.60	0.031212
540.80	0.029406
541.00	0.030244
541.20	0.033221
541.40	0.030425
541.60	0.030072
541.80	0.031455
542.00	0.031566
542.20	0.029174
542.40	0.031263
542.60	0.030910
542.80	0.030819
543.00	0.030577
543.20	0.030466
543.40	0.031152
543.60	0.031586
543.80	0.031394
544.00	0.031949
544.20	0.031051
544.40	0.032655
544.60	0.032716
544.80	0.030637
545.00	0.031889
545.20	0.031132
545.40	0.031788
545.60	0.032988
545.80	0.032706
546.00	0.034381
546.20	0.032030
546.40	0.031979
546.60	0.031515
546.80	0.032898
547.00	0.032605
547.20	0.032393
547.40	0.032060
547.60	0.031434
547.80	0.032040
548.00	0.033190
548.20	0.033887
548.40	0.030617
548.60	0.034048
548.80	0.033392
549.00	0.033301
549.20	0.034250
549.40	0.034179
549.60	0.031878
549.80	0.034482
550.00	0.035037
550.20	0.031313
550.40	0.032595
550.60	0.034563
550.80	0.033503
551.00	0.033059
551.20	0.035420
551.40	0.033392
551.60	0.034966
551.80	0.034775
552.00	0.034321
552.20	0.033554
552.40	0.036298
552.60	0.033554
552.80	0.034331
553.00	0.032918
553.20	0.036510
553.40	0.034936
553.60	0.034543
553.80	0.034734
554.00	0.035774
554.20	0.034532
554.40	0.035198
554.60	0.035632
554.80	0.036793
555.00	0.034553
555.20	0.036500
555.40	0.035784
555.60	0.034038
555.80	0.035118
556.00	0.037671
556.20	0.035531
556.40	0.036107
556.60	0.035875
556.80	0.036440
557.00	0.033523
557.20	0.037055
557.40	0.035390
557.60	0.036147
557.80	0.034331
558.00	0.034855
558.20	0.033422
558.40	0.031858
558.60	0.034129
558.80	0.034351
559.00	0.031162
559.20	0.034008
559.40	0.032716
559.60	0.034896
559.80	0.035713
560.00	0.034502
560.20	0.036187
560.40	0.032393
560.60	0.034512
560.80	0.034643
561.00	0.033200
561.20	0.034976
561.40	0.035168
561.60	0.034290
561.80	0.034785
562.00	0.036288
562.20	0.037994
562.40	0.037287
562.60	0.038216
562.80	0.037277
563.00	0.038801
563.20	0.038952
563.40	0.040617
563.60	0.038266
563.80	0.037721
564.00	0.039205
564.20	0.039669
564.40	0.037943
564.60	0.038640
564.80	0.041717
565.00	0.038932
565.20	0.036732
565.40	0.040870
565.60	0.038599
565.80	0.038559
566.00	0.040779
566.20	0.039810
566.40	0.038922
566.60	0.040527
566.80	0.041304
567.00	0.039497
567.20	0.040436
567.40	0.043251
567.60	0.039386
567.80	0.040648
568.00	0.042333
568.20	0.040163
568.40	0.040658
568.60	0.042777
568.80	0.040940
569.00	0.041980
569.20	0.042383
569.40	0.043241
569.60	0.043362
569.80	0.041152
570.00	0.042363
570.20	0.042232
570.40	0.038680
570.60	0.041637
570.80	0.043060
571.00	0.038549
571.20	0.040860
571.40	0.041051
571.60	0.039921
571.80	0.039851
572.00	0.042383
572.20	0.041596
572.40	0.038105
572.60	0.039790
572.80	0.042545
573.00	0.039285
573.20	0.039588
573.40	0.039709
573.60	0.040436
573.80	0.041879
574.00	0.041546
574.20	0.038872
574.40	0.039396
574.60	0.040244
574.80	0.039386
575.00	0.039084
575.20	0.037449
575.40	0.041072
575.60	0.040073
575.80	0.038942
576.00	0.040587
576.20	0.040163
576.40	0.037015
576.60	0.038357
576.80	0.038488
577.00	0.039356
577.20	0.038458
577.40	0.040345
577.60	0.038821
577.80	0.038206
578.00	0.038387
578.20	0.039507
578.40	0.039174
578.60	0.037913
578.80	0.038791
579.00	0.037741
579.20	0.037297
579.40	0.036359
579.60	0.038286
579.80	0.037378
580.00	0.038115
580.20	0.036652
580.40	0.037176
580.60	0.037499
580.80	0.038044
581.00	0.034038
581.20	0.036198
581.40	0.036964
581.60	0.037287
581.80	0.037651
582.00	0.036914
582.20	0.038044
582.40	0.036793
582.60	0.037166
582.80	0.037459
583.00	0.036894
583.20	0.036097
583.40	0.038327
583.60	0.037459
583.80	0.036954
584.00	0.037580
584.20	0.037580
584.40	0.036571
584.60	0.036349
584.80	0.039053
585.00	0.037550
585.20	0.037610
585.40	0.037368
585.60	0.039709
585.80	0.039962
586.00	0.039144
586.20	0.042000
586.40	0.040729
586.60	0.039689
586.80	0.042444
587.00	0.041697
587.20	0.040506
587.40	0.042414
587.60	0.043161
587.80	0.041152
588.00	0.042575
588.20	0.044876
588.40	0.043877
588.60	0.042888
588.80	0.045794
589.00	0.045300
589.20	0.045502
589.40	0.046612
589.60	0.045804
589.80	0.044937
590.00	0.047641
590.20	0.047449
590.40	0.047803
590.60	0.048458
590.80	0.049791
591.00	0.047500
591.20	0.048257
591.40	0.051789
591.60	0.052717
591.80	0.050588
592.00	0.052455
592.20	0.053918
592.40	0.054069
592.60	0.052889
592.80	0.054644
593.00	0.055623
593.20	0.055573
593.40	0.054392
593.60	0.055855
593.80	0.053847
594.00	0.056259
594.20	0.060386
594.40	0.056642
594.60	0.057450
594.80	0.057934
595.00	0.059024
595.20	0.057379
595.40	0.059236
595.60	0.061123
595.80	0.059347
596.00	0.059781
596.20	0.062748
596.40	0.061295
596.60	0.058984
596.80	0.062072
597.00	0.060275
597.20	0.062122
597.40	0.062697
597.60	0.062929
597.80	0.060548
598.00	0.062485
598.20	0.064251
598.40	0.062849
598.60	0.061749
598.80	0.064958
599.00	0.061678
599.20	0.061678
599.40	0.064554
599.60	0.063595
599.80	0.063525
600.00	0.066229
600.20	0.065038
600.40	0.066098
600.60	0.063040
600.80	0.067148
601.00	0.067077
601.20	0.066613
601.40	0.062879
601.60	0.065856
601.80	0.065149
602.00	0.064534
602.20	0.063010
602.40	0.062768
602.60	0.062314
602.80	0.062768
603.00	0.064352
603.20	0.064857
603.40	0.063081
603.60	0.065745
603.80	0.063010
604.00	0.064423
604.20	0.065038
604.40	0.064292
604.60	0.062485
604.80	0.066532
605.00	0.065089
605.20	0.062354
605.40	0.062758
605.60	0.065351
605.80	0.064292
606.00	0.062566
606.20	0.065129
606.40	0.063061
606.60	0.064524
606.80	0.064090
607.00	0.064827
607.20	0.063081
607.40	0.063959
607.60	0.065008
607.80	0.062606
608.00	0.065725
608.20	0.066613
608.40	0.064655
608.60	0.062788
608.80	0.064110
609.00	0.067026
609.20	0.065311
609.40	0.063464
609.60	0.065361
609.80	0.064272
610.00	0.063000
610.20	0.065240
610.40	0.065947
610.60	0.063898
610.80	0.065593
611.00	0.065382
611.20	0.065775
611.40	0.063969
611.60	0.067430
611.80	0.064625
612.00	0.064019
612.20	0.066815
612.40	0.064039
612.60	0.062637
612.80	0.065493
613.00	0.065977
613.20	0.061547
613.40	0.065321
613.60	0.064988
613.80	0.063898
614.00	0.063706
614.20	0.063666
614.40	0.066209
614.60	0.062768
614.80	0.064140
615.00	0.063182
615.20	0.062980
615.40	0.062677
615.60	0.062485
615.80	0.060861
616.00	0.061426
616.20	0.064080
616.40	0.061981
616.60	0.060679
616.80	0.061587
617.00	0.061648
617.20	0.058933
617.40	0.059821
617.60	0.060518
617.80	0.061476
618.00	0.057208
618.20	0.059135
618.40	0.060245
618.60	0.057763
618.80	0.058762
619.00	0.058398
619.20	0.056350
619.40	0.056037
619.60	0.057147
619.80	0.056380
620.00	0.054957
620.20	0.056461
620.40	0.054614
620.60	0.054342
620.80	0.056007
621.00	0.056481
621.20	0.053524
621.40	0.051667
621.60	0.056572
621.80	0.052223
622.00	0.052414
622.20	0.056703
622.40	0.053585
622.60	0.050113
622.80	0.053524
623.00	0.054110
623.20	0.052868
623.40	0.051334
623.60	0.052858
623.80	0.051849
624.00	0.050517
624.20	0.051647
624.40	0.052576
624.60	0.052616
624.80	0.050507
625.00	0.052646
625.20	0.049488
625.40	0.050103
625.60	0.050951
625.80	0.050063
626.00	0.049357
626.20	0.050921
626.40	0.049791
626.60	0.050305
626.80	0.050497
627.00	0.051718
627.20	0.050235
627.40	0.049013
627.60	0.051980
627.80	0.052687
628.00	0.049457
628.20	0.052223
628.40	0.053010
628.60	0.048862
628.80	0.051496
629.00	0.054221
629.20	0.053958
629.40	0.052868
629.60	0.054856
629.80	0.054977
630.00	0.055714
630.20	0.057218
630.40	0.058530
630.60	0.057309
630.80	0.058166
631.00	0.059932
631.20	0.060588
631.40	0.057389
631.60	0.064443
631.80	0.061365
632.00	0.061093
632.20	0.061961
632.40	0.064736
632.60	0.065200
632.80	0.065482
633.00	0.068792
633.20	0.068157
633.40	0.070135
633.60	0.070821
633.80	0.073434
634.00	0.071588
634.20	0.074403
634.40	0.077986
634.60	0.076068
634.80	0.077269
635.00	0.081487
635.20	0.082850
635.40	0.081800
635.60	0.084061
635.80	0.088501
636.00	0.086715
636.20	0.090125
636.40	0.093052
636.60	0.093183
636.80	0.095242
637.00	0.099662
637.20	0.10114
637.40	0.10009
637.60	0.10648
637.80	0.11001
638.00	0.10876
638.20	0.11157
638.40	0.11720
638.60	0.11721
638.80	0.12232
639.00	0.12546
639.20	0.12921
639.40	0.13060
639.60	0.13523
639.80	0.14006
640.00	0.14052
640.20	0.14727
640.40	0.15068
640.60	0.15510
640.80	0.16043
641.00	0.16710
641.20	0.16898
641.40	0.17323
641.60	0.17868
641.80	0.18398
642.00	0.19048
642.20	0.19551
642.40	0.20158
642.60	0.20709
642.80	0.21226
643.00	0.21938
643.20	0.22682
643.40	0.23151
643.60	0.23863
643.80	0.24620
644.00	0.25016
644.20	0.25760
644.40	0.26819
644.60	0.27314
644.80	0.28123
645.00	0.29074
645.20	0.29813
645.40	0.30448
645.60	0.31269
645.80	0.32214
646.00	0.32801
646.20	0.33723
646.40	0.34458
646.60	0.35092
646.80	0.35856
647.00	0.36929
647.20	0.37862
647.40	0.38207
647.60	0.39324
647.80	0.39950
648.00	0.40752
648.20	0.41326
648.40	0.42142
648.60	0.42625
648.80	0.43483
649.00	0.44087
649.20	0.44642
649.40	0.44920
649.60	0.45585
649.80	0.46281
650.00	0.46711
650.20	0.47082
650.40	0.47589
650.60	0.48044
650.80	0.48206
651.00	0.48478
651.20	0.48800
651.40	0.48621
651.60	0.48805
651.80	0.48943
652.00	0.48995
652.20	0.48986
652.40	0.48960
652.60	0.48998
652.80	0.48605
653.00	0.48546
653.20	0.48469
653.40	0.47851
653.60	0.47496
653.80	0.47188
654.00	0.46670
654.20	0.46153
654.40	0.45829
654.60	0.45269
654.80	0.44251
655.00	0.44082
655.20	0.43235
655.40	0.42298
655.60	0.41753
655.80	0.41164
656.00	0.40021
656.20	0.39214
656.40	0.38558
656.60	0.37604
656.80	0.36704
657.00	0.35930
657.20	0.34958
657.40	0.33968
657.60	0.32962
657.80	0.32163
658.00	0.31351
658.20	0.29994
658.40	0.29396
658.60	0.28636
658.80	0.27492
659.00	0.26570
659.20	0.26049
659.40	0.24764
