Wavelength (nm)	L329 ZnC-Es3,13 (SE335).ems
607.2	0.00136
607.4	0.00112
607.6	0.00115
607.8	0.00118
608	0.00098524
608.2	0.00179
608.4	0.00113
608.6	0.00117
608.8	0.00117
609	0.00111
609.2	0.0014
609.4	0.00147
609.6	0.00174
609.8	0.00176
610	0.00153
610.2	0.00186
610.4	0.00158
610.6	0.00149
610.8	0.00172
611	0.00145
611.2	0.00137
611.4	0.00156
611.6	0.00223
611.8	0.00184
612	0.0016
612.2	0.00182
612.4	0.00202
612.6	0.00146
612.8	0.00175
613	0.00215
613.2	0.00176
613.4	0.00203
613.6	0.00219
613.8	0.00227
614	0.00235
614.2	0.00233
614.4	0.00233
614.6	0.00285
614.8	0.00248
615	0.00236
615.2	0.00208
615.4	0.00208
615.6	0.00212
615.8	0.00212
616	0.00244
616.2	0.00246
616.4	0.00197
616.6	0.00282
616.8	0.00283
617	0.00279
617.2	0.00311
617.4	0.0023
617.6	0.00254
617.8	0.00271
618	0.00281
618.2	0.00311
618.4	0.00272
618.6	0.00337
618.8	0.00336
619	0.00296
619.2	0.00364
619.4	0.00315
619.6	0.00324
619.8	0.00291
620	0.00339
620.2	0.00333
620.4	0.00308
620.6	0.00287
620.8	0.00401
621	0.0042
621.2	0.00442
621.4	0.00353
621.6	0.00384
621.8	0.00301
622	0.00418
622.2	0.00391
622.4	0.00411
622.6	0.00404
622.8	0.00393
623	0.00473
623.2	0.00437
623.4	0.00432
623.6	0.00442
623.8	0.00432
624	0.00425
624.2	0.00458
624.4	0.00525
624.6	0.00551
624.8	0.00516
625	0.00553
625.2	0.00533
625.4	0.00563
625.6	0.00516
625.8	0.00595
626	0.00605
626.2	0.00556
626.4	0.00621
626.6	0.00602
626.8	0.00587
627	0.00653
627.2	0.00596
627.4	0.00691
627.6	0.00703
627.8	0.00706
628	0.00803
628.2	0.00731
628.4	0.00679
628.6	0.00739
628.8	0.0081
629	0.00823
629.2	0.00869
629.4	0.00917
629.6	0.00969
629.8	0.00849
630	0.00985
630.2	0.01034
630.4	0.01002
630.6	0.01077
630.8	0.01262
631	0.01291
631.2	0.01344
631.4	0.01212
631.6	0.01304
631.8	0.01334
632	0.01541
632.2	0.01525
632.4	0.01411
632.6	0.01643
632.8	0.01439
633	0.01608
633.2	0.01668
633.4	0.01802
633.6	0.01991
633.8	0.01936
634	0.02042
634.2	0.02026
634.4	0.02256
634.6	0.02228
634.8	0.02232
635	0.02257
635.2	0.02458
635.4	0.02751
635.6	0.02788
635.8	0.02917
636	0.02935
636.2	0.03402
636.4	0.03256
636.6	0.03357
636.8	0.03358
637	0.0362
637.2	0.04245
637.4	0.03887
637.6	0.04196
637.8	0.04427
638	0.04684
638.2	0.04973
638.4	0.05611
638.6	0.0524
638.8	0.05697
639	0.05965
639.2	0.06208
639.4	0.0662
639.6	0.06945
639.8	0.07121
640	0.07972
640.2	0.07931
640.4	0.08466
640.6	0.091
640.8	0.09183
641	0.09637
641.2	0.10541
641.4	0.10599
641.6	0.11473
641.8	0.11728
642	0.12275
642.2	0.13436
642.4	0.13667
642.6	0.14158
642.8	0.15089
643	0.1584
643.2	0.16756
643.4	0.16884
643.6	0.17994
643.8	0.19365
644	0.20179
644.2	0.21896
644.4	0.22441
644.6	0.23296
644.8	0.24243
645	0.25681
645.2	0.2641
645.4	0.27966
645.6	0.29199
645.8	0.30518
646	0.31265
646.2	0.33332
646.4	0.34888
646.6	0.36196
646.8	0.38033
647	0.38379
647.2	0.40283
647.4	0.41749
647.6	0.44625
647.8	0.45372
648	0.46563
648.2	0.4836
648.4	0.50546
648.6	0.52621
648.8	0.54438
649	0.55637
649.2	0.57657
649.4	0.58899
649.6	0.61531
649.8	0.62318
650	0.64588
650.2	0.67221
650.4	0.68151
650.6	0.69608
650.8	0.72086
651	0.73127
651.2	0.75573
651.4	0.75763
651.6	0.77585
651.8	0.79701
652	0.81039
652.2	0.83182
652.4	0.83186
652.6	0.85847
652.8	0.86462
653	0.88222
653.2	0.88916
653.4	0.90595
653.6	0.92318
653.8	0.92678
654	0.94528
654.2	0.94852
654.4	0.95389
654.6	0.9626
654.8	0.97169
655	0.98314
655.2	0.97904
655.4	0.98744
655.6	0.99332
655.8	0.99588
656	0.98994
656.2	0.99148
656.4	0.99294
656.6	1
656.8	0.99284
657	0.98342
657.2	0.97717
657.4	0.97017
657.6	0.97751
657.8	0.97034
658	0.95815
658.2	0.96188
658.4	0.94997
658.6	0.94242
658.8	0.9251
659	0.92403
659.2	0.90136
659.4	0.88303
659.6	0.88127
659.8	0.87218
660	0.86266
660.2	0.84433
660.4	0.83109
660.6	0.81863
660.8	0.80116
661	0.78695
661.2	0.77474
661.4	0.75902
661.6	0.75676
661.8	0.74243
662	0.722
662.2	0.71243
662.4	0.68052
662.6	0.66893
662.8	0.65291
663	0.63421
663.2	0.63165
663.4	0.61082
663.6	0.60492
663.8	0.58025
664	0.57235
664.2	0.55853
664.4	0.53956
664.6	0.52202
664.8	0.50355
665	0.48928
665.2	0.48078
665.4	0.46628
665.6	0.45036
665.8	0.43926
666	0.42775
666.2	0.41205
666.4	0.39799
666.6	0.38045
666.8	0.37715
667	0.36712
667.2	0.35453
667.4	0.34787
667.6	0.33771
667.8	0.32533
668	0.3223
668.2	0.31234
668.4	0.30082
668.6	0.2898
668.8	0.27922
669	0.27527
669.2	0.27363
669.4	0.25468
669.6	0.25328
669.8	0.24479
670	0.24355
670.2	0.23662
670.4	0.22569
670.6	0.22675
670.8	0.21747
671	0.21315
671.2	0.21126
671.4	0.20304
671.6	0.19775
671.8	0.19427
672	0.18876
672.2	0.18763
672.4	0.17919
672.6	0.1768
672.8	0.17447
673	0.17121
673.2	0.17215
673.4	0.16554
673.6	0.15894
673.8	0.16178
674	0.15829
674.2	0.15864
674.4	0.15123
674.6	0.15083
674.8	0.14422
675	0.14142
675.2	0.14305
675.4	0.14062
675.6	0.13666
675.8	0.14042
676	0.13197
676.2	0.13058
676.4	0.12704
676.6	0.12443
676.8	0.12476
677	0.124
677.2	0.1219
677.4	0.11841
677.6	0.11586
677.8	0.12047
678	0.11308
678.2	0.11696
678.4	0.11322
678.6	0.10854
678.8	0.10894
679	0.10789
679.2	0.10894
679.4	0.11036
679.6	0.10528
679.8	0.1047
680	0.09798
680.2	0.10411
680.4	0.10363
680.6	0.09702
680.8	0.09923
681	0.10056
681.2	0.09312
681.4	0.09559
681.6	0.09579
681.8	0.09307
682	0.09382
682.2	0.08971
682.4	0.09377
682.6	0.08864
682.8	0.08614
683	0.08957
683.2	0.08742
683.4	0.08912
683.6	0.09123
683.8	0.08792
684	0.08842
684.2	0.08784
684.4	0.08732
684.6	0.08619
684.8	0.08426
685	0.08532
685.2	0.08304
685.4	0.08615
685.6	0.07994
685.8	0.08346
686	0.08157
686.2	0.08214
686.4	0.08248
686.6	0.08682
686.8	0.07899
687	0.08177
687.2	0.07991
687.4	0.07987
687.6	0.07993
687.8	0.08074
688	0.08342
688.2	0.08207
688.4	0.08008
688.6	0.08053
688.8	0.07953
689	0.0822
689.2	0.07963
689.4	0.08327
689.6	0.08188
689.8	0.08075
690	0.07946
690.2	0.07956
690.4	0.081
690.6	0.07832
690.8	0.08473
691	0.08223
691.2	0.07927
691.4	0.08116
691.6	0.08149
691.8	0.07962
692	0.07671
692.2	0.08225
692.4	0.08087
692.6	0.08042
692.8	0.0785
693	0.07755
693.2	0.08106
693.4	0.08165
693.6	0.08057
693.8	0.07992
694	0.08451
694.2	0.08545
694.4	0.08338
694.6	0.08161
694.8	0.08014
695	0.07891
695.2	0.08165
695.4	0.08143
695.6	0.08308
695.8	0.07934
696	0.08468
696.2	0.08425
696.4	0.08403
696.6	0.08342
696.8	0.08842
697	0.08594
697.2	0.08164
697.4	0.08399
697.6	0.08479
697.8	0.08317
698	0.08429
698.2	0.0827
698.4	0.08262
698.6	0.08479
698.8	0.08361
699	0.08401
699.2	0.08524
699.4	0.08761
699.6	0.08321
699.8	0.08415
700	0.08634
700.2	0.08793
700.4	0.08616
700.6	0.08557
700.8	0.0856
701	0.08615
701.2	0.08448
701.4	0.08785
701.6	0.08526
701.8	0.0886
702	0.08611
702.2	0.08728
702.4	0.09075
702.6	0.08833
702.8	0.09189
703	0.08499
703.2	0.0859
703.4	0.08874
703.6	0.08822
703.8	0.08438
704	0.09215
704.2	0.08788
704.4	0.08871
704.6	0.08875
704.8	0.08809
705	0.08999
705.2	0.0909
705.4	0.09117
705.6	0.08734
705.8	0.08867
706	0.0892
706.2	0.0915
706.4	0.09064
706.6	0.09258
706.8	0.09128
707	0.08793
707.2	0.0918
707.4	0.09098
707.6	0.08958
707.8	0.0888
708	0.09378
708.2	0.09088
708.4	0.0922
708.6	0.09318
708.8	0.09191
709	0.09388
709.2	0.08833
709.4	0.09128
709.6	0.09181
709.8	0.09587
710	0.09335
710.2	0.09291
710.4	0.09246
710.6	0.0923
710.8	0.09184
711	0.09303
711.2	0.09553
711.4	0.09265
711.6	0.09537
711.8	0.09492
712	0.09259
712.2	0.09813
712.4	0.09173
712.6	0.09521
712.8	0.09362
713	0.09559
713.2	0.09394
713.4	0.0936
713.6	0.09565
713.8	0.10125
714	0.09772
714.2	0.0937
714.4	0.0951
714.6	0.09803
714.8	0.09664
715	0.09545
715.2	0.09912
715.4	0.0947
715.6	0.1
715.8	0.09351
716	0.09906
716.2	0.09784
716.4	0.0985
716.6	0.09435
716.8	0.09684
717	0.09901
717.2	0.09734
717.4	0.095
717.6	0.09892
717.8	0.09624
718	0.10075
718.2	0.09603
718.4	0.09566
718.6	0.09756
718.8	0.10053
719	0.09423
719.2	0.09419
719.4	0.09541
719.6	0.09442
719.8	0.09699
720	0.10165
720.2	0.09687
720.4	0.09907
720.6	0.09885
720.8	0.09421
721	0.09743
721.2	0.09043
721.4	0.09205
721.6	0.09816
721.8	0.09261
722	0.09591
722.2	0.09413
722.4	0.09333
722.6	0.09002
722.8	0.09289
723	0.08868
723.2	0.09257
723.4	0.09153
723.6	0.08874
723.8	0.09569
724	0.08875
724.2	0.09251
724.4	0.08779
724.6	0.08932
724.8	0.08548
725	0.08471
725.2	0.08742
725.4	0.08745
725.6	0.08547
725.8	0.08374
726	0.08424
726.2	0.08138
726.4	0.08305
726.6	0.08489
726.8	0.08159
727	0.08149
727.2	0.07785
727.4	0.08092
727.6	0.07876
727.8	0.07488
728	0.07617
728.2	0.0779
728.4	0.07321
728.6	0.07589
728.8	0.07153
729	0.07366
729.2	0.07405
729.4	0.07318
729.6	0.07173
729.8	0.07169
730	0.07205
730.2	0.07123
730.4	0.06824
730.6	0.06747
730.8	0.0675
731	0.06491
731.2	0.06247
731.4	0.06653
731.6	0.06342
731.8	0.06408
732	0.06129
732.2	0.06179
732.4	0.06103
732.6	0.05981
732.8	0.05878
733	0.05866
733.2	0.05462
733.4	0.05537
733.6	0.05514
733.8	0.05477
734	0.05339
734.2	0.05231
734.4	0.05089
734.6	0.05165
734.8	0.05131
735	0.05091
735.2	0.05078
735.4	0.04801
735.6	0.04777
735.8	0.0489
736	0.04452
736.2	0.0478
736.4	0.04532
736.6	0.04511
736.8	0.04589
737	0.04005
737.2	0.04107
737.4	0.03902
737.6	0.04077
737.8	0.03791
738	0.03865
738.2	0.03902
738.4	0.03503
738.6	0.03314
738.8	0.03755
739	0.03339
739.2	0.03604
739.4	0.03221
739.6	0.03143
739.8	0.03293
740	0.03258
740.2	0.03212
740.4	0.03046
740.6	0.03289
740.8	0.02986
741	0.0302
741.2	0.03003
741.4	0.02766
741.6	0.02884
741.8	0.02651
742	0.02847
742.2	0.02442
742.4	0.02668
742.6	0.0258
742.8	0.02743
743	0.02534
743.2	0.02577
743.4	0.0254
743.6	0.02453
743.8	0.02373
744	0.02196
744.2	0.0222
744.4	0.02279
744.6	0.02201
744.8	0.02129
745	0.0218
745.2	0.02134
745.4	0.02107
745.6	0.02113
745.8	0.02033
746	0.02078
746.2	0.01947
746.4	0.01932
746.6	0.02009
746.8	0.01886
747	0.01626
747.2	0.01854
747.4	0.01605
747.6	0.01805
747.8	0.01844
748	0.01618
748.2	0.01772
748.4	0.01686
748.6	0.01684
748.8	0.01688
749	0.0155
749.2	0.0163
749.4	0.01573
749.6	0.01499
749.8	0.01608
750	0.01652
750.2	0.01614
750.4	0.0168
750.6	0.01564
750.8	0.01446
751	0.01496
751.2	0.01342
751.4	0.014
751.6	0.0132
751.8	0.01417
752	0.01373
752.2	0.0142
752.4	0.01467
752.6	0.01353
752.8	0.01441
753	0.01421
753.2	0.01285
753.4	0.01357
753.6	0.01283
753.8	0.01157
754	0.0124
754.2	0.01289
754.4	0.01287
754.6	0.01314
754.8	0.01233
755	0.01299
755.2	0.01087
755.4	0.01072
755.6	0.01277
755.8	0.0121
756	0.01185
756.2	0.01089
756.4	0.01164
756.6	0.0117
756.8	0.01022
757	0.01109
757.2	0.01029
757.4	0.01072
757.6	0.01144
757.8	0.0107
758	0.01156
758.2	0.01037
758.4	0.01243
758.6	0.0105
758.8	0.0094
759	0.01018
759.2	0.01139
759.4	0.01162
759.6	0.00946
759.8	0.01035
760	0.00913
760.2	0.00881
760.4	0.00992
760.6	0.00986
760.8	0.00879
761	0.01029
761.2	0.01031
761.4	0.00944
761.6	0.01099
761.8	0.01017
762	0.01008
762.2	0.00877
762.4	0.00997
762.6	0.0097
762.8	0.00804
763	0.01017
763.2	0.00906
763.4	0.00897
763.6	0.0085
763.8	0.01041
764	0.01102
764.2	0.00987
764.4	0.01055
764.6	0.00885
764.8	0.00883
765	0.01038
765.2	0.00829
765.4	0.01019
765.6	0.00908
765.8	0.00988
766	0.01008
766.2	0.01019
766.4	0.00892
766.6	0.00906
766.8	0.00774
767	0.0088
767.2	0.00832
767.4	0.00944
767.6	0.00794
767.8	0.00917
768	0.00931
768.2	0.00777
768.4	0.0089
768.6	0.00908
768.8	0.00753
769	0.00743
769.2	0.00821
769.4	0.00893
769.6	0.00965
769.8	0.00817
770	0.00847
770.2	0.00789
770.4	0.00938
770.6	0.00926
770.8	0.00944
771	0.00916
771.2	0.00732
771.4	0.00884
771.6	0.00731
771.8	0.01004
772	0.00786
772.2	0.00802
772.4	0.00851
772.6	0.00881
772.8	0.00877
773	0.00688
773.2	0.00806
773.4	0.00858
773.6	0.00716
773.8	0.00845
774	0.00748
774.2	0.00707
774.4	0.00739
774.6	0.00835
774.8	0.00655
775	0.00725
775.2	0.00792
775.4	0.0086
775.6	0.00641
775.8	0.00823
776	0.00701
776.2	0.00799
776.4	0.00651
776.6	0.00686
776.8	0.00787
777	0.00917
777.2	0.0083
777.4	0.00723
777.6	0.00935
777.8	0.00854
778	0.00768
778.2	0.00649
778.4	0.00856
778.6	0.00621
778.8	0.00792
779	0.00753
779.2	0.00704
779.4	0.00914
779.6	0.00735
779.8	0.00725
780	0.00774
780.2	0.00822
780.4	0.00811
780.6	0.00714
780.8	0.00696
781	0.00906
781.2	0.00665
781.4	0.00717
781.6	0.00722
781.8	0.00912
782	0.0075
782.2	0.00762
782.4	0.00742
782.6	0.00857
782.8	0.00786
783	0.00819
783.2	0.0066
783.4	0.00558
783.6	0.00719
783.8	0.00876
784	0.00801
784.2	0.00727
784.4	0.00686
784.6	0.00585
784.8	0.00619
785	0.00601
785.2	0.00691
785.4	0.00686
785.6	0.00684
785.8	0.00664
786	0.00669
786.2	0.00757
786.4	0.00696
786.6	0.00765
786.8	0.00751
787	0.00747
787.2	0.00649
787.4	0.00513
787.6	0.00656
787.8	0.00678
788	0.00633
788.2	0.00567
788.4	0.00539
788.6	0.00665
788.8	0.00661
789	0.00769
789.2	0.00638
789.4	0.00613
789.6	0.0067
789.8	0.00594
790	0.00505
790.2	0.00611
790.4	0.00677
790.6	0.00747
790.8	0.00609
791	0.0076
791.2	0.00554
791.4	0.00621
791.6	0.00669
791.8	0.00709
792	0.00603
792.2	0.00716
792.4	0.00686
792.6	0.00578
792.8	0.00653
793	0.00622
793.2	0.00697
793.4	0.00611
793.6	0.00566
793.8	0.00644
794	0.00477
794.2	0.00627
794.4	0.00577
794.6	0.00601
794.8	0.00528
795	0.00568
795.2	0.00571
795.4	0.00512
795.6	0.0053
795.8	0.0048
796	0.00636
796.2	0.00532
796.4	0.00556
796.6	0.00587
796.8	0.00667
797	0.00714
797.2	0.0061
797.4	0.00784
797.6	0.00541
797.8	0.00606
798	0.00548
798.2	0.00594
798.4	0.00645
798.6	0.00469
798.8	0.00457
799	0.0052
799.2	0.00592
799.4	0.00568
799.6	0.00577
799.8	0.00541
800	0.00569
