Wavelength (nm)	344 FbC1 (SE439).abs
456.60	0.034234
456.80	0.034859
457.00	0.035704
457.20	0.035814
457.40	0.035594
457.60	0.035281
457.80	0.035391
458.00	0.035502
458.20	0.035281
458.40	0.035502
458.60	0.035502
458.80	0.036126
459.00	0.036126
459.20	0.036016
459.40	0.035814
459.60	0.035594
459.80	0.035594
460.00	0.035391
460.20	0.035704
460.40	0.035814
460.60	0.035704
460.80	0.035814
461.00	0.035502
461.20	0.035391
461.40	0.035594
461.60	0.036016
461.80	0.035594
462.00	0.034436
462.20	0.033903
462.40	0.033388
462.60	0.033701
462.80	0.034123
463.00	0.035171
463.20	0.035281
463.40	0.035594
463.60	0.035502
463.80	0.035391
464.00	0.035391
464.20	0.035502
464.40	0.035391
464.60	0.034546
464.80	0.034326
465.00	0.035079
465.20	0.035924
465.40	0.035594
465.60	0.035281
465.80	0.034748
466.00	0.034546
466.20	0.034123
466.40	0.034656
466.60	0.035502
466.80	0.035924
467.00	0.036126
467.20	0.035704
467.40	0.035502
467.60	0.035391
467.80	0.036347
468.00	0.036347
468.20	0.036347
468.40	0.035814
468.60	0.035704
468.80	0.035391
469.00	0.035594
469.20	0.036016
469.40	0.036347
469.60	0.036126
469.80	0.035814
470.00	0.035171
470.20	0.034656
470.40	0.034656
470.60	0.035814
470.80	0.036126
471.00	0.036237
471.20	0.036126
471.40	0.035814
471.60	0.035594
471.80	0.035814
472.00	0.036439
472.20	0.036861
472.40	0.037082
472.60	0.036861
472.80	0.037394
473.00	0.038240
473.20	0.038773
473.40	0.038662
473.60	0.038037
473.80	0.037817
474.00	0.038240
474.20	0.038662
474.40	0.038883
474.60	0.038883
474.80	0.038975
475.00	0.038975
475.20	0.038975
475.40	0.038975
475.60	0.039305
475.80	0.039820
476.00	0.039820
476.20	0.039930
476.40	0.039820
476.60	0.040132
476.80	0.040775
477.00	0.041621
477.20	0.042245
477.40	0.042245
477.60	0.042154
477.80	0.042356
478.00	0.042999
478.20	0.043513
478.40	0.044046
478.60	0.044781
478.80	0.045957
479.00	0.046472
479.20	0.046582
479.40	0.046380
479.60	0.046582
479.80	0.046895
480.00	0.047648
480.20	0.047740
480.40	0.048585
480.60	0.049118
480.80	0.050276
481.00	0.051341
481.20	0.051856
481.40	0.052389
481.60	0.053767
481.80	0.055145
482.00	0.055990
482.20	0.056082
482.40	0.057038
482.60	0.058085
482.80	0.059151
483.00	0.060198
483.20	0.061044
483.40	0.061999
483.60	0.062845
483.80	0.064535
484.00	0.065803
484.20	0.066759
484.40	0.067696
484.60	0.068651
484.80	0.069497
485.00	0.069717
485.20	0.070029
485.40	0.071297
485.60	0.072878
485.80	0.074458
486.00	0.075634
486.20	0.075946
486.40	0.076259
486.60	0.076369
486.80	0.076994
487.00	0.077839
487.20	0.078795
487.40	0.080062
487.60	0.081018
487.80	0.082378
488.00	0.083444
488.20	0.084289
488.40	0.084822
488.60	0.085244
488.80	0.085979
489.00	0.086402
489.20	0.086494
489.40	0.086402
489.60	0.086714
489.80	0.087137
490.00	0.088184
490.20	0.088828
490.40	0.089250
490.60	0.089673
490.80	0.090206
491.00	0.090518
491.20	0.090518
491.40	0.091143
491.60	0.091988
491.80	0.092742
492.00	0.092411
492.20	0.092834
492.40	0.093366
492.60	0.093789
492.80	0.093587
493.00	0.093679
493.20	0.094010
493.40	0.094634
493.60	0.095259
493.80	0.095682
494.00	0.096325
494.20	0.097060
494.40	0.097372
494.60	0.097703
494.80	0.098015
495.00	0.098640
495.20	0.098971
495.40	0.099063
495.60	0.098971
495.80	0.099596
496.00	0.10033
496.20	0.10140
496.40	0.10151
496.60	0.10171
496.80	0.10213
497.00	0.10277
497.20	0.10320
497.40	0.10329
497.60	0.10371
497.80	0.10402
498.00	0.10382
498.20	0.10362
498.40	0.10402
498.60	0.10467
498.80	0.10456
499.00	0.10424
499.20	0.10424
499.40	0.10402
499.60	0.10382
499.80	0.10309
500.00	0.10213
500.20	0.10129
500.40	0.10075
500.60	0.10151
500.80	0.10235
501.00	0.10255
501.20	0.10244
501.40	0.10202
501.60	0.10118
501.80	0.10044
502.00	0.10013
502.20	0.099596
502.40	0.098438
502.60	0.097483
502.80	0.096950
503.00	0.096527
503.20	0.095792
503.40	0.095259
503.60	0.094101
503.80	0.093164
504.00	0.091676
504.20	0.090518
504.40	0.089985
504.60	0.089250
504.80	0.088607
505.00	0.087670
505.20	0.086917
505.40	0.085759
505.60	0.084601
505.80	0.083444
506.00	0.082286
506.20	0.081220
506.40	0.079750
506.60	0.078482
506.80	0.077214
507.00	0.076057
507.20	0.074678
507.40	0.073613
507.60	0.072675
507.80	0.071408
508.00	0.070342
508.20	0.069184
508.40	0.068026
508.60	0.066869
508.80	0.065601
509.00	0.064223
509.20	0.062955
509.40	0.061687
509.60	0.060952
509.80	0.060107
510.00	0.059151
510.20	0.058416
510.40	0.057258
510.60	0.056413
510.80	0.055568
511.00	0.054190
511.20	0.052499
511.40	0.051011
511.60	0.049963
511.80	0.049118
512.00	0.048806
512.20	0.048071
512.40	0.047115
512.60	0.046380
512.80	0.046159
513.00	0.045627
513.20	0.045002
513.40	0.044157
513.60	0.043422
513.80	0.042668
514.00	0.042245
514.20	0.041823
514.40	0.040555
514.60	0.038662
514.80	0.037817
515.00	0.038240
515.20	0.038350
515.40	0.037817
515.60	0.036861
515.80	0.036237
516.00	0.035814
516.20	0.035502
516.40	0.034748
516.60	0.034546
516.80	0.034859
517.00	0.034546
517.20	0.033811
517.40	0.033278
517.60	0.033168
517.80	0.032856
518.00	0.032433
518.20	0.032433
518.40	0.032635
518.60	0.032856
518.80	0.033058
519.00	0.032543
519.20	0.032121
519.40	0.032212
519.60	0.032433
519.80	0.032121
520.00	0.031477
520.20	0.031165
520.40	0.031165
520.60	0.030945
520.80	0.030853
521.00	0.030853
521.20	0.030945
521.40	0.030945
521.60	0.031165
521.80	0.030853
522.00	0.030632
522.20	0.030320
522.40	0.030632
522.60	0.031055
522.80	0.031588
523.00	0.031900
523.20	0.031900
523.40	0.031790
523.60	0.030945
523.80	0.030853
524.00	0.030742
524.20	0.031275
524.40	0.031367
524.60	0.031477
524.80	0.031165
525.00	0.030945
525.20	0.030945
525.40	0.030853
525.60	0.030320
525.80	0.030007
526.00	0.029585
526.20	0.029787
526.40	0.030118
526.60	0.030209
526.80	0.030320
527.00	0.030118
527.20	0.030320
527.40	0.030632
527.60	0.030742
527.80	0.030430
528.00	0.030007
528.20	0.029474
528.40	0.029474
528.60	0.029364
528.80	0.029272
529.00	0.029272
529.20	0.029585
529.40	0.029474
529.60	0.029474
529.80	0.029052
530.00	0.028942
530.20	0.028519
530.40	0.028207
530.60	0.028096
530.80	0.027894
531.00	0.027784
531.20	0.027784
531.40	0.027582
531.60	0.027472
531.80	0.027049
532.00	0.026939
532.20	0.026516
532.40	0.026406
532.60	0.026939
532.80	0.026828
533.00	0.026406
533.20	0.025469
533.40	0.025138
533.60	0.025469
533.80	0.025248
534.00	0.024825
534.20	0.025046
534.40	0.025248
534.60	0.025469
534.80	0.024936
535.00	0.024936
535.20	0.025046
535.40	0.025138
535.60	0.025358
535.80	0.025469
536.00	0.025671
536.20	0.026093
536.40	0.026406
536.60	0.026516
536.80	0.027049
537.00	0.027159
537.20	0.026939
537.40	0.026939
537.60	0.026939
537.80	0.026736
538.00	0.026939
538.20	0.026736
538.40	0.026626
538.60	0.025983
538.80	0.025671
539.00	0.025469
539.20	0.025469
539.40	0.025469
539.60	0.025469
539.80	0.025560
540.00	0.025671
540.20	0.025560
540.40	0.025671
540.60	0.025469
540.80	0.025358
541.00	0.025358
541.20	0.025469
541.40	0.025046
541.60	0.024715
541.80	0.024513
542.00	0.024201
542.20	0.023980
542.40	0.023870
542.60	0.023668
542.80	0.023668
543.00	0.023558
543.20	0.023558
543.40	0.023245
543.60	0.023135
543.80	0.022933
544.00	0.022933
544.20	0.022290
544.40	0.021757
544.60	0.021555
544.80	0.021242
545.00	0.021242
545.20	0.020599
545.40	0.020820
545.60	0.021022
545.80	0.021022
546.00	0.020820
546.20	0.020820
546.40	0.020287
546.60	0.020176
546.80	0.020709
547.00	0.021022
547.20	0.020599
547.40	0.019864
547.60	0.019662
547.80	0.019864
548.00	0.020176
548.20	0.019864
548.40	0.019662
548.60	0.019019
548.80	0.018706
549.00	0.018908
549.20	0.018706
549.40	0.019019
549.60	0.018706
549.80	0.018596
550.00	0.018706
550.20	0.018173
550.40	0.018173
550.60	0.017971
550.80	0.018173
551.00	0.018063
551.20	0.018173
551.40	0.017971
551.60	0.017438
551.80	0.017126
552.00	0.016906
552.20	0.016906
552.40	0.016703
552.60	0.016373
552.80	0.016060
553.00	0.015950
553.20	0.016060
553.40	0.016281
553.60	0.016703
553.80	0.017218
554.00	0.017218
554.20	0.016703
554.40	0.016483
554.60	0.016373
554.80	0.016906
555.00	0.017218
555.20	0.016906
555.40	0.016906
555.60	0.016593
555.80	0.016281
556.00	0.016281
556.20	0.016373
556.40	0.016281
556.60	0.015858
556.80	0.015748
557.00	0.015638
557.20	0.015527
557.40	0.015215
557.60	0.015325
557.80	0.015435
558.00	0.015638
558.20	0.016281
558.40	0.016795
558.60	0.017016
558.80	0.016703
559.00	0.016593
559.20	0.016483
559.40	0.016281
559.60	0.016281
559.80	0.015950
560.00	0.015950
560.20	0.015950
560.40	0.015950
560.60	0.015638
560.80	0.015325
561.00	0.015435
561.20	0.015638
561.40	0.015435
561.60	0.015435
561.80	0.015858
562.00	0.016171
562.20	0.016373
562.40	0.015950
562.60	0.015748
562.80	0.015858
563.00	0.015858
563.20	0.015950
563.40	0.016060
563.60	0.016171
563.80	0.015950
564.00	0.015858
564.20	0.015527
564.40	0.015435
564.60	0.015950
564.80	0.016483
565.00	0.016281
565.20	0.016060
565.40	0.015950
565.60	0.016171
565.80	0.016171
566.00	0.015950
566.20	0.015858
566.40	0.015748
566.60	0.015638
566.80	0.015435
567.00	0.015638
567.20	0.016171
567.40	0.016373
567.60	0.016171
567.80	0.015950
568.00	0.015950
568.20	0.015950
568.40	0.015950
568.60	0.016281
568.80	0.016281
569.00	0.017126
569.20	0.017438
569.40	0.017549
569.60	0.017218
569.80	0.016906
570.00	0.017126
570.20	0.016593
570.40	0.016483
570.60	0.016483
570.80	0.016593
571.00	0.017218
571.20	0.018063
571.40	0.018706
571.60	0.019019
571.80	0.018706
572.00	0.018817
572.20	0.018706
572.40	0.018706
572.60	0.018706
572.80	0.018908
573.00	0.018908
573.20	0.018596
573.40	0.018908
573.60	0.019552
573.80	0.020820
574.00	0.020930
574.20	0.021444
574.40	0.021977
574.60	0.022602
574.80	0.022933
575.00	0.022822
575.20	0.022933
575.40	0.022712
575.60	0.022933
575.80	0.023135
576.00	0.023558
576.20	0.024201
576.40	0.024825
576.60	0.025248
576.80	0.025983
577.00	0.026314
577.20	0.026516
577.40	0.026626
577.60	0.027049
577.80	0.027784
578.00	0.027894
578.20	0.028427
578.40	0.028519
578.60	0.028850
578.80	0.029272
579.00	0.029585
579.20	0.029364
579.40	0.029474
579.60	0.030007
579.80	0.030320
580.00	0.030522
580.20	0.030945
580.40	0.031900
580.60	0.032856
580.80	0.033168
581.00	0.033168
581.20	0.033591
581.40	0.033701
581.60	0.034123
581.80	0.034656
582.00	0.034656
582.20	0.034859
582.40	0.034859
582.60	0.034656
582.80	0.034546
583.00	0.034436
583.20	0.034546
583.40	0.034656
583.60	0.034969
583.80	0.035594
584.00	0.036126
584.20	0.036126
584.40	0.036126
584.60	0.036439
584.80	0.036770
585.00	0.037082
585.20	0.036972
585.40	0.036659
585.60	0.036549
585.80	0.036861
586.00	0.037082
586.20	0.037394
586.40	0.037394
586.60	0.037394
586.80	0.037394
587.00	0.037394
587.20	0.037394
587.40	0.037192
587.60	0.037192
587.80	0.037284
588.00	0.037394
588.20	0.037192
588.40	0.037082
588.60	0.037082
588.80	0.036549
589.00	0.036016
589.20	0.035814
589.40	0.035594
589.60	0.035814
589.80	0.036016
590.00	0.035704
590.20	0.035391
590.40	0.034969
590.60	0.034656
590.80	0.034546
591.00	0.034123
591.20	0.034234
591.40	0.034013
591.60	0.033480
591.80	0.033058
592.00	0.032966
592.20	0.032433
592.40	0.032121
592.60	0.031790
592.80	0.031790
593.00	0.031588
593.20	0.031275
593.40	0.031165
593.60	0.030945
593.80	0.030742
594.00	0.030632
594.20	0.030320
594.40	0.030007
594.60	0.029695
594.80	0.029585
595.00	0.029364
595.20	0.028850
595.40	0.028317
595.60	0.028096
595.80	0.028207
596.00	0.027894
596.20	0.027582
596.40	0.027251
596.60	0.026939
596.80	0.026828
597.00	0.026828
597.20	0.026516
597.40	0.026406
597.60	0.025781
597.80	0.025469
598.00	0.025469
598.20	0.025469
598.40	0.025248
598.60	0.025138
598.80	0.024825
599.00	0.025358
599.20	0.025560
599.40	0.025983
599.60	0.025671
599.80	0.025469
600.00	0.025358
600.20	0.025138
600.40	0.024825
600.60	0.024825
600.80	0.024825
601.00	0.024403
601.20	0.023980
601.40	0.024090
601.60	0.024201
601.80	0.023870
602.00	0.023447
602.20	0.023355
602.40	0.023447
602.60	0.023778
602.80	0.023870
603.00	0.023778
603.20	0.023558
603.40	0.023355
603.60	0.023447
603.80	0.023245
604.00	0.023025
604.20	0.023245
604.40	0.023025
604.60	0.023135
604.80	0.023778
605.00	0.023870
605.20	0.023778
605.40	0.023245
605.60	0.023245
605.80	0.023447
606.00	0.023558
606.20	0.023558
606.40	0.023558
606.60	0.023355
606.80	0.023558
607.00	0.023558
607.20	0.023558
607.40	0.023355
607.60	0.023135
607.80	0.022933
608.00	0.022822
608.20	0.022933
608.40	0.023245
608.60	0.023447
608.80	0.023355
609.00	0.022933
609.20	0.022712
609.40	0.022933
609.60	0.023355
609.80	0.023355
610.00	0.023355
610.20	0.023558
610.40	0.023447
610.60	0.023245
610.80	0.022822
611.00	0.022933
611.20	0.023245
611.40	0.023355
611.60	0.023245
611.80	0.023245
612.00	0.023558
612.20	0.023668
612.40	0.023778
612.60	0.023558
612.80	0.023447
613.00	0.023870
613.20	0.024090
613.40	0.023980
613.60	0.024201
613.80	0.024715
614.00	0.024715
614.20	0.024715
614.40	0.024825
614.60	0.025358
614.80	0.025138
615.00	0.025138
615.20	0.024936
615.40	0.025138
615.60	0.025138
615.80	0.025138
616.00	0.025469
616.20	0.025891
616.40	0.026314
616.60	0.026314
616.80	0.026406
617.00	0.026516
617.20	0.027049
617.40	0.027582
617.60	0.028004
617.80	0.028519
618.00	0.028850
618.20	0.029272
618.40	0.029897
618.60	0.030632
618.80	0.031165
619.00	0.031698
619.20	0.032745
619.40	0.033168
619.60	0.033591
619.80	0.034234
620.00	0.034656
620.20	0.034969
620.40	0.035502
620.60	0.035924
620.80	0.036770
621.00	0.037707
621.20	0.038662
621.40	0.039618
621.60	0.040555
621.80	0.041400
622.00	0.041933
622.20	0.042576
622.40	0.043422
622.60	0.044359
622.80	0.045112
623.00	0.045737
623.20	0.046582
623.40	0.047850
623.60	0.049228
623.80	0.050074
624.00	0.050809
624.20	0.051433
624.40	0.052499
624.60	0.053344
624.80	0.054502
625.00	0.055458
625.20	0.056615
625.40	0.058416
625.60	0.059776
625.80	0.060952
626.00	0.061999
626.20	0.064112
626.40	0.066024
626.60	0.067916
626.80	0.069607
627.00	0.071610
627.20	0.073613
627.40	0.075726
627.60	0.077637
627.80	0.080062
628.00	0.082176
628.20	0.084914
628.40	0.087670
628.60	0.091253
628.80	0.094101
629.00	0.097280
629.20	0.10024
629.40	0.10351
629.60	0.10678
629.80	0.11101
630.00	0.11490
630.20	0.11850
630.40	0.12200
630.60	0.12569
630.80	0.12938
631.00	0.13339
631.20	0.13773
631.40	0.14195
631.60	0.14638
631.80	0.15050
632.00	0.15503
632.20	0.15926
632.40	0.16307
632.60	0.16751
632.80	0.17183
633.00	0.17617
633.20	0.18091
633.40	0.18556
633.60	0.19000
633.80	0.19412
634.00	0.19855
634.20	0.20277
634.40	0.20627
634.60	0.20954
634.80	0.21292
635.00	0.21608
635.20	0.21968
635.40	0.22284
635.60	0.22558
635.80	0.22791
636.00	0.23023
636.20	0.23256
636.40	0.23414
636.60	0.23594
636.80	0.23730
637.00	0.23857
637.20	0.23964
637.40	0.24006
637.60	0.24111
637.80	0.24153
638.00	0.24144
638.20	0.24122
638.40	0.24090
638.60	0.24037
638.80	0.23899
639.00	0.23837
639.20	0.23721
639.40	0.23594
639.60	0.23445
639.80	0.23298
640.00	0.23161
640.20	0.22992
640.40	0.22811
640.60	0.22622
640.80	0.22369
641.00	0.22115
641.20	0.21841
641.40	0.21577
641.60	0.21323
641.80	0.21049
642.00	0.20796
642.20	0.20500
642.40	0.20193
642.60	0.19877
642.80	0.19590
643.00	0.19296
643.20	0.18967
643.40	0.18651
643.60	0.18324
643.80	0.18049
644.00	0.17743
644.20	0.17437
644.40	0.17087
644.60	0.16760
644.80	0.16413
645.00	0.16033
645.20	0.15706
645.40	0.15368
645.60	0.15018
645.80	0.14669
646.00	0.14342
646.20	0.14046
646.40	0.13750
646.60	0.13381
646.80	0.13043
647.00	0.12716
647.20	0.12389
647.40	0.12051
647.60	0.11724
647.80	0.11363
648.00	0.11016
648.20	0.10731
648.40	0.10413
648.60	0.10118
648.80	0.098015
649.00	0.095167
649.20	0.091988
649.40	0.088607
649.60	0.085557
649.80	0.082800
650.00	0.080173
650.20	0.077214
650.40	0.074458
650.60	0.071720
650.80	0.068964
651.00	0.066115
651.20	0.063690
651.40	0.061154
651.60	0.058728
651.80	0.056303
652.00	0.053969
652.20	0.051856
652.40	0.050165
652.60	0.048383
652.80	0.046803
653.00	0.044689
653.20	0.042668
653.40	0.040665
653.60	0.039195
653.80	0.037615
654.00	0.036126
654.20	0.034546
654.40	0.032966
654.60	0.031275
654.80	0.030007
655.00	0.029052
655.20	0.028096
655.40	0.026626
655.60	0.025358
655.80	0.024201
656.00	0.023447
656.20	0.022602
656.40	0.021665
656.60	0.020820
656.80	0.019864
657.00	0.018817
657.20	0.018394
657.40	0.017971
657.60	0.017126
657.80	0.016593
658.00	0.016171
658.20	0.015527
658.40	0.014480
658.60	0.013745
658.80	0.013414
659.00	0.013322
659.20	0.012569
659.40	0.011742
659.60	0.010989
659.80	0.010786
