Wavelength (nm)	137 5.abs
613.00	0.012735
614.00	0.012389
615.00	0.012070
616.00	0.011871
617.00	0.011672
618.00	0.011574
619.00	0.011574
620.00	0.011618
621.00	0.013082
622.00	0.014546
623.00	0.016749
624.00	0.019081
625.00	0.022840
626.00	0.027676
627.00	0.032072
628.00	0.036163
629.00	0.040606
630.00	0.044825
631.00	0.047115
632.00	0.049533
633.00	0.056069
634.00	0.067246
635.00	0.084343
636.00	0.10932
637.00	0.14260
638.00	0.17831
639.00	0.21500
640.00	0.24339
641.00	0.24808
642.00	0.24210
643.00	0.21531
644.00	0.18105
645.00	0.14299
646.00	0.11668
647.00	0.090522
648.00	0.071843
649.00	0.055643
650.00	0.043922
651.00	0.034888
652.00	0.030590
653.00	0.026490
654.00	0.022758
655.00	0.019719
656.00	0.017527
657.00	0.015431
658.00	0.013391
659.00	0.011518
660.00	0.010175
661.00	0.0089409
662.00	0.0080176
663.00	0.0070942
664.00	0.0062248
665.00	0.0053641
666.00	0.0047488
667.00	0.0041948
668.00	0.0035938
669.00	0.0029222
670.00	0.0022507
671.00	0.0019901
672.00	0.0018594
673.00	0.0017287
674.00	0.0016460
675.00	0.0016451
676.00	0.0016442
677.00	0.0016433
678.00	0.0016425
679.00	0.0016416
680.00	0.0016407
681.00	0.0016398
682.00	0.0016382
683.00	0.0016364
684.00	0.0016347
685.00	0.0016329
686.00	0.0016311
687.00	0.0016294
688.00	0.0016279
689.00	0.0016279
690.00	0.0016279
691.00	0.0016279
692.00	0.0016279
693.00	0.0016279
694.00	0.0016279
695.00	0.0016279
696.00	0.0016279
697.00	0.0016279
698.00	0.0016279
699.00	0.0016279
700.00	0.0016279
