Wavelength (nm)	344 13 (FbC-A3,13Ar10)
475.00	0.033572
476.00	0.034363
477.00	0.034782
478.00	0.035171
479.00	0.036141
480.00	0.036659
481.00	0.037554
482.00	0.037981
483.00	0.038444
484.00	0.040368
485.00	0.039659
486.00	0.040026
487.00	0.041736
488.00	0.042205
489.00	0.042893
490.00	0.043815
491.00	0.044787
492.00	0.044676
493.00	0.045844
494.00	0.046358
495.00	0.047483
496.00	0.047449
497.00	0.048342
498.00	0.049151
499.00	0.050153
500.00	0.051009
501.00	0.051989
502.00	0.053012
503.00	0.054406
504.00	0.056238
505.00	0.058146
506.00	0.059983
507.00	0.062484
508.00	0.064991
509.00	0.068208
510.00	0.071294
511.00	0.074859
512.00	0.079324
513.00	0.082280
514.00	0.086099
515.00	0.089434
516.00	0.092358
517.00	0.095282
518.00	0.097377
519.00	0.099099
520.00	0.10062
521.00	0.10159
522.00	0.10262
523.00	0.10305
524.00	0.10281
525.00	0.10211
526.00	0.10094
527.00	0.098769
528.00	0.095613
529.00	0.092149
530.00	0.088210
531.00	0.084638
532.00	0.080142
533.00	0.076269
534.00	0.071880
535.00	0.068325
536.00	0.065036
537.00	0.061877
538.00	0.059407
539.00	0.057368
540.00	0.056143
541.00	0.055376
542.00	0.055332
543.00	0.056136
544.00	0.057729
545.00	0.060197
546.00	0.063029
547.00	0.066885
548.00	0.071259
549.00	0.076912
550.00	0.082965
551.00	0.089777
552.00	0.096722
553.00	0.10376
554.00	0.11096
555.00	0.11706
556.00	0.12188
557.00	0.12581
558.00	0.12716
559.00	0.12649
560.00	0.12395
561.00	0.11968
562.00	0.11347
563.00	0.10660
564.00	0.099086
565.00	0.090881
566.00	0.083050
567.00	0.075775
568.00	0.068826
569.00	0.062808
570.00	0.057766
571.00	0.053124
572.00	0.048970
573.00	0.045210
574.00	0.042056
575.00	0.039276
576.00	0.036372
577.00	0.033814
578.00	0.031694
579.00	0.029629
580.00	0.027764
581.00	0.025803
582.00	0.024692
583.00	0.023302
584.00	0.021436
585.00	0.020332
586.00	0.019192
587.00	0.018144
588.00	0.017397
589.00	0.016902
590.00	0.016013
591.00	0.015627
592.00	0.015059
593.00	0.015016
594.00	0.014798
595.00	0.014435
596.00	0.014378
597.00	0.014602
598.00	0.014489
599.00	0.014704
600.00	0.014659
601.00	0.014980
602.00	0.015460
603.00	0.015761
604.00	0.016550
605.00	0.017053
606.00	0.017858
607.00	0.018729
608.00	0.019983
609.00	0.021245
610.00	0.022316
611.00	0.024250
612.00	0.025944
613.00	0.028096
614.00	0.030252
615.00	0.032652
616.00	0.035422
617.00	0.038227
618.00	0.040877
619.00	0.043744
620.00	0.046302
621.00	0.048894
622.00	0.050893
623.00	0.052528
624.00	0.054085
625.00	0.055174
626.00	0.056108
627.00	0.056534
628.00	0.056894
629.00	0.056399
630.00	0.055603
631.00	0.054151
632.00	0.053056
633.00	0.051550
634.00	0.049778
635.00	0.047834
636.00	0.046298
637.00	0.044855
638.00	0.043399
639.00	0.042534
640.00	0.041751
641.00	0.041872
642.00	0.041648
643.00	0.041727
644.00	0.041843
645.00	0.042136
646.00	0.042542
647.00	0.042991
648.00	0.044427
649.00	0.045240
650.00	0.046313
651.00	0.047365
652.00	0.048665
653.00	0.049957
654.00	0.054409
655.00	0.054770
656.00	0.057090
657.00	0.060289
658.00	0.063756
659.00	0.068456
660.00	0.073422
661.00	0.079726
662.00	0.086292
663.00	0.093996
664.00	0.10212
665.00	0.11123
666.00	0.12095
667.00	0.13115
668.00	0.14273
669.00	0.15522
670.00	0.17062
671.00	0.18680
672.00	0.20539
673.00	0.22774
674.00	0.25317
675.00	0.28250
676.00	0.31674
677.00	0.35440
678.00	0.39538
679.00	0.44078
680.00	0.48655
681.00	0.53146
682.00	0.57120
683.00	0.60526
684.00	0.62708
685.00	0.63650
686.00	0.63069
687.00	0.61105
688.00	0.57774
689.00	0.53256
690.00	0.48016
691.00	0.42453
692.00	0.36701
693.00	0.31390
694.00	0.26122
695.00	0.21590
696.00	0.17606
697.00	0.14388
698.00	0.11588
699.00	0.093274
700.00	0.075675
701.00	0.061120
702.00	0.050051
703.00	0.040821
704.00	0.033829
705.00	0.028267
706.00	0.023311
707.00	0.019767
708.00	0.017269
709.00	0.014410
710.00	0.012500
711.00	0.010990
712.00	0.0093018
713.00	0.0079370
714.00	0.0069444
715.00	0.0060750
716.00	0.0054847
717.00	0.0048806
718.00	0.0044598
719.00	0.0042950
720.00	0.0036959
721.00	0.0034348
722.00	0.0032311
723.00	0.0031297
724.00	0.0027677
725.00	0.0024895
726.00	0.0024885
727.00	0.0023737
728.00	0.0020955
729.00	0.0021663
730.00	0.0019969
731.00	0.0018612
732.00	0.0016196
733.00	0.0015751
734.00	0.0015483
735.00	0.0016830
736.00	0.0014714
737.00	0.0014918
738.00	0.0013177
739.00	0.0013830
740.00	0.0015974
741.00	0.0013738
742.00	0.0015867
743.00	0.0015886
744.00	0.0012960
745.00	0.00086869
746.00	0.0012140
747.00	0.0011701
748.00	0.0011543
749.00	0.00098535
750.00	0.00088998
