Wavelength (nm)	L275 FbC-A13 (SE353).ems
642.40	0.056347
642.60	0.057227
642.80	0.054554
643.00	0.061157
643.20	0.066397
643.40	0.067409
643.60	0.073846
643.80	0.077589
644.00	0.080050
644.20	0.084151
644.40	0.091115
644.60	0.094303
644.80	0.10065
645.00	0.10521
645.20	0.11210
645.40	0.11753
645.60	0.12879
645.80	0.13532
646.00	0.13936
646.20	0.14699
646.40	0.15878
646.60	0.16845
646.80	0.18025
647.00	0.18389
647.20	0.20016
647.40	0.20854
647.60	0.22862
647.80	0.23953
648.00	0.25311
648.20	0.26948
648.40	0.28252
648.60	0.30014
648.80	0.31546
649.00	0.33234
649.20	0.35358
649.40	0.36801
649.60	0.38923
649.80	0.41162
650.00	0.43523
650.20	0.44830
650.40	0.46892
650.60	0.49151
650.80	0.52412
651.00	0.55005
651.20	0.56355
651.40	0.59285
651.60	0.60330
651.80	0.62929
652.00	0.64823
652.20	0.67832
652.40	0.69641
652.60	0.71911
652.80	0.73646
653.00	0.75195
653.20	0.79001
653.40	0.80570
653.60	0.81859
653.80	0.84964
654.00	0.85239
654.20	0.87567
654.40	0.89678
654.60	0.89513
654.80	0.92430
655.00	0.92568
655.20	0.94080
655.40	0.96814
655.60	0.96431
655.80	0.97097
656.00	0.98765
656.20	0.99350
656.40	0.99526
656.60	0.98222
656.80	0.99043
657.00	1.0000
657.20	0.98827
657.40	0.99216
657.60	0.98441
657.80	0.99847
658.00	0.98913
658.20	0.96948
658.40	0.96840
658.60	0.94870
658.80	0.93562
659.00	0.92088
659.20	0.90570
659.40	0.90027
659.60	0.88479
659.80	0.87219
660.00	0.86777
660.20	0.84446
660.40	0.81689
660.60	0.79995
660.80	0.78331
661.00	0.77165
661.20	0.75194
661.40	0.74201
661.60	0.71277
661.80	0.70687
662.00	0.67979
662.20	0.66385
662.40	0.65061
662.60	0.63049
662.80	0.60057
663.00	0.59055
663.20	0.57937
663.40	0.56177
663.60	0.53807
663.80	0.54209
664.00	0.50378
664.20	0.49578
664.40	0.48544
664.60	0.46367
664.80	0.44875
665.00	0.42499
665.20	0.42352
665.40	0.41439
665.60	0.40077
665.80	0.38527
666.00	0.36740
666.20	0.36595
666.40	0.34622
666.60	0.34268
666.80	0.32286
667.00	0.31398
667.20	0.30620
667.40	0.29372
667.60	0.29254
667.80	0.28178
668.00	0.27285
668.20	0.26542
668.40	0.25363
668.60	0.25105
668.80	0.24058
669.00	0.23105
669.20	0.22510
669.40	0.22365
669.60	0.20890
669.80	0.20849
670.00	0.20172
670.20	0.19383
670.40	0.19035
670.60	0.18910
670.80	0.17489
671.00	0.17335
671.20	0.16568
671.40	0.16549
671.60	0.16036
671.80	0.15378
672.00	0.15309
672.20	0.14809
672.40	0.14110
672.60	0.13833
672.80	0.13585
673.00	0.13865
673.20	0.13342
673.40	0.12281
673.60	0.12285
673.80	0.11565
674.00	0.11069
674.20	0.11581
674.40	0.11230
674.60	0.10568
674.80	0.10400
675.00	0.099055
675.20	0.093743
675.40	0.096480
675.60	0.096610
675.80	0.091402
676.00	0.088297
676.20	0.086073
676.40	0.086645
676.60	0.083198
676.80	0.083363
677.00	0.082252
677.20	0.076302
677.40	0.079953
677.60	0.076337
677.80	0.074682
678.00	0.070531
678.20	0.066865
678.40	0.069232
678.60	0.066571
678.80	0.068389
679.00	0.065271
679.20	0.064798
679.40	0.066623
679.60	0.062096
679.80	0.063613
680.00	0.069662
680.20	0.063522
680.40	0.059768
680.60	0.063241
680.80	0.060209
681.00	0.061731
681.20	0.058948
681.40	0.061198
681.60	0.058926
681.80	0.060955
682.00	0.060948
682.20	0.061022
682.40	0.062245
682.60	0.061481
682.80	0.062170
683.00	0.061922
683.20	0.062047
683.40	0.062442
683.60	0.062948
683.80	0.065770
684.00	0.064243
684.20	0.062295
684.40	0.063637
684.60	0.067099
684.80	0.066197
685.00	0.067750
685.20	0.069758
685.40	0.069232
685.60	0.069458
685.80	0.070062
686.00	0.065631
686.20	0.067575
686.40	0.064443
686.60	0.071579
686.80	0.073255
687.00	0.072231
687.20	0.072284
687.40	0.077304
687.60	0.074946
687.80	0.072487
688.00	0.075229
688.20	0.074038
688.40	0.076123
688.60	0.074806
688.80	0.074622
689.00	0.073672
689.20	0.070758
689.40	0.072121
689.60	0.072894
689.80	0.074101
690.00	0.072702
690.20	0.074877
690.40	0.072269
690.60	0.075321
690.80	0.077140
691.00	0.073691
691.20	0.072332
691.40	0.075470
691.60	0.075395
691.80	0.077631
692.00	0.074087
692.20	0.073385
692.40	0.075447
692.60	0.075613
692.80	0.072249
693.00	0.073630
693.20	0.073384
693.40	0.074537
693.60	0.075353
693.80	0.076139
694.00	0.074948
694.20	0.071244
694.40	0.071020
694.60	0.073854
694.80	0.074099
695.00	0.072011
695.20	0.073022
695.40	0.074829
695.60	0.073544
695.80	0.074593
696.00	0.073563
696.20	0.068701
696.40	0.075369
696.60	0.077766
696.80	0.075347
697.00	0.076232
697.20	0.077261
697.40	0.079203
697.60	0.072961
697.80	0.074039
698.00	0.072743
698.20	0.079212
698.40	0.072156
698.60	0.074568
698.80	0.079135
699.00	0.077385
699.20	0.074757
699.40	0.080183
699.60	0.077172
699.80	0.075945
700.00	0.074715
700.20	0.080150
700.40	0.073464
700.60	0.079825
700.80	0.081130
701.00	0.078056
701.20	0.081605
701.40	0.079385
701.60	0.076822
701.80	0.078546
702.00	0.076970
702.20	0.079285
702.40	0.076209
702.60	0.080968
702.80	0.079392
703.00	0.078538
703.20	0.074773
703.40	0.077254
703.60	0.082112
703.80	0.078525
704.00	0.080269
704.20	0.080261
704.40	0.079264
704.60	0.075022
704.80	0.078260
705.00	0.073228
705.20	0.076472
705.40	0.074392
705.60	0.075078
705.80	0.079574
706.00	0.074718
706.20	0.070945
706.40	0.073902
706.60	0.071748
706.80	0.072554
707.00	0.075650
707.20	0.070853
707.40	0.072285
707.60	0.068976
707.80	0.073083
708.00	0.069446
708.20	0.068998
708.40	0.069981
708.60	0.066710
708.80	0.069420
709.00	0.066949
709.20	0.067177
709.40	0.063871
709.60	0.065625
709.80	0.066588
710.00	0.064266
710.20	0.067298
710.40	0.062605
710.60	0.062550
710.80	0.063157
711.00	0.064571
711.20	0.062708
711.40	0.060892
711.60	0.061804
711.80	0.059949
712.00	0.059846
712.20	0.059937
712.40	0.061689
712.60	0.059120
712.80	0.057029
713.00	0.057636
713.20	0.055693
713.40	0.060879
713.60	0.057628
713.80	0.057382
714.00	0.056967
714.20	0.055770
714.40	0.053794
714.60	0.055191
714.80	0.054034
715.00	0.055412
715.20	0.058574
715.40	0.054987
715.60	0.054408
715.80	0.052128
716.00	0.056480
716.20	0.051232
716.40	0.052157
716.60	0.055320
716.80	0.051007
717.00	0.053274
717.20	0.051562
717.40	0.050062
717.60	0.052550
717.80	0.054867
718.00	0.053513
718.20	0.048739
718.40	0.050877
718.60	0.050956
718.80	0.048099
719.00	0.047026
719.20	0.054465
719.40	0.052139
719.60	0.052357
719.80	0.050566
720.00	0.052917
720.20	0.050979
720.40	0.048679
720.60	0.048595
720.80	0.049989
721.00	0.048004
721.20	0.047331
721.40	0.046828
721.60	0.048595
721.80	0.050189
722.00	0.051136
722.20	0.047954
722.40	0.046006
722.60	0.048436
722.80	0.050724
723.00	0.047198
723.20	0.044332
723.40	0.047022
723.60	0.047900
723.80	0.048606
724.00	0.045923
724.20	0.046963
724.40	0.045935
724.60	0.045960
724.80	0.046868
725.00	0.046900
725.20	0.048830
725.40	0.049750
725.60	0.046480
725.80	0.046624
726.00	0.044877
726.20	0.047437
726.40	0.046817
726.60	0.048271
726.80	0.047016
727.00	0.046720
727.20	0.046446
727.40	0.046875
727.60	0.047181
727.80	0.044952
728.00	0.045358
728.20	0.045552
728.40	0.046981
728.60	0.043724
728.80	0.046868
729.00	0.045044
729.20	0.045849
729.40	0.045814
729.60	0.048115
729.80	0.046013
730.00	0.046749
730.20	0.045290
730.40	0.043624
730.60	0.045934
730.80	0.044419
731.00	0.043303
731.20	0.043403
731.40	0.041473
731.60	0.043293
731.80	0.048063
732.00	0.043377
732.20	0.041136
732.40	0.043065
732.60	0.040019
732.80	0.042762
733.00	0.044238
733.20	0.041252
733.40	0.042916
733.60	0.039593
733.80	0.040169
734.00	0.039931
734.20	0.043458
734.40	0.040305
734.60	0.037051
734.80	0.037887
735.00	0.040259
735.20	0.036443
735.40	0.036064
735.60	0.036524
735.80	0.034948
736.00	0.034909
736.20	0.037353
736.40	0.035998
736.60	0.035839
736.80	0.035711
737.00	0.035005
737.20	0.032775
737.40	0.027295
737.60	0.031444
737.80	0.030271
738.00	0.031149
738.20	0.030338
738.40	0.029110
738.60	0.029444
738.80	0.026928
739.00	0.026407
739.20	0.028905
739.40	0.026496
739.60	0.027112
739.80	0.026370
740.00	0.027338
740.20	0.025321
740.40	0.025835
740.60	0.024770
740.80	0.023695
741.00	0.023558
741.20	0.023793
741.40	0.021038
741.60	0.021897
741.80	0.022065
742.00	0.023152
742.20	0.023193
742.40	0.022322
742.60	0.022137
742.80	0.018885
743.00	0.019271
743.20	0.015955
743.40	0.019985
743.60	0.019881
743.80	0.019855
744.00	0.016165
744.20	0.019964
744.40	0.018746
744.60	0.018229
744.80	0.017698
745.00	0.017126
745.20	0.016034
745.40	0.017204
745.60	0.015679
745.80	0.015217
746.00	0.015309
746.20	0.016000
746.40	0.016866
746.60	0.014759
746.80	0.014991
747.00	0.015314
747.20	0.014102
747.40	0.015321
747.60	0.013876
747.80	0.012518
748.00	0.014785
748.20	0.014039
748.40	0.011245
748.60	0.013656
748.80	0.012148
749.00	0.011881
749.20	0.014443
749.40	0.013494
749.60	0.013001
749.80	0.011898
750.00	0.012991
750.20	0.011803
750.40	0.011775
750.60	0.012193
750.80	0.011889
751.00	0.012098
751.20	0.011285
751.40	0.0087974
751.60	0.011345
751.80	0.011355
752.00	0.011005
752.20	0.011999
752.40	0.0099592
752.60	0.010102
752.80	0.0098992
753.00	0.010138
753.20	0.0099198
753.40	0.0089537
753.60	0.011073
753.80	0.010742
754.00	0.011028
754.20	0.0099966
754.40	0.0099620
754.60	0.010378
754.80	0.010883
755.00	0.0089332
755.20	0.0083255
755.40	0.0091683
755.60	0.010854
755.80	0.0082551
756.00	0.0086307
756.20	0.0087760
756.40	0.0091885
756.60	0.0086293
756.80	0.0067960
757.00	0.010294
757.20	0.0089828
757.40	0.010157
757.60	0.0097666
757.80	0.0095543
758.00	0.010513
758.20	0.010395
758.40	0.0087253
758.60	0.0096637
758.80	0.0080561
759.00	0.0081069
759.20	0.0065620
759.40	0.0091520
759.60	0.0091533
759.80	0.0085804
760.00	0.0070072
760.20	0.0077010
760.40	0.0076744
760.60	0.0085153
760.80	0.0078401
761.00	0.0090727
761.20	0.0078120
761.40	0.0076997
761.60	0.0095457
761.80	0.0076341
762.00	0.0071345
762.20	0.0081669
762.40	0.0086487
762.60	0.0068499
762.80	0.0078992
763.00	0.010220
763.20	0.0064571
763.40	0.0091592
763.60	0.0073285
763.80	0.0083087
764.00	0.0083911
764.20	0.0082364
764.40	0.0064182
764.60	0.0081744
764.80	0.0049898
765.00	0.0075067
765.20	0.0065104
765.40	0.0074470
765.60	0.0078252
765.80	0.0077194
766.00	0.0068108
766.20	0.0074206
766.40	0.0062745
766.60	0.0063378
766.80	0.0066065
767.00	0.0060396
767.20	0.0070846
767.40	0.0067255
767.60	0.0069098
767.80	0.0077574
768.00	0.0061274
768.20	0.0066069
768.40	0.0083548
768.60	0.0078371
768.80	0.0091948
769.00	0.0073904
769.20	0.0068675
769.40	0.0064342
769.60	0.0068829
769.80	0.0065380
770.00	0.0074274
770.20	0.0062303
770.40	0.0059838
770.60	0.0059643
770.80	0.0072691
771.00	0.0070183
771.20	0.0063440
771.40	0.0078944
771.60	0.0068854
771.80	0.0067636
772.00	0.0067533
772.20	0.0062501
772.40	0.0064731
772.60	0.0062323
772.80	0.0067444
773.00	0.0063009
773.20	0.0063889
773.40	0.0064695
773.60	0.0069879
773.80	0.0046768
774.00	0.0061203
774.20	0.0067223
774.40	0.0074210
774.60	0.0058457
774.80	0.0047786
775.00	0.0061529
775.20	0.0054835
775.40	0.0059811
775.60	0.0058563
775.80	0.0037885
776.00	0.0059682
776.20	0.0058685
776.40	0.0066116
776.60	0.0054925
776.80	0.0053657
777.00	0.0083224
777.20	0.0064420
777.40	0.0057220
777.60	0.0063614
777.80	0.0060694
778.00	0.0056571
778.20	0.0074651
778.40	0.0045737
778.60	0.0063248
778.80	0.0046240
779.00	0.0066667
779.20	0.0043476
779.40	0.0059516
779.60	0.0052194
779.80	0.0043462
780.00	0.0049190
780.20	0.0054800
780.40	0.0046770
780.60	0.0058341
780.80	0.0054047
781.00	0.0060072
781.20	0.0064855
781.40	0.0048671
781.60	0.0048801
781.80	0.0065411
782.00	0.0052629
782.20	0.0055255
782.40	0.0046549
782.60	0.0052425
782.80	0.0053287
783.00	0.0071000
783.20	0.0058991
783.40	0.0047084
783.60	0.0039347
783.80	0.0041589
784.00	0.0049022
784.20	0.0039517
784.40	0.0041657
784.60	0.0046216
784.80	0.0050244
785.00	0.0041152
785.20	0.0048895
785.40	0.0053347
785.60	0.0051933
785.80	0.0049087
786.00	0.0045510
786.20	0.0050848
786.40	0.0052526
786.60	0.0059556
786.80	0.0044147
787.00	0.0054909
787.20	0.0044924
787.40	0.0038760
787.60	0.0049800
787.80	0.0047469
788.00	0.0048697
788.20	0.0040513
788.40	0.0052921
788.60	0.0043426
788.80	0.0047656
789.00	0.0054655
789.20	0.0049143
789.40	0.0033673
789.60	0.0051078
789.80	0.0052700
790.00	0.0053383
790.20	0.0046026
790.40	0.0043533
790.60	0.0037108
790.80	0.0041828
791.00	0.0052991
791.20	0.0048736
791.40	0.0032308
791.60	0.0046912
791.80	0.0039852
792.00	0.0037404
792.20	0.0038389
792.40	0.0034404
792.60	0.0039809
792.80	0.0036933
793.00	0.0049161
793.20	0.0038513
793.40	0.0040585
793.60	0.0049286
793.80	0.0037755
794.00	0.0044453
794.20	0.0044848
794.40	0.0034241
794.60	0.0031907
794.80	0.0033551
795.00	0.0038705
795.20	0.0046723
795.40	0.0039082
795.60	0.0047571
795.80	0.0031312
796.00	0.0030364
796.20	0.0037994
796.40	0.0026532
796.60	0.0035867
796.80	0.0046769
797.00	0.0041098
797.20	0.0048441
797.40	0.0041053
797.60	0.0047757
797.80	0.0041294
798.00	0.0049382
798.20	0.0039876
798.40	0.0033267
798.60	0.0047040
798.80	0.0034302
799.00	0.0039643
799.20	0.0047008
799.40	0.0036793
799.60	0.0030055
799.80	0.0045063
800.00	0.0033977
