Wavelength (nm)	L214 ZnC-P3M10P13 (SE244).ems
602.40	0.016050
602.60	0.016260
602.80	0.017560
603.00	0.018060
603.20	0.019430
603.40	0.020120
603.60	0.021840
603.80	0.022790
604.00	0.023110
604.20	0.024780
604.40	0.026360
604.60	0.026600
604.80	0.026970
605.00	0.028650
605.20	0.030550
605.40	0.032110
605.60	0.035380
605.80	0.033730
606.00	0.037650
606.20	0.039800
606.40	0.040840
606.60	0.044070
606.80	0.046530
607.00	0.048500
607.20	0.050320
607.40	0.052030
607.60	0.057350
607.80	0.058980
608.00	0.062320
608.20	0.066700
608.40	0.066430
608.60	0.072410
608.80	0.076130
609.00	0.079550
609.20	0.084790
609.40	0.089980
609.60	0.094140
609.80	0.098430
610.00	0.10250
610.20	0.10857
610.40	0.11358
610.60	0.11774
610.80	0.12592
611.00	0.13359
611.20	0.14076
611.40	0.14728
611.60	0.15026
611.80	0.15834
612.00	0.16616
612.20	0.17522
612.40	0.18109
612.60	0.19608
612.80	0.19913
613.00	0.20971
613.20	0.21925
613.40	0.22962
613.60	0.23516
613.80	0.24945
614.00	0.25531
614.20	0.26787
614.40	0.28304
614.60	0.29280
614.80	0.30167
615.00	0.31994
615.20	0.32989
615.40	0.34073
615.60	0.35078
615.80	0.36643
616.00	0.37814
616.20	0.39693
616.40	0.40577
616.60	0.42303
616.80	0.43372
617.00	0.45042
617.20	0.46438
617.40	0.48513
617.60	0.49791
617.80	0.50980
618.00	0.52561
618.20	0.54016
618.40	0.56232
618.60	0.57627
618.80	0.59535
619.00	0.60147
619.20	0.62673
619.40	0.63711
619.60	0.65926
619.80	0.67345
620.00	0.68994
620.20	0.70176
620.40	0.71976
620.60	0.73135
620.80	0.74989
621.00	0.75907
621.20	0.77440
621.40	0.78341
621.60	0.80548
621.80	0.81445
622.00	0.83148
622.20	0.83889
622.40	0.84978
622.60	0.86840
622.80	0.87747
623.00	0.89437
623.20	0.90093
623.40	0.90538
623.60	0.92803
623.80	0.92593
624.00	0.93657
624.20	0.94564
624.40	0.94711
624.60	0.95153
624.80	0.96254
625.00	0.97470
625.20	0.96862
625.40	0.97819
625.60	0.97986
625.80	0.98654
626.00	0.99025
626.20	0.99254
626.40	1.0000
626.60	0.99358
626.80	0.99339
627.00	0.99040
627.20	0.99074
627.40	0.98790
627.60	0.99212
627.80	0.97888
628.00	0.98379
628.20	0.98178
628.40	0.97725
628.60	0.96523
628.80	0.97504
629.00	0.95242
629.20	0.95281
629.40	0.95031
629.60	0.93850
629.80	0.92005
630.00	0.92682
630.20	0.91752
630.40	0.90831
630.60	0.90246
630.80	0.89495
631.00	0.87570
631.20	0.87089
631.40	0.86057
631.60	0.84927
631.80	0.83499
632.00	0.83136
632.20	0.80975
632.40	0.80550
632.60	0.79350
632.80	0.78512
633.00	0.77525
633.20	0.76095
633.40	0.74636
633.60	0.73779
633.80	0.71967
634.00	0.70822
634.20	0.69604
634.40	0.69526
634.60	0.68079
634.80	0.66462
635.00	0.64589
635.20	0.63847
635.40	0.63544
635.60	0.62057
635.80	0.60434
636.00	0.59539
636.20	0.58899
636.40	0.57428
636.60	0.56314
636.80	0.54578
637.00	0.53529
637.20	0.52765
637.40	0.51511
637.60	0.50075
637.80	0.48994
638.00	0.48274
638.20	0.47249
638.40	0.46181
638.60	0.45620
638.80	0.44077
639.00	0.44024
639.20	0.42352
639.40	0.41730
639.60	0.41092
639.80	0.39599
640.00	0.38885
640.20	0.38306
640.40	0.38033
640.60	0.37374
640.80	0.36259
641.00	0.34474
641.20	0.34294
641.40	0.33912
641.60	0.32751
641.80	0.32478
642.00	0.31561
642.20	0.31264
642.40	0.30780
642.60	0.29752
642.80	0.29292
643.00	0.28483
643.20	0.27832
643.40	0.27423
643.60	0.27408
643.80	0.26369
644.00	0.26205
644.20	0.25126
644.40	0.25247
644.60	0.24333
644.80	0.24472
645.00	0.23623
645.20	0.23761
645.40	0.23342
645.60	0.22330
645.80	0.22619
646.00	0.22318
646.20	0.21670
646.40	0.21192
646.60	0.21152
646.80	0.21093
647.00	0.20693
647.20	0.19773
647.40	0.19785
647.60	0.19603
647.80	0.19256
648.00	0.18737
648.20	0.18752
648.40	0.18354
648.60	0.18506
648.80	0.18227
649.00	0.17860
649.20	0.17719
649.40	0.17842
649.60	0.17916
649.80	0.17342
650.00	0.17211
650.20	0.17184
650.40	0.16800
650.60	0.16942
650.80	0.16466
651.00	0.16334
651.20	0.16683
651.40	0.16325
651.60	0.16332
651.80	0.15699
652.00	0.15818
652.20	0.16051
652.40	0.15977
652.60	0.15739
652.80	0.15472
653.00	0.15514
653.20	0.15316
653.40	0.14944
653.60	0.15222
653.80	0.15361
654.00	0.15409
654.20	0.15077
654.40	0.14454
654.60	0.14864
654.80	0.14578
655.00	0.14616
655.20	0.14917
655.40	0.14954
655.60	0.14624
655.80	0.14270
656.00	0.14545
656.20	0.14509
656.40	0.14686
656.60	0.14324
656.80	0.14461
657.00	0.14252
657.20	0.14441
657.40	0.14263
657.60	0.14649
657.80	0.14346
658.00	0.14403
658.20	0.14176
658.40	0.14425
658.60	0.14398
658.80	0.14435
659.00	0.14425
659.20	0.14555
659.40	0.14283
659.60	0.14308
659.80	0.14042
660.00	0.13892
660.20	0.14151
660.40	0.14327
660.60	0.14164
660.80	0.14015
661.00	0.13933
661.20	0.14444
661.40	0.14029
661.60	0.13864
661.80	0.14577
662.00	0.14068
662.20	0.14628
662.40	0.14142
662.60	0.14282
662.80	0.14220
663.00	0.14223
663.20	0.14333
663.40	0.14309
663.60	0.14860
663.80	0.14769
664.00	0.14687
664.20	0.14206
664.40	0.14581
664.60	0.14492
664.80	0.14326
665.00	0.14388
665.20	0.14408
665.40	0.14502
665.60	0.14851
665.80	0.14200
666.00	0.14841
666.20	0.14608
666.40	0.14919
666.60	0.14915
666.80	0.14864
667.00	0.14422
667.20	0.15010
667.40	0.14482
667.60	0.14983
667.80	0.14753
668.00	0.15296
668.20	0.15166
668.40	0.15002
668.60	0.14596
668.80	0.15150
669.00	0.14777
669.20	0.15076
669.40	0.15229
669.60	0.14904
669.80	0.14969
670.00	0.14826
670.20	0.14911
670.40	0.15120
670.60	0.15394
670.80	0.14996
671.00	0.15132
671.20	0.15739
671.40	0.15548
671.60	0.15498
671.80	0.15796
672.00	0.15005
672.20	0.15946
672.40	0.15754
672.60	0.15534
672.80	0.15578
673.00	0.15777
673.20	0.16255
673.40	0.15788
673.60	0.15862
673.80	0.15780
674.00	0.15751
674.20	0.15471
674.40	0.15764
674.60	0.15599
674.80	0.15790
675.00	0.15783
675.20	0.15956
675.40	0.16253
675.60	0.16133
675.80	0.16568
676.00	0.15856
676.20	0.16337
676.40	0.16010
676.60	0.15980
676.80	0.16468
677.00	0.16038
677.20	0.16514
677.40	0.16196
677.60	0.16167
677.80	0.16499
678.00	0.16404
678.20	0.16078
678.40	0.16498
678.60	0.16312
678.80	0.16384
679.00	0.16654
679.20	0.16590
679.40	0.16998
679.60	0.16244
679.80	0.16804
680.00	0.16773
680.20	0.16396
680.40	0.16338
680.60	0.16495
680.80	0.16502
681.00	0.16373
681.20	0.16741
681.40	0.16746
681.60	0.16595
681.80	0.16763
682.00	0.16950
682.20	0.16708
682.40	0.16455
682.60	0.16233
682.80	0.16541
683.00	0.16171
683.20	0.16396
683.40	0.15949
683.60	0.16283
683.80	0.16474
684.00	0.16471
684.20	0.16135
684.40	0.16703
684.60	0.15887
684.80	0.16225
685.00	0.16154
685.20	0.16234
685.40	0.16050
685.60	0.16217
685.80	0.15628
686.00	0.16185
686.20	0.16127
686.40	0.15655
686.60	0.16004
686.80	0.16273
687.00	0.15926
687.20	0.15501
687.40	0.15842
687.60	0.15180
687.80	0.15511
688.00	0.15842
688.20	0.15466
688.40	0.15630
688.60	0.15052
688.80	0.15008
689.00	0.14929
689.20	0.15194
689.40	0.15130
689.60	0.14996
689.80	0.14872
690.00	0.14613
690.20	0.14635
690.40	0.14505
690.60	0.14493
690.80	0.14817
691.00	0.13750
691.20	0.14461
691.40	0.14555
691.60	0.14284
691.80	0.13652
692.00	0.13864
692.20	0.14070
692.40	0.13752
692.60	0.13845
692.80	0.13285
693.00	0.13341
693.20	0.13421
693.40	0.13232
693.60	0.13292
693.80	0.12771
694.00	0.13032
694.20	0.12612
694.40	0.12777
694.60	0.12542
694.80	0.12683
695.00	0.12120
695.20	0.11579
695.40	0.11632
695.60	0.11480
695.80	0.11817
696.00	0.11479
696.20	0.11468
696.40	0.11483
696.60	0.10911
696.80	0.10759
697.00	0.10899
697.20	0.10960
697.40	0.11025
697.60	0.10739
697.80	0.10717
698.00	0.10121
698.20	0.098000
698.40	0.10025
698.60	0.094710
698.80	0.097910
699.00	0.098910
699.20	0.099520
699.40	0.091510
699.60	0.091970
699.80	0.096610
700.00	0.091930
700.20	0.091680
700.40	0.085260
700.60	0.085910
700.80	0.085590
701.00	0.085440
701.20	0.080070
701.40	0.081020
701.60	0.080790
701.80	0.080470
702.00	0.078770
702.20	0.074700
702.40	0.076380
702.60	0.078010
702.80	0.074310
703.00	0.074840
703.20	0.070270
703.40	0.067710
703.60	0.070770
703.80	0.067000
704.00	0.068860
704.20	0.067110
704.40	0.067020
704.60	0.063630
704.80	0.063550
705.00	0.060680
705.20	0.060150
705.40	0.058230
705.60	0.056860
705.80	0.057720
706.00	0.058100
706.20	0.055750
706.40	0.057810
706.60	0.056740
706.80	0.051760
707.00	0.053760
707.20	0.052920
707.40	0.051860
707.60	0.049800
707.80	0.050240
708.00	0.052720
708.20	0.049230
708.40	0.047440
708.60	0.046590
708.80	0.044470
709.00	0.043700
709.20	0.045110
709.40	0.045560
709.60	0.043320
709.80	0.046090
710.00	0.043750
710.20	0.044520
710.40	0.043910
710.60	0.040620
710.80	0.038320
711.00	0.039480
711.20	0.041010
711.40	0.041390
711.60	0.041960
711.80	0.038330
712.00	0.038890
712.20	0.035620
712.40	0.037580
712.60	0.036930
712.80	0.037330
713.00	0.036150
713.20	0.033070
713.40	0.032900
713.60	0.034500
713.80	0.032360
714.00	0.032960
714.20	0.031120
714.40	0.033840
714.60	0.031630
714.80	0.033270
715.00	0.031600
715.20	0.032070
715.40	0.030940
715.60	0.030220
715.80	0.030370
716.00	0.027590
716.20	0.027350
716.40	0.032000
716.60	0.028900
716.80	0.028070
717.00	0.025550
717.20	0.026290
717.40	0.029270
717.60	0.027820
717.80	0.026210
718.00	0.026480
718.20	0.027780
718.40	0.025370
718.60	0.028160
718.80	0.026330
719.00	0.027360
719.20	0.027860
719.40	0.026250
719.60	0.025950
719.80	0.024940
720.00	0.026290
720.20	0.023320
720.40	0.026900
720.60	0.025660
720.80	0.024440
721.00	0.025870
721.20	0.021680
721.40	0.021780
721.60	0.023030
721.80	0.022180
722.00	0.023540
722.20	0.021790
722.40	0.021760
722.60	0.022920
722.80	0.019910
723.00	0.021150
723.20	0.021930
723.40	0.022390
723.60	0.021850
723.80	0.023070
724.00	0.021820
724.20	0.024710
724.40	0.021760
724.60	0.020880
724.80	0.021980
725.00	0.019850
725.20	0.019560
725.40	0.020440
725.60	0.020980
725.80	0.019810
726.00	0.020830
726.20	0.021150
726.40	0.021090
726.60	0.020850
726.80	0.019720
727.00	0.021790
727.20	0.020200
727.40	0.023270
727.60	0.022560
727.80	0.017320
728.00	0.022310
728.20	0.018730
728.40	0.020950
728.60	0.019760
728.80	0.017650
729.00	0.018640
729.20	0.018560
729.40	0.020110
729.60	0.019830
729.80	0.018420
730.00	0.019190
730.20	0.019230
730.40	0.019920
730.60	0.017120
730.80	0.016750
731.00	0.016790
731.20	0.016270
731.40	0.017140
731.60	0.020590
731.80	0.019600
732.00	0.015680
732.20	0.018340
732.40	0.018380
732.60	0.016900
732.80	0.019940
733.00	0.018630
733.20	0.014600
733.40	0.017690
733.60	0.016360
733.80	0.016280
734.00	0.018450
734.20	0.016200
734.40	0.018160
734.60	0.016210
734.80	0.016220
735.00	0.018630
735.20	0.017210
735.40	0.013680
735.60	0.017900
735.80	0.016030
736.00	0.017500
736.20	0.015560
736.40	0.016060
736.60	0.017910
736.80	0.016880
737.00	0.015240
737.20	0.017760
737.40	0.015460
737.60	0.017700
737.80	0.016590
738.00	0.014810
738.20	0.016590
738.40	0.016940
738.60	0.015980
738.80	0.014830
739.00	0.015080
739.20	0.015140
739.40	0.015130
739.60	0.014040
739.80	0.016290
740.00	0.015150
740.20	0.013350
740.40	0.015000
740.60	0.016020
740.80	0.013840
741.00	0.014600
741.20	0.014140
741.40	0.013160
741.60	0.014210
741.80	0.014710
742.00	0.015810
742.20	0.014490
742.40	0.012090
742.60	0.014230
742.80	0.014230
743.00	0.012990
743.20	0.014400
743.40	0.013490
743.60	0.014810
743.80	0.013490
744.00	0.014890
744.20	0.012400
744.40	0.016090
744.60	0.013180
744.80	0.015170
745.00	0.014900
745.20	0.014650
745.40	0.013860
745.60	0.013300
745.80	0.014610
746.00	0.012240
746.20	0.012450
746.40	0.013520
746.60	0.017160
746.80	0.011260
747.00	0.013260
747.20	0.012300
747.40	0.014590
747.60	0.013100
747.80	0.012340
748.00	0.014500
748.20	0.012500
748.40	0.011710
748.60	0.011160
748.80	0.012730
749.00	0.011890
749.20	0.014330
749.40	0.014110
749.60	0.013050
749.80	0.013080
750.00	0.012960
750.20	0.012120
750.40	0.013200
750.60	0.011800
750.80	0.014320
751.00	0.010270
751.20	0.011770
751.40	0.012160
751.60	0.013180
751.80	0.014250
752.00	0.014500
752.20	0.012740
752.40	0.011950
752.60	0.013320
752.80	0.010800
753.00	0.010450
753.20	0.012650
753.40	0.013280
753.60	0.011870
753.80	0.013790
754.00	0.012040
754.20	0.011760
754.40	0.011860
754.60	0.010130
754.80	0.013010
755.00	0.010290
755.20	0.011230
755.40	0.010830
755.60	0.013820
755.80	0.011420
756.00	0.012410
756.20	0.011590
756.40	0.011690
756.60	0.014560
756.80	0.010610
757.00	0.012160
757.20	0.010580
757.40	0.012300
757.60	0.011970
757.80	0.010810
758.00	0.011080
758.20	0.012370
758.40	0.010930
758.60	0.011030
758.80	0.010260
759.00	0.010040
759.20	0.0097400
759.40	0.011370
759.60	0.012320
759.80	0.011180
760.00	0.0093800
760.20	0.010570
760.40	0.010470
760.60	0.012470
760.80	0.011190
761.00	0.012310
761.20	0.010780
761.40	0.0087500
761.60	0.010040
761.80	0.0094800
762.00	0.010230
762.20	0.0098000
762.40	0.010390
762.60	0.0092900
762.80	0.0096400
763.00	0.0092800
763.20	0.0080900
763.40	0.010680
763.60	0.0090300
763.80	0.010590
764.00	0.0095200
764.20	0.010210
764.40	0.0081300
764.60	0.0076000
764.80	0.0081100
765.00	0.0096400
765.20	0.0079700
765.40	0.0079400
765.60	0.0078300
765.80	0.0083900
766.00	0.0094300
766.20	0.0076100
766.40	0.0074600
766.60	0.0061900
766.80	0.0084600
767.00	0.0085600
767.20	0.0086700
767.40	0.0092400
767.60	0.0073600
767.80	0.0081100
768.00	0.0082900
768.20	0.0089500
768.40	0.0073200
768.60	0.0098500
768.80	0.0083900
769.00	0.0078000
769.20	0.0083800
769.40	0.0068600
769.60	0.0085800
769.80	0.0077600
770.00	0.0088700
770.20	0.0099400
770.40	0.0079300
770.60	0.0061300
770.80	0.0072000
771.00	0.0070400
771.20	0.0063900
771.40	0.0073700
771.60	0.0087600
771.80	0.0071700
772.00	0.0071900
772.20	0.0038000
772.40	0.0067200
772.60	0.0067700
772.80	0.0052600
773.00	0.0069800
773.20	0.0065400
773.40	0.0069500
773.60	0.0080500
773.80	0.0053900
774.00	0.0049900
774.20	0.0059100
774.40	0.0043700
774.60	0.0060600
774.80	0.0063000
775.00	0.0060800
775.20	0.0058600
775.40	0.0054100
775.60	0.0050500
775.80	0.0041400
776.00	0.0057600
776.20	0.0060900
776.40	0.0053600
776.60	0.0063400
776.80	0.0057000
777.00	0.0053400
777.20	0.0056200
777.40	0.0070300
777.60	0.0059700
777.80	0.0054600
778.00	0.0065900
778.20	0.0041200
778.40	0.0044100
778.60	0.0062000
778.80	0.0059700
779.00	0.0046200
779.20	0.0055200
779.40	0.0037800
779.60	0.0050100
779.80	0.0051200
780.00	0.0057900
780.20	0.0042800
780.40	0.0060400
780.60	0.0039100
780.80	0.0039600
781.00	0.0041100
781.20	0.0050300
781.40	0.0054700
781.60	0.0048000
781.80	0.0045200
782.00	0.0040900
782.20	0.0041500
782.40	0.0036700
782.60	0.0022700
782.80	0.0052800
783.00	0.0030100
783.20	0.0028200
783.40	0.0038900
783.60	0.0020000
783.80	0.0013700
784.00	0.0028800
784.20	0.0039700
784.40	0.0035800
784.60	0.0029000
784.80	0.0071800
785.00	0.0035000
785.20	0.0036000
785.40	0.0038000
785.60	0.0026200
785.80	0.0026700
786.00	0.0044100
786.20	0.0022800
786.40	0.0029800
786.60	0.0030300
786.80	0.0045800
787.00	0.0029900
787.20	0.0035900
787.40	0.0026500
787.60	0.0044500
787.80	0.0025000
788.00	0.0025600
788.20	0.0031100
788.40	0.0034700
788.60	0.0043800
788.80	0.0022700
789.00	0.0036300
789.20	0.0031800
789.40	0.0030900
789.60	0.0016200
789.80	0.0027900
790.00	0.0018300
790.20	0.0026400
790.40	0.0033100
790.60	0.0022900
790.80	0.0022900
791.00	0.0025000
791.20	0.0040800
791.40	0.0025500
791.60	0.0031200
791.80	0.0037300
792.00	0.0033800
792.20	0.0020500
792.40	0.0025600
792.60	0.0025700
792.80	0.0025200
793.00	0.0014900
793.20	0.0015400
793.40	0.0034500
793.60	0.0034000
793.80	0.0012900
794.00	0.0018100
794.20	0.0016000
794.40	0.0018600
794.60	0.0010900
794.80	0.0032600
795.00	0.0021200
795.20	0.00098529
795.40	0.0037400
795.60	0.0022300
795.80	0.0011400
796.00	0.0028700
796.20	0.0021900
796.40	0.0026100
796.60	0.0024000
796.80	0.0017800
797.00	0.0015200
797.20	0.0033600
797.40	0.0014700
797.60	0.0035200
797.80	0.0029000
798.00	0.0017900
798.20	0.0018500
798.40	0.0030600
798.60	0.0027500
798.80	0.0027000
799.00	0.0022300
799.20	0.0013800
799.40	0.0022300
799.60	0.00090420
799.80	0.0020800
800.00	0.0024000
