Wavelength (nm)	267 FbC-M10Iso-Bn.abs
687.00	0.20281
688.00	0.16752
689.00	0.13378
690.00	0.10631
691.00	0.081635
692.00	0.060917
693.00	0.048683
694.00	0.037814
695.00	0.030021
696.00	0.022228
697.00	0.018647
698.00	0.015066
699.00	0.011974
700.00	0.010351
701.00	0.0087285
702.00	0.0071056
703.00	0.0054827
704.00	0.0046960
705.00	0.0044440
706.00	0.0041921
707.00	0.0039401
708.00	0.0036881
709.00	0.0034527
710.00	0.0032581
711.00	0.0030634
712.00	0.0028687
713.00	0.0026740
714.00	0.0024793
715.00	0.0022846
716.00	0.0021858
717.00	0.0020943
718.00	0.0020027
719.00	0.0019112
720.00	0.0018196
721.00	0.0017281
722.00	0.0016516
723.00	0.0015861
724.00	0.0015207
725.00	0.0014552
726.00	0.0013897
727.00	0.0013242
728.00	0.0012587
729.00	0.0012110
730.00	0.0011784
731.00	0.0011458
732.00	0.0011132
733.00	0.0010806
734.00	0.0010480
735.00	0.0010154
736.00	0.00098285
737.00	0.00097666
738.00	0.00097666
739.00	0.00097666
740.00	0.00097666
741.00	0.00097666
742.00	0.00097666
743.00	0.00097666
744.00	0.00097666
745.00	0.00097666
746.00	0.00097666
747.00	0.00097666
748.00	0.00097666
749.00	0.00097666
750.00	0.00097666
