Wavelength (nm)	FbOP-A7M10 (SE293)
428.00	0.48128
429.00	0.50141
430.00	0.52816
431.00	0.55726
432.00	0.59195
433.00	0.64533
434.00	0.70683
435.00	0.76838
436.00	0.84013
437.00	0.90705
438.00	0.96124
439.00	0.99616
440.00	1.00000
441.00	0.97728
442.00	0.92942
443.00	0.86006
444.00	0.78268
445.00	0.70567
446.00	0.63448
447.00	0.57854
448.00	0.53620
449.00	0.50724
450.00	0.49009
451.00	0.48057
452.00	0.47470
453.00	0.46745
454.00	0.45646
455.00	0.43866
456.00	0.41420
457.00	0.38127
458.00	0.34452
459.00	0.30528
460.00	0.26582
461.00	0.22911
462.00	0.19484
463.00	0.16273
464.00	0.13659
465.00	0.11501
466.00	0.098837
467.00	0.084411
468.00	0.073508
469.00	0.065494
470.00	0.058552
471.00	0.053689
472.00	0.049634
473.00	0.046628
474.00	0.043601
475.00	0.041435
476.00	0.039866
477.00	0.038093
478.00	0.037693
479.00	0.036696
480.00	0.037190
481.00	0.036233
482.00	0.036538
483.00	0.035991
484.00	0.036832
485.00	0.038515
486.00	0.038331
487.00	0.033057
488.00	0.032354
489.00	0.036653
490.00	0.039001
491.00	0.039691
492.00	0.040187
493.00	0.040603
494.00	0.040904
495.00	0.040941
496.00	0.041479
497.00	0.041840
498.00	0.041221
499.00	0.042798
500.00	0.043234
501.00	0.043340
502.00	0.044286
503.00	0.044904
504.00	0.044934
505.00	0.046002
506.00	0.047161
507.00	0.047822
508.00	0.049269
509.00	0.049891
510.00	0.050502
511.00	0.051634
512.00	0.052236
513.00	0.053333
514.00	0.054711
515.00	0.055725
516.00	0.057531
517.00	0.058933
518.00	0.060251
519.00	0.062795
520.00	0.064185
521.00	0.066412
522.00	0.068803
523.00	0.071607
524.00	0.074018
525.00	0.076098
526.00	0.077793
527.00	0.079036
528.00	0.079493
529.00	0.079891
530.00	0.080205
531.00	0.079533
532.00	0.078502
533.00	0.078143
534.00	0.076715
535.00	0.075181
536.00	0.074295
537.00	0.073301
538.00	0.073357
539.00	0.072037
540.00	0.070256
541.00	0.069271
542.00	0.068488
543.00	0.066577
544.00	0.065422
545.00	0.064093
546.00	0.062023
547.00	0.060593
548.00	0.059428
549.00	0.057497
550.00	0.056602
551.00	0.056375
552.00	0.055666
553.00	0.054717
554.00	0.053417
555.00	0.053220
556.00	0.053517
557.00	0.052511
558.00	0.052280
559.00	0.051591
560.00	0.053099
561.00	0.054067
562.00	0.054084
563.00	0.055686
564.00	0.058020
565.00	0.059769
566.00	0.061324
567.00	0.063976
568.00	0.065161
569.00	0.066199
570.00	0.066550
571.00	0.064954
572.00	0.063444
573.00	0.060163
574.00	0.059376
575.00	0.055403
576.00	0.051292
577.00	0.047262
578.00	0.045862
579.00	0.039526
580.00	0.037968
581.00	0.035050
582.00	0.035208
583.00	0.029079
584.00	0.029129
585.00	0.032350
586.00	0.030018
587.00	0.030426
588.00	0.033102
589.00	0.033693
590.00	0.037771
591.00	0.042228
592.00	0.047420
593.00	0.053924
594.00	0.055374
595.00	0.058314
596.00	0.061123
597.00	0.062446
598.00	0.065016
599.00	0.067935
600.00	0.068327
601.00	0.068652
602.00	0.068335
603.00	0.068022
604.00	0.066717
605.00	0.062692
606.00	0.060639
607.00	0.056427
608.00	0.052545
609.00	0.047522
610.00	0.044624
611.00	0.039927
612.00	0.036545
613.00	0.033097
614.00	0.030461
615.00	0.028242
616.00	0.026003
617.00	0.023409
618.00	0.022872
619.00	0.020993
620.00	0.020877
621.00	0.019099
622.00	0.018503
623.00	0.018494
624.00	0.017816
625.00	0.017147
626.00	0.017316
627.00	0.016920
628.00	0.016958
629.00	0.016548
630.00	0.017076
631.00	0.016008
632.00	0.016010
633.00	0.016794
634.00	0.018609
635.00	0.020246
636.00	0.022597
637.00	0.026025
638.00	0.029694
639.00	0.033984
640.00	0.038973
641.00	0.044573
642.00	0.048609
643.00	0.056341
644.00	0.061242
645.00	0.066878
646.00	0.074148
647.00	0.083716
648.00	0.10077
649.00	0.12213
650.00	0.14767
651.00	0.17986
652.00	0.21124
653.00	0.23417
654.00	0.24647
655.00	0.23591
656.00	0.22156
657.00	0.20180
658.00	0.17867
659.00	0.14815
660.00	0.11900
661.00	0.092953
662.00	0.072604
663.00	0.058163
664.00	0.046721
665.00	0.038330
666.00	0.031205
667.00	0.025646
668.00	0.020965
669.00	0.017484
670.00	0.015287
671.00	0.012550
672.00	0.010737
673.00	0.0099051
674.00	0.0081669
675.00	0.0073582
676.00	0.0066053
677.00	0.0060361
678.00	0.0051898
679.00	0.0052456
680.00	0.0048925
681.00	0.0047647
682.00	0.0046429
683.00	0.0043629
684.00	0.0037277
685.00	0.0036140
686.00	0.0040879
687.00	0.0037226
688.00	0.0038119
689.00	0.0032528
690.00	0.0033045
691.00	0.0030326
692.00	0.0030407
693.00	0.0026075
694.00	0.0028966
695.00	0.0022016
696.00	0.0025669
697.00	0.0021914
698.00	0.0027536
699.00	0.0028205
700.00	0.0027434
701.00	0.0023416
702.00	0.0020798
703.00	0.0021143
704.00	0.0025263
705.00	0.0023771
706.00	0.0022280
707.00	0.0020271
708.00	0.0028611
709.00	0.0032203
710.00	0.0026501
711.00	0.0024157
712.00	0.0026389
713.00	0.0020839
714.00	0.0020676
715.00	0.0024380
716.00	0.0028378
717.00	0.0026998
718.00	0.0020981
719.00	0.0022503
720.00	0.0023233
721.00	0.0027120
722.00	0.0021143
723.00	0.0022006
724.00	0.0022097
725.00	0.0022442
726.00	0.0016689
727.00	0.0026095
728.00	0.0021133
729.00	0.0019053
730.00	0.0020179
731.00	0.0014071
732.00	0.0023710
733.00	0.0025689
734.00	0.0014253
735.00	0.0017927
736.00	0.0019165
737.00	0.0019367
738.00	0.0026217
739.00	0.0018627
740.00	0.0015816
741.00	0.0030559
742.00	0.0020829
743.00	0.0015197
744.00	0.0022067
745.00	0.0012346
746.00	0.0017521
747.00	0.0015562
748.00	0.0016303
749.00	0.0017511
750.00	0.00088553
