Wavelength (nm)	L329 ZnCIm (SE358).ems
650.80	0.13953
651.00	0.14380
651.20	0.15614
651.40	0.16089
651.60	0.17430
651.80	0.17449
652.00	0.19079
652.20	0.19885
652.40	0.20945
652.60	0.21944
652.80	0.22858
653.00	0.24716
653.20	0.25860
653.40	0.27204
653.60	0.28595
653.80	0.29393
654.00	0.31078
654.20	0.32615
654.40	0.34292
654.60	0.35775
654.80	0.37747
655.00	0.39638
655.20	0.41086
655.40	0.42829
655.60	0.44944
655.80	0.46197
656.00	0.48054
656.20	0.49368
656.40	0.52101
656.60	0.53778
656.80	0.55622
657.00	0.57716
657.20	0.59245
657.40	0.60787
657.60	0.62712
657.80	0.65339
658.00	0.66984
658.20	0.69380
658.40	0.70854
658.60	0.72171
658.80	0.74981
659.00	0.76119
659.20	0.77791
659.40	0.79582
659.60	0.81222
659.80	0.82745
660.00	0.84230
660.20	0.85624
660.40	0.87542
660.60	0.89324
660.80	0.90044
661.00	0.91596
661.20	0.93013
661.40	0.93134
661.60	0.94038
661.80	0.95921
662.00	0.96858
662.20	0.96653
662.40	0.97214
662.60	0.97935
662.80	0.98181
663.00	0.99482
663.20	0.99894
663.40	0.99293
663.60	0.99803
663.80	1.0000
664.00	0.98770
664.20	0.99194
664.40	0.98599
664.60	0.98005
664.80	0.97837
665.00	0.98115
665.20	0.97019
665.40	0.95803
665.60	0.96422
665.80	0.94240
666.00	0.93627
666.20	0.92756
666.40	0.91176
666.60	0.91280
666.80	0.90108
667.00	0.88358
667.20	0.88955
667.40	0.86783
667.60	0.85082
667.80	0.84810
668.00	0.82984
668.20	0.81136
668.40	0.79184
668.60	0.77872
668.80	0.77121
669.00	0.75117
669.20	0.74317
669.40	0.73267
669.60	0.71562
669.80	0.69488
670.00	0.67832
670.20	0.66341
670.40	0.65546
670.60	0.64249
670.80	0.63214
671.00	0.61734
671.20	0.59476
671.40	0.58544
671.60	0.57264
671.80	0.56227
672.00	0.54713
672.20	0.53372
672.40	0.52940
672.60	0.51111
672.80	0.49918
673.00	0.48444
673.20	0.47978
673.40	0.46416
673.60	0.45402
673.80	0.43810
674.00	0.42910
674.20	0.41644
674.40	0.41431
674.60	0.39499
674.80	0.39232
675.00	0.38427
675.20	0.36680
675.40	0.36771
675.60	0.35451
675.80	0.34529
676.00	0.33946
676.20	0.33367
676.40	0.32586
676.60	0.31297
676.80	0.31063
677.00	0.30109
677.20	0.29425
677.40	0.28347
677.60	0.27947
677.80	0.27074
678.00	0.26878
678.20	0.25955
678.40	0.26668
678.60	0.25552
678.80	0.25034
679.00	0.25017
679.20	0.23495
679.40	0.23328
679.60	0.22350
679.80	0.22330
680.00	0.22107
680.20	0.21485
680.40	0.20879
680.60	0.20479
680.80	0.20309
681.00	0.19696
681.20	0.19806
681.40	0.18958
681.60	0.18599
681.80	0.18345
682.00	0.17836
682.20	0.17990
682.40	0.17457
682.60	0.16915
682.80	0.16891
683.00	0.16375
683.20	0.15781
683.40	0.15738
683.60	0.15385
683.80	0.15403
684.00	0.14545
684.20	0.14743
684.40	0.14600
684.60	0.13823
684.80	0.14348
685.00	0.13864
685.20	0.13322
685.40	0.13430
685.60	0.13318
685.80	0.12433
686.00	0.12286
686.20	0.12725
686.40	0.12200
686.60	0.12277
686.80	0.11722
687.00	0.11558
687.20	0.11387
687.40	0.11211
687.60	0.11116
687.80	0.10795
688.00	0.10769
688.20	0.10878
688.40	0.10811
688.60	0.10553
688.80	0.10652
689.00	0.099930
689.20	0.099880
689.40	0.099560
689.60	0.10176
689.80	0.10113
690.00	0.098820
690.20	0.095380
690.40	0.098330
690.60	0.095520
690.80	0.094500
691.00	0.092640
691.20	0.094860
691.40	0.094680
691.60	0.089790
691.80	0.089940
692.00	0.091450
692.20	0.093050
692.40	0.088850
692.60	0.089670
692.80	0.093600
693.00	0.088970
693.20	0.089390
693.40	0.090180
693.60	0.085960
693.80	0.086900
694.00	0.089520
694.20	0.088720
694.40	0.087980
694.60	0.090520
694.80	0.086550
695.00	0.085850
695.20	0.086620
695.40	0.086720
695.60	0.085710
695.80	0.087290
696.00	0.087700
696.20	0.085990
696.40	0.087540
696.60	0.086790
696.80	0.085950
697.00	0.082440
697.20	0.084420
697.40	0.084710
697.60	0.089020
697.80	0.085310
698.00	0.085320
698.20	0.089200
698.40	0.084070
698.60	0.084760
698.80	0.087380
699.00	0.086830
699.20	0.085020
699.40	0.088400
699.60	0.085970
699.80	0.083980
700.00	0.083470
700.20	0.084000
700.40	0.084710
700.60	0.085970
700.80	0.085270
701.00	0.086620
701.20	0.086580
701.40	0.085310
701.60	0.087210
701.80	0.086730
702.00	0.088010
702.20	0.087080
702.40	0.085190
702.60	0.085450
702.80	0.087180
703.00	0.089420
703.20	0.088220
703.40	0.086430
703.60	0.087950
703.80	0.087310
704.00	0.085790
704.20	0.090380
704.40	0.089990
704.60	0.089240
704.80	0.090840
705.00	0.085840
705.20	0.089140
705.40	0.089210
705.60	0.085900
705.80	0.089100
706.00	0.091800
706.20	0.092790
706.40	0.093220
706.60	0.091660
706.80	0.094130
707.00	0.092060
707.20	0.092310
707.40	0.092550
707.60	0.093040
707.80	0.094490
708.00	0.093870
708.20	0.097740
708.40	0.098170
708.60	0.096920
708.80	0.096040
709.00	0.096890
709.20	0.097050
709.40	0.098390
709.60	0.097100
709.80	0.097960
710.00	0.095020
710.20	0.10025
710.40	0.099640
710.60	0.098390
710.80	0.10242
711.00	0.10339
711.20	0.10162
711.40	0.099720
711.60	0.10407
711.80	0.10020
712.00	0.10148
712.20	0.10385
712.40	0.10058
712.60	0.10482
712.80	0.10471
713.00	0.10330
713.20	0.10443
713.40	0.10614
713.60	0.10748
713.80	0.10642
714.00	0.10567
714.20	0.10599
714.40	0.10664
714.60	0.10579
714.80	0.11284
715.00	0.10508
715.20	0.10496
715.40	0.10718
715.60	0.10523
715.80	0.11036
716.00	0.10981
716.20	0.10726
716.40	0.11008
716.60	0.10688
716.80	0.10827
717.00	0.11343
717.20	0.10752
717.40	0.11520
717.60	0.11050
717.80	0.10986
718.00	0.11220
718.20	0.11521
718.40	0.11231
718.60	0.11077
718.80	0.11033
719.00	0.11280
719.20	0.11846
719.40	0.11435
719.60	0.11715
719.80	0.11373
720.00	0.11451
720.20	0.11605
720.40	0.11262
720.60	0.11762
720.80	0.11761
721.00	0.11857
721.20	0.11606
721.40	0.12022
721.60	0.11900
721.80	0.11744
722.00	0.12128
722.20	0.12243
722.40	0.12233
722.60	0.11545
722.80	0.12027
723.00	0.11989
723.20	0.11945
723.40	0.12727
723.60	0.11843
723.80	0.12301
724.00	0.12112
724.20	0.11999
724.40	0.12213
724.60	0.12202
724.80	0.12000
725.00	0.12168
725.20	0.11811
725.40	0.12218
725.60	0.12578
725.80	0.12045
726.00	0.11798
726.20	0.12617
726.40	0.12461
726.60	0.12315
726.80	0.12176
727.00	0.12139
727.20	0.12454
727.40	0.12266
727.60	0.12422
727.80	0.12293
728.00	0.11795
728.20	0.12028
728.40	0.11629
728.60	0.12030
728.80	0.12001
729.00	0.11934
729.20	0.11764
729.40	0.11552
729.60	0.11490
729.80	0.11350
730.00	0.11677
730.20	0.11673
730.40	0.11447
730.60	0.11820
730.80	0.11910
731.00	0.11438
731.20	0.11873
731.40	0.11470
731.60	0.11566
731.80	0.11489
732.00	0.11390
732.20	0.11411
732.40	0.11652
732.60	0.11641
732.80	0.10852
733.00	0.11448
733.20	0.11236
733.40	0.11113
733.60	0.11698
733.80	0.11056
734.00	0.11019
734.20	0.11028
734.40	0.11124
734.60	0.11322
734.80	0.10850
735.00	0.10902
735.20	0.11177
735.40	0.10897
735.60	0.10366
735.80	0.10616
736.00	0.10882
736.20	0.10995
736.40	0.10425
736.60	0.10434
736.80	0.10241
737.00	0.10384
737.20	0.10115
737.40	0.10450
737.60	0.096280
737.80	0.099290
738.00	0.10159
738.20	0.10237
738.40	0.099100
738.60	0.093200
738.80	0.099060
739.00	0.099930
739.20	0.10097
739.40	0.097350
739.60	0.094760
739.80	0.097020
740.00	0.099840
740.20	0.097150
740.40	0.097670
740.60	0.090280
740.80	0.092600
741.00	0.091960
741.20	0.088910
741.40	0.086100
741.60	0.089110
741.80	0.088860
742.00	0.088320
742.20	0.081890
742.40	0.079020
742.60	0.078830
742.80	0.077460
743.00	0.081540
743.20	0.081630
743.40	0.077190
743.60	0.078050
743.80	0.082080
744.00	0.079580
744.20	0.074460
744.40	0.080210
744.60	0.078110
744.80	0.073210
745.00	0.073330
745.20	0.072190
745.40	0.074730
745.60	0.073460
745.80	0.069500
746.00	0.070560
746.20	0.067250
746.40	0.066110
746.60	0.064160
746.80	0.064230
747.00	0.063040
747.20	0.059810
747.40	0.058350
747.60	0.058530
747.80	0.059090
748.00	0.057670
748.20	0.059620
748.40	0.054110
748.60	0.054130
748.80	0.056460
749.00	0.055260
749.20	0.056500
749.40	0.053100
749.60	0.053300
749.80	0.048910
750.00	0.047500
750.20	0.045420
750.40	0.048690
750.60	0.043150
750.80	0.045990
751.00	0.045200
751.20	0.044670
751.40	0.041510
751.60	0.043270
751.80	0.043190
752.00	0.045130
752.20	0.043630
752.40	0.041380
752.60	0.037340
752.80	0.039100
753.00	0.035650
753.20	0.038980
753.40	0.038670
753.60	0.038160
753.80	0.036510
754.00	0.034380
754.20	0.037320
754.40	0.031760
754.60	0.031930
754.80	0.031070
755.00	0.033180
755.20	0.032310
755.40	0.031760
755.60	0.028320
755.80	0.030230
756.00	0.030290
756.20	0.028960
756.40	0.027890
756.60	0.027550
756.80	0.029020
757.00	0.027850
757.20	0.028010
757.40	0.025890
757.60	0.027090
757.80	0.025560
758.00	0.023550
758.20	0.024540
758.40	0.023850
758.60	0.022710
758.80	0.025920
759.00	0.025810
759.20	0.024760
759.40	0.027380
759.60	0.025380
759.80	0.022950
760.00	0.022920
760.20	0.020610
760.40	0.022020
760.60	0.021790
760.80	0.020190
761.00	0.020430
761.20	0.019730
761.40	0.021930
761.60	0.021070
761.80	0.020870
762.00	0.021330
762.20	0.018520
762.40	0.018760
762.60	0.019810
762.80	0.020710
763.00	0.019890
763.20	0.017540
763.40	0.017920
763.60	0.017230
763.80	0.018080
764.00	0.019270
764.20	0.018000
764.40	0.016630
764.60	0.016230
764.80	0.018090
765.00	0.016840
765.20	0.017750
765.40	0.016990
765.60	0.017810
765.80	0.015800
766.00	0.016550
766.20	0.017130
766.40	0.014820
766.60	0.016980
766.80	0.014090
767.00	0.016850
767.20	0.016620
767.40	0.014260
767.60	0.015150
767.80	0.014790
768.00	0.016970
768.20	0.016680
768.40	0.013950
768.60	0.013740
768.80	0.017350
769.00	0.013980
769.20	0.015900
769.40	0.015770
769.60	0.015270
769.80	0.014590
770.00	0.017490
770.20	0.014870
770.40	0.015470
770.60	0.015570
770.80	0.015910
771.00	0.014050
771.20	0.013270
771.40	0.011280
771.60	0.013930
771.80	0.014480
772.00	0.014360
772.20	0.015160
772.40	0.012490
772.60	0.012990
772.80	0.013420
773.00	0.014140
773.20	0.012290
773.40	0.014010
773.60	0.011930
773.80	0.012800
774.00	0.013920
774.20	0.012580
774.40	0.012730
774.60	0.013070
774.80	0.014400
775.00	0.012150
775.20	0.012740
775.40	0.013160
775.60	0.012980
775.80	0.010920
776.00	0.012000
776.20	0.012130
776.40	0.012940
776.60	0.012350
776.80	0.012330
777.00	0.011660
777.20	0.011770
777.40	0.012860
777.60	0.012610
777.80	0.012380
778.00	0.011640
778.20	0.012650
778.40	0.011470
778.60	0.010760
778.80	0.010950
779.00	0.013080
779.20	0.010640
779.40	0.012550
779.60	0.011690
779.80	0.012360
780.00	0.011780
780.20	0.013820
780.40	0.010890
780.60	0.013520
780.80	0.011410
781.00	0.011940
781.20	0.012360
781.40	0.011500
781.60	0.011440
781.80	0.011450
782.00	0.012380
782.20	0.011700
782.40	0.0098900
782.60	0.011040
782.80	0.011790
783.00	0.011140
783.20	0.010820
783.40	0.011830
783.60	0.011230
783.80	0.010440
784.00	0.010090
784.20	0.011160
784.40	0.012180
784.60	0.0094500
784.80	0.0096400
785.00	0.010890
785.20	0.011700
785.40	0.0099700
785.60	0.010810
785.80	0.012350
786.00	0.010800
786.20	0.010010
786.40	0.013390
786.60	0.011830
786.80	0.010150
787.00	0.010940
787.20	0.011620
787.40	0.010960
787.60	0.010590
787.80	0.011880
788.00	0.0099800
788.20	0.0088800
788.40	0.010360
788.60	0.011690
788.80	0.0093200
789.00	0.010800
789.20	0.011270
789.40	0.011480
789.60	0.0089800
789.80	0.0086900
790.00	0.010980
790.20	0.0095400
790.40	0.010530
790.60	0.011400
790.80	0.0086900
791.00	0.0098200
791.20	0.010690
791.40	0.0090800
791.60	0.0097000
791.80	0.011540
792.00	0.0089300
792.20	0.012250
792.40	0.0083300
792.60	0.011450
792.80	0.010390
793.00	0.012890
793.20	0.010560
793.40	0.011470
793.60	0.011130
793.80	0.0098000
794.00	0.0098300
794.20	0.0084000
794.40	0.010390
794.60	0.010240
794.80	0.0090700
795.00	0.010760
795.20	0.010490
795.40	0.010150
795.60	0.0089300
795.80	0.0080900
796.00	0.010210
796.20	0.010030
796.40	0.0086800
796.60	0.0096300
796.80	0.010130
797.00	0.0089000
797.20	0.012090
797.40	0.0097600
797.60	0.010170
797.80	0.0089700
798.00	0.010180
798.20	0.0088400
798.40	0.010120
798.60	0.010190
798.80	0.0082600
799.00	0.0099000
799.20	0.010210
799.40	0.011400
799.60	0.0077900
799.80	0.0082700
800.00	0.0081600
