Wavelength (nm)	L120 Zn-8c
681.00	0.00081678
682.00	0.00070632
683.00	0.00079837
684.00	0.00065277
685.00	0.0010427
686.00	0.00089543
687.00	0.00079251
688.00	0.00077368
689.00	0.00093727
690.00	0.00078456
691.00	0.00096070
692.00	0.0010569
693.00	0.0012055
694.00	0.00096991
695.00	0.0012159
696.00	0.00099501
697.00	0.0011092
698.00	0.0012402
699.00	0.0010845
700.00	0.0012619
