Wavelength (nm)	L214 FbC-P3M10P13 (SE245).abs
392.60	0.55852
392.80	0.56591
393.00	0.57346
393.20	0.58170
393.40	0.58998
393.60	0.59807
393.80	0.60615
394.00	0.61444
394.20	0.62231
394.40	0.63028
394.60	0.63904
394.80	0.64697
395.00	0.65486
395.20	0.66345
395.40	0.67136
395.60	0.67903
395.80	0.68694
396.00	0.69502
396.20	0.70260
396.40	0.71027
396.60	0.71775
396.80	0.72478
397.00	0.73158
397.20	0.73864
397.40	0.74527
397.60	0.75162
397.80	0.75776
398.00	0.76386
398.20	0.76942
398.40	0.77453
398.60	0.78015
398.80	0.78486
399.00	0.78914
399.20	0.79406
399.40	0.79795
399.60	0.80118
399.80	0.80514
400.00	0.80844
400.20	0.81115
400.40	0.81395
400.60	0.81707
400.80	0.81882
401.00	0.82098
401.20	0.82288
401.40	0.82502
401.60	0.82617
401.80	0.82759
402.00	0.82891
402.20	0.82988
402.40	0.83100
402.60	0.83225
402.80	0.83291
403.00	0.83355
403.20	0.83460
403.40	0.83556
403.60	0.83579
403.80	0.83658
404.00	0.83753
404.20	0.83814
404.40	0.83884
404.60	0.83990
404.80	0.84081
405.00	0.84145
405.20	0.84286
405.40	0.84380
405.60	0.84451
405.80	0.84590
406.00	0.84753
406.20	0.84871
406.40	0.85012
406.60	0.85160
406.80	0.85301
407.00	0.85450
407.20	0.85661
407.40	0.85822
407.60	0.85986
407.80	0.86182
408.00	0.86413
408.20	0.86587
408.40	0.86773
408.60	0.87015
408.80	0.87267
409.00	0.87433
409.20	0.87703
409.40	0.87959
409.60	0.88192
409.80	0.88441
410.00	0.88736
410.20	0.88988
410.40	0.89246
410.60	0.89582
410.80	0.89850
411.00	0.90111
411.20	0.90446
411.40	0.90822
411.60	0.91097
411.80	0.91449
412.00	0.91841
412.20	0.92152
412.40	0.92500
412.60	0.92901
412.80	0.93278
413.00	0.93620
413.20	0.94024
413.40	0.94448
413.60	0.94791
413.80	0.95179
414.00	0.95600
414.20	0.95934
414.40	0.96309
414.60	0.96724
414.80	0.97099
415.00	0.97404
415.20	0.97704
415.40	0.98083
415.60	0.98378
415.80	0.98651
416.00	0.98951
416.20	0.99139
416.40	0.99355
416.60	0.99584
416.80	0.99720
417.00	0.99820
417.20	0.99900
417.40	1.00000
417.60	0.99999
417.80	0.99926
418.00	0.99873
418.20	0.99745
418.40	0.99517
418.60	0.99299
418.80	0.98998
419.00	0.98606
419.20	0.98197
419.40	0.97714
419.60	0.97083
419.80	0.96506
420.00	0.95793
420.20	0.95004
420.40	0.94078
420.60	0.93182
420.80	0.92180
421.00	0.91033
421.20	0.89865
421.40	0.88634
421.60	0.87271
421.80	0.85887
422.00	0.84457
422.20	0.82889
422.40	0.81265
422.60	0.79631
422.80	0.77929
423.00	0.76093
423.20	0.74228
423.40	0.72434
423.60	0.70524
423.80	0.68585
424.00	0.66614
424.20	0.64662
424.40	0.62621
424.60	0.60670
424.80	0.58641
425.00	0.56638
425.20	0.54635
425.40	0.52717
425.60	0.50705
425.80	0.48802
426.00	0.46942
426.20	0.45063
426.40	0.43173
426.60	0.41439
426.80	0.39702
427.00	0.37979
427.20	0.36286
427.40	0.34692
427.60	0.33141
427.80	0.31594
428.00	0.30146
428.20	0.28727
428.40	0.27332
428.60	0.26082
428.80	0.24806
429.00	0.23566
429.20	0.22380
429.40	0.21370
429.60	0.20264
429.80	0.19235
430.00	0.18282
430.20	0.17424
430.40	0.16521
430.60	0.15707
430.80	0.14940
431.00	0.14151
431.20	0.13410
431.40	0.12783
431.60	0.12150
431.80	0.11478
432.00	0.10978
432.20	0.10432
432.40	0.098771
432.60	0.094493
432.80	0.090065
433.00	0.085367
433.20	0.081289
433.40	0.077721
433.60	0.074303
433.80	0.070475
434.00	0.067986
434.20	0.064688
434.40	0.061579
434.60	0.059230
434.80	0.056662
435.00	0.054273
435.20	0.052114
435.40	0.050375
435.60	0.048176
435.80	0.046507
436.00	0.044948
436.20	0.043408
436.40	0.041459
436.60	0.040290
436.80	0.039240
437.00	0.037691
437.20	0.036382
437.40	0.035742
437.60	0.034563
437.80	0.033293
438.00	0.032344
438.20	0.031514
438.40	0.030695
438.60	0.029545
438.80	0.029295
439.00	0.028436
439.20	0.027786
439.40	0.027296
439.60	0.026737
439.80	0.026037
440.00	0.026007
440.20	0.025487
440.40	0.024438
440.60	0.024588
440.80	0.024518
441.00	0.023808
441.20	0.023328
441.40	0.023268
441.60	0.023268
441.80	0.022379
442.00	0.022369
442.20	0.022319
442.40	0.021819
442.60	0.021649
442.80	0.021749
443.00	0.021449
443.20	0.020990
443.40	0.020770
443.60	0.020510
443.80	0.020080
444.00	0.020270
444.20	0.020440
444.40	0.019720
444.60	0.019570
444.80	0.019960
445.00	0.019540
445.20	0.019570
445.40	0.019850
445.60	0.019290
445.80	0.019100
446.00	0.019320
446.20	0.019550
446.40	0.018901
446.60	0.019500
446.80	0.019310
447.00	0.019250
447.20	0.018871
447.40	0.019200
447.60	0.019610
447.80	0.018871
448.00	0.019120
448.20	0.019540
448.40	0.019120
448.60	0.019240
448.80	0.019410
449.00	0.019300
449.20	0.019190
449.40	0.019500
449.60	0.019470
449.80	0.019410
450.00	0.019800
450.20	0.020160
450.40	0.019730
450.60	0.019580
450.80	0.019980
451.00	0.020140
451.20	0.019740
451.40	0.020130
451.60	0.020380
451.80	0.019700
452.00	0.019980
452.20	0.020490
452.40	0.020130
452.60	0.019700
452.80	0.020710
453.00	0.020280
453.20	0.020250
453.40	0.020290
453.60	0.020850
453.80	0.020350
454.00	0.020580
454.20	0.020810
454.40	0.020380
454.60	0.020330
454.80	0.021199
455.00	0.020600
455.20	0.020680
455.40	0.020950
455.60	0.021229
455.80	0.020710
456.00	0.020910
456.20	0.021259
456.40	0.021099
456.60	0.020850
456.80	0.021629
457.00	0.021369
457.20	0.021029
457.40	0.021349
457.60	0.021399
457.80	0.021449
458.00	0.021579
458.20	0.022129
458.40	0.021519
458.60	0.021369
458.80	0.022079
459.00	0.021939
459.20	0.021539
459.40	0.021989
459.60	0.022189
459.80	0.021889
460.00	0.022039
460.20	0.022239
460.40	0.022329
460.60	0.021689
460.80	0.022319
461.00	0.022539
461.20	0.021889
461.40	0.022319
461.60	0.022399
461.80	0.022409
462.00	0.022049
462.20	0.022559
462.40	0.022609
462.60	0.022429
462.80	0.022269
463.00	0.022529
463.20	0.022019
463.40	0.022289
463.60	0.022459
463.80	0.022079
464.00	0.022059
464.20	0.022539
464.40	0.022259
464.60	0.022109
464.80	0.022329
465.00	0.022309
465.20	0.021869
465.40	0.021929
465.60	0.022219
465.80	0.022329
466.00	0.021999
466.20	0.022259
466.40	0.022319
466.60	0.022019
466.80	0.022199
467.00	0.022159
467.20	0.021869
467.40	0.022019
467.60	0.022569
467.80	0.022119
468.00	0.022059
468.20	0.022139
468.40	0.022269
468.60	0.022219
468.80	0.022119
469.00	0.022589
469.20	0.022209
469.40	0.021949
469.60	0.022449
469.80	0.022249
470.00	0.022039
470.20	0.022639
470.40	0.022819
470.60	0.022349
470.80	0.022789
471.00	0.022979
471.20	0.022549
471.40	0.022539
471.60	0.023008
471.80	0.023138
472.00	0.022759
472.20	0.023428
472.40	0.023308
472.60	0.023478
472.80	0.023358
473.00	0.024018
473.20	0.023998
473.40	0.023718
473.60	0.024128
473.80	0.023898
474.00	0.024058
474.20	0.024448
474.40	0.024538
474.60	0.024448
474.80	0.024548
475.00	0.025237
475.20	0.024888
475.40	0.024918
475.60	0.025127
475.80	0.025577
476.00	0.025147
476.20	0.025757
476.40	0.026297
476.60	0.025927
476.80	0.026187
477.00	0.026547
477.20	0.026277
477.40	0.026527
477.60	0.026987
477.80	0.026907
478.00	0.026677
478.20	0.027486
478.40	0.027226
478.60	0.027506
478.80	0.027656
479.00	0.027976
479.20	0.028036
479.40	0.027826
479.60	0.028846
479.80	0.028476
480.00	0.028216
480.20	0.028866
480.40	0.029015
480.60	0.028986
480.80	0.029115
481.00	0.029775
481.20	0.029765
481.40	0.029635
481.60	0.030295
481.80	0.030365
482.00	0.030265
482.20	0.031044
482.40	0.031004
482.60	0.030975
482.80	0.031564
483.00	0.032024
483.20	0.031964
483.40	0.032114
483.60	0.032764
483.80	0.032854
484.00	0.032764
484.20	0.033373
484.40	0.033963
484.60	0.033823
484.80	0.034433
485.00	0.035022
485.20	0.035132
485.40	0.035442
485.60	0.035942
485.80	0.036582
486.00	0.036502
486.20	0.037191
486.40	0.037771
486.60	0.037781
486.80	0.038201
487.00	0.039140
487.20	0.039680
487.40	0.039950
487.60	0.040600
487.80	0.041669
488.00	0.041829
488.20	0.042959
488.40	0.043608
488.60	0.043958
488.80	0.044698
489.00	0.045797
489.20	0.046337
489.40	0.046907
489.60	0.048276
489.80	0.048996
490.00	0.049415
490.20	0.050535
490.40	0.051804
490.60	0.052164
490.80	0.053063
491.00	0.054193
491.20	0.055252
491.40	0.055742
491.60	0.057211
491.80	0.058271
492.00	0.058721
492.20	0.059670
492.40	0.061039
492.60	0.061689
492.80	0.062479
493.00	0.063868
493.20	0.064548
493.40	0.065337
493.60	0.066537
493.80	0.067756
494.00	0.067826
494.20	0.068916
494.40	0.070115
494.60	0.070855
494.80	0.071544
495.00	0.072754
495.20	0.073183
495.40	0.073493
495.60	0.074753
495.80	0.075522
496.00	0.076082
496.20	0.076662
496.40	0.077711
496.60	0.078351
496.80	0.078461
497.00	0.079390
497.20	0.079680
497.40	0.079980
497.60	0.080680
497.80	0.081209
498.00	0.081239
498.20	0.081949
498.40	0.082569
498.60	0.082599
498.80	0.082959
499.00	0.083598
499.20	0.084018
499.40	0.083938
499.60	0.084708
499.80	0.085127
500.00	0.085087
500.20	0.085257
500.40	0.085837
500.60	0.086257
500.80	0.086277
501.00	0.086877
501.20	0.087446
501.40	0.087426
501.60	0.088296
501.80	0.088626
502.00	0.088756
502.20	0.089295
502.40	0.090025
502.60	0.090275
502.80	0.090555
503.00	0.091034
503.20	0.091404
503.40	0.091514
503.60	0.091974
503.80	0.092814
504.00	0.092764
504.20	0.093433
504.40	0.094033
504.60	0.094423
504.80	0.094583
505.00	0.095202
505.20	0.095642
505.40	0.095332
505.60	0.096092
505.80	0.096692
506.00	0.096692
506.20	0.096702
506.40	0.097151
506.60	0.097151
506.80	0.097011
507.00	0.097481
507.20	0.097561
507.40	0.097321
507.60	0.097281
507.80	0.097381
508.00	0.096922
508.20	0.096492
508.40	0.096532
508.60	0.096122
508.80	0.095342
509.00	0.095562
509.20	0.095052
509.40	0.094063
509.60	0.093663
509.80	0.093583
510.00	0.092424
510.20	0.091764
510.40	0.091284
510.60	0.090385
510.80	0.088856
511.00	0.088396
511.20	0.087746
511.40	0.086227
511.60	0.084938
511.80	0.084048
512.00	0.082989
512.20	0.081659
512.40	0.081039
512.60	0.079600
512.80	0.077991
513.00	0.076762
513.20	0.075982
513.40	0.074243
513.60	0.072994
513.80	0.071914
514.00	0.070505
514.20	0.068756
514.40	0.067746
514.60	0.066687
514.80	0.064898
515.00	0.063868
515.20	0.062899
515.40	0.061159
515.60	0.059680
515.80	0.058671
516.00	0.057221
516.20	0.055772
516.40	0.054863
516.60	0.053583
516.80	0.052154
517.00	0.050985
517.20	0.049945
517.40	0.048626
517.60	0.047306
517.80	0.046557
518.00	0.045197
518.20	0.043998
518.40	0.043488
518.60	0.042269
518.80	0.040990
519.00	0.040160
519.20	0.039380
519.40	0.038371
519.60	0.037531
519.80	0.037201
520.00	0.036222
520.20	0.034993
520.40	0.034533
520.60	0.034043
520.80	0.033143
521.00	0.032494
521.20	0.032264
521.40	0.031214
521.60	0.030345
521.80	0.030255
522.00	0.029505
522.20	0.028826
522.40	0.028596
522.60	0.028266
522.80	0.027566
523.00	0.027226
523.20	0.027226
523.40	0.026207
523.60	0.025947
523.80	0.026157
524.00	0.025757
524.20	0.025167
524.40	0.025197
524.60	0.025187
524.80	0.024668
525.00	0.024788
525.20	0.024958
525.40	0.024728
525.60	0.024518
525.80	0.024748
526.00	0.024718
526.20	0.024718
526.40	0.024688
526.60	0.025157
526.80	0.025047
527.00	0.025267
527.20	0.025387
527.40	0.025687
527.60	0.025657
527.80	0.026107
528.00	0.026457
528.20	0.026417
528.40	0.026887
528.60	0.027356
528.80	0.027396
529.00	0.027936
529.20	0.028616
529.40	0.028816
529.60	0.029125
529.80	0.029955
530.00	0.030105
530.20	0.030455
530.40	0.030755
530.60	0.031674
530.80	0.032044
531.00	0.032214
531.20	0.033053
531.40	0.033313
531.60	0.033363
531.80	0.034373
532.00	0.034673
532.20	0.034683
532.40	0.035442
532.60	0.035992
532.80	0.036142
533.00	0.036412
533.20	0.036852
533.40	0.037041
533.60	0.037011
533.80	0.037621
534.00	0.037471
534.20	0.037531
534.40	0.037541
534.60	0.038151
534.80	0.037931
535.00	0.037651
535.20	0.037971
535.40	0.037581
535.60	0.037271
535.80	0.037441
536.00	0.037371
536.20	0.037021
536.40	0.036632
536.60	0.036972
536.80	0.036292
537.00	0.035862
537.20	0.035812
537.40	0.035632
537.60	0.034683
537.80	0.034593
538.00	0.034603
538.20	0.033503
538.40	0.033103
538.60	0.033293
538.80	0.032434
539.00	0.031654
539.20	0.031564
539.40	0.031224
539.60	0.030465
539.80	0.030175
540.00	0.029775
540.20	0.028926
540.40	0.028466
540.60	0.028616
540.80	0.027986
541.00	0.027316
541.20	0.027116
541.40	0.026697
541.60	0.026147
541.80	0.025717
542.00	0.025577
542.20	0.025077
542.40	0.024488
542.60	0.024868
542.80	0.023918
543.00	0.023488
543.20	0.023388
543.40	0.023108
543.60	0.022519
543.80	0.022709
544.00	0.022399
544.20	0.022039
544.40	0.021579
544.60	0.021809
544.80	0.021259
545.00	0.020960
545.20	0.021299
545.40	0.021049
545.60	0.020680
545.80	0.020500
546.00	0.020660
546.20	0.019740
546.40	0.019760
546.60	0.020220
546.80	0.019780
547.00	0.019450
547.20	0.019450
547.40	0.019630
547.60	0.019100
547.80	0.018881
548.00	0.018921
548.20	0.018691
548.40	0.018511
548.60	0.018651
548.80	0.018471
549.00	0.018151
549.20	0.018321
549.40	0.018251
549.60	0.017861
549.80	0.017851
550.00	0.018081
550.20	0.017501
550.40	0.017441
550.60	0.017211
550.80	0.017211
551.00	0.016792
551.20	0.017101
551.40	0.016812
551.60	0.016472
551.80	0.016242
552.00	0.016542
552.20	0.016032
552.40	0.015882
552.60	0.015792
552.80	0.015982
553.00	0.015032
553.20	0.015482
553.40	0.015532
553.60	0.014933
553.80	0.014963
554.00	0.015042
554.20	0.014723
554.40	0.014403
554.60	0.014563
554.80	0.014263
555.00	0.013803
555.20	0.013913
555.40	0.014003
555.60	0.013853
555.80	0.013563
556.00	0.013443
556.20	0.013023
556.40	0.012504
556.60	0.013093
556.80	0.012474
557.00	0.012044
557.20	0.012244
557.40	0.012164
557.60	0.012024
557.80	0.011864
558.00	0.011824
558.20	0.011364
558.40	0.011084
558.60	0.011304
558.80	0.011084
559.00	0.010835
559.20	0.010785
559.40	0.010925
559.60	0.010335
559.80	0.010355
560.00	0.010375
560.20	0.0099750
560.40	0.010065
560.60	0.010095
560.80	0.0098051
561.00	0.0092754
561.20	0.0093953
561.40	0.0097251
561.60	0.0093653
561.80	0.0090455
562.00	0.0090855
562.20	0.0092054
562.40	0.0084758
562.60	0.0086957
562.80	0.0090355
563.00	0.0084358
563.20	0.0086257
563.40	0.0086857
563.60	0.0080760
563.80	0.0083158
564.00	0.0085157
564.20	0.0080360
564.40	0.0078861
564.60	0.0080560
564.80	0.0080360
565.00	0.0075762
565.20	0.0076462
565.40	0.0078261
565.60	0.0077061
565.80	0.0076062
566.00	0.0078361
566.20	0.0075062
566.40	0.0074463
566.60	0.0074063
566.80	0.0076762
567.00	0.0072464
567.20	0.0073363
567.40	0.0074963
567.60	0.0073963
567.80	0.0072064
568.00	0.0074763
568.20	0.0071264
568.40	0.0068666
568.60	0.0072864
568.80	0.0071664
569.00	0.0068366
569.20	0.0067066
569.40	0.0071764
569.60	0.0067666
569.80	0.0065267
570.00	0.0070765
570.20	0.0067966
570.40	0.0066767
570.60	0.0070465
570.80	0.0068266
571.00	0.0064868
571.20	0.0068966
571.40	0.0067466
571.60	0.0066567
571.80	0.0064868
572.00	0.0069365
572.20	0.0069065
572.40	0.0064268
572.60	0.0067666
572.80	0.0068466
573.00	0.0064568
573.20	0.0067166
573.40	0.0068966
573.60	0.0065867
573.80	0.0065967
574.00	0.0068566
574.20	0.0065467
574.40	0.0063868
574.60	0.0068766
574.80	0.0071364
575.00	0.0066567
575.20	0.0066967
575.40	0.0067166
575.60	0.0064168
575.80	0.0066567
576.00	0.0065067
576.20	0.0068466
576.40	0.0064268
576.60	0.0066967
576.80	0.0069165
577.00	0.0065167
577.20	0.0068666
577.40	0.0071164
577.60	0.0067066
577.80	0.0067366
578.00	0.0071664
578.20	0.0072664
578.40	0.0071664
578.60	0.0073463
578.80	0.0073763
579.00	0.0070765
579.20	0.0072064
579.40	0.0074763
579.60	0.0072064
579.80	0.0074963
580.00	0.0078161
580.20	0.0076762
580.40	0.0077361
580.60	0.0079960
580.80	0.0079460
581.00	0.0078661
581.20	0.0082859
581.40	0.0085557
581.60	0.0082659
581.80	0.0085457
582.00	0.0090155
582.20	0.0092554
582.40	0.0084958
582.60	0.0092154
582.80	0.0095052
583.00	0.0093453
583.20	0.0097651
583.40	0.010185
583.60	0.010005
583.80	0.010035
584.00	0.010605
584.20	0.010775
584.40	0.010835
584.60	0.011444
584.80	0.011744
585.00	0.011864
585.20	0.012044
585.40	0.012674
585.60	0.012544
585.80	0.012484
586.00	0.013443
586.20	0.013683
586.40	0.013573
586.60	0.014073
586.80	0.014633
587.00	0.014303
587.20	0.015082
587.40	0.015992
587.60	0.015762
587.80	0.015972
588.00	0.016762
588.20	0.017071
588.40	0.017051
588.60	0.017331
588.80	0.018221
589.00	0.018251
589.20	0.018461
589.40	0.019120
589.60	0.019700
589.80	0.019840
590.00	0.020430
590.20	0.020880
590.40	0.020940
590.60	0.021389
590.80	0.022099
591.00	0.022319
591.20	0.022469
591.40	0.023248
591.60	0.023588
591.80	0.023598
592.00	0.024368
592.20	0.024778
592.40	0.024588
592.60	0.025267
592.80	0.025847
593.00	0.025637
593.20	0.025827
593.40	0.026667
593.60	0.026757
593.80	0.027046
594.00	0.027656
594.20	0.027876
594.40	0.027966
594.60	0.028396
594.80	0.028686
595.00	0.028806
595.20	0.029025
595.40	0.029575
595.60	0.029505
595.80	0.029245
596.00	0.030285
596.20	0.030235
596.40	0.029875
596.60	0.030385
596.80	0.030815
597.00	0.030515
597.20	0.030455
597.40	0.030775
597.60	0.030945
597.80	0.030625
598.00	0.031284
598.20	0.031264
598.40	0.031044
598.60	0.031044
598.80	0.031174
599.00	0.030875
599.20	0.030945
599.40	0.031254
599.60	0.031074
599.80	0.030545
600.00	0.030915
600.20	0.030755
600.40	0.030085
600.60	0.030145
600.80	0.030485
601.00	0.030145
601.20	0.029525
601.40	0.029705
601.60	0.029995
601.80	0.028976
602.00	0.029245
602.20	0.029175
602.40	0.028366
602.60	0.028386
602.80	0.028186
603.00	0.027806
603.20	0.027546
603.40	0.027556
603.60	0.027286
603.80	0.026637
604.00	0.026817
604.20	0.026217
604.40	0.025727
604.60	0.025467
604.80	0.025657
605.00	0.025007
605.20	0.024938
605.40	0.024718
605.60	0.024428
605.80	0.023798
606.00	0.023768
606.20	0.023928
606.40	0.023228
606.60	0.022809
606.80	0.023008
607.00	0.022719
607.20	0.022229
607.40	0.022359
607.60	0.022389
607.80	0.021589
608.00	0.021679
608.20	0.021679
608.40	0.020910
608.60	0.020740
608.80	0.020930
609.00	0.020380
609.20	0.020340
609.40	0.020510
609.60	0.020360
609.80	0.019780
610.00	0.019920
610.20	0.019850
610.40	0.019700
610.60	0.019630
610.80	0.019900
611.00	0.019490
611.20	0.019690
611.40	0.019600
611.60	0.019630
611.80	0.019001
612.00	0.019440
612.20	0.019640
612.40	0.019280
612.60	0.018911
612.80	0.019630
613.00	0.019430
613.20	0.019130
613.40	0.019260
613.60	0.019630
613.80	0.019200
614.00	0.019160
614.20	0.019610
614.40	0.019360
614.60	0.019430
614.80	0.019830
615.00	0.019600
615.20	0.019210
615.40	0.019950
615.60	0.020060
615.80	0.019440
616.00	0.019720
616.20	0.020060
616.40	0.020120
616.60	0.019790
616.80	0.020150
617.00	0.020280
617.20	0.020260
617.40	0.020460
617.60	0.020530
617.80	0.020370
618.00	0.020580
618.20	0.020880
618.40	0.020660
618.60	0.020500
618.80	0.020950
619.00	0.020950
619.20	0.020920
619.40	0.021049
619.60	0.021249
619.80	0.020890
620.00	0.021259
620.20	0.021479
620.40	0.021219
620.60	0.021239
620.80	0.021429
621.00	0.021469
621.20	0.021469
621.40	0.021309
621.60	0.021639
621.80	0.021579
622.00	0.021629
622.20	0.021739
622.40	0.021669
622.60	0.021629
622.80	0.021919
623.00	0.021909
623.20	0.021769
623.40	0.021859
623.60	0.022269
623.80	0.021709
624.00	0.022019
624.20	0.022649
624.40	0.022189
624.60	0.022069
624.80	0.022349
625.00	0.022319
625.20	0.022239
625.40	0.022279
625.60	0.022679
625.80	0.022549
626.00	0.022499
626.20	0.023098
626.40	0.023378
626.60	0.022919
626.80	0.023548
627.00	0.023868
627.20	0.023658
627.40	0.023928
627.60	0.024468
627.80	0.024328
628.00	0.024558
628.20	0.025147
628.40	0.025427
628.60	0.025237
628.80	0.026037
629.00	0.026577
629.20	0.026507
629.40	0.027286
629.60	0.027896
629.80	0.027806
630.00	0.028306
630.20	0.029075
630.40	0.029665
630.60	0.029655
630.80	0.030835
631.00	0.031364
631.20	0.031514
631.40	0.032214
631.60	0.033153
631.80	0.033533
632.00	0.033983
632.20	0.035362
632.40	0.035892
632.60	0.036312
632.80	0.037531
633.00	0.038391
633.20	0.039170
633.40	0.039900
633.60	0.041309
633.80	0.042059
634.00	0.043008
634.20	0.044408
634.40	0.045387
634.60	0.046317
634.80	0.047816
635.00	0.048776
635.20	0.049895
635.40	0.051294
635.60	0.052774
635.80	0.053943
636.00	0.055222
636.20	0.057031
636.40	0.058541
636.60	0.059620
636.80	0.061619
637.00	0.063768
637.20	0.064988
637.40	0.066677
637.60	0.068876
637.80	0.070695
638.00	0.072704
638.20	0.075072
638.40	0.077481
638.60	0.079220
638.80	0.082209
639.00	0.084518
639.20	0.087016
639.40	0.089545
639.60	0.092984
639.80	0.095962
640.00	0.098661
640.20	0.10230
640.40	0.10543
640.60	0.10879
640.80	0.11248
641.00	0.11642
641.20	0.11994
641.40	0.12380
641.60	0.12778
641.80	0.13255
642.00	0.13675
642.20	0.14150
642.40	0.14663
642.60	0.15112
642.80	0.15659
643.00	0.16190
643.20	0.16698
643.40	0.17227
643.60	0.17839
643.80	0.18423
644.00	0.19000
644.20	0.19650
644.40	0.20242
644.60	0.20856
644.80	0.21511
645.00	0.22181
645.20	0.22798
645.40	0.23463
645.60	0.24150
645.80	0.24811
646.00	0.25461
646.20	0.26166
646.40	0.26843
646.60	0.27485
646.80	0.28171
647.00	0.28879
647.20	0.29485
647.40	0.30159
647.60	0.30819
647.80	0.31437
648.00	0.32037
648.20	0.32640
648.40	0.33249
648.60	0.33756
648.80	0.34284
649.00	0.34853
649.20	0.35295
649.40	0.35741
649.60	0.36160
649.80	0.36578
650.00	0.36889
650.20	0.37233
650.40	0.37595
650.60	0.37773
650.80	0.38000
651.00	0.38193
651.20	0.38343
651.40	0.38406
651.60	0.38503
651.80	0.38510
652.00	0.38455
652.20	0.38449
652.40	0.38356
652.60	0.38169
652.80	0.38006
653.00	0.37828
653.20	0.37540
653.40	0.37236
653.60	0.36945
653.80	0.36597
654.00	0.36131
654.20	0.35779
654.40	0.35319
654.60	0.34820
654.80	0.34320
655.00	0.33827
655.20	0.33227
655.40	0.32637
655.60	0.32041
655.80	0.31467
656.00	0.30763
656.20	0.30113
656.40	0.29505
656.60	0.28786
656.80	0.28117
