Wavelength (nm)	179 1-Ph15 [H2C-T5M10P15] (SE236)
544.00	0.041214
545.00	0.038738
546.00	0.035700
547.00	0.033069
548.00	0.030246
549.00	0.027536
550.00	0.024911
551.00	0.022287
552.00	0.019998
553.00	0.017922
554.00	0.016046
555.00	0.014307
556.00	0.012818
557.00	0.011557
558.00	0.010488
559.00	0.0097064
560.00	0.0089950
561.00	0.0084575
562.00	0.0079181
563.00	0.0073589
564.00	0.0070601
565.00	0.0070150
566.00	0.0065884
567.00	0.0065207
568.00	0.0063506
569.00	0.0066729
570.00	0.0073195
571.00	0.0072847
572.00	0.0070159
573.00	0.0065865
574.00	0.0071804
575.00	0.0075488
576.00	0.0081023
577.00	0.0088465
578.00	0.0094808
579.00	0.0094996
580.00	0.011060
581.00	0.012124
582.00	0.014454
583.00	0.015855
584.00	0.018034
585.00	0.021383
586.00	0.024240
587.00	0.027082
588.00	0.029334
589.00	0.030871
590.00	0.032638
591.00	0.033956
592.00	0.034993
593.00	0.035707
594.00	0.035287
595.00	0.034480
596.00	0.033310
597.00	0.031421
598.00	0.029141
599.00	0.026671
600.00	0.024448
601.00	0.022303
602.00	0.019964
603.00	0.018111
604.00	0.016373
605.00	0.015082
606.00	0.014078
607.00	0.013226
608.00	0.012521
609.00	0.011811
610.00	0.011161
611.00	0.010440
612.00	0.0097862
613.00	0.0093164
614.00	0.0086135
615.00	0.0083879
616.00	0.0082338
617.00	0.0082799
618.00	0.0083748
619.00	0.0083616
620.00	0.0087065
621.00	0.0089903
622.00	0.0093728
623.00	0.010100
624.00	0.010849
625.00	0.011969
626.00	0.013643
627.00	0.015896
628.00	0.018835
629.00	0.022443
630.00	0.026652
631.00	0.031147
632.00	0.036116
633.00	0.041183
634.00	0.046095
635.00	0.051031
636.00	0.056695
637.00	0.064786
638.00	0.077367
639.00	0.096198
640.00	0.12273
641.00	0.15639
642.00	0.19323
643.00	0.22655
644.00	0.25134
645.00	0.26190
646.00	0.25635
647.00	0.23666
648.00	0.20749
649.00	0.17397
650.00	0.14096
651.00	0.11105
652.00	0.085834
653.00	0.066098
654.00	0.051104
655.00	0.038283
656.00	0.032388
657.00	0.027793
658.00	0.019917
659.00	0.015661
660.00	0.012576
661.00	0.010049
662.00	0.0080384
663.00	0.0064944
664.00	0.0052370
665.00	0.0042559
666.00	0.0034835
667.00	0.0027740
668.00	0.0023671
669.00	0.0021143
670.00	0.0016839
671.00	0.0014368
672.00	0.0013475
673.00	0.0012667
674.00	0.0011859
675.00	0.0010270
676.00	0.0010045
677.00	0.00094059
678.00	0.00093589
679.00	0.00090864
680.00	0.00087387
681.00	0.00085695
682.00	0.00072915
683.00	0.00071223
684.00	0.00073855
685.00	0.00075358
686.00	0.00067089
687.00	0.00071693
688.00	0.00070660
689.00	0.00068028
690.00	0.00068592
691.00	0.00059665
692.00	0.00065867
693.00	0.00065961
694.00	0.00060229
695.00	0.00060510
696.00	0.00054872
697.00	0.00050549
698.00	0.00051395
699.00	0.00048764
700.00	0.00048576
