Wavelength (nm)	L267 FbC-M10Es13,15 (SE327).abs
450.40	0.020482
450.60	0.022412
450.80	0.018332
451.00	0.019686
451.20	0.019427
451.40	0.019507
451.60	0.019994
451.80	0.017656
452.00	0.017407
452.20	0.017905
452.40	0.018382
452.60	0.017487
452.80	0.020512
453.00	0.019686
453.20	0.020303
453.40	0.019517
453.60	0.021895
453.80	0.020044
454.00	0.021318
454.20	0.019735
454.40	0.019895
454.60	0.020671
454.80	0.020601
455.00	0.021815
455.20	0.022820
455.40	0.020969
455.60	0.019915
455.80	0.023109
456.00	0.020949
456.20	0.018850
456.40	0.022840
456.60	0.022133
456.80	0.020512
457.00	0.021805
457.20	0.021944
457.40	0.020611
457.60	0.021795
457.80	0.021327
458.00	0.022571
458.20	0.021646
458.40	0.022263
458.60	0.021467
458.80	0.021178
459.00	0.023218
459.20	0.020979
459.40	0.021327
459.60	0.021706
459.80	0.023885
460.00	0.022661
460.20	0.024084
460.40	0.023128
460.60	0.021238
460.80	0.022900
461.00	0.024243
461.20	0.023049
461.40	0.022492
461.60	0.025925
461.80	0.024133
462.00	0.023915
462.20	0.025566
462.40	0.023586
462.60	0.023616
462.80	0.022402
463.00	0.024482
463.20	0.026601
463.40	0.022482
463.60	0.026104
463.80	0.026920
464.00	0.025726
464.20	0.023258
464.40	0.025069
464.60	0.028114
464.80	0.026124
465.00	0.025576
465.20	0.026890
465.40	0.025437
465.60	0.025755
465.80	0.026153
466.00	0.026532
466.20	0.025944
466.40	0.027487
466.60	0.027915
466.80	0.026591
467.00	0.026502
467.20	0.026104
467.40	0.027268
467.60	0.025536
467.80	0.025377
468.00	0.025328
468.20	0.026840
468.40	0.029009
468.60	0.026362
468.80	0.026253
469.00	0.025745
469.20	0.026711
469.40	0.028900
469.60	0.027656
469.80	0.026591
470.00	0.027407
470.20	0.026949
470.40	0.027129
470.60	0.027885
470.80	0.027228
471.00	0.026193
471.20	0.025885
471.40	0.026711
471.60	0.026850
471.80	0.025497
472.00	0.028870
472.20	0.026293
472.40	0.029119
472.60	0.027865
472.80	0.027546
473.00	0.026790
473.20	0.029646
473.40	0.025527
473.60	0.027158
473.80	0.029238
474.00	0.029119
474.20	0.028671
474.40	0.027556
474.60	0.029069
474.80	0.027925
475.00	0.030233
475.20	0.029925
475.40	0.027795
475.60	0.030721
475.80	0.031935
476.00	0.029855
476.20	0.028939
476.40	0.029109
476.60	0.030213
476.80	0.029367
477.00	0.029805
477.20	0.027735
477.40	0.029099
477.60	0.028541
477.80	0.030800
478.00	0.031467
478.20	0.028114
478.40	0.030681
478.60	0.029706
478.80	0.030422
479.00	0.029367
479.20	0.030223
479.40	0.029666
479.60	0.031367
479.80	0.031328
480.00	0.030611
480.20	0.030163
480.40	0.032213
480.60	0.031039
480.80	0.030253
481.00	0.029676
481.20	0.030999
481.40	0.032372
481.60	0.030472
481.80	0.031885
482.00	0.031795
482.20	0.032074
482.40	0.032163
482.60	0.030392
482.80	0.028591
483.00	0.032333
483.20	0.032143
483.40	0.031566
483.60	0.030412
483.80	0.030601
484.00	0.031298
484.20	0.032940
484.40	0.032263
484.60	0.031208
484.80	0.034671
485.00	0.034571
485.20	0.034402
485.40	0.033726
485.60	0.033596
485.80	0.034830
486.00	0.032064
486.20	0.035745
486.40	0.036193
486.60	0.036940
486.80	0.034920
487.00	0.034004
487.20	0.036741
487.40	0.035338
487.60	0.035785
487.80	0.035974
488.00	0.036492
488.20	0.037188
488.40	0.035566
488.60	0.038352
488.80	0.037785
489.00	0.038750
489.20	0.040940
489.40	0.037218
489.60	0.037925
489.80	0.043407
490.00	0.040830
490.20	0.040989
490.40	0.041009
490.60	0.040551
490.80	0.041198
491.00	0.040950
491.20	0.043616
491.40	0.043029
491.60	0.044910
491.80	0.047895
492.00	0.045367
492.20	0.045507
492.40	0.050621
492.60	0.049815
492.80	0.052402
493.00	0.050651
493.20	0.048661
493.40	0.049188
493.60	0.050402
493.80	0.052581
494.00	0.051119
494.20	0.050392
494.40	0.052432
494.60	0.051258
494.80	0.052611
495.00	0.052462
495.20	0.054293
495.40	0.055328
495.60	0.055119
495.80	0.055974
496.00	0.058970
496.20	0.057377
496.40	0.058920
496.60	0.057646
496.80	0.058661
497.00	0.057895
497.20	0.055915
497.40	0.055487
497.60	0.056243
497.80	0.061278
498.00	0.060910
498.20	0.059795
498.40	0.063079
498.60	0.062651
498.80	0.063228
499.00	0.061397
499.20	0.064402
499.40	0.063994
499.60	0.063785
499.80	0.064671
500.00	0.065099
500.20	0.065437
500.40	0.065756
500.60	0.064552
500.80	0.064064
501.00	0.065417
501.20	0.064999
501.40	0.066353
501.60	0.069258
501.80	0.067865
502.00	0.066999
502.20	0.068810
502.40	0.068980
502.60	0.069139
502.80	0.070860
503.00	0.069169
503.20	0.070263
503.40	0.071537
503.60	0.072084
503.80	0.072452
504.00	0.070104
504.20	0.070074
504.40	0.072094
504.60	0.069626
504.80	0.072980
505.00	0.070283
505.20	0.071248
505.40	0.074641
505.60	0.072243
505.80	0.073129
506.00	0.074184
506.20	0.072970
506.40	0.074761
506.60	0.073049
506.80	0.073407
507.00	0.073626
507.20	0.072741
507.40	0.073427
507.60	0.074084
507.80	0.075666
508.00	0.071457
508.20	0.073646
508.40	0.071109
508.60	0.074771
508.80	0.069437
509.00	0.073218
509.20	0.073547
509.40	0.073188
509.60	0.071945
509.80	0.072253
510.00	0.072601
510.20	0.072840
510.40	0.070631
510.60	0.070024
510.80	0.069726
511.00	0.069318
511.20	0.067567
511.40	0.067726
511.60	0.066223
511.80	0.067179
512.00	0.068333
512.20	0.065328
512.40	0.064581
512.60	0.062979
512.80	0.066651
513.00	0.065268
513.20	0.064611
513.40	0.063159
513.60	0.061119
513.80	0.059099
514.00	0.062581
514.20	0.061397
514.40	0.058054
514.60	0.059089
514.80	0.058014
515.00	0.056790
515.20	0.058014
515.40	0.055775
515.60	0.054412
515.80	0.056790
516.00	0.053825
516.20	0.053487
516.40	0.050920
516.60	0.052810
516.80	0.052651
517.00	0.051636
517.20	0.050392
517.40	0.049417
517.60	0.047935
517.80	0.050273
518.00	0.046004
518.20	0.046989
518.40	0.048621
518.60	0.046522
518.80	0.047756
519.00	0.046661
519.20	0.044890
519.40	0.044283
519.60	0.046193
519.80	0.043805
520.00	0.041636
520.20	0.044273
520.40	0.044522
520.60	0.040462
520.80	0.040860
521.00	0.043915
521.20	0.041954
521.40	0.040303
521.60	0.039935
521.80	0.040482
522.00	0.041547
522.20	0.040830
522.40	0.039487
522.60	0.039676
522.80	0.040551
523.00	0.039726
523.20	0.040004
523.40	0.039447
523.60	0.041168
523.80	0.039576
524.00	0.039268
524.20	0.039586
524.40	0.041019
524.60	0.038731
524.80	0.040890
525.00	0.038472
525.20	0.039994
525.40	0.040452
525.60	0.041079
525.80	0.040044
526.00	0.041666
526.20	0.038880
526.40	0.039905
526.60	0.041188
526.80	0.041039
527.00	0.042860
527.20	0.043437
527.40	0.042731
527.60	0.045477
527.80	0.043825
528.00	0.042372
528.20	0.043746
528.40	0.046581
528.60	0.043606
528.80	0.047248
529.00	0.047158
529.20	0.049079
529.40	0.049477
529.60	0.049636
529.80	0.050840
530.00	0.048502
530.20	0.049666
530.40	0.051119
530.60	0.049994
530.80	0.053218
531.00	0.054482
531.20	0.051765
531.40	0.057079
531.60	0.054761
531.80	0.058054
532.00	0.060064
532.20	0.058432
532.40	0.058372
532.60	0.058840
532.80	0.060134
533.00	0.060800
533.20	0.061348
533.40	0.061547
533.60	0.061188
533.80	0.062004
534.00	0.061815
534.20	0.061815
534.40	0.064651
534.60	0.063467
534.80	0.063447
535.00	0.063547
535.20	0.064343
535.40	0.066114
535.60	0.067815
535.80	0.067089
536.00	0.066283
536.20	0.065835
536.40	0.065278
536.60	0.064611
536.80	0.063955
537.00	0.067487
537.20	0.068472
537.40	0.065666
537.60	0.066084
537.80	0.065208
538.00	0.063945
538.20	0.066064
538.40	0.065716
538.60	0.064890
538.80	0.065089
539.00	0.065258
539.20	0.063338
539.40	0.062323
539.60	0.062343
539.80	0.061169
540.00	0.061218
540.20	0.061228
540.40	0.063457
540.60	0.059756
540.80	0.059507
541.00	0.058950
541.20	0.058412
541.40	0.057686
541.60	0.056562
541.80	0.058741
542.00	0.056293
542.20	0.054442
542.40	0.055407
542.60	0.054183
542.80	0.055039
543.00	0.056999
543.20	0.052283
543.40	0.052124
543.60	0.051636
543.80	0.052164
544.00	0.050402
544.20	0.048910
544.40	0.051497
544.60	0.049507
544.80	0.046969
545.00	0.049507
545.20	0.047566
545.40	0.045596
545.60	0.046432
545.80	0.047557
546.00	0.044532
546.20	0.044631
546.40	0.046860
546.60	0.045039
546.80	0.042651
547.00	0.044293
547.20	0.043895
547.40	0.043547
547.60	0.043328
547.80	0.042223
548.00	0.040452
548.20	0.040721
548.40	0.041348
548.60	0.039885
548.80	0.038880
549.00	0.038263
549.20	0.038522
549.40	0.039596
549.60	0.039646
549.80	0.039328
550.00	0.038482
550.20	0.036561
550.40	0.039208
550.60	0.037407
550.80	0.035666
551.00	0.036124
551.20	0.033895
551.40	0.037447
551.60	0.036124
551.80	0.036611
552.00	0.034691
552.20	0.034183
552.40	0.036949
552.60	0.033527
552.80	0.031944
553.00	0.032940
553.20	0.036372
553.40	0.030422
553.60	0.032462
553.80	0.033258
554.00	0.030143
554.20	0.031895
554.40	0.032243
554.60	0.031905
554.80	0.030104
555.00	0.031696
555.20	0.032472
555.40	0.031188
555.60	0.030462
555.80	0.031676
556.00	0.029576
556.20	0.028153
556.40	0.028253
556.60	0.028989
556.80	0.029666
557.00	0.029566
557.20	0.028263
557.40	0.027865
557.60	0.029228
557.80	0.028561
558.00	0.030422
558.20	0.027477
558.40	0.030303
558.60	0.026870
558.80	0.025905
559.00	0.025905
559.20	0.028034
559.40	0.023895
559.60	0.023039
559.80	0.024153
560.00	0.022243
560.20	0.021805
560.40	0.022233
560.60	0.021875
560.80	0.021347
561.00	0.021785
561.20	0.022263
561.40	0.020591
561.60	0.021417
561.80	0.021915
562.00	0.023089
562.20	0.024452
562.40	0.024054
562.60	0.024382
562.80	0.021566
563.00	0.023039
563.20	0.022810
563.40	0.024044
563.60	0.023188
563.80	0.022730
564.00	0.021905
564.20	0.020392
564.40	0.022721
564.60	0.020313
564.80	0.021696
565.00	0.022561
565.20	0.020900
565.40	0.020740
565.60	0.019646
565.80	0.020024
566.00	0.023487
566.20	0.023586
566.40	0.022332
566.60	0.019716
566.80	0.018820
567.00	0.019676
567.20	0.021258
567.40	0.018263
567.60	0.020691
567.80	0.021158
568.00	0.018392
568.20	0.017138
568.40	0.017517
568.60	0.020890
568.80	0.016800
569.00	0.019765
569.20	0.018880
569.40	0.018621
569.60	0.017517
569.80	0.019248
570.00	0.018133
570.20	0.019417
570.40	0.017566
570.60	0.018074
570.80	0.016561
571.00	0.017626
571.20	0.017079
571.40	0.017278
571.60	0.016472
571.80	0.018084
572.00	0.017775
572.20	0.018193
572.40	0.017009
572.60	0.017218
572.80	0.015725
573.00	0.017507
573.20	0.018711
573.40	0.018601
573.60	0.015994
573.80	0.018123
574.00	0.017706
574.20	0.015805
574.40	0.017089
574.60	0.016074
574.80	0.017168
575.00	0.016611
575.20	0.016691
575.40	0.014034
575.60	0.014800
575.80	0.018223
576.00	0.014273
576.20	0.015109
576.40	0.017755
576.60	0.015327
576.80	0.014193
577.00	0.016790
577.20	0.017168
577.40	0.015596
577.60	0.015158
577.80	0.016959
578.00	0.015556
578.20	0.016521
578.40	0.017327
578.60	0.015835
578.80	0.015666
579.00	0.015855
579.20	0.014541
579.40	0.015725
579.60	0.013109
579.80	0.017288
580.00	0.016044
580.20	0.014959
580.40	0.016750
580.60	0.017318
580.80	0.015158
581.00	0.015248
581.20	0.015467
581.40	0.017288
581.60	0.014571
581.80	0.016283
582.00	0.016730
582.20	0.013049
582.40	0.017477
582.60	0.016114
582.80	0.014432
583.00	0.014681
583.20	0.017069
583.40	0.014919
583.60	0.016621
583.80	0.018382
584.00	0.018382
584.20	0.017656
584.40	0.016203
584.60	0.017497
584.80	0.016173
585.00	0.016233
585.20	0.019009
585.40	0.016999
585.60	0.014740
585.80	0.019755
586.00	0.017546
586.20	0.019079
586.40	0.018382
586.60	0.018979
586.80	0.019148
587.00	0.021347
587.20	0.022024
587.40	0.021596
587.60	0.019477
587.80	0.021646
588.00	0.021367
588.20	0.019835
588.40	0.021278
588.60	0.024531
588.80	0.021278
589.00	0.020263
589.20	0.023288
589.40	0.021427
589.60	0.020372
589.80	0.022332
590.00	0.024750
590.20	0.022601
590.40	0.024352
590.60	0.027268
590.80	0.022929
591.00	0.023288
591.20	0.026920
591.40	0.028024
591.60	0.027298
591.80	0.028392
592.00	0.029805
592.20	0.026949
592.40	0.029069
592.60	0.030094
592.80	0.028979
593.00	0.030949
593.20	0.031258
593.40	0.030561
593.60	0.031188
593.80	0.034969
594.00	0.032064
594.20	0.032362
594.40	0.034044
594.60	0.034671
594.80	0.033248
595.00	0.034024
595.20	0.038333
595.40	0.037367
595.60	0.038044
595.80	0.039049
596.00	0.038989
596.20	0.039357
596.40	0.038701
596.60	0.040432
596.80	0.040313
597.00	0.039417
597.20	0.040014
597.40	0.041666
597.60	0.039815
597.80	0.042721
598.00	0.041228
598.20	0.042104
598.40	0.044004
598.60	0.044671
598.80	0.045716
599.00	0.044044
599.20	0.046830
599.40	0.048173
599.60	0.044751
599.80	0.048940
600.00	0.047686
600.20	0.044263
600.40	0.048024
600.60	0.047596
600.80	0.045795
601.00	0.047706
601.20	0.049477
601.40	0.048472
601.60	0.047875
601.80	0.049815
602.00	0.050711
602.20	0.049835
602.40	0.050631
602.60	0.049974
602.80	0.050154
603.00	0.050552
603.20	0.053059
603.40	0.053566
603.60	0.050064
603.80	0.051547
604.00	0.050154
604.20	0.052532
604.40	0.052293
604.60	0.052432
604.80	0.051557
605.00	0.051487
605.20	0.050203
605.40	0.052989
605.60	0.052920
605.80	0.052562
606.00	0.050790
606.20	0.051009
606.40	0.051636
606.60	0.052860
606.80	0.052502
607.00	0.049168
607.20	0.052044
607.40	0.052193
607.60	0.050790
607.80	0.051497
608.00	0.053208
608.20	0.048969
608.40	0.050472
608.60	0.051945
608.80	0.049109
609.00	0.047676
609.20	0.052014
609.40	0.049089
609.60	0.046731
609.80	0.048651
610.00	0.049437
610.20	0.045885
610.40	0.046014
610.60	0.048830
610.80	0.048044
611.00	0.044024
611.20	0.047935
611.40	0.045994
611.60	0.045576
611.80	0.045258
612.00	0.044552
612.20	0.043925
612.40	0.046343
612.60	0.044651
612.80	0.046651
613.00	0.044671
613.20	0.041974
613.40	0.042721
613.60	0.042850
613.80	0.041338
614.00	0.043387
614.20	0.041825
614.40	0.040074
614.60	0.042333
614.80	0.041527
615.00	0.039188
615.20	0.039527
615.40	0.042323
615.60	0.038601
615.80	0.038701
616.00	0.041765
616.20	0.038671
616.40	0.039029
616.60	0.039268
616.80	0.037059
617.00	0.037397
617.20	0.039198
617.40	0.039119
617.60	0.035318
617.80	0.037417
618.00	0.039129
618.20	0.035954
618.40	0.036253
618.60	0.036522
618.80	0.034711
619.00	0.031865
619.20	0.035168
619.40	0.033377
619.60	0.033546
619.80	0.033964
620.00	0.035347
620.20	0.034084
620.40	0.034641
620.60	0.035537
620.80	0.033039
621.00	0.034293
621.20	0.032313
621.40	0.032999
621.60	0.035298
621.80	0.032323
622.00	0.033656
622.20	0.031676
622.40	0.031785
622.60	0.032173
622.80	0.034631
623.00	0.032024
623.20	0.030721
623.40	0.034124
623.60	0.031357
623.80	0.030502
624.00	0.032313
624.20	0.029994
624.40	0.030134
624.60	0.032352
624.80	0.030193
625.00	0.030492
625.20	0.028740
625.40	0.032512
625.60	0.029109
625.80	0.030472
626.00	0.032313
626.20	0.030203
626.40	0.029935
626.60	0.030870
626.80	0.029696
627.00	0.026163
627.20	0.029845
627.40	0.030104
627.60	0.028213
627.80	0.029805
628.00	0.029795
628.20	0.029745
628.40	0.027696
628.60	0.030333
628.80	0.030004
629.00	0.029457
629.20	0.030333
629.40	0.029387
629.60	0.027318
629.80	0.029298
630.00	0.027527
630.20	0.028939
630.40	0.029875
630.60	0.027974
630.80	0.030313
631.00	0.028313
631.20	0.029915
631.40	0.030581
631.60	0.028323
631.80	0.030074
632.00	0.031636
632.20	0.029248
632.40	0.027497
632.60	0.031328
632.80	0.032074
633.00	0.029158
633.20	0.028233
633.40	0.034124
633.60	0.029954
633.80	0.032571
634.00	0.032691
634.20	0.033576
634.40	0.031178
634.60	0.031178
634.80	0.034492
635.00	0.032721
635.20	0.034711
635.40	0.035736
635.60	0.034163
635.80	0.036571
636.00	0.036124
636.20	0.037298
636.40	0.037347
636.60	0.039248
636.80	0.038800
637.00	0.038731
637.20	0.040800
637.40	0.042054
637.60	0.042810
637.80	0.042502
638.00	0.045129
638.20	0.044064
638.40	0.046532
638.60	0.046372
638.80	0.049935
639.00	0.048681
639.20	0.048631
639.40	0.050890
639.60	0.051457
639.80	0.052054
640.00	0.054890
640.20	0.056820
640.40	0.056253
640.60	0.058890
640.80	0.062203
641.00	0.061258
641.20	0.064562
641.40	0.066661
641.60	0.067517
641.80	0.068263
642.00	0.071835
642.20	0.075169
642.40	0.074572
642.60	0.076542
642.80	0.078761
643.00	0.081567
643.20	0.081099
643.40	0.085985
643.60	0.085527
643.80	0.089388
644.00	0.091467
644.20	0.093587
644.40	0.095169
644.60	0.10183
644.80	0.10217
645.00	0.10721
645.20	0.10764
645.40	0.11360
645.60	0.11499
645.80	0.11671
646.00	0.12256
646.20	0.12824
646.40	0.12890
646.60	0.13171
646.80	0.13810
647.00	0.14068
647.20	0.14379
647.40	0.15000
647.60	0.15312
647.80	0.15666
648.00	0.16177
648.20	0.16641
648.40	0.16976
648.60	0.17627
648.80	0.18211
649.00	0.18462
649.20	0.19011
649.40	0.19755
649.60	0.20104
649.80	0.20614
650.00	0.21194
650.20	0.21755
650.40	0.22123
650.60	0.22681
650.80	0.23342
651.00	0.23586
651.20	0.24102
651.40	0.25055
651.60	0.25366
651.80	0.25791
652.00	0.26443
652.20	0.26802
652.40	0.26981
652.60	0.27553
652.80	0.28219
653.00	0.28362
653.20	0.28985
653.40	0.29425
653.60	0.29752
653.80	0.30220
654.00	0.30554
654.20	0.30624
654.40	0.30982
654.60	0.31249
654.80	0.31759
655.00	0.31742
655.20	0.32019
655.40	0.32307
655.60	0.32407
655.80	0.32267
656.00	0.32385
656.20	0.32789
656.40	0.32222
656.60	0.32491
656.80	0.32638
657.00	0.32639
657.20	0.32479
657.40	0.32516
657.60	0.32308
657.80	0.31990
658.00	0.31648
658.20	0.31936
658.40	0.31464
658.60	0.31216
658.80	0.31324
659.00	0.30497
659.20	0.30537
659.40	0.30187
