Wavelength (nm)	L285 FbOP-He3M10 (SE328).ems
710.80	0.15644
711.00	0.15696
711.20	0.15414
711.40	0.15303
711.60	0.15202
711.80	0.15168
712.00	0.15303
712.20	0.15188
712.40	0.15285
712.60	0.15191
712.80	0.14918
713.00	0.14608
713.20	0.14622
713.40	0.14420
713.60	0.14363
713.80	0.14207
714.00	0.14056
714.20	0.14245
714.40	0.13655
714.60	0.13399
714.80	0.13590
715.00	0.13351
715.20	0.13203
715.40	0.13439
715.60	0.13068
715.80	0.12879
716.00	0.12740
716.20	0.12778
716.40	0.12480
716.60	0.12382
716.80	0.12265
717.00	0.12197
717.20	0.12039
717.40	0.11914
717.60	0.11664
717.80	0.11619
718.00	0.11405
718.20	0.11251
718.40	0.11129
718.60	0.11286
718.80	0.11182
719.00	0.10812
719.20	0.10810
719.40	0.10745
719.60	0.10827
719.80	0.10625
720.00	0.10502
720.20	0.10507
720.40	0.10512
720.60	0.10487
720.80	0.10470
721.00	0.10238
721.20	0.10023
721.40	0.10284
721.60	0.097430
721.80	0.098376
722.00	0.099676
722.20	0.098533
722.40	0.097324
722.60	0.099594
722.80	0.097684
723.00	0.096044
723.20	0.097383
723.40	0.097401
723.60	0.095436
723.80	0.094298
724.00	0.095396
724.20	0.098350
724.40	0.095482
724.60	0.095478
724.80	0.097020
725.00	0.096161
725.20	0.095657
725.40	0.095354
725.60	0.094573
725.80	0.093730
726.00	0.093272
726.20	0.095244
726.40	0.094852
726.60	0.094204
726.80	0.094247
727.00	0.092579
727.20	0.093869
727.40	0.094074
727.60	0.091920
727.80	0.092392
728.00	0.092287
728.20	0.092465
728.40	0.092928
728.60	0.090494
728.80	0.092219
729.00	0.091307
729.20	0.093848
729.40	0.091109
729.60	0.093344
729.80	0.090323
730.00	0.087427
730.20	0.088827
730.40	0.087218
730.60	0.088341
730.80	0.088092
731.00	0.087484
731.20	0.086247
731.40	0.086665
731.60	0.085649
731.80	0.084556
732.00	0.085734
732.20	0.084156
732.40	0.079318
732.60	0.080908
732.80	0.081807
733.00	0.081156
733.20	0.080628
733.40	0.079947
733.60	0.078289
733.80	0.077989
734.00	0.078541
734.20	0.077653
734.40	0.078193
734.60	0.076197
734.80	0.074349
735.00	0.072833
735.20	0.070757
735.40	0.073092
735.60	0.071766
735.80	0.070789
736.00	0.068950
736.20	0.068254
736.40	0.066417
736.60	0.066312
736.80	0.065209
737.00	0.065797
737.20	0.064665
737.40	0.062374
737.60	0.062767
737.80	0.060961
738.00	0.062413
738.20	0.060868
738.40	0.060742
738.60	0.059234
738.80	0.058329
739.00	0.055680
739.20	0.054877
739.40	0.053428
739.60	0.054183
739.80	0.054349
740.00	0.052807
740.20	0.050175
740.40	0.051744
740.60	0.049129
740.80	0.049274
741.00	0.048213
741.20	0.047691
741.40	0.046780
741.60	0.047508
741.80	0.045536
742.00	0.045132
742.20	0.043754
742.40	0.042968
742.60	0.041999
742.80	0.042581
743.00	0.041605
743.20	0.039826
743.40	0.040244
743.60	0.040173
743.80	0.039670
744.00	0.038834
744.20	0.038012
744.40	0.036815
744.60	0.036940
744.80	0.036616
745.00	0.035500
745.20	0.034010
745.40	0.034559
745.60	0.033383
745.80	0.032942
746.00	0.032159
746.20	0.032399
746.40	0.032163
746.60	0.031681
746.80	0.030912
747.00	0.030754
747.20	0.028990
747.40	0.030128
747.60	0.029718
747.80	0.028300
748.00	0.030026
748.20	0.028476
748.40	0.027551
748.60	0.027050
748.80	0.026408
749.00	0.026704
749.20	0.025368
749.40	0.025037
749.60	0.025231
749.80	0.024523
750.00	0.025480
750.20	0.024743
750.40	0.025179
750.60	0.025084
750.80	0.024752
751.00	0.023451
751.20	0.022823
751.40	0.023102
751.60	0.022402
751.80	0.022353
752.00	0.022147
752.20	0.021646
752.40	0.021403
752.60	0.020547
752.80	0.020549
753.00	0.020281
753.20	0.020026
753.40	0.020602
753.60	0.019901
753.80	0.020849
754.00	0.019830
754.20	0.018878
754.40	0.018538
754.60	0.019954
754.80	0.018587
755.00	0.018039
755.20	0.017440
755.40	0.017901
755.60	0.017845
755.80	0.017135
756.00	0.016963
756.20	0.017047
756.40	0.017426
756.60	0.016241
756.80	0.016540
757.00	0.017467
757.20	0.017088
757.40	0.016643
757.60	0.015723
757.80	0.016581
758.00	0.016823
758.20	0.016094
758.40	0.015699
758.60	0.015052
758.80	0.014108
759.00	0.015305
759.20	0.015184
759.40	0.015077
759.60	0.016090
759.80	0.015955
760.00	0.014575
760.20	0.015578
760.40	0.014602
760.60	0.015737
760.80	0.013028
761.00	0.014948
761.20	0.014860
761.40	0.013705
761.60	0.014470
761.80	0.015771
762.00	0.014488
762.20	0.014352
762.40	0.014047
762.60	0.013672
762.80	0.013295
763.00	0.013786
763.20	0.013793
763.40	0.014455
763.60	0.012973
763.80	0.011874
764.00	0.012899
764.20	0.012703
764.40	0.013229
764.60	0.013732
764.80	0.013279
765.00	0.012106
765.20	0.013439
765.40	0.013140
765.60	0.012526
765.80	0.012514
766.00	0.012731
766.20	0.012436
766.40	0.012598
766.60	0.011851
766.80	0.013303
767.00	0.013213
767.20	0.012243
767.40	0.013187
767.60	0.012006
767.80	0.012434
768.00	0.011343
768.20	0.012420
768.40	0.011558
768.60	0.012117
768.80	0.011461
769.00	0.011738
769.20	0.010837
769.40	0.010944
769.60	0.011781
769.80	0.011476
770.00	0.011195
770.20	0.010716
770.40	0.011428
770.60	0.011284
770.80	0.011909
771.00	0.010558
771.20	0.010872
771.40	0.011927
771.60	0.010273
771.80	0.011025
772.00	0.010795
772.20	0.011559
772.40	0.010856
772.60	0.010948
772.80	0.011083
773.00	0.010885
773.20	0.010735
773.40	0.010268
773.60	0.010067
773.80	0.011544
774.00	0.010520
774.20	0.011506
774.40	0.011187
774.60	0.0094899
774.80	0.010758
775.00	0.0095039
775.20	0.010088
775.40	0.010224
775.60	0.010138
775.80	0.010205
776.00	0.0097773
776.20	0.010033
776.40	0.0098859
776.60	0.0098244
776.80	0.0096424
777.00	0.0089081
777.20	0.010380
777.40	0.010084
777.60	0.0092684
777.80	0.010010
778.00	0.0086016
778.20	0.0099617
778.40	0.0095412
778.60	0.0091194
778.80	0.0091242
779.00	0.0095224
779.20	0.0095539
779.40	0.0092961
779.60	0.0093538
779.80	0.0092619
780.00	0.0085356
780.20	0.0088039
780.40	0.0095589
780.60	0.0096790
780.80	0.0091703
781.00	0.0094499
781.20	0.0094280
781.40	0.0090324
781.60	0.0092861
781.80	0.0088175
782.00	0.0090805
782.20	0.0091927
782.40	0.0089825
782.60	0.0085920
782.80	0.0088837
783.00	0.0093203
783.20	0.0087390
783.40	0.0098270
783.60	0.0090004
783.80	0.0087965
784.00	0.0094265
784.20	0.0090681
784.40	0.0093181
784.60	0.0082657
784.80	0.0084970
785.00	0.0090671
785.20	0.0085772
785.40	0.0092406
785.60	0.0092451
785.80	0.0076037
786.00	0.0087475
786.20	0.0085667
786.40	0.0087178
786.60	0.0079259
786.80	0.0084839
787.00	0.0091641
787.20	0.0082933
787.40	0.0090196
787.60	0.0081556
787.80	0.0090141
788.00	0.0081386
788.20	0.0081487
788.40	0.010039
788.60	0.0081407
788.80	0.0091263
789.00	0.0084896
789.20	0.0074563
789.40	0.0081526
789.60	0.0093692
789.80	0.0088428
790.00	0.0082395
790.20	0.0094036
790.40	0.0076913
790.60	0.0075204
790.80	0.0077955
791.00	0.0073296
791.20	0.0082333
791.40	0.0077191
791.60	0.0073182
791.80	0.0077761
792.00	0.0079576
792.20	0.0077534
792.40	0.0077788
792.60	0.0074016
792.80	0.0082423
793.00	0.0068566
793.20	0.0071983
793.40	0.0073677
793.60	0.0077008
793.80	0.0066280
794.00	0.0074336
794.20	0.0071694
794.40	0.0075807
794.60	0.0074224
794.80	0.0074960
795.00	0.0081312
795.20	0.0076727
795.40	0.0063505
795.60	0.0074811
795.80	0.0066325
796.00	0.0073667
796.20	0.0073627
796.40	0.0064536
796.60	0.0057184
796.80	0.0079652
797.00	0.0065567
797.20	0.0063104
797.40	0.0072665
797.60	0.0055614
797.80	0.0061463
798.00	0.0074783
798.20	0.0062195
798.40	0.0065513
798.60	0.0055840
798.80	0.0067539
799.00	0.0058535
799.20	0.0061766
799.40	0.0055504
799.60	0.0061017
799.80	0.0060294
800.00	0.0065525
