Wavelength (nm)	 205 2 (SE210) [H2OP-T5M10]
459.00	0.037100
460.00	0.035273
461.00	0.033857
462.00	0.032954
463.00	0.032308
464.00	0.031479
465.00	0.031100
466.00	0.030736
467.00	0.030668
468.00	0.030587
469.00	0.030437
470.00	0.030420
471.00	0.030675
472.00	0.031186
473.00	0.031420
474.00	0.031860
475.00	0.032163
476.00	0.032695
477.00	0.033421
478.00	0.034164
479.00	0.035156
480.00	0.035962
481.00	0.036978
482.00	0.037860
483.00	0.039232
484.00	0.040138
485.00	0.041300
486.00	0.041803
487.00	0.041955
488.00	0.043274
489.00	0.043935
490.00	0.044310
491.00	0.044595
492.00	0.044921
493.00	0.045220
494.00	0.045305
495.00	0.045393
496.00	0.045417
497.00	0.045190
498.00	0.045218
499.00	0.045137
500.00	0.045312
501.00	0.045682
502.00	0.045934
503.00	0.046511
504.00	0.047206
505.00	0.048082
506.00	0.049815
507.00	0.051384
508.00	0.053301
509.00	0.055440
510.00	0.057888
511.00	0.060518
512.00	0.063298
513.00	0.066138
514.00	0.069135
515.00	0.072067
516.00	0.075226
517.00	0.078638
518.00	0.081925
519.00	0.085238
520.00	0.088363
521.00	0.091242
522.00	0.093682
523.00	0.096134
524.00	0.098237
525.00	0.099681
526.00	0.10100
527.00	0.10195
528.00	0.10265
529.00	0.10263
530.00	0.10196
531.00	0.10075
532.00	0.098565
533.00	0.095699
534.00	0.092345
535.00	0.088416
536.00	0.084451
537.00	0.080353
538.00	0.076465
539.00	0.073196
540.00	0.070265
541.00	0.068052
542.00	0.066707
543.00	0.066509
544.00	0.067704
545.00	0.069937
546.00	0.073477
547.00	0.078268
548.00	0.083809
549.00	0.090358
550.00	0.097382
551.00	0.10448
552.00	0.11168
553.00	0.11856
554.00	0.12525
555.00	0.13155
556.00	0.13719
557.00	0.14194
558.00	0.14611
559.00	0.14961
560.00	0.15175
561.00	0.15265
562.00	0.15199
563.00	0.14931
564.00	0.14495
565.00	0.13867
566.00	0.13081
567.00	0.12178
568.00	0.11196
569.00	0.10176
570.00	0.091847
571.00	0.082241
572.00	0.073224
573.00	0.065159
574.00	0.057577
575.00	0.051182
576.00	0.045564
577.00	0.040812
578.00	0.036495
579.00	0.033501
580.00	0.030572
581.00	0.028519
582.00	0.026237
583.00	0.025493
584.00	0.024979
585.00	0.024501
586.00	0.024603
587.00	0.025340
588.00	0.026057
589.00	0.027098
590.00	0.028480
591.00	0.030114
592.00	0.032560
593.00	0.035558
594.00	0.039435
595.00	0.044538
596.00	0.049732
597.00	0.055933
598.00	0.061858
599.00	0.066926
600.00	0.071600
601.00	0.075135
602.00	0.078295
603.00	0.081078
604.00	0.083280
605.00	0.085147
606.00	0.085667
607.00	0.085381
608.00	0.084026
609.00	0.081404
610.00	0.078146
611.00	0.074346
612.00	0.070023
613.00	0.065308
614.00	0.060177
615.00	0.054979
616.00	0.050275
617.00	0.046135
618.00	0.042934
619.00	0.040647
620.00	0.039129
621.00	0.038238
622.00	0.038014
623.00	0.038194
624.00	0.038350
625.00	0.038521
626.00	0.038643
627.00	0.038359
628.00	0.037415
629.00	0.035998
630.00	0.034330
631.00	0.032554
632.00	0.030781
633.00	0.029310
634.00	0.028024
635.00	0.027236
636.00	0.027186
637.00	0.027698
638.00	0.028871
639.00	0.030820
640.00	0.033815
641.00	0.038149
642.00	0.043812
643.00	0.050725
644.00	0.058832
645.00	0.067862
646.00	0.077151
647.00	0.086271
648.00	0.094744
649.00	0.10285
650.00	0.11130
651.00	0.12242
652.00	0.13864
653.00	0.16314
654.00	0.19555
655.00	0.25833
656.00	0.31631
657.00	0.34960
658.00	0.42200
659.00	0.47487
660.00	0.49943
661.00	0.49682
662.00	0.46806
663.00	0.41957
664.00	0.35975
665.00	0.29731
666.00	0.23853
667.00	0.18854
668.00	0.14765
669.00	0.11561
670.00	0.090056
671.00	0.071671
672.00	0.057604
673.00	0.047011
674.00	0.038667
675.00	0.031909
676.00	0.026595
677.00	0.022230
678.00	0.018473
679.00	0.015466
680.00	0.012992
681.00	0.010962
682.00	0.0093051
683.00	0.0079875
684.00	0.0069107
685.00	0.0060249
686.00	0.0053589
687.00	0.0047783
688.00	0.0043110
689.00	0.0039402
690.00	0.0036094
691.00	0.0033297
692.00	0.0030810
693.00	0.0029678
694.00	0.0026703
695.00	0.0026148
696.00	0.0022951
697.00	0.0023539
698.00	0.0021386
699.00	0.0020409
700.00	0.0020253
701.00	0.0019299
702.00	0.0018644
703.00	0.0017545
704.00	0.0017512
705.00	0.0016823
706.00	0.0017201
707.00	0.0016157
708.00	0.0015103
709.00	0.0014803
710.00	0.0014714
711.00	0.0013360
712.00	0.0013127
713.00	0.0012061
714.00	0.0011107
715.00	0.0010429
716.00	0.00097522
717.00	0.00091528
718.00	0.00096634
719.00	0.00083647
720.00	0.00083758
721.00	0.00083869
722.00	0.00077985
723.00	0.00074988
724.00	0.00068772
725.00	0.00067440
726.00	0.00073767
727.00	0.00066441
728.00	0.00073656
729.00	0.00081538
730.00	0.00078762
731.00	0.00075099
732.00	0.00075321
733.00	0.00076098
734.00	0.00080095
735.00	0.00079428
736.00	0.00079873
737.00	0.00076875
738.00	0.00081205
739.00	0.00079761
740.00	0.00088531
741.00	0.00083869
742.00	0.00082648
743.00	0.00077652
744.00	0.00076986
745.00	0.00079761
746.00	0.00085423
747.00	0.00081760
748.00	0.00085312
749.00	0.00082981
750.00	0.00080872
