Wavelength (nm)	142 FbO1 (SE082) abs
373.40	0.14434
373.60	0.14609
373.80	0.14803
374.00	0.14800
374.20	0.15027
374.40	0.15198
374.60	0.15350
374.80	0.15478
375.00	0.15610
375.20	0.15794
375.40	0.15903
375.60	0.16110
375.80	0.16242
376.00	0.16449
376.20	0.16634
376.40	0.16719
376.60	0.16894
376.80	0.17058
377.00	0.17213
377.20	0.17328
377.40	0.17536
377.60	0.17612
377.80	0.17888
378.00	0.17941
378.20	0.18043
378.40	0.18204
378.60	0.18372
378.80	0.18524
379.00	0.18652
379.20	0.18833
379.40	0.19037
379.60	0.19123
379.80	0.19337
380.00	0.19449
380.20	0.19620
380.40	0.19745
380.60	0.19913
380.80	0.20176
381.00	0.20292
381.20	0.20463
381.40	0.20595
381.60	0.20716
381.80	0.20894
382.00	0.21029
382.20	0.21138
382.40	0.21276
382.60	0.21480
382.80	0.21569
383.00	0.21704
383.20	0.21859
383.40	0.21981
383.60	0.22066
383.80	0.22264
384.00	0.22356
384.20	0.22540
384.40	0.22679
384.60	0.22807
384.80	0.22988
385.00	0.23153
385.20	0.23327
385.40	0.23453
385.60	0.23568
385.80	0.23752
386.00	0.23894
386.20	0.24095
386.40	0.24193
386.60	0.24500
386.80	0.24598
387.00	0.24789
387.20	0.25023
387.40	0.25181
387.60	0.25451
387.80	0.25481
388.00	0.25843
388.20	0.26050
388.40	0.26261
388.60	0.26515
388.80	0.26709
389.00	0.27035
389.20	0.27262
389.40	0.27532
389.60	0.27851
389.80	0.28032
390.00	0.28335
390.20	0.28609
390.40	0.28967
390.60	0.29260
390.80	0.29695
391.00	0.29853
391.20	0.30281
391.40	0.30604
391.60	0.30959
391.80	0.31279
392.00	0.31667
392.20	0.32043
392.40	0.32382
392.60	0.32764
392.80	0.33169
393.00	0.33518
393.20	0.33982
393.40	0.34380
393.60	0.34874
393.80	0.35236
394.00	0.35658
394.20	0.36152
394.40	0.36576
394.60	0.36958
394.80	0.37452
395.00	0.37953
395.20	0.38384
395.40	0.38842
395.60	0.39342
395.80	0.39912
396.00	0.40340
396.20	0.40804
396.40	0.41321
396.60	0.41769
396.80	0.42272
397.00	0.42832
397.20	0.43277
397.40	0.43820
397.60	0.44337
397.80	0.44847
398.00	0.45331
398.20	0.46026
398.40	0.46493
398.60	0.47040
398.80	0.47610
399.00	0.48169
399.20	0.48801
399.40	0.49384
399.60	0.49947
399.80	0.50550
400.00	0.51166
400.20	0.51785
400.40	0.52413
400.60	0.53042
400.80	0.53678
401.00	0.54326
401.20	0.54955
401.40	0.55656
401.60	0.56226
401.80	0.56931
402.00	0.57592
402.20	0.58297
402.40	0.58988
402.60	0.59693
402.80	0.60358
403.00	0.61036
403.20	0.61777
403.40	0.62508
403.60	0.63229
403.80	0.63947
404.00	0.64652
404.20	0.65412
404.40	0.66143
404.60	0.66933
404.80	0.67618
405.00	0.68382
405.20	0.69172
405.40	0.69985
405.60	0.70736
405.80	0.71477
406.00	0.72297
406.20	0.73127
406.40	0.73848
406.60	0.74690
406.80	0.75477
407.00	0.76261
407.20	0.77054
407.40	0.77894
407.60	0.78655
407.80	0.79481
408.00	0.80271
408.20	0.81068
408.40	0.81888
408.60	0.82704
408.80	0.83452
409.00	0.84255
409.20	0.85049
409.40	0.85786
409.60	0.86560
409.80	0.87337
410.00	0.88104
410.20	0.88796
410.40	0.89510
410.60	0.90264
410.80	0.90909
411.00	0.91581
411.20	0.92253
411.40	0.92908
411.60	0.93543
411.80	0.94123
412.00	0.94683
412.20	0.95295
412.40	0.95825
412.60	0.96154
412.80	0.96737
413.00	0.97254
413.20	0.97596
413.40	0.98001
413.60	0.98400
413.80	0.98765
414.00	0.98831
414.20	0.99229
414.40	0.99401
414.60	0.99644
414.80	0.99769
415.00	0.99901
415.20	0.99954
415.40	0.99980
415.60	1.00000
415.80	0.99937
416.00	0.99858
416.20	0.99769
416.40	0.99641
416.60	0.99424
416.80	0.99190
417.00	0.99058
417.20	0.98690
417.40	0.98360
417.60	0.98054
417.80	0.97610
418.00	0.97142
418.20	0.96681
418.40	0.96220
418.60	0.95683
418.80	0.95078
419.00	0.94544
419.20	0.93929
419.40	0.93214
419.60	0.92546
419.80	0.91904
420.00	0.91094
420.20	0.90323
420.40	0.89441
420.60	0.88720
420.80	0.87926
421.00	0.86952
421.20	0.86083
421.40	0.85164
421.60	0.84235
421.80	0.83211
422.00	0.82286
422.20	0.81249
422.40	0.80235
422.60	0.79191
422.80	0.78128
423.00	0.77015
423.20	0.75882
423.40	0.74740
423.60	0.73696
423.80	0.72514
424.00	0.71306
424.20	0.70180
424.40	0.68961
424.60	0.67743
424.80	0.66551
425.00	0.65257
425.20	0.64059
425.40	0.62758
425.60	0.61520
425.80	0.60197
426.00	0.58919
426.20	0.57573
426.40	0.56302
426.60	0.55014
426.80	0.53674
427.00	0.52311
427.20	0.51040
427.40	0.49661
427.60	0.48364
427.80	0.47010
428.00	0.45693
428.20	0.44330
428.40	0.43096
428.60	0.41749
428.80	0.40366
429.00	0.39089
429.20	0.37831
429.40	0.36609
429.60	0.35388
429.80	0.34117
430.00	0.32951
430.20	0.31674
430.40	0.30591
430.60	0.29432
430.80	0.28325
431.00	0.27180
431.20	0.26060
431.40	0.25102
431.60	0.24009
431.80	0.23107
432.00	0.22155
432.20	0.21240
432.40	0.20298
432.60	0.19399
432.80	0.18593
433.00	0.17789
433.20	0.16983
433.40	0.16216
433.60	0.15462
433.80	0.14787
434.00	0.14108
434.20	0.13424
434.40	0.12785
434.60	0.12288
434.80	0.11695
435.00	0.11083
435.20	0.10556
435.40	0.10092
435.60	0.096141
435.80	0.091828
436.00	0.087186
436.20	0.082938
436.40	0.079185
436.60	0.075662
436.80	0.071875
437.00	0.067924
437.20	0.064829
437.40	0.062261
437.60	0.059232
437.80	0.056236
438.00	0.053635
438.20	0.051462
438.40	0.049190
438.60	0.046424
438.80	0.044218
439.00	0.043099
439.20	0.040728
439.40	0.038819
439.60	0.037633
439.80	0.036119
440.00	0.034341
440.20	0.032826
440.40	0.031345
440.60	0.029995
440.80	0.028908
441.00	0.027427
441.20	0.025616
441.40	0.027031
441.60	0.024858
441.80	0.024035
442.00	0.022356
442.20	0.021862
442.40	0.021368
442.60	0.020743
442.80	0.020051
443.00	0.018636
443.20	0.019162
443.40	0.018043
443.60	0.017351
443.80	0.017121
444.00	0.016825
444.20	0.016331
444.40	0.015903
444.60	0.015178
444.80	0.013730
445.00	0.014915
445.20	0.013203
445.40	0.012972
445.60	0.012610
445.80	0.013137
446.00	0.012709
446.20	0.013038
446.40	0.011721
446.60	0.011853
446.80	0.011721
447.00	0.010832
447.20	0.011359
447.40	0.010635
447.60	0.010766
447.80	0.010240
448.00	0.010766
448.20	0.010338
448.40	0.010108
448.60	0.0094824
448.80	0.010009
449.00	0.010009
449.20	0.0094166
449.40	0.010009
449.60	0.0096141
449.80	0.0092849
450.00	0.0090873
450.20	0.0093836
450.40	0.0086593
450.60	0.0085934
450.80	0.0086593
451.00	0.0080666
451.20	0.0081983
451.40	0.0083300
451.60	0.0081654
451.80	0.0081325
452.00	0.0077045
452.20	0.0082971
452.40	0.0076386
452.60	0.0081654
452.80	0.0077374
453.00	0.0077045
453.20	0.0079020
453.40	0.0075398
453.60	0.0074740
453.80	0.0078691
454.00	0.0077045
454.20	0.0075728
454.40	0.0069801
454.60	0.0092190
454.80	0.0069472
455.00	0.0074740
455.20	0.0075398
455.40	0.0073423
455.60	0.0078691
455.80	0.0072106
456.00	0.0070130
456.20	0.0075728
456.40	0.0070130
456.60	0.0067167
456.80	0.0069801
457.00	0.0071118
457.20	0.0068813
457.40	0.0067826
457.60	0.0070130
457.80	0.0067496
458.00	0.0068155
458.20	0.0071118
458.40	0.0065850
458.60	0.0067496
458.80	0.0068813
459.00	0.0073423
459.20	0.0074411
459.40	0.0062689
459.60	0.0069143
459.80	0.0067826
460.00	0.0070130
460.20	0.0069472
460.40	0.0067167
460.60	0.0067167
460.80	0.0072435
461.00	0.0067826
461.20	0.0071447
461.40	0.0071447
461.60	0.0068813
461.80	0.0068155
462.00	0.0067496
462.20	0.0067496
462.40	0.0072764
462.60	0.0075069
462.80	0.0075398
463.00	0.0073094
463.20	0.0072764
463.40	0.0065620
463.60	0.0072106
463.80	0.0072106
464.00	0.0068155
464.20	0.0073423
464.40	0.0071118
464.60	0.0073094
464.80	0.0072435
465.00	0.0076386
465.20	0.0075398
465.40	0.0073752
465.60	0.0078691
465.80	0.0073423
466.00	0.0075398
466.20	0.0077703
466.40	0.0077045
466.60	0.0073423
466.80	0.0073752
467.00	0.0077045
467.20	0.0080337
467.40	0.0081654
467.60	0.0083300
467.80	0.0076715
468.00	0.0079349
468.20	0.0079679
468.40	0.0079679
468.60	0.0086593
468.80	0.0081654
469.00	0.0083300
469.20	0.0082313
469.40	0.0083630
469.60	0.0087251
469.80	0.0088898
470.00	0.0087910
470.20	0.0091861
470.40	0.0090544
470.60	0.0092190
470.80	0.0088568
471.00	0.0093836
471.20	0.0091202
471.40	0.0090544
471.60	0.0090873
471.80	0.0097787
472.00	0.0095483
472.20	0.010108
472.40	0.0099104
472.60	0.0096800
472.80	0.0099763
473.00	0.010470
473.20	0.010602
473.40	0.010042
473.60	0.010470
473.80	0.010273
474.00	0.010404
474.20	0.010437
474.40	0.011293
474.60	0.011162
474.80	0.011326
475.00	0.010898
475.20	0.012018
475.40	0.011985
475.60	0.011655
475.80	0.011820
476.00	0.012643
476.20	0.012643
476.40	0.012544
476.60	0.012972
476.80	0.012577
477.00	0.012841
477.20	0.012808
477.40	0.012841
477.60	0.013499
477.80	0.013466
478.00	0.013631
478.20	0.014059
478.40	0.013796
478.60	0.014652
478.80	0.013763
479.00	0.014487
479.20	0.014553
479.40	0.014224
479.60	0.014783
479.80	0.015475
480.00	0.014750
480.20	0.015376
480.40	0.015804
480.60	0.015936
480.80	0.015936
481.00	0.015870
481.20	0.016495
481.40	0.016463
481.60	0.016923
481.80	0.017582
482.00	0.017286
482.20	0.017648
482.40	0.017714
482.60	0.017714
482.80	0.017878
483.00	0.018570
483.20	0.018372
483.40	0.018833
483.60	0.018965
483.80	0.018833
484.00	0.019195
484.20	0.019195
484.40	0.019985
484.60	0.020051
484.80	0.020315
485.00	0.020677
485.20	0.020414
485.40	0.020414
485.60	0.020677
485.80	0.020842
486.00	0.020973
486.20	0.021138
486.40	0.021039
486.60	0.021434
486.80	0.021928
487.00	0.022093
487.20	0.022224
487.40	0.022389
487.60	0.022620
487.80	0.023048
488.00	0.022916
488.20	0.023278
488.40	0.023344
488.60	0.023640
488.80	0.024002
489.00	0.024134
489.20	0.024694
489.40	0.024233
489.60	0.024957
489.80	0.024760
490.00	0.025385
490.20	0.025418
490.40	0.025649
490.60	0.025846
490.80	0.026274
491.00	0.026340
491.20	0.026274
491.40	0.026636
491.60	0.027130
491.80	0.027097
492.00	0.027295
492.20	0.027855
492.40	0.027789
492.60	0.028085
492.80	0.028612
493.00	0.028480
493.20	0.029303
493.40	0.029336
493.60	0.029731
493.80	0.029830
494.00	0.030126
494.20	0.029764
494.40	0.030423
494.60	0.030818
494.80	0.031048
495.00	0.031312
495.20	0.031839
495.40	0.031904
495.60	0.032398
495.80	0.032299
496.00	0.032991
496.20	0.033320
496.40	0.032925
496.60	0.034176
496.80	0.033979
497.00	0.034505
497.20	0.034933
497.40	0.034868
497.60	0.035757
497.80	0.036218
498.00	0.036185
498.20	0.036646
498.40	0.036678
498.60	0.037172
498.80	0.037436
499.00	0.037930
499.20	0.038588
499.40	0.038654
499.60	0.039181
499.80	0.039345
500.00	0.039741
500.20	0.040169
500.40	0.040432
500.60	0.041123
500.80	0.041222
501.00	0.041058
501.20	0.041815
501.40	0.042638
501.60	0.042770
501.80	0.043132
502.00	0.044021
502.20	0.044449
502.40	0.044646
502.60	0.045338
502.80	0.045667
503.00	0.045404
503.20	0.046523
503.40	0.046951
503.60	0.047675
503.80	0.047840
504.00	0.048334
504.20	0.049157
504.40	0.049453
504.60	0.049256
504.80	0.050375
505.00	0.050935
505.20	0.051495
505.40	0.051956
505.60	0.052351
505.80	0.052252
506.00	0.053339
506.20	0.053931
506.40	0.054293
506.60	0.054919
506.80	0.055577
507.00	0.055577
507.20	0.056434
507.40	0.057026
507.60	0.057125
507.80	0.057619
508.00	0.057882
508.20	0.058310
508.40	0.059133
508.60	0.059199
508.80	0.059792
509.00	0.060220
509.20	0.060549
509.40	0.061109
509.60	0.061043
509.80	0.061306
510.00	0.061504
510.20	0.062064
510.40	0.062162
510.60	0.062393
510.80	0.062722
511.00	0.062953
511.20	0.062623
511.40	0.062623
511.60	0.062788
511.80	0.062492
512.00	0.062722
512.20	0.062459
512.40	0.062195
512.60	0.062228
512.80	0.062360
513.00	0.061570
513.20	0.061998
513.40	0.061570
513.60	0.061734
513.80	0.061471
514.00	0.061438
514.20	0.061241
514.40	0.061076
514.60	0.060615
514.80	0.060681
515.00	0.060352
515.20	0.060022
515.40	0.059364
515.60	0.059430
515.80	0.058870
516.00	0.058541
516.20	0.058903
516.40	0.058442
516.60	0.058113
516.80	0.057553
517.00	0.057125
517.20	0.057191
517.40	0.056137
517.60	0.054985
517.80	0.055149
518.00	0.054590
518.20	0.053997
518.40	0.053339
518.60	0.052318
518.80	0.051857
519.00	0.051034
519.20	0.050869
519.40	0.050408
519.60	0.049486
519.80	0.048729
520.00	0.047939
520.20	0.047313
520.40	0.046490
520.60	0.045898
520.80	0.045601
521.00	0.044350
521.20	0.043362
521.40	0.042835
521.60	0.042243
521.80	0.040860
522.00	0.040300
522.20	0.039181
522.40	0.038588
522.60	0.038028
522.80	0.037238
523.00	0.036613
523.20	0.036481
523.40	0.034407
523.60	0.034736
523.80	0.033320
524.00	0.032727
524.20	0.032069
524.40	0.031674
524.60	0.030686
524.80	0.029896
525.00	0.028842
525.20	0.028480
525.40	0.027920
525.60	0.027394
525.80	0.026966
526.00	0.026373
526.20	0.025484
526.40	0.025122
526.60	0.024430
526.80	0.023673
527.00	0.023969
527.20	0.022817
527.40	0.022554
527.60	0.021599
527.80	0.021401
528.00	0.020842
528.20	0.020776
528.40	0.020117
528.60	0.019557
528.80	0.019129
529.00	0.019064
529.20	0.018537
529.40	0.018010
529.60	0.017714
529.80	0.017483
530.00	0.017681
530.20	0.017220
530.40	0.016792
530.60	0.016693
530.80	0.016331
531.00	0.016232
531.20	0.015804
531.40	0.015936
531.60	0.015672
531.80	0.015771
532.00	0.015606
532.20	0.015541
532.40	0.015837
532.60	0.015606
532.80	0.015639
533.00	0.015574
533.20	0.015738
533.40	0.015771
533.60	0.016166
533.80	0.016397
534.00	0.016495
534.20	0.016561
534.40	0.016726
534.60	0.017022
534.80	0.017747
535.00	0.017977
535.20	0.017878
535.40	0.018570
535.60	0.018899
535.80	0.018866
536.00	0.019492
536.20	0.019887
536.40	0.020644
536.60	0.021105
536.80	0.021566
537.00	0.022356
537.20	0.022356
537.40	0.022356
537.60	0.023508
537.80	0.024068
538.00	0.024760
538.20	0.025286
538.40	0.025319
538.60	0.025912
538.80	0.026768
539.00	0.026966
539.20	0.028052
539.40	0.028184
539.60	0.028908
539.80	0.029270
540.00	0.029764
540.20	0.030192
540.40	0.031015
540.60	0.031345
540.80	0.031937
541.00	0.032464
541.20	0.033090
541.40	0.033485
541.60	0.034275
541.80	0.034440
542.00	0.034933
542.20	0.035230
542.40	0.035131
542.60	0.036613
542.80	0.036283
543.00	0.037074
543.20	0.037666
543.40	0.037633
543.60	0.038094
543.80	0.038391
544.00	0.038753
544.20	0.038621
544.40	0.039411
544.60	0.039444
544.80	0.040103
545.00	0.039773
545.20	0.039510
545.40	0.041189
545.60	0.040629
545.80	0.040761
546.00	0.040761
546.20	0.040629
546.40	0.041255
546.60	0.041025
546.80	0.041387
547.00	0.041058
547.20	0.041387
547.40	0.040827
547.60	0.041255
547.80	0.040728
548.00	0.040926
548.20	0.040201
548.40	0.040432
548.60	0.040564
548.80	0.040465
549.00	0.039938
549.20	0.039971
549.40	0.039510
549.60	0.039642
549.80	0.039214
550.00	0.039016
550.20	0.038588
550.40	0.038193
550.60	0.037567
550.80	0.037502
551.00	0.037172
551.20	0.036481
551.40	0.036086
551.60	0.035987
551.80	0.035361
552.00	0.034933
552.20	0.034538
552.40	0.034110
552.60	0.033419
552.80	0.032793
553.00	0.032267
553.20	0.031871
553.40	0.031410
553.60	0.030456
553.80	0.030423
554.00	0.029665
554.20	0.028941
554.40	0.028776
554.60	0.028085
554.80	0.027361
555.00	0.026801
555.20	0.026110
555.40	0.025451
555.60	0.024924
555.80	0.024463
556.00	0.024068
556.20	0.023476
556.40	0.023080
556.60	0.022455
556.80	0.021796
557.00	0.021533
557.20	0.021171
557.40	0.020446
557.60	0.019294
557.80	0.019656
558.00	0.018438
558.20	0.018438
558.40	0.018405
558.60	0.017319
558.80	0.016792
559.00	0.016594
559.20	0.016034
559.40	0.015936
559.60	0.015870
559.80	0.014619
560.00	0.014717
560.20	0.013894
560.40	0.013565
560.60	0.013236
560.80	0.013038
561.00	0.012841
561.20	0.012742
561.40	0.011491
561.60	0.011524
561.80	0.011293
562.00	0.011195
562.20	0.010503
562.40	0.010668
562.60	0.010042
562.80	0.010306
563.00	0.0096141
563.20	0.0093836
563.40	0.0090215
563.60	0.0087910
563.80	0.0085276
564.00	0.0087251
564.20	0.0081325
564.40	0.0088239
564.60	0.0078691
564.80	0.0078691
565.00	0.0072435
565.20	0.0069472
565.40	0.0072106
565.60	0.0066509
565.80	0.0068813
566.00	0.0066509
566.20	0.0064764
566.40	0.0062689
566.60	0.0061306
566.80	0.0058080
567.00	0.0057421
567.20	0.0062953
567.40	0.0056368
567.60	0.0054688
567.80	0.0054491
568.00	0.0055841
568.20	0.0056335
568.40	0.0052087
568.60	0.0052285
568.80	0.0051034
569.00	0.0052713
569.20	0.0050474
569.40	0.0049717
569.60	0.0045799
569.80	0.0046984
570.00	0.0047675
570.20	0.0048927
570.40	0.0047215
570.60	0.0051561
570.80	0.0052153
571.00	0.0044120
571.20	0.0050869
571.40	0.0049585
571.60	0.0057553
571.80	0.0050474
572.00	0.0053108
572.20	0.0051067
572.40	0.0051067
572.60	0.0054228
572.80	0.0055084
573.00	0.0058574
573.20	0.0060154
573.40	0.0056203
573.60	0.0059068
573.80	0.0056829
574.00	0.0057125
574.20	0.0057849
574.40	0.0061932
574.60	0.0061998
574.80	0.0065817
575.00	0.0070460
575.20	0.0061899
575.40	0.0062953
575.60	0.0066838
575.80	0.0071777
576.00	0.0069472
576.20	0.0071118
576.40	0.0072106
576.60	0.0071118
576.80	0.0074740
577.00	0.0078032
577.20	0.0078362
577.40	0.0081325
577.60	0.0084288
577.80	0.0087581
578.00	0.0089556
578.20	0.0092519
578.40	0.0095812
578.60	0.010207
578.80	0.0098446
579.00	0.010404
579.20	0.010799
579.40	0.011590
579.60	0.011952
579.80	0.012182
580.00	0.012544
580.20	0.013302
580.40	0.013697
580.60	0.014257
580.80	0.014816
581.00	0.015837
581.20	0.016232
581.40	0.016923
581.60	0.017483
581.80	0.018339
582.00	0.018932
582.20	0.019689
582.40	0.020348
582.60	0.021072
582.80	0.021928
583.00	0.022389
583.20	0.022652
583.40	0.023541
583.60	0.024365
583.80	0.024332
584.00	0.025122
584.20	0.025879
584.40	0.025945
584.60	0.026241
584.80	0.026735
585.00	0.026933
585.20	0.027427
585.40	0.028019
585.60	0.027756
585.80	0.028052
586.00	0.028085
586.20	0.028316
586.40	0.028480
586.60	0.028217
586.80	0.028348
587.00	0.028283
587.20	0.028118
587.40	0.028414
587.60	0.028217
587.80	0.028414
588.00	0.028348
588.20	0.028447
588.40	0.028414
588.60	0.028217
588.80	0.028678
589.00	0.028381
589.20	0.028513
589.40	0.028776
589.60	0.028678
589.80	0.028480
590.00	0.028645
590.20	0.028645
590.40	0.028546
590.60	0.028776
590.80	0.029040
591.00	0.029303
591.20	0.028250
591.40	0.028744
591.60	0.028645
591.80	0.028480
592.00	0.028513
592.20	0.028447
592.40	0.028447
592.60	0.028546
592.80	0.027690
593.00	0.027953
593.20	0.028151
593.40	0.027558
593.60	0.026834
593.80	0.027196
594.00	0.026735
594.20	0.026208
594.40	0.026702
594.60	0.025714
594.80	0.026011
595.00	0.025221
595.20	0.025122
595.40	0.024990
595.60	0.024628
595.80	0.024035
596.00	0.023805
596.20	0.023508
596.40	0.022389
596.60	0.022620
596.80	0.022159
597.00	0.021533
597.20	0.021237
597.40	0.020611
597.60	0.020578
597.80	0.020249
598.00	0.019360
598.20	0.019129
598.40	0.018438
598.60	0.018208
598.80	0.017319
599.00	0.017121
599.20	0.016923
599.40	0.015442
599.60	0.015541
599.80	0.015080
600.00	0.014520
600.20	0.014454
600.40	0.013960
600.60	0.013829
600.80	0.012676
601.00	0.012479
601.20	0.011952
601.40	0.012149
601.60	0.011754
601.80	0.011293
602.00	0.010997
602.20	0.010931
602.40	0.010240
602.60	0.010141
602.80	0.0098117
603.00	0.0096141
603.20	0.0095483
603.40	0.0092849
603.60	0.0089885
603.80	0.0089227
604.00	0.0084947
604.20	0.0085605
604.40	0.0078362
604.60	0.0082313
604.80	0.0080008
605.00	0.0077045
605.20	0.0074411
605.40	0.0072764
605.60	0.0075069
605.80	0.0069472
606.00	0.0071118
606.20	0.0068813
606.40	0.0068813
606.60	0.0068813
606.80	0.0057388
607.00	0.0060220
607.20	0.0059166
607.40	0.0057783
607.60	0.0054590
607.80	0.0054985
608.00	0.0055314
608.20	0.0055281
608.40	0.0054688
608.60	0.0057487
608.80	0.0053306
609.00	0.0055643
609.20	0.0053437
609.40	0.0050474
609.60	0.0048597
609.80	0.0051133
610.00	0.0047247
610.20	0.0049552
610.40	0.0047906
610.60	0.0048499
610.80	0.0041518
611.00	0.0044679
611.20	0.0041815
611.40	0.0044054
611.60	0.0046095
611.80	0.0042803
612.00	0.0044844
612.20	0.0045502
612.40	0.0042375
612.60	0.0039675
612.80	0.0038786
613.00	0.0042539
613.20	0.0040070
613.40	0.0039214
613.60	0.0039049
613.80	0.0037600
614.00	0.0041288
614.20	0.0039247
614.40	0.0037370
614.60	0.0040070
614.80	0.0038292
615.00	0.0037074
615.20	0.0039181
615.40	0.0042605
615.60	0.0038884
615.80	0.0035770
616.00	0.0038424
616.20	0.0035664
616.40	0.0034940
616.60	0.0038950
616.80	0.0035286
617.00	0.0038852
617.20	0.0042177
617.40	0.0039082
617.60	0.0041914
617.80	0.0034950
618.00	0.0038720
618.20	0.0036053
618.40	0.0036678
618.60	0.0036843
618.80	0.0033356
619.00	0.0033138
619.20	0.0034769
619.40	0.0033801
619.60	0.0034825
619.80	0.0034515
620.00	0.0033106
620.20	0.0034446
620.40	0.0034831
620.60	0.0035141
620.80	0.0039049
621.00	0.0037008
621.20	0.0036711
621.40	0.0035164
621.60	0.0036089
621.80	0.0035938
622.00	0.0034835
622.20	0.0038489
622.40	0.0039280
622.60	0.0042572
622.80	0.0042342
623.00	0.0042440
623.20	0.0042967
623.40	0.0045272
623.60	0.0048071
623.80	0.0048696
624.00	0.0050606
624.20	0.0056697
624.40	0.0056071
624.60	0.0057915
624.80	0.0061603
625.00	0.0066509
625.20	0.0073094
625.40	0.0069801
625.60	0.0075398
625.80	0.0071447
626.00	0.0076057
626.20	0.0079349
626.40	0.0087581
626.60	0.0088239
626.80	0.0090215
627.00	0.0093178
627.20	0.0097787
627.40	0.010306
627.60	0.010635
627.80	0.010668
628.00	0.011491
628.20	0.011787
628.40	0.011655
628.60	0.011590
628.80	0.012940
629.00	0.012643
629.20	0.012808
629.40	0.013631
629.60	0.013730
629.80	0.013532
630.00	0.013993
630.20	0.014257
630.40	0.014520
630.60	0.014421
630.80	0.014652
631.00	0.015146
631.20	0.015014
631.40	0.015508
631.60	0.015738
631.80	0.015804
632.00	0.015936
632.20	0.015771
632.40	0.016298
632.60	0.016528
632.80	0.016891
633.00	0.017450
633.20	0.017648
633.40	0.017747
633.60	0.018010
633.80	0.019854
634.00	0.019261
634.20	0.019788
634.40	0.020150
634.60	0.021204
634.80	0.021500
635.00	0.023015
635.20	0.023476
635.40	0.024529
635.60	0.025616
635.80	0.026933
636.00	0.028151
636.20	0.029468
636.40	0.031114
636.60	0.032727
636.80	0.034604
637.00	0.036020
637.20	0.038522
637.40	0.040597
637.60	0.042934
637.80	0.044877
638.00	0.047412
638.20	0.050145
638.40	0.052417
638.60	0.054952
638.80	0.057652
639.00	0.060714
639.20	0.063447
639.40	0.065784
639.60	0.068484
639.80	0.071645
640.00	0.073620
640.20	0.076617
640.40	0.078559
640.60	0.080864
640.80	0.082905
641.00	0.084486
641.20	0.086428
641.40	0.088140
641.60	0.088931
641.80	0.090083
642.00	0.090873
642.20	0.091729
642.40	0.091762
642.60	0.091861
642.80	0.091597
643.00	0.090873
643.20	0.090478
643.40	0.089227
643.60	0.088404
643.80	0.086823
644.00	0.085704
644.20	0.083728
644.40	0.082115
644.60	0.080436
644.80	0.078164
645.00	0.075892
645.20	0.073686
645.40	0.071217
645.60	0.069044
645.80	0.066607
646.00	0.064401
646.20	0.061800
646.40	0.059133
646.60	0.056862
646.80	0.054590
647.00	0.051824
647.20	0.049684
647.40	0.047511
647.60	0.045041
647.80	0.043000
648.00	0.040992
648.20	0.038489
648.40	0.036876
648.60	0.034933
648.80	0.033254
649.00	0.031279
649.20	0.029633
649.40	0.028579
649.60	0.026208
649.80	0.024793
650.00	0.023311
650.20	0.022521
650.40	0.020743
650.60	0.019426
650.80	0.018636
651.00	0.017417
651.20	0.016627
651.40	0.015639
651.60	0.014717
651.80	0.014125
652.00	0.013302
652.20	0.012972
652.40	0.012182
652.60	0.011557
