Wavelength (nm)	L285 FbOP-He3P10 (SE365).ems
624.40	0.0024985
624.60	0.0029732
624.80	0.0029354
625.00	0.0029630
625.20	0.0028721
625.40	0.0030810
625.60	0.0031877
625.80	0.0031388
626.00	0.0031450
626.20	0.0031971
626.40	0.0033064
626.60	0.0033700
626.80	0.0036571
627.00	0.0035511
627.20	0.0040986
627.40	0.0037554
627.60	0.0038125
627.80	0.0040613
628.00	0.0042212
628.20	0.0041860
628.40	0.0043485
628.60	0.0041616
628.80	0.0045736
629.00	0.0046865
629.20	0.0046382
629.40	0.0050166
629.60	0.0047937
629.80	0.0046927
630.00	0.0050102
630.20	0.0051363
630.40	0.0053497
630.60	0.0054500
630.80	0.0058124
631.00	0.0058128
631.20	0.0060721
631.40	0.0060977
631.60	0.0064571
631.80	0.0064336
632.00	0.0066605
632.20	0.0069206
632.40	0.0077225
632.60	0.0075314
632.80	0.0078111
633.00	0.0079412
633.20	0.0087623
633.40	0.0085849
633.60	0.0096508
633.80	0.0091118
634.00	0.010034
634.20	0.010100
634.40	0.011133
634.60	0.011154
634.80	0.012101
635.00	0.012309
635.20	0.013208
635.40	0.013712
635.60	0.014232
635.80	0.015094
636.00	0.014931
636.20	0.016297
636.40	0.016910
636.60	0.017811
636.80	0.018958
637.00	0.019151
637.20	0.020378
637.40	0.021792
637.60	0.022740
637.80	0.023702
638.00	0.024831
638.20	0.026756
638.40	0.027185
638.60	0.028691
638.80	0.028916
639.00	0.030771
639.20	0.032728
639.40	0.033740
639.60	0.036166
639.80	0.036484
640.00	0.038714
640.20	0.040263
640.40	0.041665
640.60	0.043180
640.80	0.045841
641.00	0.048096
641.20	0.050038
641.40	0.050929
641.60	0.053968
641.80	0.056134
642.00	0.057521
642.20	0.059697
642.40	0.061471
642.60	0.064018
642.80	0.067298
643.00	0.068754
643.20	0.072373
643.40	0.075503
643.60	0.077758
643.80	0.081435
644.00	0.082774
644.20	0.087340
644.40	0.090576
644.60	0.093683
644.80	0.096877
645.00	0.10036
645.20	0.10695
645.40	0.10937
645.60	0.11315
645.80	0.11881
646.00	0.12479
646.20	0.13035
646.40	0.13476
646.60	0.14045
646.80	0.14692
647.00	0.15649
647.20	0.16420
647.40	0.17258
647.60	0.18159
647.80	0.18987
648.00	0.19785
648.20	0.21062
648.40	0.21954
648.60	0.23254
648.80	0.23970
649.00	0.25551
649.20	0.26638
649.40	0.27982
649.60	0.29558
649.80	0.30984
650.00	0.32560
650.20	0.33922
650.40	0.35728
650.60	0.37279
650.80	0.38923
651.00	0.40933
651.20	0.42735
651.40	0.44484
651.60	0.46433
651.80	0.48243
652.00	0.50059
652.20	0.52093
652.40	0.53980
652.60	0.55997
652.80	0.57970
653.00	0.59889
653.20	0.61892
653.40	0.63809
653.60	0.65703
653.80	0.67730
654.00	0.69707
654.20	0.71423
654.40	0.73301
654.60	0.75111
654.80	0.77410
655.00	0.78638
655.20	0.80409
655.40	0.82059
655.60	0.83786
655.80	0.85634
656.00	0.86905
656.20	0.88166
656.40	0.89448
656.60	0.90789
656.80	0.92340
657.00	0.92995
657.20	0.93952
657.40	0.95535
657.60	0.96157
657.80	0.96947
658.00	0.97464
658.20	0.97938
658.40	0.98523
658.60	0.99201
658.80	0.99288
659.00	0.99325
659.20	0.99842
659.40	1.0000
659.60	0.99789
659.80	0.99568
660.00	0.99088
660.20	0.98548
660.40	0.98508
660.60	0.97819
660.80	0.97388
661.00	0.96831
661.20	0.95871
661.40	0.94947
661.60	0.94207
661.80	0.93532
662.00	0.92654
662.20	0.91803
662.40	0.90782
662.60	0.89459
662.80	0.88590
663.00	0.87497
663.20	0.86178
663.40	0.84605
663.60	0.83451
663.80	0.81880
664.00	0.81143
664.20	0.79730
664.40	0.78296
664.60	0.76990
664.80	0.75745
665.00	0.73676
665.20	0.72700
665.40	0.71710
665.60	0.70083
665.80	0.68569
666.00	0.67488
666.20	0.66092
666.40	0.64629
666.60	0.63276
666.80	0.62028
667.00	0.60819
667.20	0.59601
667.40	0.58326
667.60	0.56929
667.80	0.55910
668.00	0.55000
668.20	0.53626
668.40	0.52595
668.60	0.51652
668.80	0.50331
669.00	0.49433
669.20	0.48713
669.40	0.47260
669.60	0.46798
669.80	0.45628
670.00	0.45005
670.20	0.44049
670.40	0.43044
670.60	0.42004
670.80	0.41598
671.00	0.40901
671.20	0.40196
671.40	0.39378
671.60	0.38499
671.80	0.38067
672.00	0.37044
672.20	0.36343
672.40	0.36051
672.60	0.35411
672.80	0.34583
673.00	0.34148
673.20	0.33437
673.40	0.32646
673.60	0.32134
673.80	0.31472
674.00	0.30988
674.20	0.30510
674.40	0.30042
674.60	0.29244
674.80	0.28926
675.00	0.28033
675.20	0.27782
675.40	0.27352
675.60	0.26818
675.80	0.26066
676.00	0.25767
676.20	0.25141
676.40	0.24816
676.60	0.24334
676.80	0.24045
677.00	0.23409
677.20	0.23101
677.40	0.22444
677.60	0.22172
677.80	0.21688
678.00	0.21161
678.20	0.20789
678.40	0.20575
678.60	0.20015
678.80	0.19615
679.00	0.19345
679.20	0.19124
679.40	0.18672
679.60	0.18393
679.80	0.18141
680.00	0.17559
680.20	0.17642
680.40	0.17203
680.60	0.17130
680.80	0.16787
681.00	0.16457
681.20	0.16347
681.40	0.16066
681.60	0.15724
681.80	0.15654
682.00	0.15350
682.20	0.15181
682.40	0.15045
682.60	0.14841
682.80	0.14632
683.00	0.14680
683.20	0.14453
683.40	0.14309
683.60	0.14152
683.80	0.13839
684.00	0.13927
684.20	0.13878
684.40	0.13745
684.60	0.13737
684.80	0.13611
685.00	0.13468
685.20	0.13546
685.40	0.13489
685.60	0.13532
685.80	0.13287
686.00	0.13454
686.20	0.13384
686.40	0.13219
686.60	0.13320
686.80	0.13254
687.00	0.13063
687.20	0.13144
687.40	0.13178
687.60	0.13152
687.80	0.13189
688.00	0.13124
688.20	0.13137
688.40	0.12923
688.60	0.13245
688.80	0.13271
689.00	0.13048
689.20	0.12939
689.40	0.13127
689.60	0.13064
689.80	0.13168
690.00	0.13103
690.20	0.13077
690.40	0.12940
690.60	0.13072
690.80	0.13162
691.00	0.13173
691.20	0.12910
691.40	0.12697
691.60	0.12757
691.80	0.12842
692.00	0.12893
692.20	0.12743
692.40	0.12811
692.60	0.12698
692.80	0.12587
693.00	0.12484
693.20	0.12394
693.40	0.12290
693.60	0.12354
693.80	0.12253
694.00	0.12486
694.20	0.12231
694.40	0.12179
694.60	0.12195
694.80	0.12211
695.00	0.12181
695.20	0.12182
695.40	0.12280
695.60	0.12005
695.80	0.12018
696.00	0.12077
696.20	0.12181
696.40	0.12068
696.60	0.11848
696.80	0.11885
697.00	0.11912
697.20	0.11759
697.40	0.12013
697.60	0.12066
697.80	0.12074
698.00	0.12112
698.20	0.12326
698.40	0.12045
698.60	0.12101
698.80	0.12029
699.00	0.12070
699.20	0.12212
699.40	0.12042
699.60	0.12382
699.80	0.12258
700.00	0.12541
700.20	0.12665
700.40	0.12501
700.60	0.12862
700.80	0.12868
701.00	0.12793
701.20	0.12610
701.40	0.12928
701.60	0.13049
701.80	0.13383
702.00	0.13380
702.20	0.13250
702.40	0.13473
702.60	0.13885
702.80	0.13857
703.00	0.13807
703.20	0.13982
703.40	0.14044
703.60	0.14149
703.80	0.14146
704.00	0.14142
704.20	0.14374
704.40	0.14451
704.60	0.14697
704.80	0.14849
705.00	0.14838
705.20	0.15045
705.40	0.14919
705.60	0.15114
705.80	0.15014
706.00	0.15320
706.20	0.15093
706.40	0.15387
706.60	0.15533
706.80	0.15570
707.00	0.15544
707.20	0.15623
707.40	0.15755
707.60	0.15704
707.80	0.15857
708.00	0.16002
708.20	0.16079
708.40	0.16012
708.60	0.15846
708.80	0.15836
709.00	0.15871
709.20	0.15985
709.40	0.15732
709.60	0.15821
709.80	0.15994
710.00	0.15745
710.20	0.15954
710.40	0.15869
710.60	0.15579
710.80	0.15749
711.00	0.15349
711.20	0.15552
711.40	0.15483
711.60	0.15188
711.80	0.15444
712.00	0.15243
712.20	0.15249
712.40	0.15378
712.60	0.15019
712.80	0.14879
713.00	0.14798
713.20	0.14736
713.40	0.14768
713.60	0.14336
713.80	0.14682
714.00	0.14439
714.20	0.14202
714.40	0.13959
714.60	0.13938
714.80	0.13657
715.00	0.13843
715.20	0.13468
715.40	0.13537
715.60	0.13252
715.80	0.13285
716.00	0.12976
716.20	0.12730
716.40	0.12673
716.60	0.12674
716.80	0.12388
717.00	0.12241
717.20	0.12342
717.40	0.12256
717.60	0.12095
717.80	0.12150
718.00	0.11693
718.20	0.11921
718.40	0.11853
718.60	0.11369
718.80	0.11402
719.00	0.11622
719.20	0.11345
719.40	0.11123
719.60	0.11039
719.80	0.11165
720.00	0.10983
720.20	0.11046
720.40	0.10823
720.60	0.10847
720.80	0.10979
721.00	0.10640
721.20	0.10439
721.40	0.10727
721.60	0.10480
721.80	0.10298
722.00	0.10538
722.20	0.10517
722.40	0.10685
722.60	0.10384
722.80	0.10425
723.00	0.10646
723.20	0.10443
723.40	0.10434
723.60	0.10317
723.80	0.10321
724.00	0.10269
724.20	0.10241
724.40	0.10136
724.60	0.10323
724.80	0.10128
725.00	0.099585
725.20	0.099199
725.40	0.10085
725.60	0.10219
725.80	0.10164
726.00	0.10071
726.20	0.10083
726.40	0.10010
726.60	0.097857
726.80	0.098745
727.00	0.098357
727.20	0.10102
727.40	0.099949
727.60	0.098901
727.80	0.10037
728.00	0.097117
728.20	0.099524
728.40	0.095924
728.60	0.096817
728.80	0.096889
729.00	0.095719
729.20	0.097031
729.40	0.097272
729.60	0.094088
729.80	0.097538
730.00	0.092454
730.20	0.092640
730.40	0.095386
730.60	0.093996
730.80	0.094279
731.00	0.092330
731.20	0.093084
731.40	0.090542
731.60	0.090736
731.80	0.089507
732.00	0.089188
732.20	0.090217
732.40	0.090142
732.60	0.086730
732.80	0.087918
733.00	0.087192
733.20	0.085280
733.40	0.083657
733.60	0.083063
733.80	0.084281
734.00	0.083846
734.20	0.081053
734.40	0.080671
734.60	0.078550
734.80	0.079136
735.00	0.079694
735.20	0.077921
735.40	0.077047
735.60	0.076227
735.80	0.073185
736.00	0.074412
736.20	0.073137
736.40	0.072610
736.60	0.071094
736.80	0.068743
737.00	0.070120
737.20	0.068834
737.40	0.067567
737.60	0.066583
737.80	0.064674
738.00	0.066186
738.20	0.062778
738.40	0.061595
738.60	0.061945
738.80	0.063036
739.00	0.061614
739.20	0.060405
739.40	0.060382
739.60	0.057992
739.80	0.057553
740.00	0.055554
740.20	0.055661
740.40	0.054608
740.60	0.053760
740.80	0.054196
741.00	0.050494
741.20	0.051658
741.40	0.050003
741.60	0.049335
741.80	0.048242
742.00	0.048579
742.20	0.046682
742.40	0.046869
742.60	0.045681
742.80	0.045827
743.00	0.043507
743.20	0.043417
743.40	0.043429
743.60	0.042285
743.80	0.041102
744.00	0.042630
744.20	0.040005
744.40	0.040376
744.60	0.038901
744.80	0.038312
745.00	0.036341
745.20	0.039041
745.40	0.037932
745.60	0.036885
745.80	0.034593
746.00	0.034411
746.20	0.034718
746.40	0.033659
746.60	0.034511
746.80	0.032360
747.00	0.032123
747.20	0.031617
747.40	0.032644
747.60	0.030947
747.80	0.030265
748.00	0.028987
748.20	0.028535
748.40	0.028738
748.60	0.028725
748.80	0.028779
749.00	0.026868
749.20	0.027999
749.40	0.027462
749.60	0.027293
749.80	0.025713
750.00	0.026167
750.20	0.026347
750.40	0.025738
750.60	0.024661
750.80	0.024957
751.00	0.023295
751.20	0.023372
751.40	0.022875
751.60	0.023154
751.80	0.021804
752.00	0.022983
752.20	0.022396
752.40	0.021163
752.60	0.022808
752.80	0.022294
753.00	0.021963
753.20	0.021680
753.40	0.021082
753.60	0.020388
753.80	0.020236
754.00	0.021032
754.20	0.019670
754.40	0.019963
754.60	0.020162
754.80	0.019754
755.00	0.019416
755.20	0.018442
755.40	0.018492
755.60	0.018994
755.80	0.018518
756.00	0.019507
756.20	0.019736
756.40	0.018150
756.60	0.017762
756.80	0.017558
757.00	0.017270
757.20	0.016885
757.40	0.016781
757.60	0.017155
757.80	0.017921
758.00	0.016015
758.20	0.017534
758.40	0.016856
758.60	0.016560
758.80	0.016506
759.00	0.017636
759.20	0.016274
759.40	0.015578
759.60	0.014962
759.80	0.016297
760.00	0.015381
760.20	0.015168
760.40	0.014700
760.60	0.013720
760.80	0.014918
761.00	0.014431
761.20	0.014672
761.40	0.014432
761.60	0.014206
761.80	0.013700
762.00	0.014573
762.20	0.013408
762.40	0.014675
762.60	0.013922
762.80	0.013245
763.00	0.014447
763.20	0.014234
763.40	0.014170
763.60	0.012682
763.80	0.012893
764.00	0.013738
764.20	0.013649
764.40	0.013543
764.60	0.013270
764.80	0.013555
765.00	0.013080
765.20	0.013840
765.40	0.012973
765.60	0.012867
765.80	0.013066
766.00	0.013096
766.20	0.012868
766.40	0.013473
766.60	0.011712
766.80	0.012227
767.00	0.013102
767.20	0.011959
767.40	0.011612
767.60	0.012425
767.80	0.011520
768.00	0.011589
768.20	0.012208
768.40	0.011735
768.60	0.011507
768.80	0.011848
769.00	0.012488
769.20	0.011391
769.40	0.011708
769.60	0.011536
769.80	0.011689
770.00	0.011733
770.20	0.011343
770.40	0.012876
770.60	0.011297
770.80	0.010862
771.00	0.011746
771.20	0.011083
771.40	0.010992
771.60	0.011314
771.80	0.010833
772.00	0.011538
772.20	0.010903
772.40	0.011975
772.60	0.010580
772.80	0.012407
773.00	0.010230
773.20	0.010118
773.40	0.011429
773.60	0.010357
773.80	0.010460
774.00	0.010675
774.20	0.010744
774.40	0.011055
774.60	0.010640
774.80	0.010778
775.00	0.010231
775.20	0.0092285
775.40	0.011063
775.60	0.010739
775.80	0.0097330
776.00	0.010045
776.20	0.010261
776.40	0.0099168
776.60	0.0097820
776.80	0.010290
777.00	0.010560
777.20	0.0097549
777.40	0.0094509
777.60	0.010262
777.80	0.0099487
778.00	0.0099810
778.20	0.010093
778.40	0.010117
778.60	0.010194
778.80	0.0093695
779.00	0.0097052
779.20	0.0094506
779.40	0.0086390
779.60	0.0093342
779.80	0.0099056
780.00	0.010487
780.20	0.0097364
780.40	0.0099770
780.60	0.0094580
780.80	0.0097442
781.00	0.0095955
781.20	0.0090280
781.40	0.0090051
781.60	0.0084167
781.80	0.0090595
782.00	0.0088261
782.20	0.0099292
782.40	0.0089348
782.60	0.010666
782.80	0.0084461
783.00	0.0091037
783.20	0.0091448
783.40	0.0091029
783.60	0.0092922
783.80	0.0088610
784.00	0.0083355
784.20	0.0085617
784.40	0.0083229
784.60	0.0089597
784.80	0.0087953
785.00	0.0086492
785.20	0.0093809
785.40	0.0091113
785.60	0.0085127
785.80	0.0087393
786.00	0.0094371
786.20	0.0092697
786.40	0.0085738
786.60	0.0087638
786.80	0.0081505
787.00	0.0079807
787.20	0.0081138
787.40	0.0080099
787.60	0.0083522
787.80	0.0083055
788.00	0.0083346
788.20	0.0077917
788.40	0.0078967
788.60	0.0087954
788.80	0.0078777
789.00	0.0075998
789.20	0.0082135
789.40	0.0088672
789.60	0.0085508
789.80	0.0085805
790.00	0.0077424
790.20	0.0081057
790.40	0.0079674
790.60	0.0075968
790.80	0.0089282
791.00	0.0077736
791.20	0.0090005
791.40	0.0075145
791.60	0.0072974
791.80	0.0069439
792.00	0.0085143
792.20	0.0080445
792.40	0.0079828
792.60	0.0075799
792.80	0.0072447
793.00	0.0076993
793.20	0.0079984
793.40	0.0078973
793.60	0.0068373
793.80	0.0073029
794.00	0.0073381
794.20	0.0076184
794.40	0.0073498
794.60	0.0069528
794.80	0.0071254
795.00	0.0071802
795.20	0.0070213
795.40	0.0070689
795.60	0.0080050
795.80	0.0070162
796.00	0.0073212
796.20	0.0073198
796.40	0.0066738
796.60	0.0066517
796.80	0.0065700
797.00	0.0072840
797.20	0.0070335
797.40	0.0067623
797.60	0.0077587
797.80	0.0066880
798.00	0.0066556
798.20	0.0071342
798.40	0.0069417
798.60	0.0064074
798.80	0.0061131
799.00	0.0070764
799.20	0.0069333
799.40	0.0062046
799.60	0.0062622
799.80	0.0063301
800.00	0.0066105
