Wavelength (nm)
	230 ZnC-F5P10.abs
452.00	0.041905
453.00	0.038041
454.00	0.034961
455.00	0.032348
456.00	0.030892
457.00	0.028784
458.00	0.027644
459.00	0.026543
460.00	0.026040
461.00	0.024941
462.00	0.024495
463.00	0.023661
464.00	0.023012
465.00	0.022493
466.00	0.022713
467.00	0.022481
468.00	0.021807
469.00	0.022253
470.00	0.021462
471.00	0.021108
472.00	0.020807
473.00	0.020354
474.00	0.020968
475.00	0.020297
476.00	0.020804
477.00	0.020852
478.00	0.020394
479.00	0.021078
480.00	0.020678
481.00	0.021224
482.00	0.021470
483.00	0.021469
484.00	0.021955
485.00	0.021171
486.00	0.021287
487.00	0.021175
488.00	0.022203
489.00	0.022674
490.00	0.023327
491.00	0.023582
492.00	0.024045
493.00	0.024246
494.00	0.024738
495.00	0.024764
496.00	0.024726
497.00	0.025546
498.00	0.026000
499.00	0.025932
500.00	0.026757
501.00	0.026538
502.00	0.026545
503.00	0.026908
504.00	0.027667
505.00	0.027688
506.00	0.028207
507.00	0.029019
508.00	0.029116
509.00	0.030104
510.00	0.030623
511.00	0.030874
512.00	0.031567
513.00	0.032435
514.00	0.033313
515.00	0.034315
516.00	0.035591
517.00	0.036859
518.00	0.037434
519.00	0.038595
520.00	0.040100
521.00	0.040310
522.00	0.041441
523.00	0.042292
524.00	0.042981
525.00	0.043816
526.00	0.044452
527.00	0.044810
528.00	0.044922
529.00	0.045151
530.00	0.045445
531.00	0.044999
532.00	0.044379
533.00	0.043559
534.00	0.043645
535.00	0.042848
536.00	0.042088
537.00	0.041389
538.00	0.040688
539.00	0.040119
540.00	0.039261
541.00	0.038890
542.00	0.037969
543.00	0.037572
544.00	0.036503
545.00	0.036222
546.00	0.035877
547.00	0.035372
548.00	0.035113
549.00	0.035179
550.00	0.034473
551.00	0.034334
552.00	0.034525
553.00	0.034457
554.00	0.034688
555.00	0.034421
556.00	0.034687
557.00	0.034816
558.00	0.034766
559.00	0.034750
560.00	0.034539
561.00	0.035099
562.00	0.035270
563.00	0.035201
564.00	0.035582
565.00	0.035899
566.00	0.036059
567.00	0.036004
568.00	0.036268
569.00	0.036274
570.00	0.036515
571.00	0.036672
572.00	0.037353
573.00	0.037615
574.00	0.037471
575.00	0.038502
576.00	0.038147
577.00	0.038300
578.00	0.039103
579.00	0.039804
580.00	0.039065
581.00	0.039449
582.00	0.040651
583.00	0.041742
584.00	0.040705
585.00	0.041587
586.00	0.043363
587.00	0.042842
588.00	0.044229
589.00	0.045604
590.00	0.045941
591.00	0.047416
592.00	0.047903
593.00	0.048523
594.00	0.050277
595.00	0.050535
596.00	0.052196
597.00	0.052436
598.00	0.053339
599.00	0.053909
600.00	0.054829
601.00	0.055259
602.00	0.055748
603.00	0.055634
604.00	0.056510
605.00	0.056266
606.00	0.056406
607.00	0.056492
608.00	0.056479
609.00	0.056568
610.00	0.055839
611.00	0.056184
612.00	0.055837
613.00	0.055424
614.00	0.055478
615.00	0.055246
616.00	0.055330
617.00	0.055484
618.00	0.055674
619.00	0.056247
620.00	0.056610
621.00	0.058535
622.00	0.058405
623.00	0.060452
624.00	0.062202
625.00	0.064710
626.00	0.067513
627.00	0.070058
628.00	0.073891
629.00	0.077933
630.00	0.082992
631.00	0.088121
632.00	0.093738
633.00	0.099932
634.00	0.10605
635.00	0.11317
636.00	0.12025
637.00	0.12773
638.00	0.13507
639.00	0.14329
640.00	0.15149
641.00	0.15913
642.00	0.16626
643.00	0.17284
644.00	0.17997
645.00	0.18671
646.00	0.19149
647.00	0.19497
648.00	0.19697
649.00	0.19926
650.00	0.20032
651.00	0.19992
652.00	0.19787
653.00	0.19368
654.00	0.18963
655.00	0.18479
656.00	0.17820
657.00	0.16710
658.00	0.15439
659.00	0.14396
660.00	0.13247
661.00	0.12091
662.00	0.10938
663.00	0.098178
664.00	0.088065
665.00	0.078080
666.00	0.069324
667.00	0.060437
668.00	0.053193
669.00	0.045973
670.00	0.040126
671.00	0.034786
672.00	0.030038
673.00	0.026440
674.00	0.022737
675.00	0.019949
676.00	0.017135
677.00	0.015258
678.00	0.013133
679.00	0.011680
680.00	0.010071
681.00	0.0089159
682.00	0.0081359
683.00	0.0073163
684.00	0.0061641
685.00	0.0052850
686.00	0.0051692
687.00	0.0046359
688.00	0.0042318
689.00	0.0040888
690.00	0.0038416
691.00	0.0030877
692.00	0.0031911
693.00	0.0027074
694.00	0.0024958
695.00	0.0024789
696.00	0.0025681
697.00	0.0022050
698.00	0.0022296
699.00	0.0022641
700.00	0.0022689
701.00	0.0022707
702.00	0.0018325
703.00	0.0017368
704.00	0.0019674
705.00	0.0018717
706.00	0.0017507
707.00	0.0013349
708.00	0.0016147
709.00	0.0016862
710.00	0.0013738
711.00	0.0012106
712.00	0.0012711
713.00	0.00095317
714.00	0.00078888
715.00	0.00097629
716.00	0.0014765
717.00	0.0010918
718.00	0.00088170
719.00	0.00088904
720.00	0.00088722
721.00	0.00087146
722.00	0.00092574
723.00	0.00097379
724.00	0.00087955
725.00	0.00083702
726.00	0.00046370
727.00	0.00063424
728.00	0.00067239
729.00	0.00049564
730.00	0.00046044
731.00	0.00038784
732.00	0.00036621
733.00	0.00060679
734.00	0.00034239
735.00	0.00046195
736.00	0.00051147
737.00	0.00040182
738.00	0.00061747
739.00	8.1326e-05
740.00	0.00011214
741.00	0.00063290
742.00	0.00050235
743.00	0.00039528
744.00	0.00051887
745.00	0.00027868
746.00	0.00033149
747.00	0.00031757
748.00	0.00018189
749.00	0.00052662
750.00	0.00015073
