Wavelength (nm)	L212 H2C-P15 (SE251).ems
619.80	0.0095400
620.00	0.011110
620.20	0.010630
620.40	0.011480
620.60	0.012130
620.80	0.013070
621.00	0.014540
621.20	0.015450
621.40	0.015890
621.60	0.017160
621.80	0.018110
622.00	0.019330
622.20	0.020270
622.40	0.021170
622.60	0.022250
622.80	0.023810
623.00	0.026200
623.20	0.026770
623.40	0.027730
623.60	0.029200
623.80	0.031830
624.00	0.032570
624.20	0.034860
624.40	0.036850
624.60	0.036810
624.80	0.040620
625.00	0.041260
625.20	0.042670
625.40	0.045430
625.60	0.047690
625.80	0.048350
626.00	0.053090
626.20	0.054270
626.40	0.056560
626.60	0.060810
626.80	0.061770
627.00	0.063960
627.20	0.067440
627.40	0.069850
627.60	0.073240
627.80	0.075590
628.00	0.081180
628.20	0.085700
628.40	0.089740
628.60	0.094630
628.80	0.099340
629.00	0.10589
629.20	0.11207
629.40	0.11827
629.60	0.12805
629.80	0.13543
630.00	0.14246
630.20	0.15532
630.40	0.16189
630.60	0.17400
630.80	0.18586
631.00	0.20129
631.20	0.21462
631.40	0.22789
631.60	0.24607
631.80	0.26059
632.00	0.27943
632.20	0.29382
632.40	0.31240
632.60	0.33433
632.80	0.35699
633.00	0.37937
633.20	0.40353
633.40	0.42515
633.60	0.45100
633.80	0.47476
634.00	0.50040
634.20	0.52881
634.40	0.55086
634.60	0.57388
634.80	0.60371
635.00	0.62585
635.20	0.65494
635.40	0.68297
635.60	0.70893
635.80	0.73371
636.00	0.74993
636.20	0.78121
636.40	0.79698
636.60	0.81875
636.80	0.84163
637.00	0.86186
637.20	0.88170
637.40	0.89647
637.60	0.91850
637.80	0.92762
638.00	0.94618
638.20	0.95164
638.40	0.96669
638.60	0.97498
638.80	0.98583
639.00	0.98913
639.20	0.99200
639.40	0.99555
639.60	0.99700
639.80	0.99767
640.00	1.0000
640.20	0.99515
640.40	0.99002
640.60	0.98916
640.80	0.97950
641.00	0.97404
641.20	0.96046
641.40	0.94848
641.60	0.93416
641.80	0.93166
642.00	0.91285
642.20	0.89610
642.40	0.88648
642.60	0.86964
642.80	0.84880
643.00	0.83322
643.20	0.82254
643.40	0.79972
643.60	0.78290
643.80	0.76117
644.00	0.74416
644.20	0.72727
644.40	0.71139
644.60	0.69210
644.80	0.66718
645.00	0.65308
645.20	0.63598
645.40	0.61529
645.60	0.59473
645.80	0.58548
646.00	0.56786
646.20	0.54547
646.40	0.53143
646.60	0.51386
646.80	0.50183
647.00	0.48455
647.20	0.47048
647.40	0.45409
647.60	0.44158
647.80	0.42425
648.00	0.41725
648.20	0.40611
648.40	0.39293
648.60	0.38193
648.80	0.37012
649.00	0.36119
649.20	0.34854
649.40	0.34037
649.60	0.33290
649.80	0.32305
650.00	0.30886
650.20	0.30386
650.40	0.29199
650.60	0.28262
650.80	0.27845
651.00	0.27210
651.20	0.26654
651.40	0.25844
651.60	0.24778
651.80	0.24172
652.00	0.23411
652.20	0.22875
652.40	0.22244
652.60	0.21531
652.80	0.20816
653.00	0.20289
653.20	0.19769
653.40	0.19215
653.60	0.18816
653.80	0.18148
654.00	0.18004
654.20	0.17392
654.40	0.16975
654.60	0.16008
654.80	0.15585
655.00	0.15332
655.20	0.14973
655.40	0.14515
655.60	0.13771
655.80	0.13506
656.00	0.13052
656.20	0.12861
656.40	0.12239
656.60	0.11723
656.80	0.11628
657.00	0.11111
657.20	0.10799
657.40	0.10509
657.60	0.098750
657.80	0.099000
658.00	0.095140
658.20	0.092730
658.40	0.090160
658.60	0.086600
658.80	0.084330
659.00	0.082360
659.20	0.080590
659.40	0.077170
659.60	0.074790
659.80	0.074280
660.00	0.072480
660.20	0.069290
660.40	0.068990
660.60	0.065860
660.80	0.065990
661.00	0.062030
661.20	0.062720
661.40	0.062070
661.60	0.061510
661.80	0.058900
662.00	0.059690
662.20	0.058050
662.40	0.057230
662.60	0.055980
662.80	0.055730
663.00	0.055970
663.20	0.056160
663.40	0.056890
663.60	0.054260
663.80	0.054790
664.00	0.054730
664.20	0.054630
664.40	0.055070
664.60	0.054300
664.80	0.053250
665.00	0.054780
665.20	0.053150
665.40	0.056110
665.60	0.055060
665.80	0.055880
666.00	0.054870
666.20	0.055930
666.40	0.056330
666.60	0.055890
666.80	0.056390
667.00	0.057390
667.20	0.057050
667.40	0.057240
667.60	0.059230
667.80	0.058930
668.00	0.060900
668.20	0.060950
668.40	0.062210
668.60	0.058970
668.80	0.062040
669.00	0.061910
669.20	0.062300
669.40	0.062800
669.60	0.061230
669.80	0.061270
670.00	0.061780
670.20	0.062500
670.40	0.064950
670.60	0.064590
670.80	0.064440
671.00	0.062070
671.20	0.063650
671.40	0.064040
671.60	0.062190
671.80	0.061620
672.00	0.062840
672.20	0.062960
672.40	0.063810
672.60	0.063970
672.80	0.065360
673.00	0.062120
673.20	0.064100
673.40	0.065170
673.60	0.067180
673.80	0.066130
674.00	0.064000
674.20	0.064500
674.40	0.064920
674.60	0.066210
674.80	0.064290
675.00	0.065910
675.20	0.064800
675.40	0.066740
675.60	0.065930
675.80	0.065510
676.00	0.066790
676.20	0.066510
676.40	0.067410
676.60	0.066480
676.80	0.066120
677.00	0.068140
677.20	0.067830
677.40	0.068090
677.60	0.069940
677.80	0.068960
678.00	0.070920
678.20	0.070620
678.40	0.069860
678.60	0.073460
678.80	0.070090
679.00	0.070590
679.20	0.071750
679.40	0.071600
679.60	0.071440
679.80	0.071450
680.00	0.073430
680.20	0.073740
680.40	0.072560
680.60	0.075110
680.80	0.072590
681.00	0.074250
681.20	0.073620
681.40	0.072640
681.60	0.071490
681.80	0.074950
682.00	0.072520
682.20	0.072930
682.40	0.071500
682.60	0.071000
682.80	0.072420
683.00	0.068860
683.20	0.069190
683.40	0.069610
683.60	0.068510
683.80	0.069650
684.00	0.067800
684.20	0.068770
684.40	0.068770
684.60	0.067270
684.80	0.067040
685.00	0.067790
685.20	0.065040
685.40	0.065110
685.60	0.066730
685.80	0.063210
686.00	0.064610
686.20	0.062180
686.40	0.062220
686.60	0.062510
686.80	0.060140
687.00	0.061910
687.20	0.059770
687.40	0.060840
687.60	0.059380
687.80	0.057350
688.00	0.059040
688.20	0.056870
688.40	0.056780
688.60	0.057210
688.80	0.057310
689.00	0.056010
689.20	0.056210
689.40	0.057800
689.60	0.056230
689.80	0.056300
690.00	0.056310
690.20	0.056850
690.40	0.055340
690.60	0.056560
690.80	0.056500
691.00	0.056160
691.20	0.054360
691.40	0.054510
691.60	0.056390
691.80	0.055340
692.00	0.056550
692.20	0.057580
692.40	0.056040
692.60	0.056970
692.80	0.058290
693.00	0.058380
693.20	0.055560
693.40	0.056100
693.60	0.056520
693.80	0.057150
694.00	0.057580
694.20	0.055890
694.40	0.058820
694.60	0.057690
694.80	0.059650
695.00	0.058910
695.20	0.059280
695.40	0.058340
695.60	0.060330
695.80	0.058960
696.00	0.058890
696.20	0.058790
696.40	0.059790
696.60	0.061480
696.80	0.059970
697.00	0.061120
697.20	0.060630
697.40	0.060520
697.60	0.059620
697.80	0.059460
698.00	0.059400
698.20	0.062960
698.40	0.063180
698.60	0.061660
698.80	0.064510
699.00	0.061490
699.20	0.061790
699.40	0.062480
699.60	0.059720
699.80	0.062920
700.00	0.061950
700.20	0.059970
700.40	0.063510
700.60	0.062190
700.80	0.063400
701.00	0.062490
701.20	0.059470
701.40	0.062070
701.60	0.060540
701.80	0.061210
702.00	0.063460
702.20	0.060610
702.40	0.061310
702.60	0.063340
702.80	0.061190
703.00	0.063670
703.20	0.063930
703.40	0.062230
703.60	0.061200
703.80	0.059890
704.00	0.062970
704.20	0.059990
704.40	0.062240
704.60	0.062000
704.80	0.059810
705.00	0.059790
705.20	0.061450
705.40	0.059800
705.60	0.060820
705.80	0.061930
706.00	0.061140
706.20	0.060150
706.40	0.062720
706.60	0.059510
706.80	0.060640
707.00	0.062160
707.20	0.059640
707.40	0.060530
707.60	0.062550
707.80	0.060950
708.00	0.059640
708.20	0.060360
708.40	0.060430
708.60	0.061750
708.80	0.061710
709.00	0.059410
709.20	0.058710
709.40	0.061530
709.60	0.060510
709.80	0.059320
710.00	0.058220
710.20	0.059720
710.40	0.055580
710.60	0.056930
710.80	0.057240
711.00	0.057710
711.20	0.054540
711.40	0.057110
711.60	0.054880
711.80	0.056590
712.00	0.055310
712.20	0.055710
712.40	0.053490
712.60	0.055740
712.80	0.054590
713.00	0.052520
713.20	0.052370
713.40	0.049550
713.60	0.052230
713.80	0.049210
714.00	0.050070
714.20	0.047120
714.40	0.046170
714.60	0.049930
714.80	0.046800
715.00	0.043520
715.20	0.045280
715.40	0.044640
715.60	0.044040
715.80	0.041650
716.00	0.043340
716.20	0.042370
716.40	0.039880
716.60	0.037330
716.80	0.038870
717.00	0.038810
717.20	0.035980
717.40	0.036910
717.60	0.037130
717.80	0.033750
718.00	0.033800
718.20	0.032810
718.40	0.032910
718.60	0.031340
718.80	0.029750
719.00	0.031430
719.20	0.030440
719.40	0.029090
719.60	0.027800
719.80	0.028710
720.00	0.026860
720.20	0.028720
720.40	0.027060
720.60	0.026500
720.80	0.025850
721.00	0.024670
721.20	0.024220
721.40	0.023960
721.60	0.025270
721.80	0.023900
722.00	0.022850
722.20	0.021620
722.40	0.022310
722.60	0.021500
722.80	0.022090
723.00	0.021040
723.20	0.022170
723.40	0.019970
723.60	0.019420
723.80	0.019440
724.00	0.020600
724.20	0.019350
724.40	0.019740
724.60	0.019520
724.80	0.020750
725.00	0.018510
725.20	0.018310
725.40	0.018670
725.60	0.018990
725.80	0.017430
726.00	0.019150
726.20	0.015870
726.40	0.015440
726.60	0.015930
726.80	0.016580
727.00	0.016420
727.20	0.016750
727.40	0.016460
727.60	0.015850
727.80	0.015110
728.00	0.014470
728.20	0.014950
728.40	0.014660
728.60	0.013460
728.80	0.015450
729.00	0.013260
729.20	0.014430
729.40	0.012840
729.60	0.013040
729.80	0.014340
730.00	0.012880
730.20	0.014400
730.40	0.013400
730.60	0.013420
730.80	0.012430
731.00	0.012670
731.20	0.012310
731.40	0.012770
731.60	0.012810
731.80	0.011490
732.00	0.012940
732.20	0.011570
732.40	0.012030
732.60	0.012370
732.80	0.012110
733.00	0.011280
733.20	0.012210
733.40	0.012350
733.60	0.010810
733.80	0.011470
734.00	0.011970
734.20	0.011830
734.40	0.012460
734.60	0.011210
734.80	0.011590
735.00	0.010700
735.20	0.011230
735.40	0.010350
735.60	0.010900
735.80	0.010460
736.00	0.0098200
736.20	0.0098700
736.40	0.010110
736.60	0.0092000
736.80	0.0094200
737.00	0.0096200
737.20	0.010120
737.40	0.010440
737.60	0.010880
737.80	0.0096800
738.00	0.0090600
738.20	0.0094700
738.40	0.011600
738.60	0.0093400
738.80	0.0098300
739.00	0.0085400
739.20	0.0092800
739.40	0.0087700
739.60	0.010830
739.80	0.0099400
740.00	0.0073900
740.20	0.0083700
740.40	0.0080100
740.60	0.0082200
740.80	0.0082400
741.00	0.0081200
741.20	0.0091300
741.40	0.0090600
741.60	0.0084300
741.80	0.0076400
742.00	0.0083800
742.20	0.0080900
742.40	0.0089300
742.60	0.0075300
742.80	0.0085100
743.00	0.0065300
743.20	0.0080700
743.40	0.0079900
743.60	0.0079600
743.80	0.0082200
744.00	0.0085300
744.20	0.0071300
744.40	0.0070500
744.60	0.0074200
744.80	0.0078000
745.00	0.0069800
745.20	0.0068000
745.40	0.0062900
745.60	0.0064700
745.80	0.0071100
746.00	0.0066600
746.20	0.0073000
746.40	0.0056200
746.60	0.0074000
746.80	0.0063900
747.00	0.0060100
747.20	0.0057800
747.40	0.0059000
747.60	0.0066500
747.80	0.0049000
748.00	0.0069200
748.20	0.0072200
748.40	0.0067400
748.60	0.0063500
748.80	0.0055200
749.00	0.0067300
749.20	0.0061000
749.40	0.0051000
749.60	0.0057200
749.80	0.0052600
750.00	0.0059900
750.20	0.0057900
750.40	0.0050400
750.60	0.0055800
750.80	0.0053000
751.00	0.0057100
751.20	0.0063800
751.40	0.0062500
751.60	0.0054500
751.80	0.0058000
752.00	0.0046100
752.20	0.0057700
752.40	0.0044700
752.60	0.0062300
752.80	0.0059900
753.00	0.0059800
753.20	0.0049900
753.40	0.0059300
753.60	0.0057600
753.80	0.0052100
754.00	0.0043900
754.20	0.0049300
754.40	0.0051100
754.60	0.0051000
754.80	0.0050000
755.00	0.0043100
755.20	0.0041800
755.40	0.0048600
755.60	0.0050000
755.80	0.0039400
756.00	0.0055600
756.20	0.0054100
756.40	0.0043700
756.60	0.0046500
756.80	0.0048900
757.00	0.0043900
757.20	0.0049300
757.40	0.0047400
757.60	0.0052200
757.80	0.0041400
758.00	0.0051100
758.20	0.0049300
758.40	0.0050500
758.60	0.0038600
758.80	0.0036000
759.00	0.0053500
759.20	0.0047000
759.40	0.0033000
759.60	0.0044700
759.80	0.0042000
760.00	0.0041300
760.20	0.0038100
760.40	0.0039800
760.60	0.0042700
760.80	0.0039000
761.00	0.0030000
761.20	0.0042200
761.40	0.0038600
761.60	0.0037100
761.80	0.0033300
762.00	0.0039100
762.20	0.0042200
762.40	0.0047000
762.60	0.0032100
762.80	0.0042400
763.00	0.0040000
763.20	0.0052100
763.40	0.0041000
763.60	0.0035700
763.80	0.0035700
764.00	0.0037200
764.20	0.0037300
764.40	0.0041800
764.60	0.0032000
764.80	0.0039200
765.00	0.0035500
765.20	0.0036100
765.40	0.0040200
765.60	0.0027800
765.80	0.0029100
766.00	0.0041200
766.20	0.0037500
766.40	0.0031800
766.60	0.0028700
766.80	0.0034300
767.00	0.0039200
767.20	0.0025600
767.40	0.0029900
767.60	0.0023100
767.80	0.0035000
768.00	0.0032000
768.20	0.0023700
768.40	0.0032600
768.60	0.0029800
768.80	0.0023800
769.00	0.0024900
769.20	0.0025600
769.40	0.0030700
769.60	0.0030300
769.80	0.0035600
770.00	0.0028900
770.20	0.0037000
770.40	0.0027200
770.60	0.0025300
770.80	0.0028800
771.00	0.0024000
771.20	0.0031800
771.40	0.0026800
771.60	0.0027700
771.80	0.0026900
772.00	0.0035600
772.20	0.0032100
772.40	0.0030600
772.60	0.0025900
772.80	0.0023700
773.00	0.0021300
773.20	0.0022900
773.40	0.0028300
773.60	0.0024300
773.80	0.0019600
774.00	0.0024600
774.20	0.0027600
774.40	0.0028600
774.60	0.0027300
774.80	0.0021600
775.00	0.0029200
775.20	0.0035400
775.40	0.0042100
775.60	0.0023100
775.80	0.0029600
776.00	0.0027600
776.20	0.0032700
776.40	0.0033600
776.60	0.0033900
776.80	0.0024000
777.00	0.0022500
777.20	0.0024800
777.40	0.0024600
777.60	0.0019100
777.80	0.0021200
778.00	0.0024300
778.20	0.0018200
778.40	0.0025300
778.60	0.0024800
778.80	0.0026500
779.00	0.0016700
779.20	0.0024700
779.40	0.0037900
779.60	0.0019800
779.80	0.0020300
780.00	0.0026500
780.20	0.0026800
780.40	0.0019700
780.60	0.0015500
780.80	0.0018600
781.00	0.0026200
781.20	0.0028400
781.40	0.0024400
781.60	0.0020800
781.80	0.0026400
782.00	0.0013500
782.20	0.0022400
782.40	0.0026500
782.60	0.0026500
782.80	0.0011600
783.00	0.0024400
783.20	0.0024700
783.40	0.0020400
783.60	0.0019900
783.80	0.0015800
784.00	0.0025400
784.20	0.0016600
784.40	0.00090488
784.60	0.0018600
784.80	0.0026200
785.00	0.0016700
785.20	0.0018500
785.40	0.0015800
785.60	0.0021200
785.80	0.0026900
786.00	0.0023800
786.20	0.0022100
786.40	0.0023300
786.60	0.0021600
786.80	0.0018700
787.00	0.0026400
787.20	0.0023000
787.40	0.0022000
787.60	0.0030500
787.80	0.0018800
788.00	0.0032900
788.20	0.0025600
788.40	0.0019100
788.60	0.0028400
788.80	0.00090748
789.00	0.0025000
789.20	0.0014400
789.40	0.0011600
789.60	0.0013900
789.80	0.0021600
790.00	0.0024100
790.20	0.0020100
790.40	0.0012500
790.60	0.0017100
790.80	0.0015800
791.00	0.0013500
791.20	0.0021500
791.40	0.0017900
791.60	0.0019700
791.80	0.0013900
792.00	0.0023400
792.20	0.0019600
792.40	0.00092688
792.60	0.0024200
792.80	0.0018100
793.00	0.0017800
793.20	0.0011900
793.40	0.00087891
793.60	0.0017600
793.80	0.0013500
794.00	0.0020200
794.20	0.0018900
794.40	0.00070074
794.60	0.0012700
794.80	0.0018200
795.00	0.0012500
795.20	0.00046864
795.40	0.0017500
795.60	0.0020300
795.80	0.0019600
796.00	0.0020900
796.20	0.0011200
796.40	0.0015400
796.60	0.0010200
796.80	0.00068122
797.00	0.0015200
797.20	0.0018400
797.40	0.00052567
797.60	0.00086841
797.80	0.0016100
798.00	0.0019800
798.20	0.0018200
798.40	0.0019300
798.60	0.00095286
798.80	0.0016400
799.00	0.0012200
799.20	0.0010900
799.40	0.0011200
799.60	0.0012000
799.80	0.00055969
800.00	0.0015200
