Wavelength (nm)	L285 ZnOP-He3P10 (SE366).ems
665.40	0.22513
665.60	0.22375
665.80	0.21575
666.00	0.21398
666.20	0.20939
666.40	0.20770
666.60	0.20318
666.80	0.20045
667.00	0.19729
667.20	0.19442
667.40	0.19055
667.60	0.18869
667.80	0.18621
668.00	0.18388
668.20	0.18389
668.40	0.18094
668.60	0.17931
668.80	0.17637
669.00	0.17361
669.20	0.17276
669.40	0.17025
669.60	0.16810
669.80	0.16770
670.00	0.16675
670.20	0.16344
670.40	0.16388
670.60	0.16261
670.80	0.15991
671.00	0.15992
671.20	0.15855
671.40	0.15803
671.60	0.15705
671.80	0.15716
672.00	0.15555
672.20	0.15254
672.40	0.15255
672.60	0.15290
672.80	0.15285
673.00	0.15184
673.20	0.15015
673.40	0.14992
673.60	0.15028
673.80	0.14923
674.00	0.14792
674.20	0.14719
674.40	0.14572
674.60	0.14627
674.80	0.14556
675.00	0.14423
675.20	0.14347
675.40	0.14402
675.60	0.14357
675.80	0.14187
676.00	0.14108
676.20	0.14058
676.40	0.13849
676.60	0.13889
676.80	0.13677
677.00	0.13989
677.20	0.13571
677.40	0.13678
677.60	0.13624
677.80	0.13495
678.00	0.13149
678.20	0.13457
678.40	0.13403
678.60	0.13230
678.80	0.13271
679.00	0.13235
679.20	0.12972
679.40	0.12790
679.60	0.12863
679.80	0.12884
680.00	0.12832
680.20	0.12785
680.40	0.12596
680.60	0.12713
680.80	0.12439
681.00	0.12513
681.20	0.12520
681.40	0.12330
681.60	0.12392
681.80	0.12316
682.00	0.12289
682.20	0.12538
682.40	0.12280
682.60	0.12154
682.80	0.12459
683.00	0.12171
683.20	0.12455
683.40	0.12349
683.60	0.12170
683.80	0.12268
684.00	0.12310
684.20	0.12259
684.40	0.12227
684.60	0.12377
684.80	0.12360
685.00	0.12450
685.20	0.12465
685.40	0.12276
685.60	0.12506
685.80	0.12341
686.00	0.12455
686.20	0.12432
686.40	0.12623
686.60	0.12694
686.80	0.12761
687.00	0.12638
687.20	0.12668
687.40	0.12859
687.60	0.13105
687.80	0.13024
688.00	0.13188
688.20	0.13145
688.40	0.13251
688.60	0.13020
688.80	0.13417
689.00	0.13402
689.20	0.13423
689.40	0.13791
689.60	0.13565
689.80	0.13774
690.00	0.13988
690.20	0.13803
690.40	0.13921
690.60	0.14013
690.80	0.14110
691.00	0.14491
691.20	0.14233
691.40	0.14329
691.60	0.14515
691.80	0.14744
692.00	0.14679
692.20	0.14755
692.40	0.14686
692.60	0.14786
692.80	0.15068
693.00	0.15042
693.20	0.15086
693.40	0.15274
693.60	0.15386
693.80	0.15587
694.00	0.15554
694.20	0.15465
694.40	0.15672
694.60	0.15641
694.80	0.16082
695.00	0.15856
695.20	0.15691
695.40	0.16034
695.60	0.16185
695.80	0.16298
696.00	0.16309
696.20	0.16304
696.40	0.16470
696.60	0.16191
696.80	0.16725
697.00	0.16532
697.20	0.16701
697.40	0.16853
697.60	0.16750
697.80	0.16795
698.00	0.17037
698.20	0.17035
698.40	0.17072
698.60	0.17291
698.80	0.16968
699.00	0.17114
699.20	0.17117
699.40	0.17295
699.60	0.17256
699.80	0.17362
700.00	0.17290
700.20	0.17708
700.40	0.17343
700.60	0.17200
700.80	0.17589
701.00	0.17596
701.20	0.17497
701.40	0.17708
701.60	0.17318
701.80	0.17561
702.00	0.17558
702.20	0.17402
702.40	0.17579
702.60	0.17581
702.80	0.17613
703.00	0.17536
703.20	0.17856
703.40	0.17618
703.60	0.17737
703.80	0.17440
704.00	0.17455
704.20	0.17707
704.40	0.17605
704.60	0.17743
704.80	0.17813
705.00	0.17447
705.20	0.17400
705.40	0.17499
705.60	0.17453
705.80	0.17656
706.00	0.17476
706.20	0.17403
706.40	0.17486
706.60	0.17482
706.80	0.17448
707.00	0.17437
707.20	0.17358
707.40	0.17356
707.60	0.17396
707.80	0.17664
708.00	0.17297
708.20	0.17001
708.40	0.17005
708.60	0.16878
708.80	0.17065
709.00	0.16738
709.20	0.16994
709.40	0.16805
709.60	0.17112
709.80	0.16705
710.00	0.16603
710.20	0.16601
710.40	0.16661
710.60	0.16247
710.80	0.16238
711.00	0.15810
711.20	0.16141
711.40	0.15876
711.60	0.16196
711.80	0.15960
712.00	0.15915
712.20	0.15601
712.40	0.15582
712.60	0.15421
712.80	0.15529
713.00	0.15236
713.20	0.15430
713.40	0.14956
713.60	0.14928
713.80	0.14647
714.00	0.14687
714.20	0.14643
714.40	0.14530
714.60	0.14278
714.80	0.14455
715.00	0.14107
715.20	0.13863
715.40	0.14050
715.60	0.13756
715.80	0.13519
716.00	0.13471
716.20	0.13099
716.40	0.13171
716.60	0.12837
716.80	0.12708
717.00	0.12655
717.20	0.12138
717.40	0.12301
717.60	0.11846
717.80	0.12111
718.00	0.11824
718.20	0.11558
718.40	0.11750
718.60	0.11288
718.80	0.11124
719.00	0.10959
719.20	0.10841
719.40	0.10808
719.60	0.10680
719.80	0.10533
720.00	0.10419
720.20	0.10298
720.40	0.098378
720.60	0.095541
720.80	0.097499
721.00	0.095466
721.20	0.094576
721.40	0.092065
721.60	0.090612
721.80	0.089576
722.00	0.087316
722.20	0.086094
722.40	0.082447
722.60	0.085221
722.80	0.082781
723.00	0.078039
723.20	0.080558
723.40	0.078067
723.60	0.078482
723.80	0.077031
724.00	0.074827
724.20	0.074146
724.40	0.072755
724.60	0.071550
724.80	0.070222
725.00	0.069167
725.20	0.069342
725.40	0.069133
725.60	0.066246
725.80	0.064978
726.00	0.063542
726.20	0.064671
726.40	0.062128
726.60	0.060105
726.80	0.059873
727.00	0.058370
727.20	0.059397
727.40	0.058734
727.60	0.055727
727.80	0.056854
728.00	0.054451
728.20	0.052301
728.40	0.052997
728.60	0.052403
728.80	0.053374
729.00	0.051296
729.20	0.051993
729.40	0.048684
729.60	0.049812
729.80	0.047130
730.00	0.047231
730.20	0.047120
730.40	0.046214
730.60	0.045576
730.80	0.046340
731.00	0.044691
731.20	0.044641
731.40	0.043487
731.60	0.041863
731.80	0.041325
732.00	0.041968
732.20	0.040729
732.40	0.041154
732.60	0.040873
732.80	0.039369
733.00	0.039886
733.20	0.039692
733.40	0.036310
733.60	0.038074
733.80	0.038021
734.00	0.036406
734.20	0.036166
734.40	0.035580
734.60	0.036656
734.80	0.035172
735.00	0.035177
735.20	0.034431
735.40	0.033969
735.60	0.032779
735.80	0.033923
736.00	0.032754
736.20	0.032320
736.40	0.030600
736.60	0.031357
736.80	0.030848
737.00	0.031573
737.20	0.029970
737.40	0.031267
737.60	0.028958
737.80	0.028866
738.00	0.029425
738.20	0.028462
738.40	0.028881
738.60	0.028589
738.80	0.027710
739.00	0.026714
739.20	0.027295
739.40	0.026003
739.60	0.026621
739.80	0.026221
740.00	0.026748
740.20	0.026260
740.40	0.026437
740.60	0.025674
740.80	0.025469
741.00	0.024845
741.20	0.025712
741.40	0.023801
741.60	0.023332
741.80	0.024215
742.00	0.022685
742.20	0.023571
742.40	0.022457
742.60	0.023662
742.80	0.022468
743.00	0.022525
743.20	0.021870
743.40	0.021888
743.60	0.023143
743.80	0.022738
744.00	0.022428
744.20	0.022784
744.40	0.022495
744.60	0.021540
744.80	0.021328
745.00	0.021790
745.20	0.020347
745.40	0.020420
745.60	0.020982
745.80	0.021355
746.00	0.020324
746.20	0.020793
746.40	0.020545
746.60	0.021193
746.80	0.020349
747.00	0.020604
747.20	0.020415
747.40	0.019704
747.60	0.019426
747.80	0.019500
748.00	0.020146
748.20	0.020119
748.40	0.019871
748.60	0.019740
748.80	0.019324
749.00	0.017874
749.20	0.019717
749.40	0.019743
749.60	0.018245
749.80	0.019067
750.00	0.018747
750.20	0.018658
750.40	0.018786
750.60	0.017914
750.80	0.018203
751.00	0.018233
751.20	0.018207
751.40	0.017708
751.60	0.018251
751.80	0.017832
752.00	0.017575
752.20	0.016800
752.40	0.017788
752.60	0.016697
752.80	0.016328
753.00	0.017222
753.20	0.017233
753.40	0.017086
753.60	0.017654
753.80	0.017515
754.00	0.017886
754.20	0.017144
754.40	0.017447
754.60	0.017794
754.80	0.017637
755.00	0.016313
755.20	0.016177
755.40	0.016142
755.60	0.016404
755.80	0.016438
756.00	0.016727
756.20	0.015885
756.40	0.016769
756.60	0.016997
756.80	0.015813
757.00	0.016341
757.20	0.017165
757.40	0.016797
757.60	0.017139
757.80	0.016098
758.00	0.017365
758.20	0.016066
758.40	0.016549
758.60	0.016612
758.80	0.017072
759.00	0.014375
759.20	0.015671
759.40	0.016335
759.60	0.015314
759.80	0.016176
760.00	0.015980
760.20	0.016122
760.40	0.015996
760.60	0.015053
760.80	0.014239
761.00	0.016084
761.20	0.016110
761.40	0.015702
761.60	0.015238
761.80	0.016989
762.00	0.015197
762.20	0.014885
762.40	0.015275
762.60	0.014066
762.80	0.015480
763.00	0.015551
763.20	0.015126
763.40	0.016071
763.60	0.015719
763.80	0.015107
764.00	0.016028
764.20	0.015175
764.40	0.015663
764.60	0.016245
764.80	0.015527
765.00	0.014573
765.20	0.016099
765.40	0.015059
765.60	0.014044
765.80	0.014666
766.00	0.015319
766.20	0.014950
766.40	0.015390
766.60	0.014426
766.80	0.014072
767.00	0.014314
767.20	0.014775
767.40	0.015142
767.60	0.014673
767.80	0.014993
768.00	0.015420
768.20	0.015053
768.40	0.015539
768.60	0.013875
768.80	0.014399
769.00	0.015290
769.20	0.014302
769.40	0.015090
769.60	0.014960
769.80	0.015509
770.00	0.014903
770.20	0.014597
770.40	0.014426
770.60	0.014187
770.80	0.014474
771.00	0.014175
771.20	0.013953
771.40	0.014025
771.60	0.015574
771.80	0.013470
772.00	0.014381
772.20	0.014919
772.40	0.014726
772.60	0.014552
772.80	0.014297
773.00	0.014281
773.20	0.013645
773.40	0.014337
773.60	0.013470
773.80	0.013843
774.00	0.012229
774.20	0.013626
774.40	0.013578
774.60	0.014316
774.80	0.014147
775.00	0.013876
775.20	0.013219
775.40	0.014032
775.60	0.013821
775.80	0.013731
776.00	0.013692
776.20	0.013528
776.40	0.013610
776.60	0.013794
776.80	0.013045
777.00	0.013249
777.20	0.013012
777.40	0.012876
777.60	0.013360
777.80	0.012532
778.00	0.012374
778.20	0.012901
778.40	0.012847
778.60	0.012991
778.80	0.013447
779.00	0.012945
779.20	0.011387
779.40	0.012240
779.60	0.012531
779.80	0.012853
780.00	0.012347
780.20	0.012270
780.40	0.012583
780.60	0.011778
780.80	0.012112
781.00	0.011558
781.20	0.012413
781.40	0.011338
781.60	0.011259
781.80	0.012469
782.00	0.011539
782.20	0.011535
782.40	0.012119
782.60	0.011441
782.80	0.011501
783.00	0.011056
783.20	0.011955
783.40	0.011768
783.60	0.012195
783.80	0.012894
784.00	0.012123
784.20	0.010959
784.40	0.010574
784.60	0.011101
784.80	0.011400
785.00	0.010675
785.20	0.011630
785.40	0.010236
785.60	0.010843
785.80	0.010431
786.00	0.010940
786.20	0.010646
786.40	0.0097233
786.60	0.010750
786.80	0.010874
787.00	0.010566
787.20	0.0097384
787.40	0.011124
787.60	0.010927
787.80	0.010552
788.00	0.010298
788.20	0.0097765
788.40	0.011271
788.60	0.011319
788.80	0.0099354
789.00	0.010820
789.20	0.0096909
789.40	0.010196
789.60	0.010523
789.80	0.0092316
790.00	0.010616
790.20	0.010359
790.40	0.0089945
790.60	0.0088585
790.80	0.0098195
791.00	0.0096503
791.20	0.0099867
791.40	0.0084972
791.60	0.0089695
791.80	0.0083518
792.00	0.0082561
792.20	0.0090026
792.40	0.0087819
792.60	0.0097465
792.80	0.0082599
793.00	0.0088945
793.20	0.0086730
793.40	0.0081081
793.60	0.0081490
793.80	0.0081096
794.00	0.0087925
794.20	0.0084437
794.40	0.0087146
794.60	0.0086181
794.80	0.0078544
795.00	0.0079758
795.20	0.0073715
795.40	0.0071700
795.60	0.0094137
795.80	0.0083243
796.00	0.0079843
796.20	0.0078431
796.40	0.0078755
796.60	0.0076412
796.80	0.0075804
797.00	0.0071592
797.20	0.0068882
797.40	0.0060924
797.60	0.0078490
797.80	0.0077413
798.00	0.0073293
798.20	0.0076538
798.40	0.0074517
798.60	0.0069559
798.80	0.0069874
799.00	0.0068661
799.20	0.0066622
799.40	0.0066580
799.60	0.0067364
799.80	0.0059173
800.00	0.0056994
