Wavelength (nm)	L214 FbC-P3M10 (SE243).ems
709.80	0.073900
710.00	0.073300
710.20	0.075910
710.40	0.071630
710.60	0.070530
710.80	0.069870
711.00	0.072220
711.20	0.069390
711.40	0.073110
711.60	0.070470
711.80	0.074280
712.00	0.074460
712.20	0.075270
712.40	0.070720
712.60	0.073520
712.80	0.071470
713.00	0.069300
713.20	0.070270
713.40	0.069830
713.60	0.068740
713.80	0.072250
714.00	0.069800
714.20	0.069250
714.40	0.069600
714.60	0.067110
714.80	0.070520
715.00	0.068840
715.20	0.070090
715.40	0.064140
715.60	0.065660
715.80	0.065450
716.00	0.066340
716.20	0.064710
716.40	0.062330
716.60	0.062080
716.80	0.060710
717.00	0.061930
717.20	0.063060
717.40	0.061180
717.60	0.061180
717.80	0.061280
718.00	0.060630
718.20	0.056530
718.40	0.058520
718.60	0.057900
718.80	0.057700
719.00	0.054800
719.20	0.054290
719.40	0.052190
719.60	0.053570
719.80	0.051760
720.00	0.050400
720.20	0.052570
720.40	0.051510
720.60	0.049420
720.80	0.048970
721.00	0.050400
721.20	0.047000
721.40	0.048170
721.60	0.044820
721.80	0.045140
722.00	0.043780
722.20	0.043250
722.40	0.043330
722.60	0.041830
722.80	0.041790
723.00	0.039350
723.20	0.038970
723.40	0.038370
723.60	0.037620
723.80	0.039490
724.00	0.036460
724.20	0.034960
724.40	0.035780
724.60	0.035030
724.80	0.035230
725.00	0.031800
725.20	0.031750
725.40	0.031740
725.60	0.030450
725.80	0.033140
726.00	0.031000
726.20	0.030790
726.40	0.030710
726.60	0.027650
726.80	0.029810
727.00	0.028670
727.20	0.027590
727.40	0.028040
727.60	0.028250
727.80	0.025140
728.00	0.024670
728.20	0.025330
728.40	0.025400
728.60	0.024830
728.80	0.021300
729.00	0.022890
729.20	0.025130
729.40	0.023890
729.60	0.023520
729.80	0.020870
730.00	0.022270
730.20	0.020500
730.40	0.020750
730.60	0.022620
730.80	0.021060
731.00	0.018790
731.20	0.019970
731.40	0.020180
731.60	0.020280
731.80	0.020400
732.00	0.018150
732.20	0.018720
732.40	0.018050
732.60	0.017990
732.80	0.019700
733.00	0.019260
733.20	0.018680
733.40	0.016390
733.60	0.016990
733.80	0.016490
734.00	0.016470
734.20	0.018320
734.40	0.015680
734.60	0.015720
734.80	0.018650
735.00	0.016010
735.20	0.015590
735.40	0.015280
735.60	0.015180
735.80	0.016340
736.00	0.015060
736.20	0.016290
736.40	0.015940
736.60	0.014100
736.80	0.014530
737.00	0.014340
737.20	0.015770
737.40	0.013570
737.60	0.013260
737.80	0.014910
738.00	0.013780
738.20	0.014390
738.40	0.013190
738.60	0.015940
738.80	0.012160
739.00	0.013460
739.20	0.013830
739.40	0.013940
739.60	0.012650
739.80	0.012670
740.00	0.012470
740.20	0.012650
740.40	0.012320
740.60	0.011260
740.80	0.012560
741.00	0.012500
741.20	0.012010
741.40	0.011580
741.60	0.011710
741.80	0.011110
742.00	0.012720
742.20	0.012490
742.40	0.010640
742.60	0.011100
742.80	0.011050
743.00	0.011260
743.20	0.0090700
743.40	0.011870
743.60	0.010620
743.80	0.011390
744.00	0.011750
744.20	0.010240
744.40	0.011040
744.60	0.010790
744.80	0.010060
745.00	0.010490
745.20	0.010170
745.40	0.010260
745.60	0.0099900
745.80	0.010330
746.00	0.011200
746.20	0.0089900
746.40	0.010820
746.60	0.010910
746.80	0.0096700
747.00	0.0094100
747.20	0.010160
747.40	0.0083700
747.60	0.0096900
747.80	0.010310
748.00	0.0093800
748.20	0.0091400
748.40	0.0098400
748.60	0.0087600
748.80	0.0080800
749.00	0.010730
749.20	0.0096100
749.40	0.0078500
749.60	0.0087500
749.80	0.0093000
750.00	0.0083000
750.20	0.0084900
750.40	0.0086000
750.60	0.0078600
750.80	0.0079000
751.00	0.0090300
751.20	0.0075900
751.40	0.0079900
751.60	0.0086400
751.80	0.0070300
752.00	0.0089900
752.20	0.0086500
752.40	0.0083000
752.60	0.0079300
752.80	0.0087000
753.00	0.0084700
753.20	0.0083500
753.40	0.0065300
753.60	0.0066800
753.80	0.0078000
754.00	0.0084600
754.20	0.0077400
754.40	0.0088700
754.60	0.0086100
754.80	0.0073200
755.00	0.0076100
755.20	0.0080500
755.40	0.0093400
755.60	0.0072200
755.80	0.0069500
756.00	0.0063100
756.20	0.0079600
756.40	0.0070000
756.60	0.0071400
756.80	0.0076500
757.00	0.0062400
757.20	0.0073500
757.40	0.0065300
757.60	0.0063500
757.80	0.0079300
758.00	0.0058500
758.20	0.0052300
758.40	0.0062900
758.60	0.0068600
758.80	0.0056800
759.00	0.0067700
759.20	0.0063700
759.40	0.0069000
759.60	0.0057800
759.80	0.0055700
760.00	0.0061800
760.20	0.0054200
760.40	0.0056800
760.60	0.0055100
760.80	0.0062200
761.00	0.0057300
761.20	0.0062400
761.40	0.0053500
761.60	0.0048300
761.80	0.0061700
762.00	0.0050200
762.20	0.0059600
762.40	0.0047900
762.60	0.0064300
762.80	0.0083400
763.00	0.0049900
763.20	0.0056300
763.40	0.0046500
763.60	0.0058800
763.80	0.0060600
764.00	0.0066600
764.20	0.0049100
764.40	0.0052200
764.60	0.0038200
764.80	0.0043400
765.00	0.0040900
765.20	0.0050800
765.40	0.0040800
765.60	0.0062000
765.80	0.0037300
766.00	0.0059100
766.20	0.0041100
766.40	0.0051800
766.60	0.0035700
766.80	0.0050100
767.00	0.0044500
767.20	0.0049500
767.40	0.0031000
767.60	0.0043100
767.80	0.0042900
768.00	0.0045400
768.20	0.0047300
768.40	0.0040500
768.60	0.0046900
768.80	0.0053100
769.00	0.0045500
769.20	0.0038900
769.40	0.0043200
769.60	0.0043300
769.80	0.0046900
770.00	0.0050700
770.20	0.0041600
770.40	0.0046600
770.60	0.0041000
770.80	0.0041300
771.00	0.0040000
771.20	0.0034900
771.40	0.0032800
771.60	0.0020100
771.80	0.0033500
772.00	0.0036800
772.20	0.0028400
772.40	0.0035000
772.60	0.0043600
772.80	0.0042500
773.00	0.0033800
773.20	0.0035500
773.40	0.0037000
773.60	0.0034000
773.80	0.0036500
774.00	0.0035500
774.20	0.0041900
774.40	0.0041100
774.60	0.0028100
774.80	0.0041800
775.00	0.0028800
775.20	0.0038600
775.40	0.0039800
775.60	0.0031200
775.80	0.0036500
776.00	0.0028700
776.20	0.0031600
776.40	0.0028800
776.60	0.0035100
776.80	0.0039100
777.00	0.0040500
777.20	0.0023000
777.40	0.0033000
777.60	0.0030200
777.80	0.0028500
778.00	0.0028000
778.20	0.0033200
778.40	0.0031500
778.60	0.0028700
778.80	0.0027300
779.00	0.0035100
779.20	0.0031100
779.40	0.0037500
779.60	0.0034400
779.80	0.0026000
780.00	0.0031000
780.20	0.0023500
780.40	0.0024100
780.60	0.0037800
780.80	0.0022700
781.00	0.0034500
781.20	0.0040100
781.40	0.0032200
781.60	0.0022900
781.80	0.0028800
782.00	0.0036200
782.20	0.0029200
782.40	0.0018000
782.60	0.0037800
782.80	0.0020100
783.00	0.0033800
783.20	0.0024600
783.40	0.0034200
783.60	0.0034800
783.80	0.0036100
784.00	0.0026900
784.20	0.0026300
784.40	0.0028700
784.60	0.0026400
784.80	0.0026400
785.00	0.0030400
785.20	0.0032800
785.40	0.0029800
785.60	0.0032300
785.80	0.0039300
786.00	0.0027500
786.20	0.0035200
786.40	0.0035500
786.60	0.0036100
786.80	0.0020700
787.00	0.0036200
787.20	0.0019800
787.40	0.0013400
787.60	0.0029600
787.80	0.0020200
788.00	0.0032500
788.20	0.0021800
788.40	0.0027300
788.60	0.00092262
788.80	0.0022800
789.00	0.0025900
789.20	0.0029600
789.40	0.0021300
789.60	0.0034000
789.80	0.0027900
790.00	0.0023900
790.20	0.0020500
790.40	0.0025200
790.60	0.0021800
790.80	0.0024600
791.00	0.0030800
791.20	0.0015300
791.40	0.0032400
791.60	0.0030300
791.80	0.0028700
792.00	0.0023100
792.20	0.0025700
792.40	0.0018800
792.60	0.0035100
792.80	0.0027900
793.00	0.0010400
793.20	0.0031700
793.40	0.0025500
793.60	0.0028900
793.80	0.0021700
794.00	0.0020800
794.20	0.0025900
794.40	0.0020800
794.60	0.0024300
794.80	0.0016400
795.00	0.0023700
795.20	0.0013900
795.40	0.0017400
795.60	0.0017800
795.80	0.0010800
796.00	0.0010500
796.20	0.0023300
796.40	0.0030300
796.60	0.0016900
796.80	0.0018200
797.00	0.0016300
797.20	0.00073711
797.40	0.0015700
797.60	0.0029900
797.80	0.0027300
798.00	0.0022500
798.20	0.0016800
798.40	0.0026500
798.60	0.0024600
798.80	0.0012000
799.00	0.0015500
799.20	0.0022700
799.40	0.0022100
799.60	0.0023400
799.80	0.00094334
800.00	0.0012000
