Wavelength (nm)	L234 FbC5 (SE239).abs
413.00	0.84372
414.00	0.85786
415.00	0.87187
416.00	0.88614
417.00	0.89849
418.00	0.91168
419.00	0.92258
420.00	0.93277
421.00	0.94526
422.00	0.95439
423.00	0.96432
424.00	0.97246
425.00	0.98396
426.00	0.99195
427.00	0.99879
428.00	1.0000
429.00	0.99846
430.00	0.99491
431.00	0.97996
432.00	0.95837
433.00	0.92536
434.00	0.88386
435.00	0.83945
436.00	0.78569
437.00	0.72949
438.00	0.67187
439.00	0.61569
440.00	0.55778
441.00	0.49812
442.00	0.44809
443.00	0.39621
444.00	0.34843
445.00	0.30416
446.00	0.26280
447.00	0.22828
448.00	0.19730
449.00	0.16999
450.00	0.14729
451.00	0.12899
452.00	0.11330
453.00	0.10079
454.00	0.090770
455.00	0.082002
456.00	0.075114
457.00	0.069666
458.00	0.065422
459.00	0.062101
460.00	0.059298
461.00	0.057062
462.00	0.055154
463.00	0.053233
464.00	0.051707
465.00	0.050609
466.00	0.049448
467.00	0.048625
468.00	0.047827
469.00	0.047332
470.00	0.047408
471.00	0.046373
472.00	0.046108
473.00	0.045732
474.00	0.046126
475.00	0.046044
476.00	0.046260
477.00	0.046826
478.00	0.047206
479.00	0.047528
480.00	0.047565
481.00	0.047826
482.00	0.048805
483.00	0.048986
484.00	0.049573
485.00	0.050488
486.00	0.051065
487.00	0.051176
488.00	0.052590
489.00	0.053809
490.00	0.054901
491.00	0.055986
492.00	0.057181
493.00	0.058181
494.00	0.059684
495.00	0.061246
496.00	0.062710
497.00	0.064909
498.00	0.066887
499.00	0.069159
500.00	0.071292
501.00	0.073765
502.00	0.077108
503.00	0.080537
504.00	0.083413
505.00	0.087107
506.00	0.089981
507.00	0.093162
508.00	0.095611
509.00	0.097676
510.00	0.099859
511.00	0.10093
512.00	0.10172
513.00	0.10224
514.00	0.10229
515.00	0.10271
516.00	0.10137
517.00	0.10104
518.00	0.098826
519.00	0.095637
520.00	0.093539
521.00	0.090453
522.00	0.086803
523.00	0.082083
524.00	0.077673
525.00	0.073302
526.00	0.069063
527.00	0.065219
528.00	0.061368
529.00	0.058705
530.00	0.055565
531.00	0.053934
532.00	0.052950
533.00	0.051574
534.00	0.051461
535.00	0.052507
536.00	0.053232
537.00	0.055912
538.00	0.058157
539.00	0.060876
540.00	0.064333
541.00	0.068068
542.00	0.072601
543.00	0.076661
544.00	0.081145
545.00	0.084893
546.00	0.087493
547.00	0.089216
548.00	0.088992
549.00	0.088126
550.00	0.085264
551.00	0.080353
552.00	0.074702
553.00	0.068823
554.00	0.062345
555.00	0.056680
556.00	0.051216
557.00	0.046406
558.00	0.042519
559.00	0.039257
560.00	0.035842
561.00	0.034146
562.00	0.032571
563.00	0.031218
564.00	0.030413
565.00	0.029184
566.00	0.028531
567.00	0.027341
568.00	0.026621
569.00	0.025230
570.00	0.024354
571.00	0.023361
572.00	0.022481
573.00	0.021261
574.00	0.020358
575.00	0.019594
576.00	0.018459
577.00	0.017617
578.00	0.016798
579.00	0.015961
580.00	0.015058
581.00	0.014633
582.00	0.014185
583.00	0.013789
584.00	0.013577
585.00	0.013481
586.00	0.013122
587.00	0.013080
588.00	0.013122
589.00	0.013067
590.00	0.013229
591.00	0.013566
592.00	0.013724
593.00	0.014127
594.00	0.014538
595.00	0.014994
596.00	0.015264
597.00	0.015791
598.00	0.016509
599.00	0.016883
600.00	0.017631
601.00	0.018223
602.00	0.018723
603.00	0.019771
604.00	0.020679
605.00	0.021780
606.00	0.023145
607.00	0.024322
608.00	0.025906
609.00	0.027394
610.00	0.029338
611.00	0.031106
612.00	0.033104
613.00	0.034797
614.00	0.036500
615.00	0.037927
616.00	0.038884
617.00	0.039638
618.00	0.040091
619.00	0.040288
620.00	0.040376
621.00	0.040043
622.00	0.038846
623.00	0.037814
624.00	0.036604
625.00	0.035620
626.00	0.034247
627.00	0.032589
628.00	0.031242
629.00	0.030129
630.00	0.029089
631.00	0.028760
632.00	0.028451
633.00	0.028495
634.00	0.028532
635.00	0.029172
636.00	0.030215
637.00	0.031411
638.00	0.033008
639.00	0.034612
640.00	0.036267
641.00	0.037612
642.00	0.039098
643.00	0.040114
644.00	0.040944
645.00	0.042853
646.00	0.045461
647.00	0.049642
648.00	0.053227
649.00	0.057831
650.00	0.061262
651.00	0.063756
652.00	0.066819
653.00	0.069816
654.00	0.072141
655.00	0.076412
656.00	0.084129
657.00	0.093513
658.00	0.10332
659.00	0.11135
660.00	0.11682
661.00	0.12479
662.00	0.13324
663.00	0.14098
664.00	0.15006
665.00	0.16528
666.00	0.18556
667.00	0.21310
668.00	0.24808
669.00	0.28643
670.00	0.33181
671.00	0.37824
672.00	0.42369
673.00	0.45970
674.00	0.48941
675.00	0.50856
676.00	0.51290
677.00	0.50361
678.00	0.47989
679.00	0.44490
680.00	0.40082
681.00	0.35175
682.00	0.30124
683.00	0.25129
684.00	0.20523
685.00	0.16641
686.00	0.13351
687.00	0.10600
688.00	0.083256
689.00	0.065947
690.00	0.052704
691.00	0.042647
692.00	0.034460
693.00	0.028476
694.00	0.023625
695.00	0.019971
696.00	0.016631
697.00	0.014069
698.00	0.012078
699.00	0.010565
700.00	0.0089432
701.00	0.0078100
702.00	0.0065442
703.00	0.0057103
704.00	0.0048626
705.00	0.0042311
706.00	0.0038982
707.00	0.0034145
708.00	0.0031990
709.00	0.0027540
710.00	0.0023904
711.00	0.0023757
712.00	0.0024343
713.00	0.0021322
714.00	0.0021382
715.00	0.0020958
716.00	0.0021384
717.00	0.0022286
718.00	0.0022826
719.00	0.0021008
720.00	0.0023863
721.00	0.0021945
722.00	0.0019576
723.00	0.0023580
724.00	0.0020778
725.00	0.0021831
726.00	0.0018599
727.00	0.0021244
728.00	0.0014194
729.00	0.0012596
730.00	0.0015190
731.00	0.0013873
732.00	0.0015188
733.00	0.0016355
734.00	0.00099616
735.00	0.0011756
736.00	0.00098332
737.00	0.0012078
738.00	0.0014428
739.00	0.0013675
740.00	0.00097038
741.00	0.00094974
742.00	0.0012588
743.00	0.00091291
744.00	0.0011689
745.00	0.0012423
746.00	0.0012643
747.00	0.0013915
748.00	0.0011841
749.00	0.0012709
750.00	0.0013367
