Wavelength (nm)	"166, OBC 2017_7255, 4"
434.00	0.023351
435.00	0.023538
436.00	0.023726
437.00	0.023914
438.00	0.023715
439.00	0.023359
440.00	0.023003
441.00	0.022706
442.00	0.023076
443.00	0.023446
444.00	0.023817
445.00	0.024237
446.00	0.024701
447.00	0.025165
448.00	0.025878
449.00	0.026699
450.00	0.027520
451.00	0.028567
452.00	0.029831
453.00	0.031096
454.00	0.032467
455.00	0.033992
456.00	0.035517
457.00	0.036999
458.00	0.038472
459.00	0.040002
460.00	0.041791
461.00	0.043580
462.00	0.045398
463.00	0.047297
464.00	0.049196
465.00	0.051128
466.00	0.053091
467.00	0.055055
468.00	0.056511
469.00	0.057878
470.00	0.059215
471.00	0.060517
472.00	0.061820
473.00	0.063289
474.00	0.064964
475.00	0.066638
476.00	0.068313
477.00	0.070616
478.00	0.073434
479.00	0.076253
480.00	0.079118
481.00	0.082022
482.00	0.084927
483.00	0.089438
484.00	0.094933
485.00	0.10223
486.00	0.10987
487.00	0.11833
488.00	0.12779
489.00	0.13726
490.00	0.14541
491.00	0.15353
492.00	0.16226
493.00	0.17190
494.00	0.18154
495.00	0.19034
496.00	0.19896
497.00	0.20712
498.00	0.21399
499.00	0.21734
500.00	0.21455
501.00	0.20896
502.00	0.20103
503.00	0.19245
504.00	0.18015
505.00	0.16859
506.00	0.15761
507.00	0.14754
508.00	0.13773
509.00	0.13101
510.00	0.12456
511.00	0.11994
512.00	0.11578
513.00	0.11250
514.00	0.11460
515.00	0.11767
516.00	0.12319
517.00	0.12896
518.00	0.13496
519.00	0.14104
520.00	0.14772
521.00	0.15440
522.00	0.16121
523.00	0.16856
524.00	0.17591
525.00	0.18366
526.00	0.19174
527.00	0.19983
528.00	0.20715
529.00	0.21426
530.00	0.22096
531.00	0.22498
532.00	0.22900
533.00	0.23282
534.00	0.23589
535.00	0.23896
536.00	0.24202
537.00	0.24455
538.00	0.24708
539.00	0.24983
540.00	0.25364
541.00	0.25745
542.00	0.26187
543.00	0.26669
544.00	0.27276
545.00	0.28160
546.00	0.29187
547.00	0.30382
548.00	0.31924
549.00	0.33566
550.00	0.35494
551.00	0.38312
552.00	0.41363
553.00	0.44751
554.00	0.48566
555.00	0.53047
556.00	0.57723
557.00	0.62452
558.00	0.67640
559.00	0.73786
560.00	0.80009
561.00	0.84970
562.00	0.89730
563.00	0.94016
564.00	0.97597
565.00	0.99575
566.00	1.0000
567.00	0.99482
568.00	0.96767
569.00	0.93366
570.00	0.88660
571.00	0.83299
572.00	0.77868
573.00	0.71479
574.00	0.65050
575.00	0.58384
576.00	0.51722
577.00	0.46432
578.00	0.41142
579.00	0.36091
580.00	0.31157
581.00	0.27193
582.00	0.23468
583.00	0.20232
584.00	0.17302
585.00	0.14524
586.00	0.12352
587.00	0.10335
588.00	0.087837
589.00	0.074881
590.00	0.063855
591.00	0.054595
592.00	0.046418
593.00	0.038742
594.00	0.032746
595.00	0.026750
596.00	0.023007
597.00	0.019692
598.00	0.016506
599.00	0.014613
600.00	0.012720
601.00	0.011043
602.00	0.0097852
603.00	0.0085271
604.00	0.0074145
605.00	0.0067628
606.00	0.0061111
607.00	0.0054594
608.00	0.0048560
609.00	0.0043905
610.00	0.0039249
611.00	0.0034593
612.00	0.0030092
613.00	0.0027154
614.00	0.0024216
615.00	0.0021279
616.00	0.0018341
617.00	0.0015778
618.00	0.0013407
619.00	0.0011037
620.00	0.00090778
621.00	0.00086648
622.00	0.00082518
623.00	0.00078388
624.00	0.00074258
625.00	0.00070128
626.00	0.00066547
627.00	0.00064449
628.00	0.00062352
629.00	0.00060254
630.00	0.00058157
631.00	0.00056059
632.00	0.00053961
633.00	0.00051864
634.00	0.00049766
635.00	0.00047669
636.00	0.00047417
637.00	0.00047417
638.00	0.00047417
639.00	0.00047417
640.00	0.00047417
641.00	0.00047417
642.00	0.00047417
643.00	0.00047417
644.00	0.00047417
645.00	0.00047417
646.00	0.00047417
647.00	0.00047417
648.00	0.00047417
649.00	0.00047417
650.00	0.00047417
651.00	
652.00	
653.00	
654.00	
655.00	
656.00	
657.00	
658.00	
659.00	
660.00	
661.00	
662.00	
663.00	
664.00	
665.00	
666.00	
667.00	
668.00	
669.00	
670.00	
671.00	
672.00	
673.00	
674.00	
675.00	
676.00	
677.00	
678.00	
679.00	
680.00	
681.00	
682.00	
683.00	
684.00	
685.00	
686.00	
687.00	
688.00	
689.00	
690.00	
691.00	
692.00	
693.00	
694.00	
695.00	
696.00	
697.00	
698.00	
699.00	
700.00	
701.00	
702.00	
703.00	
704.00	
705.00	
706.00	
707.00	
708.00	
709.00	
710.00	
711.00	
712.00	
713.00	
714.00	
715.00	
716.00	
717.00	
718.00	
719.00	
720.00	
721.00	
722.00	
723.00	
724.00	
725.00	
726.00	
727.00	
728.00	
729.00	
730.00	
731.00	
732.00	
733.00	
734.00	
735.00	
736.00	
737.00	
738.00	
739.00	
740.00	
741.00	
742.00	
743.00	
744.00	
745.00	
746.00	
747.00	
748.00	
749.00	
750.00	
751.00	
752.00	
753.00	
754.00	
755.00	
756.00	
757.00	
758.00	
759.00	
760.00	
761.00	
762.00	
763.00	
764.00	
765.00	
766.00	
767.00	
768.00	
769.00	
770.00	
771.00	
772.00	
773.00	
774.00	
775.00	
776.00	
777.00	
778.00	
779.00	
780.00	
781.00	
782.00	
783.00	
784.00	
785.00	
786.00	
787.00	
788.00	
789.00	
790.00	
791.00	
792.00	
793.00	
794.00	
795.00	
796.00	
797.00	
798.00	
799.00	
800.00	
801.00	
802.00	
803.00	
804.00	
805.00	
806.00	
807.00	
808.00	
809.00	
810.00	
811.00	
812.00	
813.00	
814.00	
815.00	
816.00	
817.00	
818.00	
819.00	
820.00	
821.00	
822.00	
823.00	
824.00	
825.00	
826.00	
827.00	
828.00	
829.00	
830.00	
831.00	
832.00	
833.00	
834.00	
835.00	
836.00	
837.00	
838.00	
839.00	
840.00	
841.00	
842.00	
843.00	
844.00	
845.00	
846.00	
847.00	
848.00	
849.00	
850.00	
851.00	
852.00	
853.00	
854.00	
855.00	
856.00	
857.00	
858.00	
859.00	
860.00	
861.00	
862.00	
863.00	
864.00	
865.00	
866.00	
867.00	
868.00	
869.00	
870.00	
871.00	
872.00	
873.00	
874.00	
875.00	
876.00	
877.00	
878.00	
879.00	
880.00	
881.00	
882.00	
883.00	
884.00	
885.00	
886.00	
887.00	
888.00	
889.00	
890.00	
891.00	
892.00	
893.00	
894.00	
895.00	
896.00	
897.00	
898.00	
899.00	
900.00	
901.00	
902.00	
903.00	
904.00	
905.00	
906.00	
907.00	
908.00	
909.00	
910.00	
911.00	
912.00	
913.00	
914.00	
915.00	
916.00	
917.00	
918.00	
919.00	
920.00	
921.00	
922.00	
923.00	
924.00	
925.00	
926.00	
927.00	
928.00	
929.00	
930.00	
931.00	
932.00	
933.00	
934.00	
935.00	
936.00	
937.00	
938.00	
939.00	
940.00	
941.00	
942.00	
943.00	
944.00	
945.00	
946.00	
947.00	
948.00	
949.00	
950.00	
951.00	
952.00	
953.00	
954.00	
955.00	
956.00	
957.00	
958.00	
959.00	
960.00	
961.00	
962.00	
963.00	
964.00	
965.00	
966.00	
967.00	
968.00	
969.00	
970.00	
971.00	
972.00	
973.00	
974.00	
975.00	
976.00	
977.00	
978.00	
979.00	
980.00	
981.00	
982.00	
983.00	
984.00	
985.00	
986.00	
987.00	
988.00	
989.00	
990.00	
991.00	
992.00	
993.00	
994.00	
995.00	
996.00	
997.00	
998.00	
999.00	
1000.0	
1001.0	
1002.0	
1003.0	
1004.0	
1005.0	
1006.0	
1007.0	
1008.0	
1009.0	
1010.0	
1011.0	
1012.0	
1013.0	
1014.0	
1015.0	
1016.0	
1017.0	
1018.0	
1019.0	
1020.0	
1021.0	
1022.0	
1023.0	
1024.0	
1025.0	
1026.0	
1027.0	
1028.0	
1029.0	
1030.0	
1031.0	
1032.0	
1033.0	
1034.0	
1035.0	
1036.0	
1037.0	
1038.0	
1039.0	
1040.0	
1041.0	
1042.0	
1043.0	
1044.0	
1045.0	
1046.0	
1047.0	
1048.0	
1049.0	
1050.0	
1051.0	
1052.0	
1053.0	
1054.0	
1055.0	
1056.0	
1057.0	
1058.0	
1059.0	
1060.0	
1061.0	
1062.0	
1063.0	
1064.0	
1065.0	
1066.0	
1067.0	
1068.0	
1069.0	
1070.0	
1071.0	
1072.0	
1073.0	
1074.0	
1075.0	
1076.0	
1077.0	
1078.0	
1079.0	
1080.0	
1081.0	
1082.0	
1083.0	
1084.0	
1085.0	
1086.0	
1087.0	
1088.0	
1089.0	
1090.0	
1091.0	
1092.0	
1093.0	
1094.0	
1095.0	
1096.0	
1097.0	
1098.0	
1099.0	
1100.0	
1101.0	
1102.0	
1103.0	
1104.0	
1105.0	
1106.0	
1107.0	
1108.0	
1109.0	
1110.0	
1111.0	
1112.0	
1113.0	
1114.0	
1115.0	
1116.0	
1117.0	
1118.0	
1119.0	
1120.0	
1121.0	
1122.0	
1123.0	
1124.0	
1125.0	
1126.0	
1127.0	
1128.0	
1129.0	
1130.0	
1131.0	
1132.0	
1133.0	
1134.0	
1135.0	
1136.0	
1137.0	
1138.0	
1139.0	
1140.0	
1141.0	
1142.0	
1143.0	
1144.0	
1145.0	
1146.0	
1147.0	
1148.0	
1149.0	
1150.0	
1151.0	
1152.0	
1153.0	
1154.0	
1155.0	
1156.0	
1157.0	
1158.0	
1159.0	
1160.0	
1161.0	
1162.0	
1163.0	
1164.0	
1165.0	
1166.0	
1167.0	
1168.0	
1169.0	
1170.0	
1171.0	
1172.0	
1173.0	
1174.0	
1175.0	
1176.0	
1177.0	
1178.0	
1179.0	
1180.0	
1181.0	
1182.0	
1183.0	
1184.0	
1185.0	
1186.0	
1187.0	
1188.0	
1189.0	
1190.0	
1191.0	
1192.0	
1193.0	
1194.0	
1195.0	
1196.0	
1197.0	
1198.0	
1199.0	
1200.0	
