Wavelength (nm)	205 1 (SE194) [H2C-T5M10A13] 
408.00	0.79845
409.00	0.82310
410.00	0.84409
411.00	0.86376
412.00	0.88188
413.00	0.89919
414.00	0.91185
415.00	0.92555
416.00	0.93885
417.00	0.94926
418.00	0.96165
419.00	0.97354
420.00	0.98384
421.00	0.99339
422.00	0.99962
423.00	1.00000
424.00	0.99395
425.00	0.97849
426.00	0.95737
427.00	0.92886
428.00	0.89481
429.00	0.85275
430.00	0.80718
431.00	0.75876
432.00	0.70274
433.00	0.63768
434.00	0.57402
435.00	0.50934
436.00	0.44210
437.00	0.37884
438.00	0.31973
439.00	0.26690
440.00	0.22041
441.00	0.17883
442.00	0.14639
443.00	0.11963
444.00	0.097057
445.00	0.079503
446.00	0.065335
447.00	0.054354
448.00	0.045950
449.00	0.039439
450.00	0.034356
451.00	0.030712
452.00	0.027756
453.00	0.025629
454.00	0.024151
455.00	0.022895
456.00	0.022090
457.00	0.021561
458.00	0.021221
459.00	0.020986
460.00	0.020914
461.00	0.020995
462.00	0.021239
463.00	0.021355
464.00	0.021662
465.00	0.021989
466.00	0.022320
467.00	0.022775
468.00	0.023254
469.00	0.023638
470.00	0.024165
471.00	0.024655
472.00	0.025221
473.00	0.025607
474.00	0.025911
475.00	0.026359
476.00	0.026720
477.00	0.027189
478.00	0.027371
479.00	0.027718
480.00	0.028081
481.00	0.028468
482.00	0.028585
483.00	0.029028
484.00	0.029368
485.00	0.029729
486.00	0.029846
487.00	0.029918
488.00	0.030453
489.00	0.030470
490.00	0.030444
491.00	0.030523
492.00	0.030779
493.00	0.030864
494.00	0.031320
495.00	0.031874
496.00	0.032721
497.00	0.033555
498.00	0.034931
499.00	0.036542
500.00	0.038556
501.00	0.041152
502.00	0.043872
503.00	0.046978
504.00	0.050183
505.00	0.053323
506.00	0.056973
507.00	0.059858
508.00	0.062741
509.00	0.065235
510.00	0.067679
511.00	0.069959
512.00	0.072414
513.00	0.074820
514.00	0.077260
515.00	0.079479
516.00	0.081722
517.00	0.083636
518.00	0.085048
519.00	0.085992
520.00	0.086248
521.00	0.085911
522.00	0.084903
523.00	0.083333
524.00	0.080991
525.00	0.077984
526.00	0.074663
527.00	0.071005
528.00	0.067023
529.00	0.062873
530.00	0.058938
531.00	0.055282
532.00	0.051907
533.00	0.049072
534.00	0.046841
535.00	0.045459
536.00	0.044855
537.00	0.045008
538.00	0.045946
539.00	0.047708
540.00	0.050132
541.00	0.053295
542.00	0.057038
543.00	0.061280
544.00	0.066006
545.00	0.070877
546.00	0.075041
547.00	0.078463
548.00	0.080752
549.00	0.081651
550.00	0.081318
551.00	0.079991
552.00	0.077781
553.00	0.075141
554.00	0.072043
555.00	0.068605
556.00	0.064999
557.00	0.061065
558.00	0.057136
559.00	0.053129
560.00	0.049208
561.00	0.045404
562.00	0.041948
563.00	0.038506
564.00	0.035133
565.00	0.032072
566.00	0.029069
567.00	0.026477
568.00	0.024062
569.00	0.021832
570.00	0.020052
571.00	0.018470
572.00	0.017037
573.00	0.015892
574.00	0.014893
575.00	0.013936
576.00	0.013243
577.00	0.012575
578.00	0.011990
579.00	0.011598
580.00	0.011226
581.00	0.010937
582.00	0.010689
583.00	0.010569
584.00	0.010591
585.00	0.010654
586.00	0.010949
587.00	0.011480
588.00	0.011984
589.00	0.012701
590.00	0.013718
591.00	0.014733
592.00	0.016008
593.00	0.017583
594.00	0.019186
595.00	0.021211
596.00	0.023408
597.00	0.026125
598.00	0.028895
599.00	0.031678
600.00	0.034528
601.00	0.037018
602.00	0.039304
603.00	0.041221
604.00	0.042837
605.00	0.044169
606.00	0.044921
607.00	0.045483
608.00	0.045603
609.00	0.045087
610.00	0.044318
611.00	0.043243
612.00	0.041826
613.00	0.040049
614.00	0.038048
615.00	0.036011
616.00	0.033912
617.00	0.031923
618.00	0.030124
619.00	0.028516
620.00	0.027124
621.00	0.025863
622.00	0.024794
623.00	0.023771
624.00	0.023046
625.00	0.022448
626.00	0.022102
627.00	0.022116
628.00	0.022018
629.00	0.021941
630.00	0.022069
631.00	0.022032
632.00	0.022067
633.00	0.021974
634.00	0.022080
635.00	0.022456
636.00	0.023298
637.00	0.024495
638.00	0.026188
639.00	0.028278
640.00	0.031010
641.00	0.034576
642.00	0.038665
643.00	0.043736
644.00	0.049835
645.00	0.057354
646.00	0.065961
647.00	0.075642
648.00	0.086397
649.00	0.097831
650.00	0.10993
651.00	0.12308
652.00	0.13776
653.00	0.15525
654.00	0.17518
655.00	0.20958
656.00	0.24152
657.00	0.26176
658.00	0.30588
659.00	0.34473
660.00	0.37302
661.00	0.38871
662.00	0.38850
663.00	0.37215
664.00	0.34178
665.00	0.30203
666.00	0.25747
667.00	0.21356
668.00	0.17316
669.00	0.13827
670.00	0.10860
671.00	0.085584
672.00	0.067448
673.00	0.053537
674.00	0.042852
675.00	0.034426
676.00	0.028048
677.00	0.023082
678.00	0.019008
679.00	0.015890
680.00	0.013377
681.00	0.011266
682.00	0.0095617
683.00	0.0081528
684.00	0.0070457
685.00	0.0061214
686.00	0.0053599
687.00	0.0047296
688.00	0.0042046
689.00	0.0038567
690.00	0.0034858
691.00	0.0031771
692.00	0.0029604
693.00	0.0027579
694.00	0.0026100
695.00	0.0024687
696.00	0.0023264
697.00	0.0022512
698.00	0.0021079
699.00	0.0020086
700.00	0.0019178
701.00	0.0018759
702.00	0.0018340
703.00	0.0017489
704.00	0.0017155
705.00	0.0016552
706.00	0.0016648
707.00	0.0015776
708.00	0.0015871
709.00	0.0015832
710.00	0.0015428
711.00	0.0014727
712.00	0.0014572
713.00	0.0014119
714.00	0.0013867
715.00	0.0013816
716.00	0.0013247
717.00	0.0013166
718.00	0.0013286
719.00	0.0012324
720.00	0.0011916
721.00	0.0011978
722.00	0.0011847
723.00	0.0011879
724.00	0.0011279
725.00	0.0010745
726.00	0.0010632
727.00	0.0011075
728.00	0.0010291
729.00	0.0010283
730.00	0.0010284
731.00	0.00095753
732.00	0.0010409
733.00	0.00099394
734.00	0.00098528
735.00	0.00098329
736.00	0.00088165
737.00	0.00090546
738.00	0.00093690
739.00	0.00088210
740.00	0.00092593
741.00	0.00090747
742.00	0.00084205
743.00	0.00084460
744.00	0.00078773
745.00	0.00083333
746.00	0.00087889
747.00	0.00079512
748.00	0.00084062
749.00	0.00075105
750.00	0.00080128
