Wavelength (nm)	ZnC-E3A13 (SE291)
657.00	0.29827
658.00	0.22689
659.00	0.17345
660.00	0.13470
661.00	0.10383
662.00	0.080091
663.00	0.062153
664.00	0.048552
665.00	0.038435
666.00	0.030748
667.00	0.025056
668.00	0.020626
669.00	0.017347
670.00	0.014596
671.00	0.012585
672.00	0.010875
673.00	0.0095894
674.00	0.0085736
675.00	0.0077236
676.00	0.0070042
677.00	0.0064702
678.00	0.0059846
679.00	0.0055969
680.00	0.0052642
681.00	0.0049884
682.00	0.0047293
683.00	0.0044581
684.00	0.0042354
685.00	0.0040732
686.00	0.0038328
687.00	0.0036417
688.00	0.0034227
689.00	0.0033137
690.00	0.0030192
691.00	0.0029437
692.00	0.0028542
693.00	0.0027582
694.00	0.0026268
695.00	0.0026063
696.00	0.0024964
697.00	0.0023892
698.00	0.0023407
699.00	0.0022736
700.00	0.0021842
701.00	0.0020938
702.00	0.0020509
703.00	0.0019810
704.00	0.0018971
705.00	0.0019036
706.00	0.0018198
707.00	0.0017927
708.00	0.0017704
709.00	0.0016762
710.00	0.0016008
711.00	0.0015775
712.00	0.0015803
713.00	0.0015467
714.00	0.0015495
715.00	0.0014833
716.00	0.0015066
717.00	0.0014982
718.00	0.0014889
719.00	0.0014377
720.00	0.0013845
721.00	0.0013808
722.00	0.0013780
723.00	0.0013808
724.00	0.0013575
725.00	0.0013137
726.00	0.0013128
727.00	0.0013314
728.00	0.0012941
729.00	0.0012550
730.00	0.0012634
731.00	0.0012671
732.00	0.0012606
733.00	0.0013146
734.00	0.0012177
735.00	0.0012000
736.00	0.0011804
737.00	0.0012373
738.00	0.0012410
739.00	0.0011795
740.00	0.0012345
741.00	0.0012578
742.00	0.0011823
743.00	0.0011926
744.00	0.0011721
745.00	0.0011767
746.00	0.0012513
747.00	0.0012336
748.00	0.0012019
749.00	0.0011870
750.00	0.0012475
