Wavelength (nm)	267 FbC-M10(CmPh)13
651.00	0.39966
652.00	0.43288
653.00	0.45401
654.00	0.46410
655.00	0.45520
656.00	0.44277
657.00	0.43730
658.00	0.38539
659.00	0.32622
660.00	0.27418
661.00	0.22398
662.00	0.17940
663.00	0.14065
664.00	0.10894
665.00	0.084209
666.00	0.065862
667.00	0.050488
668.00	0.039467
669.00	0.031751
670.00	0.025120
671.00	0.020190
672.00	0.016516
673.00	0.014119
674.00	0.011618
675.00	0.0098724
676.00	0.0082571
677.00	0.0072082
678.00	0.0062295
679.00	0.0056006
680.00	0.0051461
681.00	0.0042969
682.00	0.0039529
683.00	0.0037703
684.00	0.0037335
685.00	0.0034057
686.00	0.0032513
687.00	0.0032232
688.00	0.0030287
689.00	0.0028294
690.00	0.0025627
691.00	0.0023209
692.00	0.0026569
693.00	0.0024934
694.00	0.0021011
695.00	0.0019577
696.00	0.0019663
697.00	0.0020490
698.00	0.0015587
699.00	0.0015119
700.00	0.0015491
701.00	0.0020576
702.00	0.0018774
703.00	0.0015687
704.00	0.0013155
705.00	0.0013355
706.00	0.0013929
707.00	0.0016452
708.00	0.0016423
709.00	0.0020428
710.00	0.0013026
711.00	0.0015195
712.00	0.0015835
713.00	0.0015281
714.00	0.0015415
715.00	0.0011382
716.00	0.0013021
717.00	0.0015080
718.00	0.0010474
719.00	0.0013537
720.00	0.0012552
721.00	0.0011692
722.00	0.00094223
723.00	0.00082802
724.00	0.00089062
725.00	0.0012634
726.00	0.0012963
727.00	0.00094080
728.00	0.0011573
729.00	0.00095991
730.00	0.00096278
731.00	0.00081942
732.00	0.00045623
733.00	0.00085860
734.00	0.00085430
735.00	0.00085574
736.00	0.00061680
737.00	0.00053365
738.00	0.00057522
739.00	0.00059051
740.00	0.00068466
741.00	0.00064690
742.00	0.00064021
743.00	0.00036973
744.00	0.00042134
745.00	0.00063639
746.00	0.00043138
747.00	0.00065837
748.00	0.00022494
749.00	0.00042708
750.00	0.00048634
