Wavelength (nm)	H2C-T5M10DM15P20
511.00	0.075943
512.00	0.078327
513.00	0.080977
514.00	0.083233
515.00	0.085203
516.00	0.086924
517.00	0.088337
518.00	0.089311
519.00	0.089534
520.00	0.088973
521.00	0.087421
522.00	0.084469
523.00	0.080541
524.00	0.075825
525.00	0.070500
526.00	0.064967
527.00	0.059630
528.00	0.054453
529.00	0.050226
530.00	0.046515
531.00	0.043319
532.00	0.041089
533.00	0.039612
534.00	0.038667
535.00	0.038692
536.00	0.039736
537.00	0.042218
538.00	0.045618
539.00	0.049916
540.00	0.054664
541.00	0.058943
542.00	0.062211
543.00	0.064326
544.00	0.065295
545.00	0.064969
546.00	0.063884
547.00	0.061890
548.00	0.059433
549.00	0.056545
550.00	0.053381
551.00	0.049950
552.00	0.046474
553.00	0.042758
554.00	0.039325
555.00	0.035531
556.00	0.032126
557.00	0.028664
558.00	0.025583
559.00	0.022738
560.00	0.020200
561.00	0.018049
562.00	0.016139
563.00	0.014524
564.00	0.013022
565.00	0.011869
566.00	0.010722
567.00	0.0098334
568.00	0.0091082
569.00	0.0085601
570.00	0.0079955
571.00	0.0075109
572.00	0.0071966
573.00	0.0067585
574.00	0.0066122
575.00	0.0063892
576.00	0.0064105
577.00	0.0066170
578.00	0.0068721
579.00	0.0071694
580.00	0.0074810
581.00	0.0081449
582.00	0.0088008
583.00	0.0094775
584.00	0.010652
585.00	0.011960
586.00	0.013524
587.00	0.015559
588.00	0.017888
589.00	0.020694
590.00	0.023895
591.00	0.026916
592.00	0.029592
593.00	0.031568
594.00	0.032917
595.00	0.033971
596.00	0.034912
597.00	0.035577
598.00	0.035727
599.00	0.035218
600.00	0.034207
601.00	0.032794
602.00	0.030966
603.00	0.029037
604.00	0.026852
605.00	0.024430
606.00	0.021918
607.00	0.019624
608.00	0.017699
609.00	0.016053
610.00	0.014763
611.00	0.013623
612.00	0.012637
613.00	0.011695
614.00	0.010818
615.00	0.010070
616.00	0.0093590
617.00	0.0087031
618.00	0.0083381
619.00	0.0079539
620.00	0.0076390
621.00	0.0074074
622.00	0.0073924
623.00	0.0074293
624.00	0.0075856
625.00	0.0078583
626.00	0.0082015
627.00	0.0088808
628.00	0.0096386
629.00	0.010561
630.00	0.011809
631.00	0.013371
632.00	0.015377
633.00	0.017927
634.00	0.020863
635.00	0.024069
636.00	0.027752
637.00	0.031925
638.00	0.036814
639.00	0.042737
640.00	0.049531
641.00	0.057897
642.00	0.067304
643.00	0.079181
644.00	0.094127
645.00	0.11312
646.00	0.13658
647.00	0.16386
648.00	0.19165
649.00	0.21499
650.00	0.22887
651.00	0.22990
652.00	0.21844
653.00	0.19651
654.00	0.17058
655.00	0.13481
656.00	0.11206
657.00	0.10005
658.00	0.074183
659.00	0.057515
660.00	0.044814
661.00	0.034936
662.00	0.027236
663.00	0.021363
664.00	0.016804
665.00	0.013207
666.00	0.010616
667.00	0.0084928
668.00	0.0068390
669.00	0.0055876
670.00	0.0045384
671.00	0.0038041
672.00	0.0032048
673.00	0.0028072
674.00	0.0023952
675.00	0.0020398
676.00	0.0017650
677.00	0.0016940
678.00	0.0015601
679.00	0.0014939
680.00	0.0013573
681.00	0.0012729
682.00	0.0012436
683.00	0.0011918
684.00	0.0011982
685.00	0.0010856
686.00	0.0012084
687.00	0.0011555
688.00	0.0011118
689.00	0.0010605
690.00	0.0010061
691.00	0.00098423
692.00	0.0010963
693.00	0.0010734
694.00	0.0010189
695.00	0.0010840
696.00	0.0010883
697.00	0.0010104
698.00	0.0010771
699.00	0.0010098
700.00	0.0010307
