Wavelength (nm)	120 Zn-8d
572.00	0.028665
573.00	0.028791
574.00	0.027529
575.00	0.028080
576.00	0.027588
577.00	0.025705
578.00	0.023832
579.00	0.026049
580.00	0.023232
581.00	0.021692
582.00	0.020567
583.00	0.024274
584.00	0.021752
585.00	0.018091
586.00	0.020292
587.00	0.019964
588.00	0.019654
589.00	0.021644
590.00	0.022565
591.00	0.023818
592.00	0.024863
593.00	0.025649
594.00	0.029276
595.00	0.030931
596.00	0.033408
597.00	0.036267
598.00	0.039286
599.00	0.043314
600.00	0.052592
601.00	0.063944
602.00	0.079685
603.00	0.098990
604.00	0.11979
605.00	0.14532
606.00	0.16783
607.00	0.18647
608.00	0.19896
609.00	0.20200
610.00	0.19498
611.00	0.18220
612.00	0.16324
613.00	0.14024
614.00	0.11699
615.00	0.096020
616.00	0.077867
617.00	0.061947
618.00	0.048668
619.00	0.039607
620.00	0.031984
621.00	0.027675
622.00	0.024629
623.00	0.022228
624.00	0.021085
625.00	0.020445
626.00	0.020170
627.00	0.019398
628.00	0.018956
629.00	0.018271
630.00	0.016496
631.00	0.015619
632.00	0.014300
633.00	0.012593
634.00	0.011416
635.00	0.010288
636.00	0.0090500
637.00	0.0073489
638.00	0.0064188
639.00	0.0063024
640.00	0.0055392
641.00	0.0042069
642.00	0.0036991
643.00	0.0042200
644.00	0.0037062
645.00	0.0035340
646.00	0.0027410
647.00	0.0036070
648.00	0.0029264
649.00	0.0030624
650.00	0.0033540
651.00	0.0032524
652.00	0.0011154
653.00	0.0013405
654.00	0.0021536
655.00	0.0013829
656.00	0.0019148
657.00	0.0015660
658.00	0.0013232
659.00	0.0014922
660.00	0.0021340
661.00	0.0018911
662.00	0.0015650
663.00	0.0011433
664.00	0.0017919
665.00	0.0014272
666.00	0.0014017
667.00	0.0013245
668.00	0.0013940
669.00	0.0010109
670.00	0.0015318
671.00	0.0010881
672.00	0.0011409
673.00	0.00084039
674.00	0.0011813
675.00	0.0017052
676.00	0.0016309
677.00	0.0018269
678.00	0.0010988
679.00	0.00082732
680.00	0.0011754
681.00	0.0011225
682.00	0.0013886
683.00	0.0011754
684.00	0.00078515
685.00	0.0010233
686.00	0.0014937
687.00	0.0011766
688.00	0.0014272
689.00	0.0010988
690.00	0.00070378
691.00	0.00083623
692.00	0.0012170
693.00	0.0014854
694.00	0.0012288
695.00	0.0013078
696.00	0.00087722
697.00	0.00066933
698.00	0.0011433
699.00	0.00078812
700.00	0.00075486
