Wavelength (nm)	L285 ZnOP-He3M10 (SE329).abs
377.80	0.19632
378.00	0.19273
378.20	0.18914
378.40	0.19353
378.60	0.19525
378.80	0.19293
379.00	0.19200
379.20	0.19350
379.40	0.19418
379.60	0.19128
379.80	0.19544
380.00	0.19473
380.20	0.19391
380.40	0.19656
380.60	0.19667
380.80	0.19504
381.00	0.19410
381.20	0.19733
381.40	0.19524
381.60	0.19395
381.80	0.19417
382.00	0.19370
382.20	0.19403
382.40	0.19576
382.60	0.19644
382.80	0.19261
383.00	0.19375
383.20	0.19813
383.40	0.19418
383.60	0.19105
383.80	0.19462
384.00	0.19692
384.20	0.19459
384.40	0.19295
384.60	0.19571
384.80	0.19570
385.00	0.19360
385.20	0.19555
385.40	0.19634
385.60	0.19586
385.80	0.19585
386.00	0.20080
386.20	0.19674
386.40	0.20181
386.60	0.20307
386.80	0.20015
387.00	0.20048
387.20	0.20162
387.40	0.20068
387.60	0.20054
387.80	0.20064
388.00	0.20548
388.20	0.20395
388.40	0.20544
388.60	0.20657
388.80	0.20794
389.00	0.20769
389.20	0.20755
389.40	0.20950
389.60	0.20774
389.80	0.21304
390.00	0.21198
390.20	0.21346
390.40	0.21725
390.60	0.22105
390.80	0.22264
391.00	0.22262
391.20	0.22630
391.40	0.22801
391.60	0.22961
391.80	0.23537
392.00	0.23974
392.20	0.24330
392.40	0.24490
392.60	0.25123
392.80	0.25202
393.00	0.25477
393.20	0.25914
393.40	0.26374
393.60	0.26499
393.80	0.26728
394.00	0.27465
394.20	0.27694
394.40	0.28235
394.60	0.28880
394.80	0.29167
395.00	0.29291
395.20	0.30110
395.40	0.30477
395.60	0.30660
395.80	0.31455
396.00	0.31915
396.20	0.32051
396.40	0.32557
396.60	0.33133
396.80	0.33488
397.00	0.33879
397.20	0.34431
397.40	0.34902
397.60	0.35200
397.80	0.35683
398.00	0.36328
398.20	0.36579
398.40	0.36819
398.60	0.37522
398.80	0.37877
399.00	0.37839
399.20	0.38530
399.40	0.38966
399.60	0.39067
399.80	0.39480
400.00	0.40079
400.20	0.40029
400.40	0.40222
400.60	0.40717
400.80	0.41141
401.00	0.41068
401.20	0.41400
401.40	0.41524
401.60	0.41393
401.80	0.41772
402.00	0.42162
402.20	0.41973
402.40	0.42120
402.60	0.42614
402.80	0.42494
403.00	0.42514
403.20	0.42568
403.40	0.42506
403.60	0.42549
403.80	0.42580
404.00	0.42889
404.20	0.42816
404.40	0.42418
404.60	0.42542
404.80	0.42827
405.00	0.42187
405.20	0.42287
405.40	0.42249
405.60	0.42395
405.80	0.41986
406.00	0.42087
406.20	0.42025
406.40	0.41778
406.60	0.41681
406.80	0.42048
407.00	0.41534
407.20	0.41600
407.40	0.41376
407.60	0.41117
407.80	0.40835
408.00	0.41225
408.20	0.41140
408.40	0.40696
408.60	0.40749
408.80	0.40687
409.00	0.40440
409.20	0.40494
409.40	0.40675
409.60	0.40485
409.80	0.40365
410.00	0.40731
410.20	0.40530
410.40	0.40376
410.60	0.40788
410.80	0.40818
411.00	0.40675
411.20	0.40809
411.40	0.41233
411.60	0.41055
411.80	0.41386
412.00	0.41532
412.20	0.41724
412.40	0.41720
412.60	0.42004
412.80	0.42625
413.00	0.42979
413.20	0.43321
413.40	0.43652
413.60	0.43891
413.80	0.44210
414.00	0.44784
414.20	0.45427
414.40	0.45793
414.60	0.46286
414.80	0.47126
415.00	0.47618
415.20	0.48366
415.40	0.49240
415.60	0.49964
415.80	0.50422
416.00	0.51644
416.20	0.52542
416.40	0.53104
416.60	0.54025
416.80	0.55026
417.00	0.55982
417.20	0.57088
417.40	0.58413
417.60	0.59149
417.80	0.60475
418.00	0.61835
418.20	0.62871
418.40	0.63734
418.60	0.65175
418.80	0.66651
419.00	0.67757
419.20	0.69210
419.40	0.70732
419.60	0.71896
419.80	0.72886
420.00	0.74639
420.20	0.76104
420.40	0.77012
420.60	0.78442
420.80	0.80080
421.00	0.81197
421.20	0.82441
421.40	0.83975
421.60	0.84988
421.80	0.86128
422.00	0.87882
422.20	0.89057
422.40	0.89861
422.60	0.90943
422.80	0.92257
423.00	0.92900
423.20	0.93554
423.40	0.94775
423.60	0.95510
423.80	0.96130
424.00	0.97027
424.20	0.97542
424.40	0.97860
424.60	0.98642
424.80	0.99099
425.00	0.99255
425.20	0.99296
425.40	0.99869
425.60	0.99748
425.80	0.99719
426.00	1.0000
426.20	0.99766
426.40	0.99552
426.60	0.99315
426.80	0.99078
427.00	0.98575
427.20	0.98187
427.40	0.97904
427.60	0.97632
427.80	0.96608
428.00	0.96244
428.20	0.95405
428.40	0.94254
428.60	0.93369
428.80	0.92461
429.00	0.91309
429.20	0.90112
429.40	0.88891
429.60	0.87543
429.80	0.86010
430.00	0.84789
430.20	0.83407
430.40	0.81862
430.60	0.80225
430.80	0.78830
431.00	0.77077
431.20	0.75463
431.40	0.73918
431.60	0.72177
431.80	0.70169
432.00	0.68856
432.20	0.67056
432.40	0.65164
432.60	0.63365
432.80	0.61646
433.00	0.59639
433.20	0.57932
433.40	0.56202
433.60	0.54622
433.80	0.52568
434.00	0.50873
434.20	0.49096
434.40	0.47574
434.60	0.45752
434.80	0.44288
435.00	0.42453
435.20	0.40839
435.40	0.39490
435.60	0.37321
435.80	0.35880
436.00	0.34878
436.20	0.33368
436.40	0.31915
436.60	0.30659
436.80	0.29450
437.00	0.28379
437.20	0.27008
437.40	0.25798
437.60	0.24958
437.80	0.23969
438.00	0.22909
438.20	0.22058
438.40	0.20895
438.60	0.19847
438.80	0.19436
439.00	0.18562
439.20	0.17780
439.40	0.17114
439.60	0.16494
439.80	0.15551
440.00	0.15070
440.20	0.14740
440.40	0.14317
440.60	0.13812
440.80	0.13459
441.00	0.12909
441.20	0.12485
441.40	0.12248
441.60	0.12010
441.80	0.11355
442.00	0.11348
442.20	0.10960
442.40	0.10722
442.60	0.099865
442.80	0.10211
443.00	0.098922
443.20	0.093996
443.40	0.093467
443.60	0.094326
443.80	0.088705
444.00	0.087250
444.20	0.088571
444.40	0.084686
444.60	0.081148
444.80	0.082816
445.00	0.080782
445.20	0.081061
445.40	0.077291
445.60	0.078265
445.80	0.076461
446.00	0.074658
446.20	0.076209
446.40	0.075447
446.60	0.072949
446.80	0.072649
447.00	0.074779
447.20	0.071124
447.40	0.070361
447.60	0.069019
447.80	0.069644
448.00	0.069228
448.20	0.070200
448.40	0.068858
448.60	0.067632
448.80	0.068141
449.00	0.068882
449.20	0.066151
449.40	0.067469
449.60	0.068441
449.80	0.065363
450.00	0.065871
450.20	0.067305
450.40	0.064458
450.60	0.064388
450.80	0.066516
451.00	0.064362
451.20	0.063945
451.40	0.064221
451.60	0.065538
451.80	0.062691
452.00	0.061925
452.20	0.063474
452.40	0.062824
452.60	0.063447
452.80	0.062913
453.00	0.062147
453.20	0.061497
453.40	0.060152
453.60	0.060312
453.80	0.061397
454.00	0.061904
454.20	0.062641
454.40	0.062685
454.60	0.061687
454.80	0.060920
455.00	0.060732
455.20	0.060775
455.40	0.060818
455.60	0.064448
455.80	0.060788
456.00	0.058864
456.20	0.062031
456.40	0.061148
456.60	0.059570
456.80	0.059844
457.00	0.062200
457.20	0.058771
457.40	0.061127
457.60	0.061054
457.80	0.059476
458.00	0.057435
458.20	0.059212
458.40	0.059948
458.60	0.057791
458.80	0.061767
459.00	0.060998
459.20	0.059998
459.40	0.060849
459.60	0.061121
459.80	0.060005
460.00	0.060972
460.20	0.060319
460.40	0.060012
460.60	0.057739
460.80	0.060556
461.00	0.058977
461.20	0.058554
461.40	0.058363
461.60	0.059908
461.80	0.059601
462.00	0.058831
462.20	0.060838
462.40	0.061687
462.60	0.060801
462.80	0.059568
463.00	0.059839
463.20	0.059069
463.40	0.058298
463.60	0.058453
463.80	0.059303
464.00	0.057722
464.20	0.056720
464.40	0.059767
464.60	0.058417
464.80	0.060308
465.00	0.058379
465.20	0.058534
465.40	0.057994
465.60	0.058611
465.80	0.056914
466.00	0.058340
466.20	0.059189
466.40	0.061078
466.60	0.062042
466.80	0.057914
467.00	0.059919
467.20	0.057643
467.40	0.058722
467.60	0.059801
467.80	0.059607
468.00	0.058488
468.20	0.059220
468.40	0.060761
468.60	0.059410
468.80	0.057249
469.00	0.059600
469.20	0.056513
469.40	0.059443
469.60	0.060636
469.80	0.061830
470.00	0.058627
470.20	0.060747
470.40	0.060205
470.60	0.060820
470.80	0.059005
471.00	0.061008
471.20	0.059425
471.40	0.060965
471.60	0.061232
471.80	0.061269
472.00	0.060147
472.20	0.060646
472.40	0.060798
472.60	0.062800
472.80	0.060522
473.00	0.062987
473.20	0.062560
473.40	0.059703
473.60	0.063094
473.80	0.061509
474.00	0.060850
474.20	0.061579
474.40	0.062424
474.60	0.062112
474.80	0.064461
475.00	0.062645
475.20	0.060481
475.40	0.060863
475.60	0.064022
475.80	0.062899
476.00	0.062586
476.20	0.064356
476.40	0.066126
476.60	0.065351
476.80	0.065038
477.00	0.064030
477.20	0.063717
477.40	0.064793
477.60	0.066331
477.80	0.063356
478.00	0.067208
478.20	0.065969
478.40	0.066466
478.60	0.064648
478.80	0.065723
479.00	0.065062
479.20	0.066368
479.40	0.065823
479.60	0.064236
479.80	0.066815
480.00	0.066269
480.20	0.065492
480.40	0.065757
480.60	0.066021
480.80	0.063624
481.00	0.067938
481.20	0.064962
481.40	0.065457
481.60	0.065490
481.80	0.066448
482.00	0.066827
482.20	0.066281
482.40	0.067818
482.60	0.066114
482.80	0.064179
483.00	0.064906
483.20	0.064591
483.40	0.064275
483.60	0.065349
483.80	0.066075
484.00	0.062288
484.20	0.065675
484.40	0.065707
484.60	0.065623
484.80	0.068084
485.00	0.067074
485.20	0.064791
485.40	0.063781
485.60	0.065548
485.80	0.065232
486.00	0.065263
486.20	0.065294
486.40	0.064862
486.60	0.063736
486.80	0.064808
487.00	0.064144
487.20	0.063828
487.40	0.062817
487.60	0.061575
487.80	0.061143
488.00	0.063256
488.20	0.062939
488.40	0.062044
488.60	0.062768
488.80	0.060832
489.00	0.061672
489.20	0.061586
489.40	0.061963
489.60	0.061646
489.80	0.060519
490.00	0.059044
490.20	0.058727
490.40	0.060145
490.60	0.059481
490.80	0.059047
491.00	0.058383
491.20	0.059569
491.40	0.056706
491.60	0.058587
491.80	0.055608
492.00	0.058182
492.20	0.057054
492.40	0.058009
492.60	0.056765
492.80	0.055637
493.00	0.056245
493.20	0.056042
493.40	0.055492
493.60	0.057025
493.80	0.056591
494.00	0.054769
494.20	0.057690
494.40	0.057371
494.60	0.058210
494.80	0.056387
495.00	0.058151
495.20	0.054476
495.40	0.056472
495.60	0.052682
495.80	0.049817
496.00	0.052275
496.20	0.049873
496.40	0.050017
496.60	0.052706
496.80	0.050304
497.00	0.051373
497.20	0.051285
497.40	0.049577
497.60	0.047522
497.80	0.049285
498.00	0.050123
498.20	0.047952
498.40	0.044392
498.60	0.046271
498.80	0.044100
499.00	0.043548
499.20	0.045311
499.40	0.044528
499.60	0.045944
499.80	0.044582
500.00	0.044031
500.20	0.045446
500.40	0.045242
500.60	0.045037
500.80	0.043907
501.00	0.047173
501.20	0.045811
501.40	0.046069
501.60	0.044823
501.80	0.045081
502.00	0.043488
502.20	0.045018
502.40	0.044119
502.60	0.044724
502.80	0.044865
503.00	0.045123
503.20	0.043298
503.40	0.044018
503.60	0.043581
503.80	0.044880
504.00	0.043286
504.20	0.044816
504.40	0.043106
504.60	0.043942
504.80	0.044662
505.00	0.043415
505.20	0.043325
505.40	0.044507
505.60	0.042797
505.80	0.044674
506.00	0.043427
506.20	0.041716
506.40	0.043361
506.60	0.045122
506.80	0.043875
507.00	0.043553
507.20	0.044388
507.40	0.043024
507.60	0.044438
507.80	0.045504
508.00	0.044256
508.20	0.042661
508.40	0.044769
508.60	0.043289
508.80	0.045512
509.00	0.045537
509.20	0.044058
509.40	0.041768
509.60	0.044338
509.80	0.045867
510.00	0.043808
510.20	0.044411
510.40	0.043973
510.60	0.044576
510.80	0.045294
511.00	0.043930
511.20	0.046615
511.40	0.045366
511.60	0.046316
511.80	0.045067
512.00	0.046711
512.20	0.045694
512.40	0.045139
512.60	0.046435
512.80	0.046344
513.00	0.047293
513.20	0.048358
513.40	0.044910
513.60	0.047248
513.80	0.045999
514.00	0.047642
514.20	0.046393
514.40	0.046532
514.60	0.049448
514.80	0.046926
515.00	0.045908
515.20	0.048013
515.40	0.047574
515.60	0.048175
515.80	0.049818
516.00	0.047064
516.20	0.046856
516.40	0.049887
516.60	0.047480
516.80	0.047619
517.00	0.047179
517.20	0.049632
517.40	0.049886
517.60	0.047363
517.80	0.050857
518.00	0.048334
518.20	0.048472
518.40	0.049073
518.60	0.048517
518.80	0.050159
519.00	0.049950
519.20	0.047774
519.40	0.049648
519.60	0.049901
519.80	0.049113
520.00	0.049946
520.20	0.050893
520.40	0.048601
520.60	0.050127
520.80	0.048298
521.00	0.048436
521.20	0.048458
521.40	0.049521
521.60	0.049311
521.80	0.048407
522.00	0.050743
522.20	0.049724
522.40	0.048704
522.60	0.047106
522.80	0.047822
523.00	0.049000
523.20	0.048674
523.40	0.052167
523.60	0.048717
523.80	0.047697
524.00	0.049107
524.20	0.049823
524.40	0.050191
524.60	0.050096
524.80	0.049655
525.00	0.049329
525.20	0.048309
525.40	0.048445
525.60	0.049161
525.80	0.047562
526.00	0.046194
526.20	0.047603
526.40	0.047971
526.60	0.047414
526.80	0.047666
527.00	0.048265
527.20	0.046666
527.40	0.047959
527.60	0.047054
527.80	0.047306
528.00	0.045244
528.20	0.046884
528.40	0.046673
528.60	0.044495
528.80	0.045673
529.00	0.047544
529.20	0.044209
529.40	0.047469
529.60	0.045870
529.80	0.047394
530.00	0.046604
530.20	0.043732
530.40	0.043867
530.60	0.042615
530.80	0.045412
531.00	0.046357
531.20	0.046609
531.40	0.044199
531.60	0.042367
531.80	0.044933
532.00	0.043448
532.20	0.044625
532.40	0.043835
532.60	0.043623
532.80	0.043874
533.00	0.043894
533.20	0.044029
533.40	0.041966
533.60	0.043489
533.80	0.042814
534.00	0.041677
534.20	0.041349
534.40	0.044608
534.60	0.040693
534.80	0.041754
535.00	0.041773
535.20	0.041098
535.40	0.039845
535.60	0.042409
535.80	0.042197
536.00	0.040365
536.20	0.041078
536.40	0.040750
536.60	0.039033
536.80	0.040440
537.00	0.041848
537.20	0.039552
537.40	0.041191
537.60	0.040284
537.80	0.040881
538.00	0.041479
538.20	0.041844
538.40	0.040359
538.60	0.040030
538.80	0.041322
539.00	0.039373
539.20	0.041590
539.40	0.042534
539.60	0.042668
539.80	0.041067
540.00	0.042474
540.20	0.042492
540.40	0.040775
540.60	0.041371
540.80	0.039654
541.00	0.042680
541.20	0.044203
541.40	0.042485
541.60	0.042388
541.80	0.043216
542.00	0.043697
542.20	0.041863
542.40	0.043732
542.60	0.041089
542.80	0.044000
543.00	0.043786
543.20	0.043920
543.40	0.045094
543.60	0.045575
543.80	0.042584
544.00	0.042718
544.20	0.044471
544.40	0.044836
544.60	0.044043
544.80	0.045681
545.00	0.047202
545.20	0.046294
545.40	0.043998
545.60	0.046445
545.80	0.045652
546.00	0.046248
546.20	0.048001
546.40	0.048481
546.60	0.046763
546.80	0.047012
547.00	0.048880
547.20	0.049591
547.40	0.049146
547.60	0.048353
547.80	0.047097
548.00	0.051627
548.20	0.048867
548.40	0.049809
548.60	0.049711
548.80	0.049265
549.00	0.049513
549.20	0.050803
549.40	0.050472
549.60	0.052340
549.80	0.051779
550.00	0.053531
550.20	0.053548
550.40	0.051713
550.60	0.050457
550.80	0.049085
551.00	0.051300
551.20	0.049465
551.40	0.048903
551.60	0.053085
551.80	0.052755
552.00	0.051961
552.20	0.052325
552.40	0.055349
552.60	0.052126
552.80	0.054225
553.00	0.054473
553.20	0.053448
553.40	0.052538
553.60	0.054637
553.80	0.054769
554.00	0.053975
554.20	0.054570
554.40	0.057478
554.60	0.054023
554.80	0.057511
555.00	0.057064
555.20	0.056038
555.40	0.056286
555.60	0.056880
555.80	0.057706
556.00	0.057259
556.20	0.057043
556.40	0.058448
556.60	0.058579
556.80	0.058595
557.00	0.060115
557.20	0.063949
557.40	0.061766
557.60	0.062476
557.80	0.065500
558.00	0.062738
558.20	0.065646
558.40	0.065315
558.60	0.065330
558.80	0.063379
559.00	0.065940
559.20	0.066534
559.40	0.063541
559.60	0.065870
559.80	0.067621
560.00	0.064512
560.20	0.066610
560.40	0.067088
560.60	0.067682
560.80	0.068739
561.00	0.068291
561.20	0.068769
561.40	0.065081
561.60	0.068799
561.80	0.068467
562.00	0.069755
562.20	0.069654
562.40	0.072215
562.60	0.070378
562.80	0.069815
563.00	0.069598
563.20	0.070886
563.40	0.069396
563.60	0.070105
563.80	0.071624
564.00	0.070829
564.20	0.072927
564.40	0.072941
564.60	0.075617
564.80	0.073549
565.00	0.074721
565.20	0.076471
565.40	0.073014
565.60	0.074765
565.80	0.075589
566.00	0.075488
566.20	0.073304
566.40	0.077252
566.60	0.075531
566.80	0.074504
567.00	0.074634
567.20	0.074649
567.40	0.075241
567.60	0.074330
567.80	0.075849
568.00	0.072739
568.20	0.068703
568.40	0.072420
568.60	0.070467
568.80	0.069787
569.00	0.070380
569.20	0.070163
569.40	0.070871
569.60	0.070885
569.80	0.071362
570.00	0.069640
570.20	0.070117
570.40	0.071057
570.60	0.069798
570.80	0.067613
571.00	0.068090
571.20	0.070881
571.40	0.067308
571.60	0.067669
571.80	0.068145
572.00	0.066886
572.20	0.067247
572.40	0.067608
572.60	0.068200
572.80	0.066362
573.00	0.067186
573.20	0.067200
573.40	0.065131
573.60	0.065260
573.80	0.065968
574.00	0.064130
574.20	0.062639
574.40	0.066124
574.60	0.063360
574.80	0.062448
575.00	0.063040
575.20	0.063516
575.40	0.060868
575.60	0.062270
575.80	0.064829
576.00	0.062991
576.20	0.062657
576.40	0.062786
576.60	0.063146
576.80	0.061655
577.00	0.063057
577.20	0.065037
577.40	0.061811
577.60	0.063791
577.80	0.062994
578.00	0.063238
578.20	0.061979
578.40	0.063033
578.60	0.061310
578.80	0.063059
579.00	0.062956
579.20	0.062969
579.40	0.062288
579.60	0.064846
579.80	0.065206
580.00	0.064409
580.20	0.063843
580.40	0.065939
580.60	0.064332
580.80	0.063303
581.00	0.066555
581.20	0.068188
581.40	0.066002
581.60	0.065899
581.80	0.068804
582.00	0.067776
582.20	0.071491
582.40	0.070925
582.60	0.073367
582.80	0.072338
583.00	0.070500
583.20	0.074562
583.40	0.073070
583.60	0.074355
583.80	0.074715
584.00	0.075653
584.20	0.075897
584.40	0.077760
584.60	0.079508
584.80	0.077091
585.00	0.078491
585.20	0.079429
585.40	0.080714
585.60	0.079801
585.80	0.082127
586.00	0.079941
586.20	0.080879
586.40	0.081470
586.60	0.082407
586.80	0.083461
587.00	0.084051
587.20	0.083832
587.40	0.084770
587.60	0.084435
587.80	0.085604
588.00	0.087004
588.20	0.086438
588.40	0.087954
588.60	0.086461
588.80	0.086010
589.00	0.084750
589.20	0.088927
589.40	0.087319
589.60	0.087909
589.80	0.090235
590.00	0.089784
590.20	0.090837
590.40	0.090733
590.60	0.091902
590.80	0.089368
591.00	0.091925
591.20	0.095871
591.40	0.091949
591.60	0.091844
591.80	0.094054
592.00	0.094297
592.20	0.092226
592.40	0.097097
592.60	0.095489
592.80	0.095501
593.00	0.095975
593.20	0.095755
593.40	0.097849
593.60	0.096819
593.80	0.099376
594.00	0.099156
594.20	0.099052
594.40	0.098600
594.60	0.099769
594.80	0.099549
595.00	0.10037
595.20	0.10015
595.40	0.10248
595.60	0.10156
595.80	0.10122
596.00	0.10413
596.20	0.10044
596.40	0.10137
596.60	0.10358
596.80	0.10267
597.00	0.10303
597.20	0.10570
597.40	0.10536
597.60	0.10364
597.80	0.10504
598.00	0.10759
598.20	0.10564
598.40	0.10496
598.60	0.10786
598.80	0.10579
599.00	0.10487
599.20	0.10847
599.40	0.10651
599.60	0.10768
599.80	0.10931
600.00	0.10736
600.20	0.10436
600.40	0.10680
600.60	0.10716
600.80	0.10752
601.00	0.10463
601.20	0.10719
601.40	0.10593
601.60	0.10594
601.80	0.10630
602.00	0.10654
602.20	0.10551
602.40	0.10598
602.60	0.10622
602.80	0.10334
603.00	0.10254
603.20	0.10348
603.40	0.10326
603.60	0.10338
603.80	0.10501
604.00	0.10433
604.20	0.10122
604.40	0.10389
604.60	0.10390
604.80	0.10321
605.00	0.10022
605.20	0.10196
605.40	0.10082
605.60	0.096545
605.80	0.098754
606.00	0.098417
606.20	0.095766
606.40	0.095892
606.60	0.096365
606.80	0.095681
607.00	0.095923
607.20	0.094661
607.40	0.094324
607.60	0.092830
607.80	0.091451
608.00	0.094354
608.20	0.092050
608.40	0.089630
608.60	0.093574
608.80	0.091155
609.00	0.090586
609.20	0.089324
609.40	0.089449
609.60	0.086798
609.80	0.089238
610.00	0.088901
610.20	0.087638
610.40	0.087069
610.60	0.087773
610.80	0.085701
611.00	0.085016
611.20	0.084216
611.40	0.085730
611.60	0.082038
611.80	0.082279
612.00	0.084834
612.20	0.083803
612.40	0.080457
612.60	0.082665
612.80	0.081633
613.00	0.079213
613.20	0.079223
613.40	0.082357
613.60	0.077160
613.80	0.078442
614.00	0.080419
614.20	0.077304
614.40	0.075116
614.60	0.077092
614.80	0.076870
615.00	0.073062
615.20	0.076658
615.40	0.076436
615.60	0.071586
615.80	0.075183
616.00	0.072415
616.20	0.074507
616.40	0.070699
616.60	0.072559
616.80	0.072222
617.00	0.071768
617.20	0.070736
617.40	0.070399
617.60	0.067168
617.80	0.069839
618.00	0.069964
618.20	0.068238
618.40	0.068131
618.60	0.070917
618.80	0.070232
619.00	0.069779
619.20	0.070829
619.40	0.072111
619.60	0.070385
619.80	0.072593
620.00	0.072602
620.20	0.072264
620.40	0.072042
620.60	0.071241
620.80	0.074027
621.00	0.073689
621.20	0.072541
621.40	0.078682
621.60	0.076609
621.80	0.077312
622.00	0.080214
622.20	0.080107
622.40	0.081967
622.60	0.085216
622.80	0.086729
623.00	0.086970
623.20	0.087904
623.40	0.092541
623.60	0.090468
623.80	0.091518
624.00	0.096386
624.20	0.096627
624.40	0.098834
624.60	0.10116
624.80	0.10302
625.00	0.10418
625.20	0.10651
625.40	0.10802
625.60	0.10953
625.80	0.11243
626.00	0.11626
626.20	0.11824
626.40	0.11674
626.60	0.12010
626.80	0.12324
627.00	0.12359
627.20	0.12742
627.40	0.12974
627.60	0.13172
627.80	0.13300
628.00	0.13683
628.20	0.13857
628.40	0.13893
628.60	0.14264
628.80	0.14681
629.00	0.14474
629.20	0.14625
629.40	0.14950
629.60	0.15113
629.80	0.15368
630.00	0.15832
630.20	0.15995
630.40	0.16042
630.60	0.16459
630.80	0.16865
631.00	0.16912
631.20	0.17341
631.40	0.17770
631.60	0.17933
631.80	0.18327
632.00	0.18710
632.20	0.19000
632.40	0.19244
632.60	0.19881
632.80	0.20356
633.00	0.20496
633.20	0.21214
633.40	0.21851
633.60	0.22245
633.80	0.22871
634.00	0.23820
634.20	0.24284
634.40	0.24852
634.60	0.25732
634.80	0.26358
635.00	0.27134
635.20	0.28083
635.40	0.28825
635.60	0.30006
635.80	0.30724
636.00	0.31847
636.20	0.33063
636.40	0.33792
636.60	0.34869
636.80	0.36259
637.00	0.37069
637.20	0.38019
637.40	0.39154
637.60	0.40265
637.80	0.41342
638.00	0.42546
638.20	0.43542
638.40	0.44573
638.60	0.45511
638.80	0.46761
639.00	0.47398
639.20	0.48070
639.40	0.48869
639.60	0.49645
639.80	0.50282
640.00	0.51058
640.20	0.51591
640.40	0.51893
640.60	0.52368
640.80	0.53005
641.00	0.52948
641.20	0.53030
641.40	0.53366
641.60	0.53633
641.80	0.53032
642.00	0.52894
642.20	0.52849
642.40	0.52398
642.60	0.51890
642.80	0.51613
643.00	0.50769
643.20	0.50133
643.40	0.49752
643.60	0.48758
643.80	0.47799
644.00	0.47012
644.20	0.46284
644.40	0.45001
644.60	0.44134
644.80	0.42989
645.00	0.42053
645.20	0.40653
645.40	0.39809
645.60	0.38734
645.80	0.37612
646.00	0.36271
646.20	0.35242
646.40	0.33924
646.60	0.32640
646.80	0.31819
647.00	0.30571
647.20	0.29252
647.40	0.28397
647.60	0.26963
647.80	0.25795
648.00	0.25078
648.20	0.24177
648.40	0.23090
648.60	0.22049
648.80	0.21494
649.00	0.20060
649.20	0.19425
649.40	0.18754
649.60	0.17772
649.80	0.17067
650.00	0.16442
650.20	0.15587
650.40	0.14905
650.60	0.14304
650.80	0.14004
651.00	0.13287
651.20	0.12675
651.40	0.12271
651.60	0.11866
651.80	0.11046
652.00	0.10896
652.20	0.10584
652.40	0.099138
652.60	0.095789
652.80	0.093945
653.00	0.089556
653.20	0.083546
653.40	0.081586
653.60	0.081362
653.80	0.078360
654.00	0.074434
654.20	0.073284
654.40	0.071092
654.60	0.069364
654.80	0.067172
655.00	0.065328
655.20	0.062327
655.40	0.063722
655.60	0.060836
655.80	0.056909
656.00	0.058189
656.20	0.056576
656.40	0.055773
656.60	0.053929
656.80	0.055787
657.00	0.050471
657.20	0.050710
657.40	0.050369
657.60	0.050145
657.80	0.048416
658.00	0.047729
658.20	0.046694
658.40	0.044503
658.60	0.041038
658.80	0.043128
659.00	0.041862
659.20	0.038976
659.40	0.040024
