Wavelength (nm)	137 Oxo-Mg2.abs
526.00	0.015313
527.00	0.015724
528.00	0.017113
529.00	0.016916
530.00	0.017066
531.00	0.017112
532.00	0.017354
533.00	0.018236
534.00	0.017209
535.00	0.016963
536.00	0.015933
537.00	0.016222
538.00	0.016984
539.00	0.016137
540.00	0.015768
541.00	0.015776
542.00	0.015946
543.00	0.015808
544.00	0.016239
545.00	0.015960
546.00	0.016214
547.00	0.017874
548.00	0.017792
549.00	0.017046
550.00	0.017898
551.00	0.019315
552.00	0.019763
553.00	0.020071
554.00	0.019275
555.00	0.020508
556.00	0.020094
557.00	0.020215
558.00	0.020398
559.00	0.021463
560.00	0.022790
561.00	0.023174
562.00	0.024098
563.00	0.026034
564.00	0.027901
565.00	0.029373
566.00	0.031364
567.00	0.033740
568.00	0.034313
569.00	0.036023
570.00	0.035716
571.00	0.035699
572.00	0.033893
573.00	0.034365
574.00	0.035479
575.00	0.031643
576.00	0.031009
577.00	0.032116
578.00	0.027337
579.00	0.024300
580.00	0.024861
581.00	0.026095
582.00	0.019546
583.00	0.014241
584.00	0.017952
585.00	0.018148
586.00	0.012847
587.00	0.014242
588.00	0.012917
589.00	0.010306
590.00	0.011677
591.00	0.011845
592.00	0.014064
593.00	0.014721
594.00	0.011761
595.00	0.013126
596.00	0.012013
597.00	0.014077
598.00	0.016676
599.00	0.016649
600.00	0.016849
601.00	0.016736
602.00	0.017956
603.00	0.020210
604.00	0.019074
605.00	0.021153
606.00	0.022390
607.00	0.022348
608.00	0.023445
609.00	0.025208
610.00	0.029581
611.00	0.034191
612.00	0.041912
613.00	0.055312
614.00	0.072284
615.00	0.092428
616.00	0.11443
617.00	0.13733
618.00	0.15361
619.00	0.16215
620.00	0.16253
621.00	0.15374
622.00	0.14057
623.00	0.12314
624.00	0.10345
625.00	0.084945
626.00	0.067860
627.00	0.053407
628.00	0.040722
629.00	0.031609
630.00	0.024087
631.00	0.018368
632.00	0.014583
633.00	0.012031
634.00	0.0099559
635.00	0.0086776
636.00	0.0079675
637.00	0.0068678
638.00	0.0065499
639.00	0.0059567
640.00	0.0057359
641.00	0.0054696
642.00	0.0059612
643.00	0.0059062
644.00	0.0049886
645.00	0.0037414
646.00	0.0028295
647.00	0.0021126
648.00	0.0022313
649.00	0.0023443
650.00	0.0021035
651.00	0.0029418
652.00	0.0023163
653.00	0.0032085
654.00	0.0015862
655.00	0.00084173
656.00	0.0029837
657.00	0.00086758
658.00	0.00083815
659.00	0.0013979
660.00	0.0011908
661.00	0.0021847
662.00	0.0020496
663.00	0.0020868
664.00	0.0017200
665.00	0.0017913
666.00	0.0011836
667.00	0.0019138
668.00	0.0017424
669.00	0.0017150
670.00	0.0015694
671.00	0.0016843
672.00	0.0016847
673.00	0.00068821
674.00	0.0011718
675.00	0.0014336
676.00	0.0015698
677.00	0.0016005
678.00	0.0015428
679.00	0.0013410
680.00	0.0011855
681.00	0.0011328
682.00	0.00085853
683.00	0.0015588
684.00	0.0013786
685.00	0.0010588
686.00	0.00066507
687.00	0.0010038
688.00	0.00098712
689.00	0.0011901
690.00	0.0011969
691.00	0.0013535
692.00	0.00082021
693.00	0.0011388
694.00	0.00080314
695.00	0.0014408
696.00	0.0014408
697.00	0.0016623
698.00	0.00077773
699.00	0.0012875
700.00	0.0012545
