Wavelength(nm)	L214 ZnC-M10E15 (SE253).ems
577.20	0.0017596
577.40	0.0020996
577.60	0.0015897
577.80	0.0019996
578.00	0.0020896
578.20	0.0019196
578.40	0.0020296
578.60	0.0022396
578.80	0.0020396
579.00	0.0021596
579.20	0.0021896
579.40	0.0025895
579.60	0.0022396
579.80	0.0025895
580.00	0.0022995
580.20	0.0025695
580.40	0.0025995
580.60	0.0026595
580.80	0.0029194
581.00	0.0027495
581.20	0.0029494
581.40	0.0031794
581.60	0.0031394
581.80	0.0031094
582.00	0.0035993
582.20	0.0030894
582.40	0.0035593
582.60	0.0034193
582.80	0.0035493
583.00	0.0040392
583.20	0.0042192
583.40	0.0039292
583.60	0.0038592
583.80	0.0045091
584.00	0.0043491
584.20	0.0045191
584.40	0.0040992
584.60	0.0047191
584.80	0.0049890
585.00	0.0052689
585.20	0.0047391
585.40	0.0051890
585.60	0.0051490
585.80	0.0052190
586.00	0.0052190
586.20	0.0052789
586.40	0.0055989
586.60	0.0052190
586.80	0.0058088
587.00	0.0058888
587.20	0.0060588
587.40	0.0066387
587.60	0.0064587
587.80	0.0064687
588.00	0.0068086
588.20	0.0067686
588.40	0.0071886
588.60	0.0069086
588.80	0.0068786
589.00	0.0078384
589.20	0.0081484
589.40	0.0078684
589.60	0.0078984
589.80	0.0080884
590.00	0.0078684
590.20	0.0087483
590.40	0.0082284
590.60	0.0087882
590.80	0.0091282
591.00	0.0088882
591.20	0.0089182
591.40	0.0094881
591.60	0.0093281
591.80	0.010368
592.00	0.0097381
592.20	0.010028
592.40	0.010618
592.60	0.0099480
592.80	0.011368
593.00	0.010528
593.20	0.011308
593.40	0.011768
593.60	0.011468
593.80	0.011418
594.00	0.012368
594.20	0.012148
594.40	0.012148
594.60	0.012478
594.80	0.013067
595.00	0.012677
595.20	0.012687
595.40	0.013277
595.60	0.012857
595.80	0.013597
596.00	0.014877
596.20	0.013967
596.40	0.014077
596.60	0.015337
596.80	0.015687
597.00	0.015377
597.20	0.015697
597.40	0.015507
597.60	0.016217
597.80	0.016437
598.00	0.016557
598.20	0.017067
598.40	0.017047
598.60	0.017756
598.80	0.017516
599.00	0.017766
599.20	0.019356
599.40	0.019556
599.60	0.019736
599.80	0.020576
600.00	0.020316
600.20	0.020806
600.40	0.021356
600.60	0.021716
600.80	0.022226
601.00	0.022945
601.20	0.023345
601.40	0.023975
601.60	0.025005
601.80	0.025875
602.00	0.025635
602.20	0.025345
602.40	0.027584
602.60	0.027704
602.80	0.029254
603.00	0.029784
603.20	0.031324
603.40	0.032154
603.60	0.033013
603.80	0.033643
604.00	0.035053
604.20	0.036683
604.40	0.037113
604.60	0.038072
604.80	0.038972
605.00	0.041302
605.20	0.043201
605.40	0.045941
605.60	0.046891
605.80	0.048340
606.00	0.048930
606.20	0.051180
606.40	0.053019
606.60	0.056809
606.80	0.058218
607.00	0.059998
607.20	0.063477
607.40	0.065197
607.60	0.071746
607.80	0.074045
608.00	0.076935
608.20	0.078154
608.40	0.085013
608.60	0.090022
608.80	0.092541
609.00	0.097471
609.20	0.10515
609.40	0.11137
609.60	0.11580
609.80	0.12439
610.00	0.13064
610.20	0.13787
610.40	0.14509
610.60	0.15261
610.80	0.16234
611.00	0.17394
611.20	0.18218
611.40	0.19495
611.60	0.20504
611.80	0.21822
612.00	0.23254
612.20	0.24249
612.40	0.25827
612.60	0.27317
612.80	0.29172
613.00	0.30578
613.20	0.32439
613.40	0.33797
613.60	0.36002
613.80	0.37892
614.00	0.39632
614.20	0.41583
614.40	0.43753
614.60	0.45739
614.80	0.47704
615.00	0.50016
615.20	0.51992
615.40	0.54200
615.60	0.56865
615.80	0.58847
616.00	0.60954
616.20	0.63410
616.40	0.65253
616.60	0.67707
616.80	0.69934
617.00	0.72409
617.20	0.74457
617.40	0.76670
617.60	0.78819
617.80	0.80587
618.00	0.82211
618.20	0.84775
618.40	0.85805
618.60	0.87479
618.80	0.89503
619.00	0.90180
619.20	0.92038
619.40	0.93134
619.60	0.94563
619.80	0.95645
620.00	0.97228
620.20	0.97496
620.40	0.98118
620.60	0.99245
620.80	0.99214
621.00	1.0000
621.20	0.99413
621.40	0.99755
621.60	0.99470
621.80	0.99173
622.00	0.99185
622.20	0.98368
622.40	0.98294
622.60	0.97385
622.80	0.96638
623.00	0.96287
623.20	0.95507
623.40	0.93592
623.60	0.92856
623.80	0.91625
624.00	0.90070
624.20	0.88906
624.40	0.87251
624.60	0.85713
624.80	0.84596
625.00	0.82993
625.20	0.81245
625.40	0.79480
625.60	0.77840
625.80	0.76647
626.00	0.74342
626.20	0.73377
626.40	0.71552
626.60	0.69838
626.80	0.67997
627.00	0.65874
627.20	0.64224
627.40	0.62605
627.60	0.61100
627.80	0.59188
628.00	0.57662
628.20	0.56072
628.40	0.55142
628.60	0.53031
628.80	0.52073
629.00	0.50640
629.20	0.49413
629.40	0.47264
629.60	0.46187
629.80	0.44732
630.00	0.43518
630.20	0.42340
630.40	0.40783
630.60	0.39678
630.80	0.39053
631.00	0.37677
631.20	0.36570
631.40	0.35956
631.60	0.34989
631.80	0.33863
632.00	0.32539
632.20	0.32180
632.40	0.31370
632.60	0.30429
632.80	0.29650
633.00	0.28842
633.20	0.28344
633.40	0.27766
633.60	0.27039
633.80	0.26527
634.00	0.25751
634.20	0.25200
634.40	0.24399
634.60	0.23998
634.80	0.23583
635.00	0.22961
635.20	0.22681
635.40	0.22117
635.60	0.21674
635.80	0.20817
636.00	0.20652
636.20	0.20344
636.40	0.19854
636.60	0.19521
636.80	0.19064
637.00	0.18487
637.20	0.18048
637.40	0.17959
637.60	0.17541
637.80	0.17195
638.00	0.16831
638.20	0.16349
638.40	0.16171
638.60	0.15832
638.80	0.15898
639.00	0.15521
639.20	0.14900
639.40	0.14876
639.60	0.14403
639.80	0.14154
640.00	0.14204
640.20	0.13745
640.40	0.13577
640.60	0.13315
640.80	0.13124
641.00	0.12830
641.20	0.12620
641.40	0.12475
641.60	0.12498
641.80	0.11993
642.00	0.11983
642.20	0.11904
642.40	0.11727
642.60	0.11524
642.80	0.11372
643.00	0.11119
643.20	0.11068
643.40	0.11008
643.60	0.10980
643.80	0.10767
644.00	0.10669
644.20	0.10617
644.40	0.10610
644.60	0.10695
644.80	0.10408
645.00	0.10621
645.20	0.10533
645.40	0.10596
645.60	0.10267
645.80	0.10473
646.00	0.10461
646.20	0.10314
646.40	0.10449
646.60	0.10422
646.80	0.10369
647.00	0.10482
647.20	0.10491
647.40	0.10657
647.60	0.10470
647.80	0.10243
648.00	0.10502
648.20	0.10607
648.40	0.10440
648.60	0.10346
648.80	0.10528
649.00	0.10595
649.20	0.10494
649.40	0.10435
649.60	0.10462
649.80	0.10509
650.00	0.10511
650.20	0.10778
650.40	0.10561
650.60	0.10458
650.80	0.10822
651.00	0.10821
651.20	0.10886
651.40	0.10639
651.60	0.10389
651.80	0.10570
652.00	0.10865
652.20	0.10870
652.40	0.10837
652.60	0.10793
652.80	0.10927
653.00	0.10749
653.20	0.10814
653.40	0.10828
653.60	0.10876
653.80	0.10946
654.00	0.10995
654.20	0.10995
654.40	0.11106
654.60	0.11243
654.80	0.10920
655.00	0.11009
655.20	0.11234
655.40	0.11124
655.60	0.11417
655.80	0.11161
656.00	0.11422
656.20	0.11208
656.40	0.11426
656.60	0.11451
656.80	0.11594
657.00	0.11460
657.20	0.11623
657.40	0.11911
657.60	0.11765
657.80	0.11989
658.00	0.11987
658.20	0.12090
658.40	0.12123
658.60	0.12184
658.80	0.12242
659.00	0.12421
659.20	0.12657
659.40	0.12681
659.60	0.12643
659.80	0.12758
660.00	0.12650
660.20	0.12915
660.40	0.12650
660.60	0.12991
660.80	0.12913
661.00	0.13201
661.20	0.13641
661.40	0.13270
661.60	0.13341
661.80	0.13460
662.00	0.13692
662.20	0.13694
662.40	0.13619
662.60	0.13695
662.80	0.13676
663.00	0.13521
663.20	0.13821
663.40	0.14021
663.60	0.13966
663.80	0.14209
664.00	0.13942
664.20	0.14128
664.40	0.14340
664.60	0.14208
664.80	0.14398
665.00	0.14459
665.20	0.14479
665.40	0.14308
665.60	0.14491
665.80	0.14472
666.00	0.14642
666.20	0.14397
666.40	0.14811
666.60	0.14550
666.80	0.14198
667.00	0.14726
667.20	0.14552
667.40	0.14763
667.60	0.14829
667.80	0.14581
668.00	0.14813
668.20	0.15009
668.40	0.15001
668.60	0.14862
668.80	0.15028
669.00	0.15216
669.20	0.15327
669.40	0.15100
669.60	0.15373
669.80	0.15348
670.00	0.15406
670.20	0.15267
670.40	0.15912
670.60	0.15634
670.80	0.15414
671.00	0.15470
671.20	0.15547
671.40	0.15817
671.60	0.15969
671.80	0.16024
672.00	0.16017
672.20	0.16294
672.40	0.15833
672.60	0.15872
672.80	0.16530
673.00	0.16254
673.20	0.16324
673.40	0.16270
673.60	0.16923
673.80	0.16461
674.00	0.16459
674.20	0.16639
674.40	0.16253
674.60	0.16381
674.80	0.16870
675.00	0.16644
675.20	0.16531
675.40	0.16343
675.60	0.16566
675.80	0.16821
676.00	0.16634
676.20	0.16373
676.40	0.16464
676.60	0.16651
676.80	0.16535
677.00	0.16573
677.20	0.16586
677.40	0.16396
677.60	0.16605
677.80	0.16631
678.00	0.16350
678.20	0.16415
678.40	0.16503
678.60	0.16090
678.80	0.16593
679.00	0.16153
679.20	0.16295
679.40	0.16486
679.60	0.16439
679.80	0.16326
680.00	0.16228
680.20	0.16068
680.40	0.16071
680.60	0.16445
680.80	0.15748
681.00	0.15881
681.20	0.15774
681.40	0.15584
681.60	0.15744
681.80	0.15548
682.00	0.15633
682.20	0.15369
682.40	0.15393
682.60	0.15409
682.80	0.15432
683.00	0.15287
683.20	0.15533
683.40	0.15469
683.60	0.14980
683.80	0.15241
684.00	0.15180
684.20	0.14960
684.40	0.14535
684.60	0.14748
684.80	0.14584
685.00	0.14672
685.20	0.14596
685.40	0.14218
685.60	0.14460
685.80	0.14004
686.00	0.13649
686.20	0.13890
686.40	0.13510
686.60	0.13503
686.80	0.13472
687.00	0.13485
687.20	0.13382
687.40	0.13150
687.60	0.12405
687.80	0.12693
688.00	0.12435
688.20	0.12143
688.40	0.12306
688.60	0.12228
688.80	0.11669
689.00	0.11660
689.20	0.11712
689.40	0.11497
689.60	0.11162
689.80	0.11030
690.00	0.11040
690.20	0.10881
690.40	0.10508
690.60	0.10479
690.80	0.10394
691.00	0.098990
691.20	0.097381
691.40	0.098470
691.60	0.094841
691.80	0.094251
692.00	0.090722
692.20	0.090352
692.40	0.089282
692.60	0.088742
692.80	0.086373
693.00	0.083793
693.20	0.082284
693.40	0.081624
693.60	0.076145
693.80	0.076755
694.00	0.076565
694.20	0.071836
694.40	0.074515
694.60	0.068536
694.80	0.070406
695.00	0.068236
695.20	0.069236
695.40	0.064507
695.60	0.061708
695.80	0.062657
696.00	0.061918
696.20	0.060008
696.40	0.061178
696.60	0.056899
696.80	0.053749
697.00	0.054369
697.20	0.052300
697.40	0.052579
697.60	0.051470
697.80	0.051000
698.00	0.048750
698.20	0.047780
698.40	0.050370
698.60	0.045721
698.80	0.045661
699.00	0.045291
699.20	0.045011
699.40	0.044151
699.60	0.042581
699.80	0.040672
700.00	0.040232
700.20	0.042082
700.40	0.038692
700.60	0.039082
700.80	0.037582
701.00	0.036073
701.20	0.037283
701.40	0.035713
701.60	0.035273
701.80	0.034823
702.00	0.034733
702.20	0.033183
702.40	0.034173
702.60	0.032044
702.80	0.034203
703.00	0.032014
703.20	0.030714
703.40	0.031004
703.60	0.032114
703.80	0.030494
704.00	0.030794
704.20	0.030104
704.40	0.028014
704.60	0.028574
704.80	0.027554
705.00	0.027964
705.20	0.028044
705.40	0.027814
705.60	0.026485
705.80	0.026925
706.00	0.026505
706.20	0.026845
706.40	0.024575
706.60	0.026655
706.80	0.025795
707.00	0.025825
707.20	0.024615
707.40	0.024955
707.60	0.026445
707.80	0.026015
708.00	0.022965
708.20	0.022276
708.40	0.024095
708.60	0.022386
708.80	0.025075
709.00	0.022186
709.20	0.021706
709.40	0.023535
709.60	0.022036
709.80	0.023785
710.00	0.022525
710.20	0.022046
710.40	0.021536
710.60	0.020766
710.80	0.021236
711.00	0.020216
711.20	0.020476
711.40	0.021156
711.60	0.020846
711.80	0.021346
712.00	0.020276
712.20	0.019466
712.40	0.020846
712.60	0.019056
712.80	0.021336
713.00	0.018786
713.20	0.019956
713.40	0.020156
713.60	0.019246
713.80	0.019776
714.00	0.020266
714.20	0.019736
714.40	0.018876
714.60	0.020386
714.80	0.018256
715.00	0.018966
715.20	0.020896
715.40	0.020226
715.60	0.017746
715.80	0.019216
716.00	0.019076
716.20	0.018326
716.40	0.018876
716.60	0.018726
716.80	0.020416
717.00	0.017776
717.20	0.017367
717.40	0.017516
717.60	0.019376
717.80	0.017596
718.00	0.019066
718.20	0.017676
718.40	0.019086
718.60	0.019626
718.80	0.017467
719.00	0.018396
719.20	0.018946
719.40	0.017756
719.60	0.018236
719.80	0.017746
720.00	0.016967
720.20	0.018896
720.40	0.018066
720.60	0.016827
720.80	0.017996
721.00	0.016827
721.20	0.018276
721.40	0.017936
721.60	0.017636
721.80	0.017307
722.00	0.018436
722.20	0.017497
722.40	0.018326
722.60	0.016897
722.80	0.018606
723.00	0.017626
723.20	0.015547
723.40	0.016887
723.60	0.016907
723.80	0.016297
724.00	0.016857
724.20	0.015767
724.40	0.017616
724.60	0.016907
724.80	0.017057
725.00	0.016497
725.20	0.017397
725.40	0.015427
725.60	0.017267
725.80	0.017417
726.00	0.017147
726.20	0.017027
726.40	0.016647
726.60	0.016487
726.80	0.017207
727.00	0.016297
727.20	0.015107
727.40	0.015987
727.60	0.016217
727.80	0.016127
728.00	0.016707
728.20	0.015157
728.40	0.015037
728.60	0.015607
728.80	0.017307
729.00	0.016797
729.20	0.017317
729.40	0.015367
729.60	0.017506
729.80	0.015657
730.00	0.015997
730.20	0.016767
730.40	0.015447
730.60	0.015517
730.80	0.015757
731.00	0.016677
731.20	0.015977
731.40	0.017097
731.60	0.015887
731.80	0.016317
732.00	0.014347
732.20	0.015467
732.40	0.015367
732.60	0.016607
732.80	0.015077
733.00	0.015577
733.20	0.014417
733.40	0.014677
733.60	0.014857
733.80	0.014767
734.00	0.015057
734.20	0.015017
734.40	0.016027
734.60	0.014467
734.80	0.013807
735.00	0.016597
735.20	0.014207
735.40	0.017257
735.60	0.013907
735.80	0.015187
736.00	0.015387
736.20	0.015257
736.40	0.014207
736.60	0.014487
736.80	0.014777
737.00	0.014907
737.20	0.014977
737.40	0.013857
737.60	0.015157
737.80	0.014227
738.00	0.015907
738.20	0.012697
738.40	0.013867
738.60	0.015237
738.80	0.016337
739.00	0.014417
739.20	0.014767
739.40	0.014097
739.60	0.014237
739.80	0.014207
740.00	0.013257
740.20	0.014087
740.40	0.014057
740.60	0.014747
740.80	0.014177
741.00	0.014387
741.20	0.015007
741.40	0.013837
741.60	0.013477
741.80	0.013737
742.00	0.013907
742.20	0.012537
742.40	0.014877
742.60	0.014177
742.80	0.012987
743.00	0.013227
743.20	0.013407
743.40	0.014557
743.60	0.014067
743.80	0.013627
744.00	0.011198
744.20	0.013637
744.40	0.012128
744.60	0.011258
744.80	0.013767
745.00	0.011648
745.20	0.012188
745.40	0.012857
745.60	0.013137
745.80	0.013567
746.00	0.012308
746.20	0.011818
746.40	0.012767
746.60	0.012248
746.80	0.013237
747.00	0.011898
747.20	0.012018
747.40	0.013257
747.60	0.010638
747.80	0.011848
748.00	0.012148
748.20	0.012238
748.40	0.013497
748.60	0.011628
748.80	0.011208
749.00	0.011358
749.20	0.011588
749.40	0.010468
749.60	0.012058
749.80	0.011258
750.00	0.010888
750.20	0.012128
750.40	0.010248
750.60	0.011338
750.80	0.010668
751.00	0.011128
751.20	0.011818
751.40	0.010438
751.60	0.0099380
751.80	0.010598
752.00	0.011048
752.20	0.0089882
752.40	0.010608
752.60	0.011958
752.80	0.010428
753.00	0.011028
753.20	0.011368
753.40	0.010168
753.60	0.0089682
753.80	0.010598
754.00	0.011258
754.20	0.0092581
754.40	0.0093681
754.60	0.010748
754.80	0.010808
755.00	0.0097780
755.20	0.0096581
755.40	0.0088782
755.60	0.0086383
755.80	0.0092581
756.00	0.0092382
756.20	0.010018
756.40	0.0097281
756.60	0.010178
756.80	0.011148
757.00	0.0094181
757.20	0.0088482
757.40	0.0096881
757.60	0.0082783
757.80	0.0096781
758.00	0.0087882
758.20	0.0097381
758.40	0.0075985
758.60	0.0096381
758.80	0.0090482
759.00	0.0079884
759.20	0.0073485
759.40	0.0080584
759.60	0.0080884
759.80	0.0078584
760.00	0.0089882
760.20	0.0075885
760.40	0.0075685
760.60	0.0070386
760.80	0.0065387
761.00	0.0081584
761.20	0.0075285
761.40	0.0080084
761.60	0.0082084
761.80	0.0074085
762.00	0.0076785
762.20	0.0074385
762.40	0.0069486
762.60	0.0075185
762.80	0.0072685
763.00	0.0069486
763.20	0.0070886
763.40	0.0067287
763.60	0.0072985
763.80	0.0072086
764.00	0.0076485
764.20	0.0080184
764.40	0.0061088
764.60	0.0069086
764.80	0.0067487
765.00	0.0060088
765.20	0.0061888
765.40	0.0048590
765.60	0.0069786
765.80	0.0059488
766.00	0.0061288
766.20	0.0063887
766.40	0.0062987
766.60	0.0056289
766.80	0.0050290
767.00	0.0047690
767.20	0.0076185
767.40	0.0063087
767.60	0.0069486
767.80	0.0046591
768.00	0.0047091
768.20	0.0057588
768.40	0.0070386
768.60	0.0049390
768.80	0.0056689
769.00	0.0039892
769.20	0.0054689
769.40	0.0055789
769.60	0.0051190
769.80	0.0041692
770.00	0.0045891
770.20	0.0055389
770.40	0.0056389
770.60	0.0054789
770.80	0.0055589
771.00	0.0049190
771.20	0.0050890
771.40	0.0052689
771.60	0.0050790
771.80	0.0059588
772.00	0.0041692
772.20	0.0040092
772.40	0.0037792
772.60	0.0047191
772.80	0.0059888
773.00	0.0029994
773.20	0.0043091
773.40	0.0039692
773.60	0.0036693
773.80	0.0035793
774.00	0.0038892
774.20	0.0033693
774.40	0.0029494
774.60	0.0043291
774.80	0.0043191
775.00	0.0035093
775.20	0.0029994
775.40	0.0033193
775.60	0.0037692
775.80	0.0036693
776.00	0.0030994
776.20	0.0031894
776.40	0.0037093
776.60	0.0015897
776.80	0.0028494
777.00	0.0037692
777.20	0.0038192
777.40	0.0039292
777.60	0.0028494
777.80	0.0027295
778.00	0.0032693
778.20	0.0032194
778.40	0.0033493
778.60	0.0028094
778.80	0.0031494
779.00	0.0017596
779.20	0.0021196
779.40	0.0031194
779.60	0.0028694
779.80	0.0039492
780.00	0.0025595
780.20	0.0021596
780.40	0.0020096
780.60	0.0032294
780.80	0.0024595
781.00	0.0023595
781.20	0.0019796
781.40	0.0033493
781.60	0.0018096
781.80	0.0026095
782.00	0.0030194
782.20	0.0032394
782.40	0.0037992
782.60	0.0018496
782.80	0.0035093
783.00	0.0034493
783.20	0.0029994
783.40	0.0013397
783.60	0.0031194
783.80	0.0024895
784.00	0.0027794
784.20	0.0021496
784.40	0.0024995
784.60	0.0016497
784.80	0.0026195
785.00	0.0019896
785.20	0.0027594
785.40	0.0014797
785.60	0.0012204
785.80	0.0020596
786.00	0.0028794
786.20	0.00040499
786.40	0.0022695
786.60	0.0013197
786.80	0.0018996
787.00	0.0019396
787.20	0.0027495
787.40	0.0019496
787.60	0.0015897
787.80	0.0019696
788.00	0.0016197
788.20	0.0016397
788.40	0.0026595
788.60	0.0028594
788.80	0.0020996
789.00	0.0029794
789.20	0.0018996
789.40	0.0021496
789.60	0.00056699
789.80	0.0019496
790.00	0.0021796
790.20	0.0025195
790.40	0.0017696
790.60	0.0023195
790.80	0.0014597
791.00	0.00018146
791.20	0.0023295
791.40	0.0025195
791.60	0.0022196
791.80	0.0012138
792.00	0.0011691
792.20	0.0016097
792.40	0.0019296
792.60	0.0016097
792.80	0.0013597
793.00	0.0024195
793.20	0.0013597
793.40	0.0018396
793.60	0.0012212
793.80	0.00082857
794.00	0.0016197
794.20	0.00024995
794.40	0.0015497
794.60	0.0013397
794.80	0.0012027
795.00	0.0021296
795.20	0.00085507
795.40	0.00043627
795.60	0.00078613
795.80	0.0011131
796.00	0.0011138
796.20	0.0020296
796.40	0.0015797
796.60	0.0012095
796.80	0.0014197
797.00	0.00046090
797.20	0.0024295
797.40	0.0010958
797.60	0.0011438
797.80	0.0012897
798.00	0.0021596
798.20	0.0016397
798.40	0.0013797
798.60	0.0013397
798.80	0.0013897
799.00	0.0022695
799.20	0.0018596
799.40	0.00039254
799.60	0.0010828
799.80	0.00036907
800.00	0.0017996
