Wavelength(nm)	L214 ZnC-M10E15 (SE253).abs
431.80	0.045830
432.00	0.042640
432.20	0.040090
432.40	0.037200
432.60	0.034830
432.80	0.032710
433.00	0.030530
433.20	0.028410
433.40	0.026930
433.60	0.025120
433.80	0.023290
434.00	0.022390
434.20	0.020910
434.40	0.019520
434.60	0.018490
434.80	0.017640
435.00	0.016520
435.20	0.015720
435.40	0.015030
435.60	0.014230
435.80	0.013440
436.00	0.012870
436.20	0.012340
436.40	0.011570
436.60	0.011030
436.80	0.010750
437.00	0.010210
437.20	0.0098900
437.40	0.0098100
437.60	0.0093400
437.80	0.0090100
438.00	0.0086900
438.20	0.0083500
438.40	0.0080700
438.60	0.0078400
438.80	0.0077100
439.00	0.0075400
439.20	0.0073200
439.40	0.0073300
439.60	0.0070000
439.80	0.0069800
440.00	0.0068000
440.20	0.0066800
440.40	0.0065200
440.60	0.0064600
440.80	0.0064300
441.00	0.0062900
441.20	0.0060500
441.40	0.0061600
441.60	0.0059200
441.80	0.0057200
442.00	0.0059400
442.20	0.0057300
442.40	0.0054600
442.60	0.0056100
442.80	0.0056600
443.00	0.0052000
443.20	0.0052200
443.40	0.0055200
443.60	0.0052900
443.80	0.0053300
444.00	0.0053500
444.20	0.0052900
444.40	0.0051200
444.60	0.0053100
444.80	0.0052900
445.00	0.0051300
445.20	0.0051000
445.40	0.0050600
445.60	0.0050800
445.80	0.0050600
446.00	0.0052500
446.20	0.0049300
446.40	0.0049200
446.60	0.0050600
446.80	0.0050700
447.00	0.0050000
447.20	0.0050400
447.40	0.0051600
447.60	0.0049600
447.80	0.0049300
448.00	0.0051300
448.20	0.0050300
448.40	0.0048500
448.60	0.0048000
448.80	0.0049400
449.00	0.0047900
449.20	0.0047700
449.40	0.0050200
449.60	0.0050800
449.80	0.0048000
450.00	0.0048000
450.20	0.0050900
450.40	0.0047800
450.60	0.0048700
450.80	0.0050800
451.00	0.0049400
451.20	0.0047700
451.40	0.0048800
451.60	0.0048300
451.80	0.0046900
452.00	0.0048200
452.20	0.0048800
452.40	0.0048500
452.60	0.0048100
452.80	0.0050200
453.00	0.0047100
453.20	0.0046400
453.40	0.0047400
453.60	0.0047800
453.80	0.0046600
454.00	0.0048200
454.20	0.0048200
454.40	0.0046300
454.60	0.0048500
454.80	0.0048800
455.00	0.0047300
455.20	0.0046100
455.40	0.0049300
455.60	0.0048400
455.80	0.0047200
456.00	0.0047400
456.20	0.0048600
456.40	0.0046500
456.60	0.0047200
456.80	0.0049100
457.00	0.0046600
457.20	0.0045900
457.40	0.0048100
457.60	0.0045700
457.80	0.0046300
458.00	0.0047400
458.20	0.0048800
458.40	0.0046800
458.60	0.0047600
458.80	0.0049400
459.00	0.0047700
459.20	0.0046600
459.40	0.0048900
459.60	0.0046900
459.80	0.0046200
460.00	0.0048200
460.20	0.0048300
460.40	0.0047800
460.60	0.0048800
460.80	0.0049500
461.00	0.0048200
461.20	0.0048500
461.40	0.0047800
461.60	0.0047400
461.80	0.0047500
462.00	0.0050100
462.20	0.0047700
462.40	0.0047700
462.60	0.0049100
462.80	0.0051400
463.00	0.0047700
463.20	0.0049400
463.40	0.0051800
463.60	0.0050700
463.80	0.0049600
464.00	0.0051000
464.20	0.0051800
464.40	0.0050800
464.60	0.0050300
464.80	0.0051700
465.00	0.0051300
465.20	0.0051700
465.40	0.0053600
465.60	0.0053400
465.80	0.0052400
466.00	0.0054700
466.20	0.0053600
466.40	0.0053500
466.60	0.0054200
466.80	0.0055200
467.00	0.0053800
467.20	0.0054300
467.40	0.0056800
467.60	0.0055400
467.80	0.0057600
468.00	0.0057700
468.20	0.0059200
468.40	0.0057700
468.60	0.0058600
468.80	0.0058400
469.00	0.0059200
469.20	0.0059100
469.40	0.0062000
469.60	0.0061200
469.80	0.0059800
470.00	0.0061000
470.20	0.0064400
470.40	0.0062700
470.60	0.0063300
470.80	0.0066300
471.00	0.0064800
471.20	0.0065300
471.40	0.0067300
471.60	0.0066700
471.80	0.0065500
472.00	0.0067900
472.20	0.0067100
472.40	0.0068000
472.60	0.0070700
472.80	0.0070700
473.00	0.0071400
473.20	0.0072600
473.40	0.0073800
473.60	0.0072300
473.80	0.0071800
474.00	0.0073900
474.20	0.0075700
474.40	0.0075100
474.60	0.0076300
474.80	0.0078000
475.00	0.0077400
475.20	0.0077800
475.40	0.0078800
475.60	0.0080000
475.80	0.0079400
476.00	0.0081900
476.20	0.0082600
476.40	0.0079200
476.60	0.0081500
476.80	0.0082900
477.00	0.0081200
477.20	0.0082200
477.40	0.0085800
477.60	0.0084200
477.80	0.0084300
478.00	0.0086900
478.20	0.0086500
478.40	0.0085300
478.60	0.0087400
478.80	0.0086400
479.00	0.0086300
479.20	0.0087400
479.40	0.0088700
479.60	0.0087700
479.80	0.0088700
480.00	0.0090000
480.20	0.0089500
480.40	0.0089200
480.60	0.0089900
480.80	0.0090000
481.00	0.0089200
481.20	0.0091100
481.40	0.0091200
481.60	0.0091200
481.80	0.0088800
482.00	0.0090100
482.20	0.0090900
482.40	0.0090200
482.60	0.0092300
482.80	0.0092000
483.00	0.0091900
483.20	0.0091100
483.40	0.0093800
483.60	0.0091800
483.80	0.0091800
484.00	0.0093000
484.20	0.0092800
484.40	0.0090200
484.60	0.0090600
484.80	0.0092800
485.00	0.0089500
485.20	0.0090400
485.40	0.0092700
485.60	0.0091800
485.80	0.0091000
486.00	0.0091800
486.20	0.0092500
486.40	0.0090900
486.60	0.0091300
486.80	0.0093300
487.00	0.0089100
487.20	0.0091900
487.40	0.0093900
487.60	0.0091000
487.80	0.0090700
488.00	0.0094400
488.20	0.0092000
488.40	0.0090800
488.60	0.0091200
488.80	0.0092700
489.00	0.0090600
489.20	0.0090800
489.40	0.0092600
489.60	0.0091300
489.80	0.0091900
490.00	0.0093700
490.20	0.0093400
490.40	0.0090700
490.60	0.0094200
490.80	0.0093000
491.00	0.0093100
491.20	0.0092900
491.40	0.0093200
491.60	0.0093000
491.80	0.0094000
492.00	0.0094600
492.20	0.0095600
492.40	0.0094000
492.60	0.0096700
492.80	0.0095900
493.00	0.0093900
493.20	0.0095100
493.40	0.0097600
493.60	0.0097900
493.80	0.0097300
494.00	0.0100000
494.20	0.010020
494.40	0.0097800
494.60	0.010160
494.80	0.010450
495.00	0.010060
495.20	0.010200
495.40	0.010490
495.60	0.010300
495.80	0.010350
496.00	0.010610
496.20	0.010520
496.40	0.010410
496.60	0.010640
496.80	0.010770
497.00	0.010680
497.20	0.010860
497.40	0.011120
497.60	0.010910
497.80	0.011050
498.00	0.011360
498.20	0.011210
498.40	0.011220
498.60	0.011570
498.80	0.011600
499.00	0.011430
499.20	0.011610
499.40	0.011780
499.60	0.011770
499.80	0.012100
500.00	0.012070
500.20	0.012160
500.40	0.012320
500.60	0.012320
500.80	0.012690
501.00	0.012460
501.20	0.012720
501.40	0.013000
501.60	0.012980
501.80	0.012890
502.00	0.013190
502.20	0.013300
502.40	0.013260
502.60	0.013440
502.80	0.013870
503.00	0.013500
503.20	0.013510
503.40	0.013960
503.60	0.013880
503.80	0.013760
504.00	0.014270
504.20	0.014500
504.40	0.014280
504.60	0.014660
504.80	0.014740
505.00	0.014600
505.20	0.015050
505.40	0.015580
505.60	0.015330
505.80	0.015500
506.00	0.015810
506.20	0.016120
506.40	0.016030
506.60	0.016220
506.80	0.016620
507.00	0.016430
507.20	0.016630
507.40	0.017110
507.60	0.016980
507.80	0.017220
508.00	0.017290
508.20	0.017460
508.40	0.017300
508.60	0.017740
508.80	0.017960
509.00	0.017980
509.20	0.018150
509.40	0.018350
509.60	0.018560
509.80	0.018450
510.00	0.018640
510.20	0.019070
510.40	0.019010
510.60	0.019070
510.80	0.019250
511.00	0.019280
511.20	0.019260
511.40	0.019580
511.60	0.019630
511.80	0.019480
512.00	0.019580
512.20	0.019640
512.40	0.019300
512.60	0.019610
512.80	0.019890
513.00	0.019600
513.20	0.019690
513.40	0.020090
513.60	0.019830
513.80	0.019680
514.00	0.019730
514.20	0.019710
514.40	0.019450
514.60	0.019730
514.80	0.019560
515.00	0.019460
515.20	0.019350
515.40	0.019370
515.60	0.019220
515.80	0.019090
516.00	0.019080
516.20	0.019130
516.40	0.018880
516.60	0.018900
516.80	0.018930
517.00	0.018660
517.20	0.018630
517.40	0.018720
517.60	0.018610
517.80	0.018230
518.00	0.018320
518.20	0.018440
518.40	0.018060
518.60	0.018020
518.80	0.018160
519.00	0.017780
519.20	0.017710
519.40	0.017860
519.60	0.017720
519.80	0.017400
520.00	0.017680
520.20	0.017490
520.40	0.017210
520.60	0.017190
520.80	0.017310
521.00	0.016990
521.20	0.016890
521.40	0.017080
521.60	0.016910
521.80	0.016680
522.00	0.017090
522.20	0.016840
522.40	0.016470
522.60	0.016530
522.80	0.016570
523.00	0.016260
523.20	0.016300
523.40	0.016480
523.60	0.016260
523.80	0.016210
524.00	0.016170
524.20	0.016080
524.40	0.015930
524.60	0.015990
524.80	0.015970
525.00	0.015670
525.20	0.015630
525.40	0.015860
525.60	0.015680
525.80	0.015290
526.00	0.015570
526.20	0.015620
526.40	0.015230
526.60	0.015200
526.80	0.015400
527.00	0.015110
527.20	0.014920
527.40	0.015220
527.60	0.015070
527.80	0.014710
528.00	0.014780
528.20	0.014770
528.40	0.014520
528.60	0.014360
528.80	0.014600
529.00	0.014460
529.20	0.014190
529.40	0.014420
529.60	0.014230
529.80	0.014060
530.00	0.014300
530.20	0.014130
530.40	0.013910
530.60	0.013930
530.80	0.014140
531.00	0.013740
531.20	0.013860
531.40	0.014020
531.60	0.013900
531.80	0.013630
532.00	0.013810
532.20	0.013700
532.40	0.013630
532.60	0.013890
532.80	0.013890
533.00	0.013660
533.20	0.013900
533.40	0.014010
533.60	0.013790
533.80	0.013780
534.00	0.013940
534.20	0.013860
534.40	0.013720
534.60	0.013940
534.80	0.014150
535.00	0.014140
535.20	0.014000
535.40	0.014140
535.60	0.014140
535.80	0.014100
536.00	0.014070
536.20	0.014330
536.40	0.014100
536.60	0.014200
536.80	0.014460
537.00	0.014250
537.20	0.014250
537.40	0.014620
537.60	0.014650
537.80	0.014470
538.00	0.014930
538.20	0.014650
538.40	0.014550
538.60	0.014700
538.80	0.015060
539.00	0.014730
539.20	0.014860
539.40	0.015050
539.60	0.015050
539.80	0.015070
540.00	0.015270
540.20	0.015350
540.40	0.015230
540.60	0.015220
540.80	0.015610
541.00	0.015430
541.20	0.015580
541.40	0.015710
541.60	0.015660
541.80	0.015340
542.00	0.015750
542.20	0.015870
542.40	0.015900
542.60	0.015930
542.80	0.016070
543.00	0.015850
543.20	0.016110
543.40	0.016410
543.60	0.016290
543.80	0.016280
544.00	0.016600
544.20	0.016780
544.40	0.016540
544.60	0.016740
544.80	0.016840
545.00	0.016820
545.20	0.016710
545.40	0.017200
545.60	0.017030
545.80	0.016800
546.00	0.017290
546.20	0.017380
546.40	0.017320
546.60	0.017430
546.80	0.017740
547.00	0.017740
547.20	0.017780
547.40	0.018020
547.60	0.018130
547.80	0.017990
548.00	0.018580
548.20	0.018490
548.40	0.018370
548.60	0.018690
548.80	0.019240
549.00	0.019110
549.20	0.019160
549.40	0.019710
549.60	0.019640
549.80	0.019750
550.00	0.020200
550.20	0.020360
550.40	0.020580
550.60	0.020930
550.80	0.021310
551.00	0.021340
551.20	0.021500
551.40	0.022040
551.60	0.022250
551.80	0.022330
552.00	0.022860
552.20	0.023200
552.40	0.023310
552.60	0.023440
552.80	0.023980
553.00	0.023940
553.20	0.024240
553.40	0.024720
553.60	0.024850
553.80	0.024890
554.00	0.025340
554.20	0.025730
554.40	0.025470
554.60	0.025660
554.80	0.026130
555.00	0.025900
555.20	0.025880
555.40	0.026270
555.60	0.026280
555.80	0.026090
556.00	0.026330
556.20	0.026400
556.40	0.026080
556.60	0.026220
556.80	0.026370
557.00	0.025920
557.20	0.025890
557.40	0.026010
557.60	0.025950
557.80	0.025530
558.00	0.025720
558.20	0.025610
558.40	0.025110
558.60	0.025180
558.80	0.025150
559.00	0.024830
559.20	0.024840
559.40	0.025020
559.60	0.024800
559.80	0.024440
560.00	0.024590
560.20	0.024650
560.40	0.024360
560.60	0.024290
560.80	0.024520
561.00	0.024330
561.20	0.024290
561.40	0.024410
561.60	0.024560
561.80	0.024280
562.00	0.024600
562.20	0.024960
562.40	0.024600
562.60	0.024900
562.80	0.025260
563.00	0.025250
563.20	0.025400
563.40	0.025760
563.60	0.025920
563.80	0.025850
564.00	0.026520
564.20	0.026630
564.40	0.026600
564.60	0.026970
564.80	0.027340
565.00	0.027430
565.20	0.027700
565.40	0.028350
565.60	0.028340
565.80	0.028550
566.00	0.028950
566.20	0.029310
566.40	0.029260
566.60	0.029840
566.80	0.030270
567.00	0.030200
567.20	0.030540
567.40	0.030940
567.60	0.031070
567.80	0.031210
568.00	0.031590
568.20	0.031920
568.40	0.031940
568.60	0.032300
568.80	0.032590
569.00	0.032670
569.20	0.032700
569.40	0.033100
569.60	0.033170
569.80	0.033180
570.00	0.033700
570.20	0.033690
570.40	0.033620
570.60	0.033970
570.80	0.034170
571.00	0.033880
571.20	0.034160
571.40	0.034500
571.60	0.034320
571.80	0.034380
572.00	0.034700
572.20	0.034640
572.40	0.034570
572.60	0.034780
572.80	0.034940
573.00	0.034570
573.20	0.034720
573.40	0.034950
573.60	0.034870
573.80	0.034890
574.00	0.034980
574.20	0.035110
574.40	0.034950
574.60	0.035290
574.80	0.035500
575.00	0.035200
575.20	0.035550
575.40	0.035890
575.60	0.035710
575.80	0.035790
576.00	0.036080
576.20	0.036310
576.40	0.036210
576.60	0.036730
576.80	0.037170
577.00	0.037000
577.20	0.037220
577.40	0.037960
577.60	0.038150
577.80	0.038180
578.00	0.038870
578.20	0.039090
578.40	0.039350
578.60	0.039780
578.80	0.040450
579.00	0.040500
579.20	0.040890
579.40	0.041770
579.60	0.041780
579.80	0.042060
580.00	0.042780
580.20	0.043100
580.40	0.043330
580.60	0.043910
580.80	0.044280
581.00	0.044450
581.20	0.044690
581.40	0.045350
581.60	0.045430
581.80	0.045710
582.00	0.046160
582.20	0.046280
582.40	0.046150
582.60	0.046400
582.80	0.046610
583.00	0.046460
583.20	0.046550
583.40	0.046800
583.60	0.046470
583.80	0.046390
584.00	0.046310
584.20	0.046310
584.40	0.045870
584.60	0.045850
584.80	0.045690
585.00	0.045190
585.20	0.044940
585.40	0.044850
585.60	0.044250
585.80	0.043890
586.00	0.043840
586.20	0.043220
586.40	0.042460
586.60	0.042260
586.80	0.041980
587.00	0.041300
587.20	0.040810
587.40	0.040690
587.60	0.039830
587.80	0.039450
588.00	0.039220
588.20	0.038620
588.40	0.037950
588.60	0.037820
588.80	0.037380
589.00	0.036680
589.20	0.036390
589.40	0.036050
589.60	0.035260
589.80	0.034740
590.00	0.034680
590.20	0.034080
590.40	0.033370
590.60	0.033080
590.80	0.032770
591.00	0.032060
591.20	0.031700
591.40	0.031270
591.60	0.030650
591.80	0.030230
592.00	0.029840
592.20	0.029510
592.40	0.028770
592.60	0.028500
592.80	0.028130
593.00	0.027550
593.20	0.027200
593.40	0.027050
593.60	0.026330
593.80	0.025800
594.00	0.025740
594.20	0.025290
594.40	0.024620
594.60	0.024390
594.80	0.024170
595.00	0.023630
595.20	0.023380
595.40	0.023360
595.60	0.022780
595.80	0.022470
596.00	0.022450
596.20	0.022200
596.40	0.021620
596.60	0.021690
596.80	0.021740
597.00	0.021250
597.20	0.021240
597.40	0.021470
597.60	0.021260
597.80	0.021050
598.00	0.021330
598.20	0.021330
598.40	0.021090
598.60	0.021480
598.80	0.021620
599.00	0.021360
599.20	0.021770
599.40	0.021990
599.60	0.021920
599.80	0.022090
600.00	0.022640
600.20	0.022900
600.40	0.022850
600.60	0.023360
600.80	0.023710
601.00	0.024000
601.20	0.024310
601.40	0.024930
601.60	0.025150
601.80	0.025470
602.00	0.025980
602.20	0.026650
602.40	0.026810
602.60	0.027510
602.80	0.028180
603.00	0.028340
603.20	0.028920
603.40	0.029750
603.60	0.030250
603.80	0.030560
604.00	0.031470
604.20	0.032180
604.40	0.032530
604.60	0.033510
604.80	0.034260
605.00	0.034580
605.20	0.035360
605.40	0.036650
605.60	0.036940
605.80	0.037800
606.00	0.039170
606.20	0.039820
606.40	0.040660
606.60	0.041760
606.80	0.042920
607.00	0.043760
607.20	0.045020
607.40	0.046640
607.60	0.047780
607.80	0.048970
608.00	0.050850
608.20	0.052040
608.40	0.053730
608.60	0.055670
608.80	0.057630
609.00	0.059210
609.20	0.061410
609.40	0.063610
609.60	0.065790
609.80	0.068180
610.00	0.070930
610.20	0.073540
610.40	0.076260
610.60	0.079120
610.80	0.082340
611.00	0.085500
611.20	0.088850
611.40	0.092640
611.60	0.096260
611.80	0.099860
612.00	0.10423
612.20	0.10823
612.40	0.11227
612.60	0.11687
612.80	0.12152
613.00	0.12574
613.20	0.13055
613.40	0.13556
613.60	0.14035
613.80	0.14511
614.00	0.15060
614.20	0.15541
614.40	0.16026
614.60	0.16546
614.80	0.17032
615.00	0.17508
615.20	0.18002
615.40	0.18457
615.60	0.18903
615.80	0.19331
616.00	0.19783
616.20	0.20156
616.40	0.20511
616.60	0.20885
616.80	0.21215
617.00	0.21450
617.20	0.21716
617.40	0.21948
617.60	0.22121
617.80	0.22251
618.00	0.22366
618.20	0.22432
618.40	0.22428
618.60	0.22438
618.80	0.22403
619.00	0.22281
619.20	0.22151
619.40	0.22015
619.60	0.21781
619.80	0.21515
620.00	0.21276
620.20	0.20974
620.40	0.20594
620.60	0.20247
620.80	0.19875
621.00	0.19421
621.20	0.18977
621.40	0.18579
621.60	0.18095
621.80	0.17561
622.00	0.17131
622.20	0.16583
622.40	0.16042
622.60	0.15567
622.80	0.15044
623.00	0.14497
623.20	0.13990
623.40	0.13496
623.60	0.12950
623.80	0.12434
624.00	0.11967
624.20	0.11477
624.40	0.10965
624.60	0.10505
624.80	0.10067
625.00	0.095900
625.20	0.091560
625.40	0.087480
625.60	0.083340
625.80	0.079400
626.00	0.075830
626.20	0.072090
626.40	0.068230
626.60	0.064920
626.80	0.061940
627.00	0.058810
627.20	0.055880
627.40	0.053260
627.60	0.050590
627.80	0.047710
628.00	0.045480
628.20	0.043080
628.40	0.040780
628.60	0.038700
628.80	0.036940
629.00	0.034840
629.20	0.032910
629.40	0.031690
629.60	0.029770
629.80	0.027910
630.00	0.027010
630.20	0.025810
630.40	0.023950
630.60	0.023140
630.80	0.022000
631.00	0.020700
631.20	0.019550
631.40	0.019010
631.60	0.017880
631.80	0.016840
632.00	0.016490
632.20	0.015630
632.40	0.014460
632.60	0.014180
632.80	0.013370
633.00	0.012760
633.20	0.012250
633.40	0.011770
633.60	0.011250
633.80	0.010600
634.00	0.010550
634.20	0.0097700
634.40	0.0092200
634.60	0.0089000
634.80	0.0087600
635.00	0.0082000
635.20	0.0078100
635.40	0.0075200
635.60	0.0072200
635.80	0.0068000
636.00	0.0066600
636.20	0.0066800
636.40	0.0060100
636.60	0.0060600
636.80	0.0058900
637.00	0.0053300
637.20	0.0052100
637.40	0.0052600
637.60	0.0047900
637.80	0.0045600
638.00	0.0044200
638.20	0.0047000
638.40	0.0038900
638.60	0.0040600
638.80	0.0040600
639.00	0.0036700
639.20	0.0035400
639.40	0.0036300
639.60	0.0033600
639.80	0.0029000
640.00	0.0032200
640.20	0.0029900
640.40	0.0027600
640.60	0.0027600
640.80	0.0029300
641.00	0.0024500
641.20	0.0025100
641.40	0.0023100
641.60	0.0023600
641.80	0.0022200
642.00	0.0023300
642.20	0.0022700
642.40	0.0021100
642.60	0.0020000
642.80	0.0021800
643.00	0.0018300
643.20	0.0016700
643.40	0.0019500
643.60	0.0017800
643.80	0.0017600
644.00	0.0019000
644.20	0.0018400
644.40	0.0015700
644.60	0.0015700
644.80	0.0016800
645.00	0.0015700
645.20	0.0013500
645.40	0.0015300
645.60	0.0015800
645.80	0.0012600
646.00	0.0014400
646.20	0.0015600
646.40	0.0012900
646.60	0.0014200
646.80	0.0015600
647.00	0.0011600
647.20	0.0012000
647.40	0.0015200
647.60	0.0014500
647.80	0.0010700
648.00	0.0014200
648.20	0.0013500
648.40	0.0011700
648.60	0.0012400
648.80	0.0016100
649.00	0.0010200
649.20	0.0012200
649.40	0.0013000
649.60	0.0011600
649.80	0.00093499
650.00	0.0012500
650.20	0.0012100
650.40	0.00097972
650.60	0.00098818
650.80	0.0011500
651.00	0.00098908
651.20	0.00081124
