Wavelength (nm)	142 MgO1.abs
323.60	0.060453
323.80	0.059939
324.00	0.059884
324.20	0.060372
324.40	0.060372
324.60	0.060643
324.80	0.060426
325.00	0.060656
325.20	0.060764
325.40	0.060182
325.60	0.060358
325.80	0.060588
326.00	0.060304
326.20	0.060561
326.40	0.060236
326.60	0.060331
326.80	0.059993
327.00	0.060399
327.20	0.060318
327.40	0.060453
327.60	0.060480
327.80	0.060548
328.00	0.060399
328.20	0.060697
328.40	0.060453
328.60	0.060954
328.80	0.060656
329.00	0.060615
329.20	0.060047
329.40	0.060372
329.60	0.060345
329.80	0.060236
330.00	0.060670
330.20	0.060155
330.40	0.060115
330.60	0.060318
330.80	0.060751
331.00	0.060277
331.20	0.060467
331.40	0.060155
331.60	0.060209
331.80	0.060372
332.00	0.060331
332.20	0.060643
332.40	0.060385
332.60	0.060358
332.80	0.060521
333.00	0.060426
333.20	0.060385
333.40	0.060534
333.60	0.060602
333.80	0.060480
334.00	0.060900
334.20	0.060575
334.40	0.060778
334.60	0.060399
334.80	0.060426
335.00	0.060615
335.20	0.060561
335.40	0.060737
335.60	0.060602
335.80	0.060643
336.00	0.060778
336.20	0.060480
336.40	0.060670
336.60	0.060521
336.80	0.060710
337.00	0.060724
337.20	0.060534
337.40	0.060534
337.60	0.060209
337.80	0.060358
338.00	0.060426
338.20	0.060182
338.40	0.060196
338.60	0.059654
338.80	0.059573
339.00	0.059424
339.20	0.059099
339.40	0.059289
339.60	0.059356
339.80	0.059126
340.00	0.058828
340.20	0.058910
340.40	0.058341
340.60	0.058341
340.80	0.058260
341.00	0.057569
341.20	0.058002
341.40	0.057339
341.60	0.057231
341.80	0.057149
342.00	0.057366
342.20	0.056676
342.40	0.056351
342.60	0.056134
342.80	0.055511
343.00	0.055267
343.20	0.055335
343.40	0.055173
343.60	0.054171
343.80	0.054144
344.00	0.053900
344.20	0.053399
344.40	0.053291
344.60	0.053115
344.80	0.052830
345.00	0.052235
345.20	0.052221
345.40	0.051693
345.60	0.051409
345.80	0.051016
346.00	0.050637
346.20	0.050244
346.40	0.049852
346.60	0.049567
346.80	0.049987
347.00	0.049500
347.20	0.048498
347.40	0.048769
347.60	0.048687
347.80	0.048511
348.00	0.048417
348.20	0.047834
348.40	0.047740
348.60	0.047482
348.80	0.047185
349.00	0.046927
349.20	0.046345
349.40	0.046453
349.60	0.045925
349.80	0.046101
350.00	0.045749
350.20	0.045831
350.40	0.045573
350.60	0.044923
350.80	0.045831
351.00	0.044869
351.20	0.044747
351.40	0.044937
351.60	0.044477
351.80	0.044693
352.00	0.044598
352.20	0.044043
352.40	0.043976
352.60	0.043759
352.80	0.043339
353.00	0.043393
353.20	0.044084
353.40	0.043597
353.60	0.043637
353.80	0.043488
354.00	0.043542
354.20	0.043272
354.40	0.043407
354.60	0.042838
354.80	0.043028
355.00	0.042879
355.20	0.043299
355.40	0.043069
355.60	0.042771
355.80	0.042784
356.00	0.042933
356.20	0.042459
356.40	0.042757
356.60	0.042500
356.80	0.042825
357.00	0.042459
357.20	0.042486
357.40	0.042351
357.60	0.042459
357.80	0.042622
358.00	0.042270
358.20	0.042270
358.40	0.042283
358.60	0.042080
358.80	0.041620
359.00	0.041417
359.20	0.041999
359.40	0.042121
359.60	0.042121
359.80	0.042378
360.00	0.041891
360.20	0.042067
360.40	0.042053
360.60	0.042121
360.80	0.041985
361.00	0.042053
361.20	0.041918
361.40	0.041972
361.60	0.041972
361.80	0.042351
362.00	0.041891
362.20	0.041823
362.40	0.042026
362.60	0.041823
362.80	0.042297
363.00	0.041904
363.20	0.042080
363.40	0.042148
363.60	0.042446
363.80	0.042202
364.00	0.042229
364.20	0.042405
364.40	0.042188
364.60	0.042446
364.80	0.042568
365.00	0.042541
365.20	0.042662
365.40	0.042879
365.60	0.042784
365.80	0.043001
366.00	0.043163
366.20	0.043082
366.40	0.043299
366.60	0.043258
366.80	0.043245
367.00	0.043705
367.20	0.043583
367.40	0.043786
367.60	0.043664
367.80	0.043366
368.00	0.043867
368.20	0.043840
368.40	0.043800
368.60	0.044057
368.80	0.044436
369.00	0.044653
369.20	0.044883
369.40	0.045113
369.60	0.045208
369.80	0.045154
370.00	0.045519
370.20	0.045695
370.40	0.045803
370.60	0.045912
370.80	0.046332
371.00	0.046359
371.20	0.046508
371.40	0.046629
371.60	0.046616
371.80	0.046832
372.00	0.046968
372.20	0.047225
372.40	0.047333
372.60	0.047455
372.80	0.047834
373.00	0.047658
373.20	0.048065
373.40	0.047970
373.60	0.048078
373.80	0.048484
374.00	0.048335
374.20	0.048579
374.40	0.048687
374.60	0.048945
374.80	0.049188
375.00	0.049229
375.20	0.049283
375.40	0.049608
375.60	0.049852
375.80	0.049825
376.00	0.049784
376.20	0.050380
376.40	0.050271
376.60	0.050529
376.80	0.050664
377.00	0.050827
377.20	0.050908
377.40	0.051206
377.60	0.051192
377.80	0.051449
378.00	0.051531
378.20	0.051652
378.40	0.051788
378.60	0.052140
378.80	0.052140
379.00	0.052262
379.20	0.052004
379.40	0.052384
379.60	0.052235
379.80	0.052709
380.00	0.052844
380.20	0.053237
380.40	0.053548
380.60	0.053372
380.80	0.053886
381.00	0.054293
381.20	0.054726
381.40	0.054821
381.60	0.055146
381.80	0.055105
382.00	0.055430
382.20	0.055674
382.40	0.055728
382.60	0.055972
382.80	0.056229
383.00	0.056513
383.20	0.056730
383.40	0.056852
383.60	0.057163
383.80	0.057407
384.00	0.057623
384.20	0.057759
384.40	0.058165
384.60	0.058016
384.80	0.058341
385.00	0.058368
385.20	0.058734
385.40	0.058977
385.60	0.059140
385.80	0.059492
386.00	0.059871
386.20	0.059911
386.40	0.060128
386.60	0.060291
386.80	0.060561
387.00	0.060724
387.20	0.060846
387.40	0.061171
387.60	0.061333
387.80	0.061577
388.00	0.061875
388.20	0.062064
388.40	0.062294
388.60	0.062660
388.80	0.062836
389.00	0.063134
389.20	0.063540
389.40	0.063824
389.60	0.064420
389.80	0.064528
390.00	0.064907
390.20	0.065517
390.40	0.065666
390.60	0.066261
390.80	0.066857
391.00	0.067426
391.20	0.068198
391.40	0.068658
391.60	0.069254
391.80	0.070120
392.00	0.070905
392.20	0.071718
392.40	0.072828
392.60	0.073640
392.80	0.074561
393.00	0.075725
393.20	0.076741
393.40	0.077810
393.60	0.079164
393.80	0.080681
394.00	0.082035
394.20	0.083483
394.40	0.085216
394.60	0.086868
394.80	0.088642
395.00	0.090456
395.20	0.092406
395.40	0.094369
395.60	0.096508
395.80	0.098742
396.00	0.10102
396.20	0.10332
396.40	0.10544
396.60	0.10807
396.80	0.11081
397.00	0.11322
397.20	0.11618
397.40	0.11893
397.60	0.12184
397.80	0.12494
398.00	0.12801
398.20	0.13095
398.40	0.13423
398.60	0.13741
398.80	0.14081
399.00	0.14409
399.20	0.14720
399.40	0.15071
399.60	0.15375
399.80	0.15704
400.00	0.16039
400.20	0.16395
400.40	0.16736
400.60	0.17053
400.80	0.17386
401.00	0.17700
401.20	0.18034
401.40	0.18347
401.60	0.18644
401.80	0.18929
402.00	0.19214
402.20	0.19506
402.40	0.19759
402.60	0.20022
402.80	0.20259
403.00	0.20481
403.20	0.20731
403.40	0.20937
403.60	0.21109
403.80	0.21281
404.00	0.21456
404.20	0.21594
404.40	0.21741
404.60	0.21884
404.80	0.21963
405.00	0.22069
405.20	0.22146
405.40	0.22223
405.60	0.22294
405.80	0.22328
406.00	0.22363
406.20	0.22363
406.40	0.22382
406.60	0.22390
406.80	0.22367
407.00	0.22305
407.20	0.22311
407.40	0.22280
407.60	0.22217
407.80	0.22153
408.00	0.22092
408.20	0.22031
408.40	0.21939
408.60	0.21854
408.80	0.21805
409.00	0.21720
409.20	0.21622
409.40	0.21575
409.60	0.21490
409.80	0.21407
410.00	0.21334
410.20	0.21278
410.40	0.21203
410.60	0.21151
410.80	0.21116
411.00	0.21094
411.20	0.21089
411.40	0.21075
411.60	0.21085
411.80	0.21140
412.00	0.21193
412.20	0.21269
412.40	0.21349
412.60	0.21495
412.80	0.21594
413.00	0.21785
413.20	0.21968
413.40	0.22180
413.60	0.22429
413.80	0.22704
414.00	0.23009
414.20	0.23332
414.40	0.23707
414.60	0.24107
414.80	0.24552
415.00	0.25025
415.20	0.25553
415.40	0.26093
415.60	0.26702
415.80	0.27374
416.00	0.28052
416.20	0.28822
416.40	0.29631
416.60	0.30488
416.80	0.31444
417.00	0.32431
417.20	0.33527
417.40	0.34689
417.60	0.35883
417.80	0.37232
418.00	0.38638
418.20	0.40141
418.40	0.41679
418.60	0.43335
418.80	0.45071
419.00	0.46925
419.20	0.48816
419.40	0.50805
419.60	0.52859
419.80	0.54976
420.00	0.57128
420.20	0.59359
420.40	0.61611
420.60	0.63907
420.80	0.66148
421.00	0.68429
421.20	0.70732
421.40	0.73003
421.60	0.75220
421.80	0.77388
422.00	0.79514
422.20	0.81587
422.40	0.83569
422.60	0.85443
422.80	0.87230
423.00	0.88928
423.20	0.90483
423.40	0.91939
423.60	0.93287
423.80	0.94502
424.00	0.95605
424.20	0.96549
424.40	0.97379
424.60	0.98092
424.80	0.98689
425.00	0.99173
425.20	0.99544
425.40	0.99809
425.60	0.99950
425.80	1.0000
426.00	0.99962
426.20	0.99812
426.40	0.99575
426.60	0.99266
426.80	0.98878
427.00	0.98369
427.20	0.97820
427.40	0.97222
427.60	0.96552
427.80	0.95781
428.00	0.94962
428.20	0.94096
428.40	0.93172
428.60	0.92219
428.80	0.91191
429.00	0.90122
429.20	0.89047
429.40	0.87874
429.60	0.86722
429.80	0.85475
430.00	0.84281
430.20	0.82976
430.40	0.81664
430.60	0.80333
430.80	0.78983
431.00	0.77607
431.20	0.76198
431.40	0.74784
431.60	0.73368
431.80	0.71934
432.00	0.70480
432.20	0.69013
432.40	0.67518
432.60	0.66027
432.80	0.64543
433.00	0.63013
433.20	0.61506
433.40	0.59991
433.60	0.58472
433.80	0.56942
434.00	0.55418
434.20	0.53928
434.40	0.52404
434.60	0.50909
434.80	0.49409
435.00	0.47889
435.20	0.46463
435.40	0.44978
435.60	0.43536
435.80	0.42075
436.00	0.40692
436.20	0.39265
436.40	0.37886
436.60	0.36520
436.80	0.35212
437.00	0.33896
437.20	0.32573
437.40	0.31337
437.60	0.30121
437.80	0.28893
438.00	0.27722
438.20	0.26560
438.40	0.25443
438.60	0.24319
438.80	0.23256
439.00	0.22223
439.20	0.21239
439.40	0.20249
439.60	0.19315
439.80	0.18407
440.00	0.17550
440.20	0.16722
440.40	0.15906
440.60	0.15100
440.80	0.14377
441.00	0.13650
441.20	0.12957
441.40	0.12294
441.60	0.11695
441.80	0.11077
442.00	0.10501
442.20	0.099419
442.40	0.094152
442.60	0.089251
442.80	0.084363
443.00	0.080004
443.20	0.075468
443.40	0.071366
443.60	0.067466
443.80	0.063851
444.00	0.060507
444.20	0.057109
444.40	0.054008
444.60	0.050908
444.80	0.048335
445.00	0.045722
445.20	0.043163
445.40	0.040929
445.60	0.038709
445.80	0.036935
446.00	0.034796
446.20	0.032941
446.40	0.031235
446.60	0.029556
446.80	0.028108
447.00	0.026645
447.20	0.025170
447.40	0.024019
447.60	0.022909
447.80	0.021785
448.00	0.020756
448.20	0.019727
448.40	0.018941
448.60	0.017940
448.80	0.017073
449.00	0.016491
449.20	0.015760
449.40	0.015178
449.60	0.014379
449.80	0.013878
450.00	0.013417
450.20	0.012984
450.40	0.012280
450.60	0.011793
450.80	0.011238
451.00	0.010777
451.20	0.010574
451.40	0.010114
451.60	0.0099514
451.80	0.0097754
452.00	0.0095317
452.20	0.0093015
452.40	0.0093421
452.60	0.0089766
452.80	0.0087464
453.00	0.0085975
453.20	0.0084621
453.40	0.0082048
453.60	0.0081913
453.80	0.0078934
454.00	0.0076903
454.20	0.0076226
454.40	0.0073112
454.60	0.0075414
454.80	0.0070946
455.00	0.0069457
455.20	0.0071758
455.40	0.0069592
455.60	0.0068103
455.80	0.0067697
456.00	0.0068103
456.20	0.0067290
456.40	0.0065530
456.60	0.0065259
456.80	0.0063635
457.00	0.0062552
457.20	0.0063499
457.40	0.0060792
457.60	0.0061739
457.80	0.0058084
458.00	0.0060792
458.20	0.0059167
458.40	0.0059573
458.60	0.0058896
458.80	0.0058625
459.00	0.0058761
459.20	0.0057677
459.40	0.0058490
459.60	0.0056594
459.80	0.0055105
460.00	0.0057677
460.20	0.0056459
460.40	0.0055376
460.60	0.0054022
460.80	0.0056324
461.00	0.0054699
461.20	0.0055376
461.40	0.0054022
461.60	0.0055240
461.80	0.0053751
462.00	0.0052533
462.20	0.0051585
462.40	0.0051043
462.60	0.0050772
462.80	0.0051991
463.00	0.0051179
463.20	0.0052668
463.40	0.0051720
463.60	0.0050231
463.80	0.0048471
464.00	0.0050772
464.20	0.0048200
464.40	0.0047929
464.60	0.0050231
464.80	0.0047388
465.00	0.0048742
465.20	0.0048877
465.40	0.0048065
465.60	0.0049012
465.80	0.0047929
466.00	0.0046846
466.20	0.0047523
466.40	0.0046711
466.60	0.0046981
466.80	0.0045086
467.00	0.0045357
467.20	0.0042649
467.40	0.0045492
467.60	0.0044409
467.80	0.0044544
468.00	0.0043597
468.20	0.0044951
468.40	0.0045086
468.60	0.0044680
468.80	0.0043055
469.00	0.0042243
469.20	0.0043867
469.40	0.0043597
469.60	0.0042243
469.80	0.0041295
470.00	0.0043326
470.20	0.0041972
470.40	0.0041024
470.60	0.0042378
470.80	0.0040347
471.00	0.0039129
471.20	0.0040483
471.40	0.0039941
471.60	0.0042107
471.80	0.0040076
472.00	0.0039129
472.20	0.0037910
472.40	0.0038858
472.60	0.0039129
472.80	0.0039264
473.00	0.0039129
473.20	0.0039129
473.40	0.0037910
473.60	0.0041295
473.80	0.0039670
474.00	0.0037910
474.20	0.0038045
474.40	0.0038045
474.60	0.0038181
474.80	0.0037639
475.00	0.0038722
475.20	0.0038722
475.40	0.0037910
475.60	0.0038993
475.80	0.0039399
476.00	0.0037098
476.20	0.0039399
476.40	0.0038452
476.60	0.0038722
476.80	0.0038993
477.00	0.0038452
477.20	0.0035338
477.40	0.0038452
477.60	0.0037910
477.80	0.0037098
478.00	0.0036692
478.20	0.0037369
478.40	0.0039129
478.60	0.0038858
478.80	0.0039264
479.00	0.0039129
479.20	0.0040212
479.40	0.0039670
479.60	0.0040483
479.80	0.0040212
480.00	0.0039941
480.20	0.0040483
480.40	0.0039941
480.60	0.0038858
480.80	0.0039264
481.00	0.0039941
481.20	0.0039264
481.40	0.0039264
481.60	0.0040076
481.80	0.0038722
482.00	0.0041836
482.20	0.0040618
482.40	0.0041430
482.60	0.0041701
482.80	0.0041295
483.00	0.0042107
483.20	0.0040753
483.40	0.0043055
483.60	0.0042784
483.80	0.0042513
484.00	0.0043867
484.20	0.0043461
484.40	0.0041972
484.60	0.0043461
484.80	0.0045357
485.00	0.0041972
485.20	0.0041972
485.40	0.0044274
485.60	0.0043190
485.80	0.0044003
486.00	0.0044003
486.20	0.0043597
486.40	0.0043867
486.60	0.0044815
486.80	0.0044003
487.00	0.0043732
487.20	0.0046034
487.40	0.0046304
487.60	0.0045221
487.80	0.0045357
488.00	0.0045492
488.20	0.0044951
488.40	0.0047523
488.60	0.0047388
488.80	0.0048606
489.00	0.0047658
489.20	0.0044544
489.40	0.0046846
489.60	0.0046575
489.80	0.0046711
490.00	0.0048471
490.20	0.0046846
490.40	0.0047929
490.60	0.0046575
490.80	0.0049012
491.00	0.0048471
491.20	0.0046711
491.40	0.0050095
491.60	0.0049012
491.80	0.0048471
492.00	0.0048606
492.20	0.0049012
492.40	0.0048335
492.60	0.0047658
492.80	0.0050231
493.00	0.0050502
493.20	0.0049418
493.40	0.0048877
493.60	0.0050772
493.80	0.0050772
494.00	0.0050908
494.20	0.0051043
494.40	0.0051449
494.60	0.0049012
494.80	0.0050637
495.00	0.0051856
495.20	0.0050637
495.40	0.0050908
495.60	0.0051585
495.80	0.0049554
496.00	0.0048742
496.20	0.0050772
496.40	0.0051449
496.60	0.0049960
496.80	0.0051043
497.00	0.0052262
497.20	0.0050231
497.40	0.0052262
497.60	0.0051449
497.80	0.0051449
498.00	0.0050231
498.20	0.0052262
498.40	0.0052262
498.60	0.0050502
498.80	0.0051043
499.00	0.0051856
499.20	0.0050502
499.40	0.0051720
499.60	0.0050637
499.80	0.0052126
500.00	0.0052939
500.20	0.0052533
500.40	0.0051720
500.60	0.0052803
500.80	0.0053074
501.00	0.0052126
501.20	0.0051585
501.40	0.0052533
501.60	0.0054563
501.80	0.0052533
502.00	0.0052397
502.20	0.0052126
502.40	0.0054022
502.60	0.0054834
502.80	0.0049960
503.00	0.0053886
503.20	0.0053480
503.40	0.0054293
503.60	0.0054022
503.80	0.0053886
504.00	0.0053480
504.20	0.0055917
504.40	0.0055647
504.60	0.0055240
504.80	0.0055782
505.00	0.0054428
505.20	0.0054563
505.40	0.0056053
505.60	0.0053345
505.80	0.0054970
506.00	0.0057136
506.20	0.0058084
506.40	0.0057407
506.60	0.0057542
506.80	0.0058896
507.00	0.0059031
507.20	0.0059844
507.40	0.0061062
507.60	0.0060927
507.80	0.0060385
508.00	0.0062145
508.20	0.0061875
508.40	0.0063364
508.60	0.0063364
508.80	0.0062552
509.00	0.0064853
509.20	0.0065259
509.40	0.0065124
509.60	0.0065666
509.80	0.0069186
510.00	0.0068915
510.20	0.0069727
510.40	0.0070811
510.60	0.0069998
510.80	0.0072706
511.00	0.0070675
511.20	0.0070134
511.40	0.0071352
511.60	0.0073383
511.80	0.0073518
512.00	0.0075685
512.20	0.0077445
512.40	0.0077445
512.60	0.0078257
512.80	0.0080017
513.00	0.0081777
513.20	0.0081100
513.40	0.0081777
513.60	0.0084485
513.80	0.0084485
514.00	0.0083538
514.20	0.0085568
514.40	0.0086652
514.60	0.0087735
514.80	0.0088006
515.00	0.0090172
515.20	0.0091932
515.40	0.0093150
515.60	0.0092338
515.80	0.0094775
516.00	0.0095181
516.20	0.0096400
516.40	0.0097483
516.60	0.0099649
516.80	0.010182
517.00	0.010114
517.20	0.010182
517.40	0.010534
517.60	0.010398
517.80	0.010452
518.00	0.010303
518.20	0.010615
518.40	0.010479
518.60	0.010750
518.80	0.010777
519.00	0.010994
519.20	0.011143
519.40	0.011387
519.60	0.011481
519.80	0.011535
520.00	0.011752
520.20	0.011915
520.40	0.011996
520.60	0.012118
520.80	0.012145
521.00	0.012212
521.20	0.012253
521.40	0.012578
521.60	0.012416
521.80	0.012470
522.00	0.012700
522.20	0.012808
522.40	0.012795
522.60	0.013147
522.80	0.013282
523.00	0.013336
523.20	0.013445
523.40	0.013634
523.60	0.013715
523.80	0.013783
524.00	0.013837
524.20	0.013932
524.40	0.013945
524.60	0.014013
524.80	0.014162
525.00	0.014257
525.20	0.014419
525.40	0.014419
525.60	0.014568
525.80	0.014555
526.00	0.014690
526.20	0.014920
526.40	0.015002
526.60	0.014947
526.80	0.015029
527.00	0.015164
527.20	0.015232
527.40	0.015178
527.60	0.015245
527.80	0.015313
528.00	0.015354
528.20	0.015408
528.40	0.015381
528.60	0.015448
528.80	0.015516
529.00	0.015435
529.20	0.015448
529.40	0.015313
529.60	0.015408
529.80	0.015354
530.00	0.015272
530.20	0.015259
530.40	0.015245
530.60	0.015056
530.80	0.015056
531.00	0.015056
531.20	0.015015
531.40	0.014934
531.60	0.015096
531.80	0.014839
532.00	0.014826
532.20	0.014798
532.40	0.014690
532.60	0.014731
532.80	0.014582
533.00	0.014501
533.20	0.014270
533.40	0.014108
533.60	0.014203
533.80	0.014054
534.00	0.014040
534.20	0.013878
534.40	0.013648
534.60	0.013675
534.80	0.013607
535.00	0.013742
535.20	0.013607
535.40	0.013336
535.60	0.013648
535.80	0.013309
536.00	0.013187
536.20	0.013120
536.40	0.013174
536.60	0.013093
536.80	0.012822
537.00	0.012849
537.20	0.012646
537.40	0.012727
537.60	0.012781
537.80	0.012754
538.00	0.012564
538.20	0.012497
538.40	0.012578
538.60	0.012375
538.80	0.012172
539.00	0.012334
539.20	0.012212
539.40	0.012240
539.60	0.012240
539.80	0.012226
540.00	0.012118
540.20	0.012023
540.40	0.012036
540.60	0.012091
540.80	0.012036
541.00	0.012050
541.20	0.011942
541.40	0.011820
541.60	0.011806
541.80	0.011793
542.00	0.011657
542.20	0.011657
542.40	0.011766
542.60	0.011671
542.80	0.011657
543.00	0.011766
543.20	0.011495
543.40	0.011698
543.60	0.011644
543.80	0.011779
544.00	0.011712
544.20	0.011684
544.40	0.011739
544.60	0.011684
544.80	0.011698
545.00	0.011779
545.20	0.011847
545.40	0.011915
545.60	0.012131
545.80	0.012050
546.00	0.011969
546.20	0.012185
546.40	0.012226
546.60	0.012253
546.80	0.012307
547.00	0.012537
547.20	0.012578
547.40	0.012632
547.60	0.012605
547.80	0.012876
548.00	0.013025
548.20	0.013201
548.40	0.013187
548.60	0.013377
548.80	0.013390
549.00	0.013472
549.20	0.013485
549.40	0.013945
549.60	0.014108
549.80	0.014352
550.00	0.014419
550.20	0.014379
550.40	0.014650
550.60	0.014555
550.80	0.014880
551.00	0.015110
551.20	0.015354
551.40	0.015286
551.60	0.015597
551.80	0.015638
552.00	0.015760
552.20	0.015963
552.40	0.016071
552.60	0.016315
552.80	0.016301
553.00	0.016694
553.20	0.016870
553.40	0.017060
553.60	0.016978
553.80	0.017141
554.00	0.017466
554.20	0.017452
554.40	0.017642
554.60	0.017858
554.80	0.018021
555.00	0.018021
555.20	0.018143
555.40	0.018617
555.60	0.018589
555.80	0.018874
556.00	0.018928
556.20	0.019131
556.40	0.019321
556.60	0.019334
556.80	0.019551
557.00	0.019794
557.20	0.020119
557.40	0.020309
557.60	0.020458
557.80	0.020702
558.00	0.020959
558.20	0.021487
558.40	0.021528
558.60	0.021988
558.80	0.022150
559.00	0.022462
559.20	0.022814
559.40	0.023085
559.60	0.023491
559.80	0.023707
560.00	0.024114
560.20	0.024696
560.40	0.024966
560.60	0.025278
560.80	0.025792
561.00	0.026469
561.20	0.026862
561.40	0.027349
561.60	0.027769
561.80	0.028216
562.00	0.028676
562.20	0.029110
562.40	0.029610
562.60	0.029990
562.80	0.030545
563.00	0.030653
563.20	0.031154
563.40	0.031479
563.60	0.031980
563.80	0.032494
564.00	0.032846
564.20	0.033334
564.40	0.033618
564.60	0.033957
564.80	0.034349
565.00	0.034701
565.20	0.035040
565.40	0.035338
565.60	0.035568
565.80	0.035852
566.00	0.036069
566.20	0.036177
566.40	0.036218
566.60	0.036367
566.80	0.036516
567.00	0.036759
567.20	0.036881
567.40	0.037165
567.60	0.037260
567.80	0.037368
568.00	0.037341
568.20	0.037287
568.40	0.037098
568.60	0.037220
568.80	0.037260
569.00	0.037152
569.20	0.036962
569.40	0.036854
569.60	0.036813
569.80	0.036678
570.00	0.036556
570.20	0.036394
570.40	0.036164
570.60	0.036096
570.80	0.035920
571.00	0.035541
571.20	0.035297
571.40	0.035189
571.60	0.034810
571.80	0.034782
572.00	0.034376
572.20	0.034106
572.40	0.033591
572.60	0.033361
572.80	0.033131
573.00	0.032941
573.20	0.032549
573.40	0.032278
573.60	0.031926
573.80	0.031587
574.00	0.031357
574.20	0.030897
574.40	0.030748
574.60	0.030206
574.80	0.030003
575.00	0.029610
575.20	0.029286
575.40	0.028920
575.60	0.028554
575.80	0.028121
576.00	0.027823
576.20	0.027404
576.40	0.027052
576.60	0.026605
576.80	0.026429
577.00	0.026009
577.20	0.025725
577.40	0.025224
577.60	0.024980
577.80	0.024709
578.00	0.024249
578.20	0.023951
578.40	0.023585
578.60	0.023233
578.80	0.022827
579.00	0.022529
579.20	0.022110
579.40	0.021839
579.60	0.021338
579.80	0.021216
580.00	0.020756
580.20	0.020539
580.40	0.020214
580.60	0.019822
580.80	0.019442
581.00	0.019226
581.20	0.018779
581.40	0.018481
581.60	0.018116
581.80	0.017980
582.00	0.017601
582.20	0.017222
582.40	0.016938
582.60	0.016762
582.80	0.016504
583.00	0.016152
583.20	0.015895
583.40	0.015679
583.60	0.015110
583.80	0.015205
584.00	0.014920
584.20	0.014839
584.40	0.014514
584.60	0.014555
584.80	0.014311
585.00	0.014270
585.20	0.013973
585.40	0.013986
585.60	0.013729
585.80	0.013742
586.00	0.013688
586.20	0.013458
586.40	0.013404
586.60	0.013336
586.80	0.013214
587.00	0.013350
587.20	0.013106
587.40	0.013106
587.60	0.012971
587.80	0.013187
588.00	0.013133
588.20	0.013011
588.40	0.012957
588.60	0.013052
588.80	0.013038
589.00	0.013079
589.20	0.012984
589.40	0.013025
589.60	0.013133
589.80	0.013255
590.00	0.013323
590.20	0.013323
590.40	0.013472
590.60	0.013499
590.80	0.013634
591.00	0.013702
591.20	0.013648
591.40	0.014000
591.60	0.014067
591.80	0.014108
592.00	0.014379
592.20	0.014501
592.40	0.014677
592.60	0.014934
592.80	0.015029
593.00	0.015272
593.20	0.015624
593.40	0.015679
593.60	0.016044
593.80	0.016383
594.00	0.016477
594.20	0.016897
594.40	0.017303
594.60	0.017736
594.80	0.017940
595.00	0.018549
595.20	0.018657
595.40	0.019050
595.60	0.019713
595.80	0.020065
596.00	0.020512
596.20	0.021094
596.40	0.021622
596.60	0.022096
596.80	0.022394
597.00	0.023003
597.20	0.023613
597.40	0.024032
597.60	0.024723
597.80	0.025210
598.00	0.025792
598.20	0.026347
598.40	0.026997
598.60	0.027376
598.80	0.028108
599.00	0.028717
599.20	0.029272
599.40	0.029786
599.60	0.030491
599.80	0.031032
600.00	0.031465
600.20	0.032061
600.40	0.032549
600.60	0.032914
600.80	0.033483
601.00	0.034078
601.20	0.034525
601.40	0.034918
601.60	0.035338
601.80	0.035744
602.00	0.036082
602.20	0.036719
602.40	0.036786
602.60	0.037138
