Wavelength (nm)	L212 H2C-M10 (SE225).ems
575.40	0.00032164
575.60	0.00020409
575.80	0.00021648
576.00	0.00027641
576.20	0.00020616
576.40	0.00033236
576.60	0.00028690
576.80	0.00025174
577.00	0.00024141
577.20	0.00026840
577.40	0.00024975
577.60	0.00026845
577.80	0.00037850
578.00	0.00035988
578.20	0.00032670
578.40	0.00031425
578.60	0.00025194
578.80	0.00028524
579.00	0.00031649
579.20	0.00026865
579.40	0.00035614
579.60	0.00033536
579.80	0.00028957
580.00	0.00031670
580.20	0.00035220
580.40	0.00028758
580.60	0.00033770
580.80	0.00039200
581.00	0.00027097
581.20	0.00028980
581.40	0.00034209
581.60	0.00034423
581.80	0.00036102
582.00	0.00030667
582.20	0.00032765
582.40	0.00036745
582.60	0.00038212
582.80	0.00046176
583.00	0.00039476
583.20	0.00044509
583.40	0.00041158
583.60	0.00032572
583.80	0.00050601
584.00	0.00043479
584.20	0.00046419
584.40	0.00044955
584.60	0.00040764
584.80	0.00042445
585.00	0.00050217
585.20	0.00059667
585.40	0.00046239
585.60	0.00051493
585.80	0.00050866
586.00	0.00048351
586.20	0.00047516
586.40	0.00052354
586.60	0.00047739
586.80	0.00066661
587.00	0.00054265
587.20	0.00055323
587.40	0.00053239
587.60	0.00054944
587.80	0.00056864
588.00	0.00053302
588.20	0.00045729
588.40	0.00056717
588.60	0.00062232
588.80	0.00058454
589.00	0.00058267
589.20	0.00053212
589.40	0.00055558
589.60	0.00058333
589.80	0.00055604
590.00	0.00048200
590.20	0.00054159
590.40	0.00059489
590.60	0.00058024
590.80	0.00055708
591.00	0.00046585
591.20	0.00065967
591.40	0.00065143
591.60	0.00072844
591.80	0.00059868
592.00	0.00056691
592.20	0.00063543
592.40	0.00067406
592.60	0.00068498
592.80	0.00061466
593.00	0.00064479
593.20	0.00069205
593.40	0.00052528
593.60	0.00063892
593.80	0.00059842
594.00	0.00056431
594.20	0.00062023
594.40	0.00059894
594.60	0.00062059
594.80	0.00071523
595.00	0.00045340
595.20	0.00061039
595.40	0.00067509
595.60	0.00069895
595.80	0.00060234
596.00	0.00057453
596.20	0.00070609
596.40	0.00073863
596.60	0.00061168
596.80	0.00067224
597.00	0.00062715
597.20	0.00074606
597.40	0.00069443
597.60	0.00070107
597.80	0.00071206
598.00	0.00073817
598.20	0.00071026
598.40	0.00075803
598.60	0.00085996
598.80	0.00079956
599.00	0.00072184
599.20	0.00068952
599.40	0.00095410
599.60	0.00088715
599.80	0.00080065
600.00	0.00075312
600.20	0.00091826
600.40	0.00089898
600.60	0.00078633
600.80	0.00094730
601.00	0.00085193
601.20	0.00098695
601.40	0.0010460
601.60	0.00098968
601.80	0.0010204
602.00	0.0011448
602.20	0.00092957
602.40	0.0010610
602.60	0.0011097
602.80	0.0010384
603.00	0.0012298
603.20	0.0011798
603.40	0.0010187
603.60	0.0012198
603.80	0.0011561
604.00	0.0012597
604.20	0.0012897
604.40	0.0011827
604.60	0.0012298
604.80	0.0010280
605.00	0.0012697
605.20	0.0013097
605.40	0.0015097
605.60	0.0013797
605.80	0.0013397
606.00	0.0013997
606.20	0.0015197
606.40	0.0016097
606.60	0.0017896
606.80	0.0017496
607.00	0.0018496
607.20	0.0017796
607.40	0.0017996
607.60	0.0018196
607.80	0.0017896
608.00	0.0018096
608.20	0.0019296
608.40	0.0020696
608.60	0.0020996
608.80	0.0021196
609.00	0.0020696
609.20	0.0021796
609.40	0.0023495
609.60	0.0022595
609.80	0.0022595
610.00	0.0023995
610.20	0.0024595
610.40	0.0022895
610.60	0.0025095
610.80	0.0024895
611.00	0.0026095
611.20	0.0025995
611.40	0.0027894
611.60	0.0026895
611.80	0.0025595
612.00	0.0026495
612.20	0.0027095
612.40	0.0029394
612.60	0.0026895
612.80	0.0029694
613.00	0.0030194
613.20	0.0028894
613.40	0.0029294
613.60	0.0032993
613.80	0.0033293
614.00	0.0033193
614.20	0.0032693
614.40	0.0033793
614.60	0.0038292
614.80	0.0035993
615.00	0.0033593
615.20	0.0039692
615.40	0.0039692
615.60	0.0038092
615.80	0.0039392
616.00	0.0039592
616.20	0.0046491
616.40	0.0049490
616.60	0.0048490
616.80	0.0048290
617.00	0.0052589
617.20	0.0054989
617.40	0.0054489
617.60	0.0063187
617.80	0.0068586
618.00	0.0068386
618.20	0.0072585
618.40	0.0080184
618.60	0.0079884
618.80	0.0088182
619.00	0.0094381
619.20	0.0099480
619.40	0.010418
619.60	0.011458
619.80	0.012348
620.00	0.013067
620.20	0.013587
620.40	0.015397
620.60	0.016117
620.80	0.016677
621.00	0.018016
621.20	0.018726
621.40	0.019876
621.60	0.021806
621.80	0.023165
622.00	0.024645
622.20	0.025025
622.40	0.025945
622.60	0.028574
622.80	0.029314
623.00	0.030884
623.20	0.032673
623.40	0.034613
623.60	0.035203
623.80	0.037043
624.00	0.039012
624.20	0.041222
624.40	0.042342
624.60	0.043721
624.80	0.045161
625.00	0.046941
625.20	0.047700
625.40	0.049440
625.60	0.051610
625.80	0.053959
626.00	0.054449
626.20	0.057309
626.40	0.058708
626.60	0.061338
626.80	0.063697
627.00	0.064097
627.20	0.068456
627.40	0.070196
627.60	0.073945
627.80	0.075755
628.00	0.079604
628.20	0.084283
628.40	0.087493
628.60	0.093581
628.80	0.097930
629.00	0.10471
629.20	0.11160
629.40	0.11739
629.60	0.12618
629.80	0.13586
630.00	0.14534
630.20	0.15572
630.40	0.16757
630.60	0.17931
630.80	0.19410
631.00	0.20603
631.20	0.22479
631.40	0.24157
631.60	0.25956
631.80	0.28058
632.00	0.30007
632.20	0.32250
632.40	0.34402
632.60	0.36613
632.80	0.38816
633.00	0.41567
633.20	0.44085
633.40	0.46676
633.60	0.49389
633.80	0.51833
634.00	0.54500
634.20	0.57542
634.40	0.60549
634.60	0.63119
634.80	0.66003
635.00	0.68557
635.20	0.71356
635.40	0.74115
635.60	0.76202
635.80	0.78981
636.00	0.81666
636.20	0.83330
636.40	0.85788
636.60	0.87877
636.80	0.89698
637.00	0.91113
637.20	0.93018
637.40	0.94222
637.60	0.95513
637.80	0.96790
638.00	0.97911
638.20	0.98629
638.40	0.99191
638.60	0.99434
638.80	0.99768
639.00	1.0000
639.20	0.99808
639.40	0.99498
639.60	0.98940
639.80	0.98133
640.00	0.97426
640.20	0.96591
640.40	0.95394
640.60	0.94256
640.80	0.92998
641.00	0.91289
641.20	0.89410
641.40	0.87901
641.60	0.86148
641.80	0.84103
642.00	0.82193
642.20	0.80387
642.40	0.78265
642.60	0.76260
642.80	0.74058
643.00	0.71868
643.20	0.69670
643.40	0.67893
643.60	0.65787
643.80	0.63408
644.00	0.61488
644.20	0.59570
644.40	0.57714
644.60	0.55593
644.80	0.53951
645.00	0.52041
645.20	0.50074
645.40	0.48839
645.60	0.47318
645.80	0.45591
646.00	0.44110
646.20	0.42749
646.40	0.41114
646.60	0.40222
646.80	0.39231
647.00	0.38234
647.20	0.36942
647.40	0.36156
647.60	0.34982
647.80	0.34407
648.00	0.33446
648.20	0.32599
648.40	0.32412
648.60	0.31708
648.80	0.31170
649.00	0.30610
649.20	0.30218
649.40	0.29695
649.60	0.29386
649.80	0.28657
650.00	0.28429
650.20	0.28219
650.40	0.27737
650.60	0.27649
650.80	0.27152
651.00	0.26872
651.20	0.26225
651.40	0.26148
651.60	0.25846
651.80	0.25405
652.00	0.25231
652.20	0.24595
652.40	0.24291
652.60	0.24095
652.80	0.23667
653.00	0.23251
653.20	0.23031
653.40	0.22461
653.60	0.22007
653.80	0.21776
654.00	0.21205
654.20	0.20875
654.40	0.20355
654.60	0.20065
654.80	0.19579
655.00	0.19272
655.20	0.18758
655.40	0.18357
655.60	0.17938
655.80	0.17407
656.00	0.16979
656.20	0.16575
656.40	0.16304
656.60	0.15905
656.80	0.15272
657.00	0.15079
657.20	0.14637
657.40	0.14201
657.60	0.13865
657.80	0.13576
658.00	0.13129
658.20	0.12729
658.40	0.12570
658.60	0.12400
658.80	0.11760
659.00	0.11695
659.20	0.11319
659.40	0.11103
659.60	0.10807
659.80	0.10548
660.00	0.10304
660.20	0.10127
660.40	0.099660
660.60	0.097401
660.80	0.094831
661.00	0.093711
661.20	0.090742
661.40	0.089522
661.60	0.088802
661.80	0.086653
662.00	0.085243
662.20	0.083033
662.40	0.082973
662.60	0.081074
662.80	0.079344
663.00	0.079574
663.20	0.079074
663.40	0.077105
663.60	0.078274
663.80	0.076755
664.00	0.075625
664.20	0.075065
664.40	0.074145
664.60	0.074175
664.80	0.075225
665.00	0.073215
665.20	0.072855
665.40	0.073295
665.60	0.072076
665.80	0.073135
666.00	0.072755
666.20	0.073225
666.40	0.074475
666.60	0.073115
666.80	0.072006
667.00	0.072775
667.20	0.072825
667.40	0.072386
667.60	0.071416
667.80	0.072815
668.00	0.072675
668.20	0.072346
668.40	0.072985
668.60	0.073785
668.80	0.074555
669.00	0.073305
669.20	0.074155
669.40	0.072705
669.60	0.074095
669.80	0.074455
670.00	0.073975
670.20	0.072585
670.40	0.073115
670.60	0.073215
670.80	0.071216
671.00	0.072066
671.20	0.071136
671.40	0.070596
671.60	0.070956
671.80	0.071276
672.00	0.070206
672.20	0.070516
672.40	0.069426
672.60	0.071116
672.80	0.069696
673.00	0.069256
673.20	0.069876
673.40	0.069126
673.60	0.070606
673.80	0.069046
674.00	0.068676
674.20	0.068206
674.40	0.069616
674.60	0.069436
674.80	0.068566
675.00	0.068446
675.20	0.067866
675.40	0.069336
675.60	0.068936
675.80	0.068826
676.00	0.069466
676.20	0.068066
676.40	0.070176
676.60	0.070736
676.80	0.069886
677.00	0.071076
677.20	0.071506
677.40	0.070166
677.60	0.072635
677.80	0.072296
678.00	0.072166
678.20	0.072605
678.40	0.073315
678.60	0.074655
678.80	0.073175
679.00	0.074325
679.20	0.074545
679.40	0.075705
679.60	0.075165
679.80	0.073455
680.00	0.073735
680.20	0.074865
680.40	0.074625
680.60	0.074555
680.80	0.074105
681.00	0.073765
681.20	0.072785
681.40	0.072256
681.60	0.074745
681.80	0.073805
682.00	0.072725
682.20	0.072595
682.40	0.070046
682.60	0.071826
682.80	0.071006
683.00	0.070196
683.20	0.069326
683.40	0.070776
683.60	0.068666
683.80	0.067656
684.00	0.068066
684.20	0.066807
684.40	0.066687
684.60	0.066647
684.80	0.063927
685.00	0.063717
685.20	0.063407
685.40	0.062458
685.60	0.063467
685.80	0.062048
686.00	0.059918
686.20	0.057888
686.40	0.058758
686.60	0.057978
686.80	0.058248
687.00	0.057628
687.20	0.056269
687.40	0.056229
687.60	0.054999
687.80	0.055019
688.00	0.055439
688.20	0.054239
688.40	0.052969
688.60	0.053419
688.80	0.052050
689.00	0.053039
689.20	0.052500
689.40	0.052779
689.60	0.053969
689.80	0.053379
690.00	0.054189
690.20	0.052290
690.40	0.053049
690.60	0.052889
690.80	0.052769
691.00	0.053879
691.20	0.054599
691.40	0.054139
691.60	0.054079
691.80	0.054909
692.00	0.055949
692.20	0.055869
692.40	0.056229
692.60	0.056819
692.80	0.057239
693.00	0.056879
693.20	0.056379
693.40	0.058418
693.60	0.057938
693.80	0.058248
694.00	0.058598
694.20	0.060418
694.40	0.059018
694.60	0.061068
694.80	0.061548
695.00	0.063507
695.20	0.061168
695.40	0.063667
695.60	0.062807
695.80	0.063037
696.00	0.064367
696.20	0.063837
696.40	0.065397
696.60	0.064137
696.80	0.066117
697.00	0.065987
697.20	0.065807
697.40	0.066237
697.60	0.067576
697.80	0.065157
698.00	0.066197
698.20	0.065517
698.40	0.067077
698.60	0.067556
698.80	0.068156
699.00	0.066847
699.20	0.069196
699.40	0.066817
699.60	0.068666
699.80	0.069666
700.00	0.068316
700.20	0.067786
700.40	0.068456
700.60	0.068576
700.80	0.068636
701.00	0.069296
701.20	0.068466
701.40	0.068196
701.60	0.068576
701.80	0.069146
702.00	0.068596
702.20	0.067886
702.40	0.070476
702.60	0.068756
702.80	0.067497
703.00	0.068526
703.20	0.069566
703.40	0.068656
703.60	0.068526
703.80	0.068686
704.00	0.069006
704.20	0.068796
704.40	0.069526
704.60	0.069156
704.80	0.068396
705.00	0.068246
705.20	0.068376
705.40	0.067447
705.60	0.067546
705.80	0.066547
706.00	0.067497
706.20	0.067966
706.40	0.067117
706.60	0.068796
706.80	0.068886
707.00	0.069616
707.20	0.066297
707.40	0.068766
707.60	0.067636
707.80	0.065747
708.00	0.065357
708.20	0.066407
708.40	0.064197
708.60	0.066117
708.80	0.064037
709.00	0.064117
709.20	0.064777
709.40	0.061458
709.60	0.062977
709.80	0.063027
710.00	0.062897
710.20	0.061428
710.40	0.061658
710.60	0.059908
710.80	0.059188
711.00	0.058558
711.20	0.058298
711.40	0.056609
711.60	0.056689
711.80	0.055499
712.00	0.056479
712.20	0.054579
712.40	0.052330
712.60	0.052739
712.80	0.053249
713.00	0.049850
713.20	0.050690
713.40	0.049630
713.60	0.049450
713.80	0.048290
714.00	0.046981
714.20	0.045721
714.40	0.045971
714.60	0.042761
714.80	0.043101
715.00	0.042512
715.20	0.041282
715.40	0.040892
715.60	0.039172
715.80	0.040252
716.00	0.038812
716.20	0.036263
716.40	0.036283
716.60	0.036123
716.80	0.035523
717.00	0.034793
717.20	0.033413
717.40	0.032593
717.60	0.032903
717.80	0.031554
718.00	0.030404
718.20	0.030364
718.40	0.028674
718.60	0.029734
718.80	0.028004
719.00	0.027864
719.20	0.028994
719.40	0.027275
719.60	0.025965
719.80	0.025575
720.00	0.025965
720.20	0.025535
720.40	0.024885
720.60	0.023995
720.80	0.022785
721.00	0.022366
721.20	0.022246
721.40	0.022615
721.60	0.021686
721.80	0.022665
722.00	0.021336
722.20	0.021626
722.40	0.021346
722.60	0.020396
722.80	0.021046
723.00	0.020666
723.20	0.020166
723.40	0.019656
723.60	0.020666
723.80	0.020736
724.00	0.018266
724.20	0.019396
724.40	0.019176
724.60	0.019486
724.80	0.017786
725.00	0.017926
725.20	0.018896
725.40	0.018646
725.60	0.017297
725.80	0.016857
726.00	0.018026
726.20	0.018146
726.40	0.015497
726.60	0.017556
726.80	0.017277
727.00	0.017067
727.20	0.016197
727.40	0.015947
727.60	0.015187
727.80	0.015337
728.00	0.016587
728.20	0.015857
728.40	0.015717
728.60	0.015727
728.80	0.014147
729.00	0.015697
729.20	0.015697
729.40	0.014767
729.60	0.015387
729.80	0.014427
730.00	0.015477
730.20	0.014487
730.40	0.015837
730.60	0.013817
730.80	0.014037
731.00	0.014747
731.20	0.013177
731.40	0.014537
731.60	0.014777
731.80	0.013267
732.00	0.012707
732.20	0.013167
732.40	0.012857
732.60	0.013157
732.80	0.012138
733.00	0.012607
733.20	0.011898
733.40	0.013287
733.60	0.012148
733.80	0.012348
734.00	0.012458
734.20	0.011768
734.40	0.012088
734.60	0.011898
734.80	0.011128
735.00	0.012248
735.20	0.010628
735.40	0.011558
735.60	0.012837
735.80	0.011048
736.00	0.011058
736.20	0.010998
736.40	0.011088
736.60	0.010358
736.80	0.010788
737.00	0.010378
737.20	0.010868
737.40	0.010918
737.60	0.010948
737.80	0.010338
738.00	0.010798
738.20	0.0099380
738.40	0.0091482
738.60	0.010488
738.80	0.010558
739.00	0.011258
739.20	0.0097181
739.40	0.010038
739.60	0.0096381
739.80	0.0092482
740.00	0.0098080
740.20	0.0085083
740.40	0.0089482
740.60	0.0089782
740.80	0.0095181
741.00	0.0089082
741.20	0.0093881
741.40	0.0090982
741.60	0.0083083
741.80	0.0089282
742.00	0.0073685
742.20	0.0090682
742.40	0.0089282
742.60	0.0088882
742.80	0.0082084
743.00	0.0087483
743.20	0.0081984
743.40	0.0079984
743.60	0.0076385
743.80	0.0091982
744.00	0.0079584
744.20	0.0072685
744.40	0.0085983
744.60	0.0076185
744.80	0.0079784
745.00	0.0075085
745.20	0.0073185
745.40	0.0074985
745.60	0.0076185
745.80	0.0080984
746.00	0.0076485
746.20	0.0073185
746.40	0.0069286
746.60	0.0072186
746.80	0.0070886
747.00	0.0077884
747.20	0.0071586
747.40	0.0075985
747.60	0.0076485
747.80	0.0075685
748.00	0.0075085
748.20	0.0071786
748.40	0.0067187
748.60	0.0072286
748.80	0.0070186
749.00	0.0062088
749.20	0.0064087
749.40	0.0069086
749.60	0.0064087
749.80	0.0068186
750.00	0.0058188
750.20	0.0068286
750.40	0.0061588
750.60	0.0060188
750.80	0.0065687
751.00	0.0065087
751.20	0.0057588
751.40	0.0059888
751.60	0.0057289
751.80	0.0056289
752.00	0.0055589
752.20	0.0056089
752.40	0.0056989
752.60	0.0064687
752.80	0.0057588
753.00	0.0059388
753.20	0.0064087
753.40	0.0059688
753.60	0.0060288
753.80	0.0057888
754.00	0.0057788
754.20	0.0056489
754.40	0.0050390
754.60	0.0051590
754.80	0.0051590
755.00	0.0051790
755.20	0.0049790
755.40	0.0055489
755.60	0.0051490
755.80	0.0052390
756.00	0.0043191
756.20	0.0053889
756.40	0.0050490
756.60	0.0055989
756.80	0.0049690
757.00	0.0045391
757.20	0.0044791
757.40	0.0046191
757.60	0.0051190
757.80	0.0053289
758.00	0.0051790
758.20	0.0049790
758.40	0.0051990
758.60	0.0039792
758.80	0.0041892
759.00	0.0045391
759.20	0.0046591
759.40	0.0050390
759.60	0.0040292
759.80	0.0046891
760.00	0.0052689
760.20	0.0042392
760.40	0.0041592
760.60	0.0043591
760.80	0.0040792
761.00	0.0044591
761.20	0.0043191
761.40	0.0038092
761.60	0.0043091
761.80	0.0046991
762.00	0.0044591
762.20	0.0040292
762.40	0.0044591
762.60	0.0042092
762.80	0.0033393
763.00	0.0041392
763.20	0.0043091
763.40	0.0042691
763.60	0.0037692
763.80	0.0032993
764.00	0.0036793
764.20	0.0037393
764.40	0.0038292
764.60	0.0042991
764.80	0.0038592
765.00	0.0044091
765.20	0.0039892
765.40	0.0035493
765.60	0.0044891
765.80	0.0037592
766.00	0.0033293
766.20	0.0041292
766.40	0.0034793
766.60	0.0031094
766.80	0.0028994
767.00	0.0033093
767.20	0.0032593
767.40	0.0035593
767.60	0.0035293
767.80	0.0034193
768.00	0.0028294
768.20	0.0038492
768.40	0.0029294
768.60	0.0036293
768.80	0.0030194
769.00	0.0030894
769.20	0.0036993
769.40	0.0031794
769.60	0.0033593
769.80	0.0030794
770.00	0.0030594
770.20	0.0037692
770.40	0.0030094
770.60	0.0027994
770.80	0.0029694
771.00	0.0031794
771.20	0.0032194
771.40	0.0033893
771.60	0.0025195
771.80	0.0030794
772.00	0.0031694
772.20	0.0029694
772.40	0.0034593
772.60	0.0029794
772.80	0.0034993
773.00	0.0033893
773.20	0.0026795
773.40	0.0024795
773.60	0.0027994
773.80	0.0023995
774.00	0.0028494
774.20	0.0026895
774.40	0.0035993
774.60	0.0032194
774.80	0.0033793
775.00	0.0026695
775.20	0.0029094
775.40	0.0020296
775.60	0.0027295
775.80	0.0024495
776.00	0.0031294
776.20	0.0029194
776.40	0.0025295
776.60	0.0029494
776.80	0.0025395
777.00	0.0030894
777.20	0.0025095
777.40	0.0035193
777.60	0.0017896
777.80	0.0028294
778.00	0.0027395
778.20	0.0021196
778.40	0.0025595
778.60	0.0023295
778.80	0.0019796
779.00	0.0029494
779.20	0.0030294
779.40	0.0023895
779.60	0.0030194
779.80	0.0034993
780.00	0.0020696
780.20	0.0026695
780.40	0.0025495
780.60	0.0031294
780.80	0.0027295
781.00	0.0024195
781.20	0.0028894
781.40	0.0021196
781.60	0.0022396
781.80	0.0024895
782.00	0.0027495
782.20	0.0018396
782.40	0.0029294
782.60	0.0024095
782.80	0.0026695
783.00	0.0023395
783.20	0.0026195
783.40	0.0023295
783.60	0.0023195
783.80	0.0026495
784.00	0.0028894
784.20	0.0024995
784.40	0.0018196
784.60	0.0018596
784.80	0.0017197
785.00	0.0028394
785.20	0.0014997
785.40	0.0018496
785.60	0.0019496
785.80	0.0020896
786.00	0.0017796
786.20	0.0023895
786.40	0.0022496
786.60	0.0025395
786.80	0.0018896
787.00	0.0017696
787.20	0.0029994
787.40	0.0024895
787.60	0.0023595
787.80	0.0022895
788.00	0.0015397
788.20	0.0023195
788.40	0.0022795
788.60	0.0022196
788.80	0.0020496
789.00	0.0011205
789.20	0.0018096
789.40	0.0034193
789.60	0.0014497
789.80	0.0026095
790.00	0.0022496
790.20	0.0018696
790.40	0.0018996
790.60	0.0019396
790.80	0.0017197
791.00	0.0018896
791.20	0.0020096
791.40	0.0018196
791.60	0.0016397
791.80	0.0012298
792.00	0.0020096
792.20	0.0023795
792.40	0.0012697
792.60	0.0021196
792.80	0.0014897
793.00	0.0018596
793.20	0.0016197
793.40	0.0018596
793.60	0.0019996
793.80	0.0014597
794.00	0.0015297
794.20	0.0020296
794.40	0.0016797
794.60	0.0021796
794.80	0.0017596
795.00	0.0020496
795.20	0.0010563
795.40	0.0021596
795.60	0.0020896
795.80	0.0010181
796.00	0.0017197
796.20	0.0017297
796.40	0.0013297
796.60	0.0014797
796.80	0.0021496
797.00	0.0018396
797.20	0.0014797
797.40	0.0020096
797.60	0.0017696
797.80	0.00084962
798.00	0.0021096
798.20	0.00083752
798.40	0.0022096
798.60	0.0018296
798.80	0.0021196
799.00	0.0021596
799.20	0.0012797
799.40	0.0010332
799.60	0.0020296
799.80	0.0013197
800.00	0.0012298
