Wavelength  (nm)	327 C-34.abs
418.00	0.81418
418.20	0.81699
418.40	0.81989
418.60	0.82279
418.80	0.82607
419.00	0.82925
419.20	0.83234
419.40	0.83533
419.60	0.84019
419.80	0.84272
420.00	0.84590
420.20	0.84955
420.40	0.85535
420.60	0.85853
420.80	0.86153
421.00	0.86461
421.20	0.86845
421.40	0.87070
421.60	0.87350
421.80	0.87734
422.00	0.88127
422.20	0.88445
422.40	0.88754
422.60	0.89072
422.80	0.89474
423.00	0.89951
423.20	0.90269
423.40	0.90765
423.60	0.91018
423.80	0.91392
424.00	0.91692
424.20	0.92028
424.40	0.92318
424.60	0.92618
424.80	0.92917
425.00	0.93329
425.20	0.93722
425.40	0.93956
425.60	0.94517
425.80	0.94789
426.00	0.95191
426.20	0.95500
426.40	0.95836
426.60	0.96108
426.80	0.96351
427.00	0.96650
427.20	0.96903
427.40	0.97212
427.60	0.97446
427.80	0.97661
428.00	0.97904
428.20	0.98250
428.40	0.98409
428.60	0.98643
428.80	0.98849
429.00	0.99027
429.20	0.99186
429.40	0.99354
429.60	0.99542
429.80	0.99570
430.00	0.99654
430.20	0.99794
430.40	0.99813
430.60	0.99888
430.80	0.99878
431.00	0.99972
431.20	1.0000
431.40	0.99935
431.60	0.99935
431.80	0.99888
432.00	0.99710
432.20	0.99654
432.40	0.99523
432.60	0.99345
432.80	0.99167
433.00	0.98980
433.20	0.98699
433.40	0.98531
433.60	0.98269
433.80	0.98073
434.00	0.97736
434.20	0.97446
434.40	0.97090
434.60	0.96791
434.80	0.96435
435.00	0.95996
435.20	0.95472
435.40	0.95088
435.60	0.94648
435.80	0.93872
436.00	0.93282
436.20	0.92908
436.40	0.92337
436.60	0.91785
436.80	0.91233
437.00	0.90728
437.20	0.90204
437.40	0.89455
437.60	0.88791
437.80	0.88202
438.00	0.87481
438.20	0.86377
438.40	0.85647
438.60	0.84936
438.80	0.84057
439.00	0.83308
439.20	0.82597
439.40	0.81905
439.60	0.81044
439.80	0.80305
440.00	0.79622
440.20	0.78948
440.40	0.78022
440.60	0.77189
440.80	0.76010
441.00	0.75168
441.20	0.74223
441.40	0.73381
441.60	0.72605
441.80	0.71641
442.00	0.70668
442.20	0.69835
442.40	0.69068
442.60	0.68207
442.80	0.67375
443.00	0.66617
443.20	0.65494
443.40	0.64502
443.60	0.63651
443.80	0.62846
444.00	0.62023
444.20	0.61022
444.40	0.60124
444.60	0.59281
444.80	0.58467
445.00	0.57457
445.20	0.56559
445.40	0.55773
445.60	0.54575
445.80	0.53752
446.00	0.53013
446.20	0.52292
446.40	0.51488
446.60	0.50599
446.80	0.49794
447.00	0.49027
447.20	0.48166
447.40	0.47287
447.60	0.46445
447.80	0.45724
448.00	0.44377
448.20	0.43544
448.40	0.42833
448.60	0.42141
448.80	0.41345
449.00	0.40662
449.20	0.39998
449.40	0.39343
449.60	0.38539
449.80	0.37799
450.00	0.37116
450.20	0.36452
450.40	0.35264
450.60	0.34534
450.80	0.33898
451.00	0.33149
451.20	0.32382
451.40	0.31708
451.60	0.31147
451.80	0.30501
452.00	0.29865
452.20	0.29304
452.40	0.28780
452.60	0.28190
452.80	0.27274
453.00	0.26722
453.20	0.26179
453.40	0.25515
453.60	0.24953
453.80	0.24411
454.00	0.23905
454.20	0.23278
454.40	0.22736
454.60	0.22268
454.80	0.21828
455.00	0.21098
455.20	0.20687
455.40	0.20294
455.60	0.19845
455.80	0.19386
456.00	0.18965
456.20	0.18582
456.40	0.18151
456.60	0.17721
456.80	0.17318
457.00	0.16991
457.20	0.16589
457.40	0.16009
457.60	0.15690
457.80	0.15382
458.00	0.15036
458.20	0.14755
458.40	0.14474
458.60	0.14212
458.80	0.13894
459.00	0.13595
459.20	0.13333
459.40	0.13071
459.60	0.12631
459.80	0.12369
460.00	0.12144
460.20	0.11892
460.40	0.11621
460.60	0.11396
460.80	0.11218
461.00	0.11003
461.20	0.10797
461.40	0.10619
461.60	0.10460
461.80	0.10292
462.00	0.10011
462.20	0.098428
462.40	0.096931
462.60	0.094966
462.80	0.093282
463.00	0.091692
463.20	0.090195
463.40	0.088417
463.60	0.086920
463.80	0.085610
464.00	0.084487
464.20	0.082429
464.40	0.081306
464.60	0.080183
464.80	0.079154
465.00	0.077938
465.20	0.076815
465.40	0.075879
465.60	0.074850
465.80	0.073728
466.00	0.072698
466.20	0.071856
466.40	0.070921
466.60	0.069517
466.80	0.068675
467.00	0.068020
467.20	0.067085
467.40	0.066430
467.60	0.065775
467.80	0.065213
468.00	0.064371
468.20	0.063716
468.40	0.063061
468.60	0.062500
468.80	0.061284
469.00	0.060816
469.20	0.060254
469.40	0.059693
469.60	0.059132
469.80	0.058664
470.00	0.058290
470.20	0.057822
470.40	0.057354
470.60	0.056980
470.80	0.056606
471.00	0.056044
471.20	0.055763
471.40	0.055389
471.60	0.055109
471.80	0.054734
472.00	0.054360
472.20	0.054173
472.40	0.053892
472.60	0.053612
472.80	0.053424
473.00	0.053144
473.20	0.052957
473.40	0.052676
473.60	0.052582
473.80	0.052395
474.00	0.052302
474.20	0.052021
474.40	0.051834
474.60	0.051834
474.80	0.051740
475.00	0.051647
475.20	0.051553
475.40	0.051460
475.60	0.051366
475.80	0.051272
476.00	0.051272
476.20	0.051179
476.40	0.051179
476.60	0.051179
476.80	0.051179
477.00	0.051179
477.20	0.051272
477.40	0.051366
477.60	0.051366
477.80	0.051460
478.00	0.051460
478.20	0.051647
478.40	0.051647
478.60	0.051740
478.80	0.051834
479.00	0.051927
479.20	0.052115
479.40	0.052115
479.60	0.052302
479.80	0.052395
480.00	0.052489
480.20	0.052676
480.40	0.052676
480.60	0.052769
480.80	0.052863
481.00	0.053144
481.20	0.053237
481.40	0.053331
481.60	0.053518
481.80	0.053705
482.00	0.053799
482.20	0.053892
482.40	0.053892
482.60	0.054079
482.80	0.054173
483.00	0.054360
483.20	0.054454
483.40	0.054641
483.60	0.054828
483.80	0.054921
484.00	0.055389
484.20	0.055483
484.40	0.055483
484.60	0.055576
484.80	0.055763
485.00	0.055951
485.20	0.056044
485.40	0.056138
485.60	0.056325
485.80	0.056418
486.00	0.056512
486.20	0.056699
486.40	0.056793
486.60	0.056886
486.80	0.056980
487.00	0.057167
487.20	0.057354
487.40	0.057541
487.60	0.057635
487.80	0.057728
488.00	0.057822
488.20	0.058103
488.40	0.058103
488.60	0.058290
488.80	0.058383
489.00	0.058477
489.20	0.058570
489.40	0.058664
489.60	0.058851
489.80	0.058851
490.00	0.058945
490.20	0.058945
490.40	0.059132
490.60	0.059132
490.80	0.059225
491.00	0.059225
491.20	0.059319
491.40	0.059412
491.60	0.059506
491.80	0.059600
492.00	0.059787
492.20	0.059880
492.40	0.060067
492.60	0.060254
492.80	0.060348
493.00	0.060442
493.20	0.060535
493.40	0.060629
493.60	0.060722
493.80	0.060816
494.00	0.061003
494.20	0.061097
494.40	0.061190
494.60	0.061377
494.80	0.061377
495.00	0.061564
495.20	0.061658
495.40	0.061658
495.60	0.061845
495.80	0.062032
496.00	0.062126
496.20	0.062219
496.40	0.062406
496.60	0.062594
496.80	0.062687
497.00	0.062968
497.20	0.063061
497.40	0.063249
497.60	0.063342
497.80	0.063529
498.00	0.063716
498.20	0.063903
498.40	0.064091
498.60	0.064465
498.80	0.064652
499.00	0.064933
499.20	0.065120
499.40	0.065400
499.60	0.065588
499.80	0.065868
500.00	0.066243
500.20	0.066617
500.40	0.066897
500.60	0.067365
500.80	0.067740
501.00	0.068114
501.20	0.068488
501.40	0.068769
501.60	0.069237
501.80	0.069798
502.00	0.070172
502.20	0.070640
502.40	0.071201
502.60	0.071950
502.80	0.072418
503.00	0.072979
503.20	0.073634
503.40	0.074008
503.60	0.074476
503.80	0.074944
504.00	0.075505
504.20	0.075973
504.40	0.076441
504.60	0.077189
504.80	0.077751
505.00	0.078312
505.20	0.078780
505.40	0.079341
505.60	0.079903
505.80	0.080464
506.00	0.080932
506.20	0.081493
506.40	0.082055
506.60	0.082616
506.80	0.083084
507.00	0.083552
507.20	0.083926
507.40	0.084300
507.60	0.084768
507.80	0.085329
508.00	0.085704
508.20	0.085984
508.40	0.086452
508.60	0.087013
508.80	0.087294
509.00	0.087668
509.20	0.088043
509.40	0.088417
509.60	0.088604
509.80	0.088791
510.00	0.089072
510.20	0.089353
510.40	0.089540
510.60	0.089914
510.80	0.090101
511.00	0.090288
511.20	0.090382
511.40	0.090569
511.60	0.090662
511.80	0.090756
512.00	0.090850
512.20	0.091037
512.40	0.091130
512.60	0.091224
512.80	0.091130
513.00	0.091224
513.20	0.091224
513.40	0.091224
513.60	0.091224
513.80	0.091224
514.00	0.091130
514.20	0.091037
514.40	0.091037
514.60	0.090850
514.80	0.090756
515.00	0.090662
515.20	0.090475
515.40	0.090288
515.60	0.090101
515.80	0.089820
516.00	0.089633
516.20	0.089353
516.40	0.088978
516.60	0.088698
516.80	0.088323
517.00	0.087949
517.20	0.087668
517.40	0.087294
517.60	0.086826
517.80	0.086359
518.00	0.085984
518.20	0.085516
518.40	0.084674
518.60	0.084207
518.80	0.083739
519.00	0.083177
519.20	0.082616
519.40	0.082148
519.60	0.081587
519.80	0.081025
520.00	0.080277
520.20	0.079341
520.40	0.078780
520.60	0.078031
520.80	0.077376
521.00	0.076722
521.20	0.076067
521.40	0.075131
521.60	0.074476
521.80	0.073821
522.00	0.073166
522.20	0.072043
522.40	0.071388
522.60	0.070734
522.80	0.069985
523.00	0.069237
523.20	0.068394
523.40	0.067740
523.60	0.066991
523.80	0.066149
524.00	0.065026
524.20	0.064465
524.40	0.063623
524.60	0.062968
524.80	0.062313
525.00	0.061658
525.20	0.060909
525.40	0.060348
525.60	0.059693
525.80	0.058757
526.00	0.058009
526.20	0.057448
526.40	0.056886
526.60	0.056231
526.80	0.055576
527.00	0.055015
527.20	0.054454
527.40	0.053892
527.60	0.053237
527.80	0.052582
528.00	0.052115
528.20	0.051553
528.40	0.051085
528.60	0.050805
528.80	0.050430
529.00	0.049963
529.20	0.049495
529.40	0.049027
529.60	0.048559
529.80	0.048185
530.00	0.047811
530.20	0.047624
530.40	0.047343
530.60	0.047062
530.80	0.046875
531.00	0.046688
531.20	0.046501
531.40	0.046314
531.60	0.046220
531.80	0.046126
532.00	0.046033
532.20	0.045939
532.40	0.045939
532.60	0.045846
532.80	0.045846
533.00	0.045846
533.20	0.045846
533.40	0.046033
533.60	0.046033
533.80	0.046126
534.00	0.046314
534.20	0.046594
534.40	0.046688
534.60	0.046875
534.80	0.047062
535.00	0.047530
535.20	0.047811
535.40	0.048185
535.60	0.048466
535.80	0.048933
536.00	0.049495
536.20	0.049869
536.40	0.050337
536.60	0.050992
536.80	0.051647
537.00	0.052489
537.20	0.053144
537.40	0.053799
537.60	0.054454
537.80	0.055109
538.00	0.055857
538.20	0.056699
538.40	0.057541
538.60	0.058383
538.80	0.059880
539.00	0.060909
539.20	0.061845
539.40	0.062781
539.60	0.064091
539.80	0.065120
540.00	0.066149
540.20	0.067085
540.40	0.068394
540.60	0.070079
540.80	0.071108
541.00	0.072324
541.20	0.073728
541.40	0.075131
541.60	0.076347
541.80	0.077751
542.00	0.079341
542.20	0.081306
542.40	0.082710
542.60	0.084300
542.80	0.085797
543.00	0.087107
543.20	0.088323
543.40	0.089914
543.60	0.091224
543.80	0.092440
544.00	0.094499
544.20	0.096089
544.40	0.097586
544.60	0.098896
544.80	0.10030
545.00	0.10180
545.20	0.10320
545.40	0.10432
545.60	0.10573
545.80	0.10778
546.00	0.10891
546.20	0.11003
546.40	0.11134
546.60	0.11237
546.80	0.11330
547.00	0.11424
547.20	0.11536
547.40	0.11649
547.60	0.11789
547.80	0.11873
548.00	0.11967
548.20	0.12042
548.40	0.12107
548.60	0.12182
548.80	0.12247
549.00	0.12294
549.20	0.12332
549.40	0.12388
549.60	0.12416
549.80	0.12435
550.00	0.12444
550.20	0.12453
550.40	0.12444
550.60	0.12435
550.80	0.12425
551.00	0.12378
551.20	0.12341
551.40	0.12304
551.60	0.12247
551.80	0.12182
552.00	0.12126
552.20	0.12060
552.40	0.11995
552.60	0.11911
552.80	0.11780
553.00	0.11695
553.20	0.11583
553.40	0.11452
553.60	0.11340
553.80	0.11218
554.00	0.11078
554.20	0.10947
554.40	0.10807
554.60	0.10591
554.80	0.10423
555.00	0.10283
555.20	0.10152
555.40	0.10011
555.60	0.098709
555.80	0.097680
556.00	0.095902
556.20	0.093376
556.40	0.091598
556.60	0.090101
556.80	0.088604
557.00	0.086733
557.20	0.085142
557.40	0.083552
557.60	0.082148
557.80	0.080371
558.00	0.078125
558.20	0.076909
558.40	0.075505
558.60	0.074008
558.80	0.072792
559.00	0.071669
559.20	0.070359
559.40	0.068862
559.60	0.066991
559.80	0.065868
560.00	0.064465
560.20	0.063249
560.40	0.062219
560.60	0.061190
560.80	0.060067
561.00	0.058945
561.20	0.057728
561.40	0.056886
561.60	0.056044
561.80	0.055296
562.00	0.054641
562.20	0.053892
562.40	0.053144
562.60	0.052489
562.80	0.051834
563.00	0.050898
563.20	0.050337
563.40	0.049588
563.60	0.049121
563.80	0.048466
564.00	0.047904
564.20	0.047436
564.40	0.046969
564.60	0.046126
564.80	0.045659
565.00	0.045284
565.20	0.044817
565.40	0.044255
565.60	0.043881
565.80	0.043507
566.00	0.043039
566.20	0.042384
566.40	0.042103
566.60	0.041729
566.80	0.041355
567.00	0.040887
567.20	0.040606
567.40	0.040419
567.60	0.040045
567.80	0.039671
568.00	0.039296
568.20	0.038922
568.40	0.038548
568.60	0.038174
568.80	0.037893
569.00	0.037612
569.20	0.037144
569.40	0.036864
569.60	0.036396
569.80	0.036115
570.00	0.035741
570.20	0.035367
570.40	0.035180
570.60	0.034712
570.80	0.034431
571.00	0.034150
571.20	0.033683
571.40	0.033308
571.60	0.033028
571.80	0.032653
572.00	0.032373
572.20	0.031999
572.40	0.031624
572.60	0.031344
572.80	0.030876
573.00	0.030595
573.20	0.030314
573.40	0.030127
573.60	0.029847
573.80	0.029566
574.00	0.029285
574.20	0.029004
574.40	0.028630
574.60	0.028350
574.80	0.028069
575.00	0.027695
575.20	0.027507
575.40	0.027227
575.60	0.026946
575.80	0.026665
576.00	0.026385
576.20	0.026104
576.40	0.025917
576.60	0.025730
576.80	0.025543
577.00	0.025262
577.20	0.025075
577.40	0.024794
577.60	0.024420
577.80	0.024233
578.00	0.023952
578.20	0.023671
578.40	0.023391
578.60	0.023110
578.80	0.022829
579.00	0.022549
579.20	0.022268
579.40	0.022081
579.60	0.021800
579.80	0.021519
580.00	0.021426
580.20	0.021239
580.40	0.021052
580.60	0.020771
580.80	0.020584
581.00	0.020397
581.20	0.020116
581.40	0.019929
581.60	0.019835
581.80	0.019648
582.00	0.019461
582.20	0.019368
582.40	0.019087
582.60	0.018993
582.80	0.018806
583.00	0.018713
583.20	0.018619
583.40	0.018338
583.60	0.018245
583.80	0.018058
584.00	0.017871
584.20	0.017683
584.40	0.017590
584.60	0.017403
584.80	0.017309
585.00	0.017122
585.20	0.017028
585.40	0.016841
585.60	0.016748
585.80	0.016654
586.00	0.016467
586.20	0.016467
586.40	0.016374
586.60	0.016280
586.80	0.016093
587.00	0.016093
587.20	0.015906
587.40	0.015812
587.60	0.015719
587.80	0.015625
588.00	0.015531
588.20	0.015438
588.40	0.015438
588.60	0.015344
588.80	0.015344
589.00	0.015157
589.20	0.015157
589.40	0.015064
589.60	0.015064
589.80	0.014970
590.00	0.014876
590.20	0.014876
590.40	0.014783
590.60	0.014783
590.80	0.014783
591.00	0.014689
591.20	0.014596
591.40	0.014689
591.60	0.014596
591.80	0.014596
592.00	0.014596
592.20	0.014502
592.40	0.014596
592.60	0.014596
592.80	0.014502
593.00	0.014409
593.20	0.014409
593.40	0.014502
593.60	0.014409
593.80	0.014409
594.00	0.014409
594.20	0.014409
594.40	0.014502
594.60	0.014409
594.80	0.014502
595.00	0.014409
595.20	0.014502
595.40	0.014502
595.60	0.014502
595.80	0.014502
596.00	0.014502
596.20	0.014596
596.40	0.014596
596.60	0.014596
596.80	0.014689
597.00	0.014689
597.20	0.014689
597.40	0.014689
597.60	0.014689
597.80	0.014783
598.00	0.014783
598.20	0.014783
598.40	0.014783
598.60	0.014876
598.80	0.014876
599.00	0.014970
599.20	0.015064
599.40	0.015157
599.60	0.015157
599.80	0.015157
600.00	0.015251
600.20	0.015344
600.40	0.015344
600.60	0.015438
600.80	0.015531
601.00	0.015625
601.20	0.015719
601.40	0.015812
601.60	0.015906
601.80	0.015999
602.00	0.016093
602.20	0.016186
602.40	0.016374
602.60	0.016467
602.80	0.016654
603.00	0.016841
603.20	0.017028
603.40	0.017122
603.60	0.017309
603.80	0.017590
604.00	0.017683
604.20	0.017871
604.40	0.017964
604.60	0.018245
604.80	0.018525
605.00	0.018713
605.20	0.018993
605.40	0.019274
605.60	0.019555
605.80	0.019835
606.00	0.020116
606.20	0.020397
606.40	0.020584
606.60	0.020865
606.80	0.021332
607.00	0.021613
607.20	0.021894
607.40	0.022174
607.60	0.022549
607.80	0.022829
608.00	0.023110
608.20	0.023671
608.40	0.024046
608.60	0.024326
608.80	0.024794
609.00	0.025262
609.20	0.025543
609.40	0.025917
609.60	0.026291
609.80	0.026946
610.00	0.027227
