Wavelength (nm)	229 FbC-M10P15
667.00	0.0015535
668.00	0.0013612
669.00	0.0011597
670.00	0.0011100
671.00	0.00098492
672.00	0.00093615
673.00	0.00085242
674.00	0.00080734
675.00	0.00070428
676.00	0.00066840
677.00	0.00058375
678.00	0.00063252
679.00	0.00048530
680.00	0.00045126
681.00	0.00043654
682.00	0.00045586
683.00	0.00040249
684.00	0.00032888
685.00	0.00033716
686.00	0.00043930
687.00	0.00037121
688.00	0.00032060
689.00	0.00024239
690.00	0.00028288
691.00	0.00026356
692.00	0.00033624
693.00	0.00020191
694.00	0.00014118
695.00	0.00016511
696.00	0.00025712
697.00	0.00017891
698.00	0.00019915
699.00	0.00024055
700.00	0.00011910
