Wavelength (nm)	257 FbC-M10A13 (SE420)
436.00	0.065950
437.00	0.052851
438.00	0.043102
439.00	0.035618
440.00	0.030237
441.00	0.025195
442.00	0.022026
443.00	0.020204
444.00	0.018689
445.00	0.017714
446.00	0.016792
447.00	0.016465
448.00	0.016057
449.00	0.016117
450.00	0.016175
451.00	0.016391
452.00	0.016673
453.00	0.016555
454.00	0.017253
455.00	0.017475
456.00	0.017631
457.00	0.017914
458.00	0.018046
459.00	0.018254
460.00	0.018363
461.00	0.019265
462.00	0.020395
463.00	0.021111
464.00	0.021869
465.00	0.022474
466.00	0.022702
467.00	0.023816
468.00	0.024458
469.00	0.024583
470.00	0.025488
471.00	0.026068
472.00	0.026104
473.00	0.025968
474.00	0.026332
475.00	0.026745
476.00	0.026836
477.00	0.027197
478.00	0.027447
479.00	0.027713
480.00	0.027756
481.00	0.027601
482.00	0.027467
483.00	0.028184
484.00	0.028001
485.00	0.027813
486.00	0.028005
487.00	0.029444
488.00	0.030329
489.00	0.030959
490.00	0.032105
491.00	0.034154
492.00	0.036548
493.00	0.039444
494.00	0.042349
495.00	0.046343
496.00	0.051300
497.00	0.055243
498.00	0.060371
499.00	0.065390
500.00	0.068935
501.00	0.071710
502.00	0.073674
503.00	0.074813
504.00	0.075467
505.00	0.077609
506.00	0.080201
507.00	0.082416
508.00	0.085276
509.00	0.087241
510.00	0.089411
511.00	0.090539
512.00	0.090871
513.00	0.089634
514.00	0.086878
515.00	0.083547
516.00	0.079313
517.00	0.073772
518.00	0.068164
519.00	0.062326
520.00	0.057703
521.00	0.053234
522.00	0.048669
523.00	0.044369
524.00	0.040811
525.00	0.038939
526.00	0.036456
527.00	0.035404
528.00	0.034467
529.00	0.034733
530.00	0.035731
531.00	0.037100
532.00	0.039354
533.00	0.042072
534.00	0.046030
535.00	0.049783
536.00	0.054505
537.00	0.059430
538.00	0.063420
539.00	0.065339
540.00	0.066252
541.00	0.064548
542.00	0.060638
543.00	0.056411
544.00	0.051603
545.00	0.047102
546.00	0.042968
547.00	0.037862
548.00	0.034305
549.00	0.032361
550.00	0.030261
551.00	0.029155
552.00	0.027352
553.00	0.026274
554.00	0.025906
555.00	0.024061
556.00	0.022764
557.00	0.021502
558.00	0.020553
559.00	0.019653
560.00	0.018549
561.00	0.017003
562.00	0.016538
563.00	0.015322
564.00	0.014041
565.00	0.013726
566.00	0.012791
567.00	0.011513
568.00	0.010957
569.00	0.0097784
570.00	0.0087744
571.00	0.0087170
572.00	0.0082049
573.00	0.0092859
574.00	0.0095271
575.00	0.0088920
576.00	0.0088298
577.00	0.0091143
578.00	0.0090960
579.00	0.0092474
580.00	0.0089940
581.00	0.0096724
582.00	0.0091845
583.00	0.0096534
584.00	0.010863
585.00	0.010662
586.00	0.011043
587.00	0.011726
588.00	0.012168
589.00	0.013982
590.00	0.015225
591.00	0.016616
592.00	0.018631
593.00	0.021176
594.00	0.024240
595.00	0.027553
596.00	0.030455
597.00	0.033167
598.00	0.036380
599.00	0.039235
600.00	0.040694
601.00	0.041426
602.00	0.042921
603.00	0.044626
604.00	0.046186
605.00	0.047318
606.00	0.048422
607.00	0.047772
608.00	0.045959
609.00	0.044173
610.00	0.042835
611.00	0.040939
612.00	0.038623
613.00	0.036179
614.00	0.035179
615.00	0.032711
616.00	0.031258
617.00	0.030296
618.00	0.029874
619.00	0.029463
620.00	0.028290
621.00	0.027798
622.00	0.026783
623.00	0.026274
624.00	0.026847
625.00	0.027386
626.00	0.028138
627.00	0.028191
628.00	0.028197
629.00	0.028132
630.00	0.027715
631.00	0.027445
632.00	0.027361
633.00	0.027005
634.00	0.027328
635.00	0.028686
636.00	0.029686
637.00	0.030868
638.00	0.034513
639.00	0.038866
640.00	0.045221
641.00	0.052160
642.00	0.059989
643.00	0.068854
644.00	0.078816
645.00	0.089011
646.00	0.10090
647.00	0.11543
648.00	0.13293
649.00	0.15061
650.00	0.17138
651.00	0.20346
652.00	0.24315
653.00	0.29308
654.00	0.34899
655.00	0.43126
656.00	0.48186
657.00	0.47788
658.00	0.50034
659.00	0.51614
660.00	0.48925
661.00	0.44846
662.00	0.39830
663.00	0.33629
664.00	0.27812
665.00	0.21943
666.00	0.17551
667.00	0.13570
668.00	0.10402
669.00	0.081666
670.00	0.062594
671.00	0.049248
672.00	0.037095
673.00	0.031123
674.00	0.025117
675.00	0.020495
676.00	0.016544
677.00	0.013430
678.00	0.011185
679.00	0.0088150
680.00	0.0069076
681.00	0.0062799
682.00	0.0054354
683.00	0.0057381
684.00	0.0043233
685.00	0.0022619
686.00	0.0019322
687.00	0.0025301
688.00	0.0021923
689.00	0.0032078
690.00	0.0025017
691.00	0.0020186
692.00	0.0019768
693.00	0.0015200
694.00	0.0022504
695.00	0.0018484
696.00	0.0018849
697.00	0.00095856
698.00	0.0010004
699.00	0.0017241
700.00	0.0018768
701.00	0.0023848
702.00	0.0013504
703.00	0.0014065
704.00	0.0018349
705.00	0.0023504
706.00	0.0025423
707.00	0.00051259
708.00	0.00058493
709.00	0.0012984
710.00	0.0016065
711.00	0.0014133
712.00	0.0022680
713.00	0.0012707
714.00	0.00090180
715.00	0.00045588
716.00	0.0011849
717.00	0.0017680
718.00	0.00091126
719.00	0.00056601
720.00	0.0011376
721.00	0.0011342
722.00	0.00072749
723.00	0.00098288
724.00	0.0010572
725.00	0.00041128
726.00	0.0010261
727.00	0.0014031
728.00	0.00080789
729.00	0.00021467
730.00	0.00065722
731.00	0.00037277
732.00	0.00015657
733.00	0.00059979
734.00	0.00048966
735.00	0.00082748
736.00	0.0014470
737.00	0.0013322
738.00	0.0013295
739.00	0.00035115
740.00	0.00030693
741.00	0.00095045
742.00	0.0012862
743.00	0.00051572
744.00	0.0011025
745.00	0.0014842
746.00	0.0016538
747.00	0.00074911
748.00	0.00019778
749.00	0.00024102
750.00	0.00020490
