Wavelength (nm)	179 Zn1-I15.abs
495.00	0.017166
496.00	0.017103
497.00	0.016644
498.00	0.016815
499.00	0.016720
500.00	0.017113
501.00	0.017505
502.00	0.018207
503.00	0.018455
504.00	0.018940
505.00	0.019870
506.00	0.020656
507.00	0.021313
508.00	0.022434
509.00	0.022938
510.00	0.023833
511.00	0.024517
512.00	0.024882
513.00	0.024631
514.00	0.023945
515.00	0.023904
516.00	0.023867
517.00	0.023339
518.00	0.022977
519.00	0.022281
520.00	0.022485
521.00	0.021831
522.00	0.021399
523.00	0.021192
524.00	0.021229
525.00	0.020088
526.00	0.019540
527.00	0.019173
528.00	0.018750
529.00	0.018247
530.00	0.017579
531.00	0.017594
532.00	0.016950
533.00	0.017395
534.00	0.017761
535.00	0.017965
536.00	0.017551
537.00	0.017908
538.00	0.017862
539.00	0.018085
540.00	0.018029
541.00	0.018634
542.00	0.018172
543.00	0.018813
544.00	0.018476
545.00	0.018536
546.00	0.018425
547.00	0.018463
548.00	0.018587
549.00	0.018804
550.00	0.019033
551.00	0.019566
552.00	0.019574
553.00	0.019940
554.00	0.020050
555.00	0.020397
556.00	0.020272
557.00	0.020119
558.00	0.020975
559.00	0.021161
560.00	0.021494
561.00	0.022279
562.00	0.023428
563.00	0.024394
564.00	0.025133
565.00	0.026371
566.00	0.027538
567.00	0.028578
568.00	0.028252
569.00	0.028629
570.00	0.028097
571.00	0.027768
572.00	0.027549
573.00	0.027438
574.00	0.027529
575.00	0.028405
576.00	0.029700
577.00	0.031376
578.00	0.032519
579.00	0.033986
580.00	0.035221
581.00	0.035968
582.00	0.036099
583.00	0.035881
584.00	0.035529
585.00	0.034800
586.00	0.033669
587.00	0.032336
588.00	0.030963
589.00	0.029284
590.00	0.027542
591.00	0.025977
592.00	0.024826
593.00	0.023770
594.00	0.023181
595.00	0.023109
596.00	0.023431
597.00	0.024558
598.00	0.025656
599.00	0.027224
600.00	0.029368
601.00	0.031809
602.00	0.035533
603.00	0.039896
604.00	0.045364
605.00	0.053731
606.00	0.063521
607.00	0.075607
608.00	0.090277
609.00	0.10737
610.00	0.12798
611.00	0.14716
612.00	0.16555
613.00	0.18035
614.00	0.18849
615.00	0.18865
616.00	0.18104
617.00	0.16643
618.00	0.14824
619.00	0.12818
620.00	0.10819
621.00	0.091317
622.00	0.074173
623.00	0.061502
624.00	0.050753
625.00	0.041713
626.00	0.034277
627.00	0.027939
628.00	0.023127
629.00	0.019207
630.00	0.015451
631.00	0.013093
632.00	0.011120
633.00	0.0094547
634.00	0.0078727
635.00	0.0072605
636.00	0.0064120
637.00	0.0053401
638.00	0.0049861
639.00	0.0050303
640.00	0.0041537
641.00	0.0042918
642.00	0.0033201
643.00	0.0038955
644.00	0.0040081
645.00	0.0036884
646.00	0.0033587
647.00	0.0031795
648.00	0.0032125
649.00	0.0034215
650.00	0.0030165
651.00	0.0032846
652.00	0.0027870
653.00	0.0024759
654.00	0.0024970
655.00	0.0031882
656.00	0.0022818
657.00	0.0014183
658.00	0.0021736
659.00	0.0022233
660.00	0.0021014
661.00	0.0021760
662.00	0.0020479
663.00	0.0023826
664.00	0.0019316
665.00	0.0019284
666.00	0.0017524
667.00	0.0012448
668.00	0.0018445
669.00	0.0016827
670.00	0.0013443
671.00	0.0018326
672.00	0.0014233
673.00	0.0014426
674.00	0.0011726
675.00	0.0011465
676.00	0.0015558
677.00	0.0012740
678.00	0.0014818
679.00	0.00097227
680.00	0.0011141
681.00	0.0010395
682.00	0.0014805
683.00	0.0015048
684.00	0.00095983
685.00	0.0011309
686.00	0.0011178
687.00	0.0012958
688.00	0.0013561
689.00	0.0016348
690.00	0.0014544
691.00	0.0013542
692.00	0.0011942
693.00	0.0013870
694.00	0.0010630
695.00	0.0011971
696.00	0.0014271
697.00	0.00093989
698.00	0.0010697
699.00	0.0014648
700.00	0.0010749
