Wavelength (nm)	ZnP (SE322)
434.00	0.015589
435.00	0.014107
436.00	0.014116
437.00	0.014072
438.00	0.013598
439.00	0.012419
440.00	0.011774
441.00	0.0095215
442.00	0.0079620
443.00	0.0090496
444.00	0.0077773
445.00	0.0075460
446.00	0.0082184
447.00	0.0070872
448.00	0.0073548
449.00	0.0063668
450.00	0.0059237
451.00	0.0053812
452.00	0.0052567
453.00	0.0049534
454.00	0.0049592
455.00	0.0034414
456.00	0.0030106
457.00	0.0035801
458.00	0.0029400
459.00	0.0027744
460.00	0.0030278
461.00	0.0034468
462.00	0.0037183
463.00	0.0036958
464.00	0.0042275
465.00	0.0046358
466.00	0.0053302
467.00	0.0056287
468.00	0.0066270
469.00	0.0063452
470.00	0.0057493
471.00	0.0056062
472.00	0.0060629
473.00	0.0063839
474.00	0.0067760
475.00	0.0066251
476.00	0.0076405
477.00	0.0075195
478.00	0.0061056
479.00	0.0067099
480.00	0.0070961
481.00	0.0079807
482.00	0.0084365
483.00	0.0099964
484.00	0.010464
485.00	0.010815
486.00	0.0086301
487.00	0.0094975
488.00	0.013611
489.00	0.015525
490.00	0.016535
491.00	0.017251
492.00	0.018247
493.00	0.020109
494.00	0.021649
495.00	0.023832
496.00	0.027021
497.00	0.028768
498.00	0.030088
499.00	0.030775
500.00	0.031051
501.00	0.032356
502.00	0.032838
503.00	0.032833
504.00	0.033245
505.00	0.033244
506.00	0.032366
507.00	0.032866
508.00	0.032597
509.00	0.031955
510.00	0.031822
511.00	0.031595
512.00	0.030830
513.00	0.029808
514.00	0.028651
515.00	0.027659
516.00	0.027030
517.00	0.026209
518.00	0.025906
519.00	0.025419
520.00	0.024475
521.00	0.023639
522.00	0.022663
523.00	0.021826
524.00	0.021129
525.00	0.020408
526.00	0.019743
527.00	0.018843
528.00	0.018215
529.00	0.017345
530.00	0.016567
531.00	0.015881
532.00	0.014983
533.00	0.014309
534.00	0.013407
535.00	0.012729
536.00	0.011886
537.00	0.011230
538.00	0.010898
539.00	0.010108
540.00	0.0096191
541.00	0.0091682
542.00	0.0088673
543.00	0.0084355
544.00	0.0088261
545.00	0.0091672
546.00	0.010025
547.00	0.011257
548.00	0.012760
549.00	0.013886
550.00	0.015292
551.00	0.017017
552.00	0.018967
553.00	0.020639
554.00	0.021562
555.00	0.022826
556.00	0.023121
557.00	0.022871
558.00	0.022103
559.00	0.021567
560.00	0.021162
561.00	0.020428
562.00	0.019519
563.00	0.018973
564.00	0.018290
565.00	0.016990
566.00	0.016035
567.00	0.015092
568.00	0.014287
569.00	0.012616
570.00	0.011208
571.00	0.012276
572.00	0.013772
573.00	0.012248
574.00	0.013488
575.00	0.015855
576.00	0.014242
577.00	0.010493
578.00	0.014510
579.00	0.014819
580.00	0.013797
581.00	0.013540
582.00	0.013339
583.00	0.012624
584.00	0.016491
585.00	0.020127
586.00	0.020326
587.00	0.022041
588.00	0.025062
589.00	0.027953
590.00	0.032311
591.00	0.038344
592.00	0.047900
593.00	0.059132
594.00	0.073020
595.00	0.091701
596.00	0.11292
597.00	0.13761
598.00	0.16062
599.00	0.17816
600.00	0.18875
601.00	0.19105
602.00	0.18528
603.00	0.17211
604.00	0.15597
605.00	0.13423
606.00	0.11376
607.00	0.094466
608.00	0.077314
609.00	0.062511
610.00	0.050492
611.00	0.042231
612.00	0.035489
613.00	0.030236
614.00	0.026941
615.00	0.024124
616.00	0.020826
617.00	0.017295
618.00	0.015634
619.00	0.014666
620.00	0.013255
621.00	0.011985
622.00	0.011940
623.00	0.011230
624.00	0.010475
625.00	0.0094020
626.00	0.0088325
627.00	0.0086879
628.00	0.0081110
629.00	0.0080488
630.00	0.0080419
631.00	0.0077101
632.00	0.0068221
633.00	0.0069882
634.00	0.0067054
635.00	0.0067089
636.00	0.0066648
637.00	0.0066290
638.00	0.0065535
639.00	0.0060624
640.00	0.0059174
641.00	0.0057816
642.00	0.0054238
643.00	0.0057282
644.00	0.0056640
645.00	0.0049386
646.00	0.0043893
647.00	0.0039972
648.00	0.0043451
649.00	0.0038505
650.00	0.0039210
651.00	0.0036540
652.00	0.0037850
653.00	0.0039140
654.00	0.0036512
655.00	0.0034752
656.00	0.0036512
657.00	0.0037458
658.00	0.0035697
659.00	0.0034260
660.00	0.0032530
661.00	0.0033369
662.00	0.0031457
663.00	0.0030054
664.00	0.0028721
665.00	0.0027510
666.00	0.0027250
667.00	0.0027325
668.00	0.0027125
669.00	0.0025741
670.00	0.0025123
671.00	0.0024862
672.00	0.0023956
673.00	0.0023587
674.00	0.0023421
675.00	0.0023625
676.00	0.0023875
677.00	0.0023547
678.00	0.0023541
679.00	0.0023658
680.00	0.0026548
681.00	0.0027254
682.00	0.0024531
683.00	0.0023251
684.00	0.0024689
685.00	0.0024158
686.00	0.0022145
687.00	0.0020451
688.00	0.0024215
689.00	0.0020542
690.00	0.0023215
691.00	0.0022215
692.00	0.0022632
693.00	0.0021005
694.00	0.0020215
695.00	0.0019850
696.00	0.0021520
697.00	0.0022315
698.00	0.0022698
699.00	0.0019854
700.00	0.0018523
