Wavelength (nm)	L275 ZnP (SE322).ems
578.60	0.0063505
578.80	0.0059108
579.00	0.0058718
579.20	0.0068204
579.40	0.0051661
579.60	0.0054769
579.80	0.0068075
580.00	0.0057591
580.20	0.0066992
580.40	0.0068976
580.60	0.0067454
580.80	0.0073257
581.00	0.0066368
581.20	0.0075583
581.40	0.0078813
581.60	0.0075123
581.80	0.0086208
582.00	0.0085933
582.20	0.0086769
582.40	0.0088854
582.60	0.0091462
582.80	0.0095414
583.00	0.0096257
583.20	0.0092133
583.40	0.0099707
583.60	0.011039
583.80	0.010897
584.00	0.011313
584.20	0.012465
584.40	0.011441
584.60	0.012418
584.80	0.014753
585.00	0.015347
585.20	0.014188
585.40	0.014149
585.60	0.015781
585.80	0.016624
586.00	0.016845
586.20	0.017637
586.40	0.018586
586.60	0.019877
586.80	0.019257
587.00	0.021650
587.20	0.022307
587.40	0.024339
587.60	0.023979
587.80	0.024588
588.00	0.026259
588.20	0.029204
588.40	0.028533
588.60	0.029950
588.80	0.031002
589.00	0.033153
589.20	0.035254
589.40	0.037263
589.60	0.038218
589.80	0.039666
590.00	0.041964
590.20	0.045272
590.40	0.048386
590.60	0.051503
590.80	0.054917
591.00	0.055791
591.20	0.060243
591.40	0.066553
591.60	0.066509
591.80	0.070712
592.00	0.076882
592.20	0.083774
592.40	0.086957
592.60	0.090987
592.80	0.099036
593.00	0.10493
593.20	0.11058
593.40	0.12034
593.60	0.12759
593.80	0.13529
594.00	0.14840
594.20	0.15726
594.40	0.17204
594.60	0.18197
594.80	0.19402
595.00	0.20741
595.20	0.22029
595.40	0.23391
595.60	0.25386
595.80	0.26896
596.00	0.28040
596.20	0.30406
596.40	0.32283
596.60	0.33765
596.80	0.35884
597.00	0.37955
597.20	0.40161
597.40	0.42778
597.60	0.44641
597.80	0.46814
598.00	0.49684
598.20	0.51849
598.40	0.54129
598.60	0.57326
598.80	0.59961
599.00	0.62463
599.20	0.65141
599.40	0.67282
599.60	0.70054
599.80	0.72181
600.00	0.75066
600.20	0.76777
600.40	0.79702
600.60	0.81716
600.80	0.84263
601.00	0.86317
601.20	0.87245
601.40	0.88600
601.60	0.91700
601.80	0.93337
602.00	0.94781
602.20	0.95769
602.40	0.96412
602.60	0.97397
602.80	0.96492
603.00	0.98761
603.20	0.99216
603.40	0.98384
603.60	0.98640
603.80	1.0000
604.00	0.99244
604.20	0.99568
604.40	0.99325
604.60	0.98409
604.80	0.97868
605.00	0.97475
605.20	0.97831
605.40	0.95126
605.60	0.94683
605.80	0.93114
606.00	0.91922
606.20	0.90966
606.40	0.88937
606.60	0.86966
606.80	0.85613
607.00	0.83770
607.20	0.81577
607.40	0.80228
607.60	0.79218
607.80	0.76856
608.00	0.73849
608.20	0.73013
608.40	0.71262
608.60	0.68198
608.80	0.66825
609.00	0.64355
609.20	0.63109
609.40	0.61355
609.60	0.59347
609.80	0.56785
610.00	0.54564
610.20	0.53960
610.40	0.52065
610.60	0.50262
610.80	0.48392
611.00	0.47064
611.20	0.46085
611.40	0.44085
611.60	0.42356
611.80	0.41874
612.00	0.39689
612.20	0.38877
612.40	0.37726
612.60	0.36004
612.80	0.34627
613.00	0.34108
613.20	0.33546
613.40	0.32432
613.60	0.30748
613.80	0.29948
614.00	0.29000
614.20	0.28488
614.40	0.26872
614.60	0.27322
614.80	0.25338
615.00	0.25497
615.20	0.25249
615.40	0.24354
615.60	0.23623
615.80	0.22839
616.00	0.21778
616.20	0.21876
616.40	0.20900
616.60	0.20714
616.80	0.20645
617.00	0.19824
617.20	0.19560
617.40	0.18708
617.60	0.18682
617.80	0.18259
618.00	0.17953
618.20	0.17289
618.40	0.16999
618.60	0.16689
618.80	0.16360
619.00	0.15805
619.20	0.15827
619.40	0.15201
619.60	0.14869
619.80	0.14336
620.00	0.14341
620.20	0.14066
620.40	0.13741
620.60	0.13369
620.80	0.13301
621.00	0.13246
621.20	0.12531
621.40	0.12718
621.60	0.12579
621.80	0.12600
622.00	0.11935
622.20	0.11844
622.40	0.12025
622.60	0.11634
622.80	0.11442
623.00	0.11504
623.20	0.11270
623.40	0.11221
623.60	0.11149
623.80	0.10898
624.00	0.11129
624.20	0.11148
624.40	0.10708
624.60	0.10733
624.80	0.10604
625.00	0.11045
625.20	0.11203
625.40	0.10836
625.60	0.10724
625.80	0.10573
626.00	0.10922
626.20	0.10475
626.40	0.10389
626.60	0.10712
626.80	0.10780
627.00	0.11072
627.20	0.10735
627.40	0.10559
627.60	0.10773
627.80	0.10763
628.00	0.10766
628.20	0.10734
628.40	0.10899
628.60	0.10702
628.80	0.10562
629.00	0.10331
629.20	0.10750
629.40	0.10670
629.60	0.10545
629.80	0.11048
630.00	0.10241
630.20	0.10690
630.40	0.10823
630.60	0.10834
630.80	0.10681
631.00	0.10740
631.20	0.10801
631.40	0.10587
631.60	0.10847
631.80	0.10543
632.00	0.11171
632.20	0.10400
632.40	0.10740
632.60	0.10610
632.80	0.10711
633.00	0.10695
633.20	0.10624
633.40	0.10628
633.60	0.10768
633.80	0.10854
634.00	0.10680
634.20	0.10288
634.40	0.10540
634.60	0.10588
634.80	0.10349
635.00	0.10509
635.20	0.10743
635.40	0.10682
635.60	0.10729
635.80	0.10619
636.00	0.10896
636.20	0.10430
636.40	0.10580
636.60	0.10642
636.80	0.10870
637.00	0.10937
637.20	0.11049
637.40	0.11216
637.60	0.10969
637.80	0.11051
638.00	0.11149
638.20	0.11168
638.40	0.11245
638.60	0.11571
638.80	0.11121
639.00	0.11084
639.20	0.11387
639.40	0.11710
639.60	0.11346
639.80	0.12000
640.00	0.11759
640.20	0.11688
640.40	0.11732
640.60	0.11884
640.80	0.11918
641.00	0.12126
641.20	0.11967
641.40	0.12281
641.60	0.12214
641.80	0.12134
642.00	0.12257
642.20	0.11783
642.40	0.12101
642.60	0.12610
642.80	0.12523
643.00	0.12610
643.20	0.12657
643.40	0.12373
643.60	0.12219
643.80	0.12309
644.00	0.12329
644.20	0.12436
644.40	0.12094
644.60	0.12536
644.80	0.12397
645.00	0.12379
645.20	0.12540
645.40	0.12882
645.60	0.12179
645.80	0.12610
646.00	0.12611
646.20	0.12459
646.40	0.12431
646.60	0.12380
646.80	0.12128
647.00	0.12371
647.20	0.12552
647.40	0.12491
647.60	0.12516
647.80	0.12321
648.00	0.12397
648.20	0.12358
648.40	0.12059
648.60	0.12617
648.80	0.12607
649.00	0.12286
649.20	0.12639
649.40	0.12605
649.60	0.12902
649.80	0.12503
650.00	0.12417
650.20	0.12737
650.40	0.12833
650.60	0.12747
650.80	0.12485
651.00	0.13311
651.20	0.12962
651.40	0.12698
651.60	0.13188
651.80	0.13344
652.00	0.13135
652.20	0.13199
652.40	0.13482
652.60	0.13215
652.80	0.13352
653.00	0.13854
653.20	0.14082
653.40	0.13580
653.60	0.13917
653.80	0.13799
654.00	0.13583
654.20	0.14098
654.40	0.14658
654.60	0.13951
654.80	0.14385
655.00	0.14056
655.20	0.14637
655.40	0.13912
655.60	0.14441
655.80	0.14342
656.00	0.13702
656.20	0.13974
656.40	0.13927
656.60	0.14653
656.80	0.13585
657.00	0.14171
657.20	0.13907
657.40	0.14122
657.60	0.14443
657.80	0.14088
658.00	0.14134
658.20	0.13618
658.40	0.13562
658.60	0.13835
658.80	0.13606
659.00	0.13433
659.20	0.13973
659.40	0.14031
659.60	0.13451
659.80	0.13891
660.00	0.13738
660.20	0.13436
660.40	0.13468
660.60	0.13631
660.80	0.13335
661.00	0.13099
661.20	0.12909
661.40	0.13648
661.60	0.13313
661.80	0.13002
662.00	0.13811
662.20	0.12821
662.40	0.12969
662.60	0.13311
662.80	0.12992
663.00	0.13376
663.20	0.13083
663.40	0.12720
663.60	0.12403
663.80	0.12884
664.00	0.12668
664.20	0.12488
664.40	0.12392
664.60	0.12333
664.80	0.12166
665.00	0.12314
665.20	0.12377
665.40	0.11525
665.60	0.11341
665.80	0.11204
666.00	0.11241
666.20	0.11309
666.40	0.11029
666.60	0.11032
666.80	0.10718
667.00	0.10910
667.20	0.10603
667.40	0.099447
667.60	0.10147
667.80	0.10063
668.00	0.097969
668.20	0.094088
668.40	0.096923
668.60	0.092634
668.80	0.096768
669.00	0.093861
669.20	0.091526
669.40	0.094363
669.60	0.084312
669.80	0.090363
670.00	0.080424
670.20	0.082325
670.40	0.083928
670.60	0.078527
670.80	0.080109
671.00	0.071946
671.20	0.074952
671.40	0.072993
671.60	0.075994
671.80	0.074046
672.00	0.068364
672.20	0.066888
672.40	0.068911
672.60	0.066582
672.80	0.065091
673.00	0.062668
673.20	0.064141
673.40	0.058122
673.60	0.059591
673.80	0.058790
674.00	0.059313
674.20	0.056710
674.40	0.056009
674.60	0.054308
674.80	0.054426
675.00	0.049012
675.20	0.051030
675.40	0.048618
675.60	0.046975
675.80	0.048620
676.00	0.044926
676.20	0.044985
676.40	0.044793
676.60	0.047253
676.80	0.043157
677.00	0.044388
677.20	0.039556
677.40	0.038290
677.60	0.040981
677.80	0.041190
678.00	0.039859
678.20	0.037856
678.40	0.037902
678.60	0.036612
678.80	0.037619
679.00	0.036677
679.20	0.038025
679.40	0.033867
679.60	0.032829
679.80	0.032783
680.00	0.033754
680.20	0.031548
680.40	0.033081
680.60	0.031808
680.80	0.031636
681.00	0.031443
681.20	0.027789
681.40	0.031641
681.60	0.030105
681.80	0.028766
682.00	0.029664
682.20	0.026941
682.40	0.028611
682.60	0.028790
682.80	0.027546
683.00	0.028135
683.20	0.027338
683.40	0.026037
683.60	0.024647
683.80	0.024795
684.00	0.026241
684.20	0.025049
684.40	0.024966
684.60	0.025263
684.80	0.025009
685.00	0.026156
685.20	0.025137
685.40	0.025393
685.60	0.024111
685.80	0.022994
686.00	0.023073
686.20	0.022442
686.40	0.024851
686.60	0.024611
686.80	0.023891
687.00	0.023667
687.20	0.022885
687.40	0.024264
687.60	0.022359
687.80	0.020641
688.00	0.019840
688.20	0.021202
688.40	0.021839
688.60	0.020989
688.80	0.021942
689.00	0.021600
689.20	0.022043
689.40	0.023186
689.60	0.021716
689.80	0.021142
690.00	0.021769
690.20	0.019712
690.40	0.020201
690.60	0.022179
690.80	0.020679
691.00	0.021450
691.20	0.018762
691.40	0.023303
691.60	0.019004
691.80	0.020126
692.00	0.019457
692.20	0.019059
692.40	0.021096
692.60	0.022039
692.80	0.021266
693.00	0.019214
693.20	0.019330
693.40	0.020821
693.60	0.020109
693.80	0.019941
694.00	0.022016
694.20	0.019147
694.40	0.019455
694.60	0.017047
694.80	0.020050
695.00	0.019130
695.20	0.018713
695.40	0.019192
695.60	0.018141
695.80	0.018182
696.00	0.017588
696.20	0.019635
696.40	0.019091
696.60	0.019059
696.80	0.016711
697.00	0.018403
697.20	0.017782
697.40	0.020585
697.60	0.018148
697.80	0.018994
698.00	0.019117
698.20	0.018388
698.40	0.019190
698.60	0.018407
698.80	0.018049
699.00	0.018576
699.20	0.017073
699.40	0.017549
699.60	0.017976
699.80	0.018533
700.00	0.016732
700.20	0.018703
700.40	0.017538
700.60	0.016211
700.80	0.017832
701.00	0.018422
701.20	0.018206
701.40	0.015196
701.60	0.017798
701.80	0.014825
702.00	0.018438
702.20	0.016930
702.40	0.018719
702.60	0.016593
702.80	0.018177
703.00	0.016465
703.20	0.016534
703.40	0.018103
703.60	0.016511
703.80	0.017414
704.00	0.017782
704.20	0.015365
704.40	0.016679
704.60	0.013947
704.80	0.014800
705.00	0.016859
705.20	0.014353
705.40	0.017382
705.60	0.015663
705.80	0.017469
706.00	0.015160
706.20	0.016168
706.40	0.017237
706.60	0.016192
706.80	0.018410
707.00	0.016523
707.20	0.013868
707.40	0.015786
707.60	0.017038
707.80	0.017474
708.00	0.016949
708.20	0.015654
708.40	0.016033
708.60	0.014787
708.80	0.015165
709.00	0.017754
709.20	0.018313
709.40	0.014264
709.60	0.016204
709.80	0.016647
710.00	0.014422
710.20	0.016783
710.40	0.015305
710.60	0.014377
710.80	0.014645
711.00	0.014913
711.20	0.014712
711.40	0.015336
711.60	0.015637
711.80	0.013095
712.00	0.014996
712.20	0.016996
712.40	0.015008
712.60	0.015344
712.80	0.012802
713.00	0.012352
713.20	0.015244
713.40	0.013287
713.60	0.012773
713.80	0.014897
714.00	0.014385
714.20	0.013200
714.40	0.014331
714.60	0.012833
714.80	0.014674
715.00	0.014924
715.20	0.011473
715.40	0.013727
715.60	0.012302
715.80	0.013666
716.00	0.016967
716.20	0.013105
716.40	0.013917
716.60	0.014513
716.80	0.013415
717.00	0.013761
717.20	0.013635
717.40	0.012496
717.60	0.012176
717.80	0.013190
718.00	0.013348
718.20	0.013698
718.40	0.014562
718.60	0.014274
718.80	0.011670
719.00	0.011697
719.20	0.011529
719.40	0.013013
719.60	0.013009
719.80	0.013656
720.00	0.0099719
720.20	0.011791
720.40	0.013520
720.60	0.010827
720.80	0.011936
721.00	0.011534
721.20	0.010404
721.40	0.012149
721.60	0.011910
721.80	0.012601
722.00	0.012629
722.20	0.011459
722.40	0.011287
722.60	0.013532
722.80	0.012894
723.00	0.012522
723.20	0.012926
723.40	0.011839
723.60	0.012855
723.80	0.012376
724.00	0.0099460
724.20	0.010588
724.40	0.012641
724.60	0.010813
724.80	0.011911
725.00	0.010452
725.20	0.011622
725.40	0.011999
725.60	0.0094130
725.80	0.0094369
726.00	0.0099848
726.20	0.0090966
726.40	0.010738
726.60	0.0099526
726.80	0.011746
727.00	0.0099652
727.20	0.0094194
727.40	0.010330
727.60	0.011425
727.80	0.010377
728.00	0.0088575
728.20	0.012687
728.40	0.010229
728.60	0.010144
728.80	0.0095878
729.00	0.0095361
729.20	0.0097381
729.40	0.010852
729.60	0.0097448
729.80	0.010241
730.00	0.010520
730.20	0.010028
730.40	0.0090929
730.60	0.011548
730.80	0.0098714
731.00	0.011375
731.20	0.0090597
731.40	0.010605
731.60	0.0078308
731.80	0.0094543
732.00	0.0082764
732.20	0.0073196
732.40	0.010422
732.60	0.0097681
732.80	0.011417
733.00	0.010497
733.20	0.0082417
733.40	0.0075001
733.60	0.0079366
733.80	0.0099828
734.00	0.0078971
734.20	0.0097216
734.40	0.010167
734.60	0.0090327
734.80	0.0058813
735.00	0.0086092
735.20	0.0098729
735.40	0.0092333
735.60	0.0080823
735.80	0.0092752
736.00	0.0087858
736.20	0.0090420
736.40	0.0067379
736.60	0.0078584
736.80	0.0087074
737.00	0.0095202
737.20	0.0077502
737.40	0.0079639
737.60	0.0093753
737.80	0.0077938
738.00	0.0098512
738.20	0.0073022
738.40	0.0074770
738.60	0.0094236
738.80	0.0071823
739.00	0.0059022
739.20	0.0069663
739.40	0.0091702
739.60	0.0082925
739.80	0.0058650
740.00	0.0066507
740.20	0.0069088
740.40	0.0090097
740.60	0.0080007
740.80	0.0060839
741.00	0.0067129
741.20	0.0069315
741.40	0.0051256
741.60	0.0037683
741.80	0.0061399
742.00	0.0068577
742.20	0.0073756
742.40	0.0030916
742.60	0.0051519
742.80	0.0066348
743.00	0.0048416
743.20	0.0042631
743.40	0.0052897
743.60	0.0055152
743.80	0.0068477
744.00	0.0045625
744.20	0.0058565
744.40	0.0077561
744.60	0.0045111
744.80	0.0045656
745.00	0.0045339
745.20	0.0064065
745.40	0.0088090
745.60	0.0065254
745.80	0.0042302
746.00	0.0053774
746.20	0.0055660
746.40	0.0047009
746.60	0.0053731
746.80	0.0056511
747.00	0.0033193
747.20	0.0047461
747.40	0.0037341
747.60	0.0028067
747.80	0.0045542
748.00	0.0053249
748.20	0.0041706
748.40	0.0024269
748.60	0.0043240
748.80	0.0054167
749.00	0.0050665
749.20	0.0051681
749.40	0.0056336
749.60	0.0053726
749.80	0.0048366
750.00	0.0029265
750.20	0.0048574
750.40	0.0035819
750.60	0.0066729
750.80	0.0046118
751.00	0.0037435
751.20	0.0056966
751.40	0.0030168
751.60	0.0061858
751.80	0.0056394
752.00	0.0044371
752.20	0.0051485
752.40	0.0028611
752.60	0.0022091
752.80	0.0045689
753.00	0.0050977
753.20	0.0038786
753.40	0.0051192
753.60	0.0051299
753.80	0.0022371
754.00	0.0045312
754.20	0.0024376
754.40	0.0057953
754.60	0.0035996
754.80	0.0025009
755.00	0.0033735
755.20	0.0070019
755.40	0.0031938
755.60	0.0054794
755.80	0.0041300
756.00	0.0043333
756.20	0.0026833
756.40	0.0030310
756.60	0.0029882
756.80	0.0025524
757.00	0.0037380
757.20	0.0021691
757.40	0.0039034
757.60	0.0030210
757.80	0.0035739
758.00	0.0023383
758.20	0.0036400
758.40	0.0035983
758.60	0.00090162
758.80	0.0026105
759.00	0.0030190
759.20	0.0036309
759.40	0.0028304
759.60	0.0018236
759.80	0.0045184
760.00	0.0034091
760.20	0.0033146
760.40	0.0038843
760.60	0.0031758
760.80	0.0047741
761.00	0.0035499
761.20	0.0036093
761.40	0.0052192
761.60	0.0051787
761.80	0.0031660
762.00	0.0042132
762.20	0.0036991
762.40	0.0030789
762.60	0.0031362
762.80	0.0024084
763.00	0.0043527
763.20	0.0045175
763.40	0.0026833
763.60	0.0035837
763.80	0.0025865
764.00	0.0038596
764.20	0.0024890
764.40	0.0030235
764.60	0.0023908
764.80	0.0023947
765.00	0.0053833
765.20	0.0021888
765.40	0.0051333
765.60	0.0020352
765.80	0.0019848
766.00	0.0037611
766.20	0.0034442
766.40	0.0056596
766.60	0.0037791
766.80	0.0042717
767.00	0.0029246
767.20	0.0029838
767.40	0.0037497
767.60	0.0044638
767.80	0.0014723
768.00	0.0025127
768.20	0.0025717
768.40	0.0047685
768.60	0.0040079
768.80	0.0045097
769.00	0.0025892
769.20	0.0017107
769.40	0.0039245
769.60	0.0034882
769.80	0.0037159
770.00	0.0044999
770.20	0.0011129
770.40	0.0011705
770.60	0.0032942
770.80	0.0035793
771.00	0.0043696
771.20	0.0035912
771.40	0.0050024
771.60	0.00078824
771.80	0.0042294
772.00	0.0012992
772.20	0.0011881
772.40	0.0024369
772.60	0.0012489
772.80	0.00057102
773.00	0.0013099
773.20	0.0022249
773.40	0.0015428
773.60	0.0024039
773.80	0.0031531
774.00	0.0033880
774.20	0.0023007
774.40	0.0027077
774.60	0.0021350
774.80	0.00052024
775.00	0.0054418
775.20	0.0038270
775.40	0.0030202
775.60	0.0034322
775.80	0.0013984
776.00	0.00017506
776.20	0.0030396
776.40	0.0023419
776.60	0.0037530
776.80	0.0029368
777.00	0.0010001
777.20	0.0020031
777.40	0.00088512
777.60	0.0018910
777.80	0.0017755
778.00	0.0021930
778.20	0.00023739
778.40	0.0029128
778.60	0.0028577
778.80	0.0027426
779.00	0.0041200
779.20	0.0026312
779.40	0.0039525
779.60	0.0054577
779.80	0.0010210
780.00	0.00048119
