Wavelength (nm)	307 ZnC-T5MePy15 (SE369) DMF abs
411.80	0.99671
412.00	0.99446
412.20	0.99255
412.40	0.98995
412.60	0.98666
412.80	0.98251
413.00	0.97680
413.20	0.97142
413.40	0.96640
413.60	0.96120
413.80	0.95514
414.00	0.94734
414.20	0.93937
414.40	0.93124
414.60	0.92326
414.80	0.91461
415.00	0.90578
415.20	0.89712
415.40	0.88758
415.60	0.87892
415.80	0.87009
416.00	0.86108
416.20	0.85172
416.40	0.84167
416.60	0.83250
416.80	0.82349
417.00	0.81448
417.20	0.80531
417.40	0.79542
417.60	0.78607
417.80	0.77637
418.00	0.76684
418.20	0.75750
418.40	0.74831
418.60	0.73914
418.80	0.72978
419.00	0.72077
419.20	0.71246
419.40	0.70466
419.60	0.69686
419.80	0.68786
420.00	0.67833
420.20	0.66949
420.40	0.66169
420.60	0.65391
420.80	0.64663
421.00	0.63884
421.20	0.63174
421.40	0.62394
421.60	0.61666
421.80	0.60904
422.00	0.60211
422.20	0.59466
422.40	0.58756
422.60	0.58029
422.80	0.57319
423.00	0.56556
423.20	0.55812
423.40	0.55153
423.60	0.54564
423.80	0.54044
424.00	0.53473
424.20	0.52866
424.40	0.52278
424.60	0.51707
424.80	0.51135
425.00	0.50511
425.20	0.49870
425.40	0.49315
425.60	0.48779
425.80	0.48172
426.00	0.47670
426.20	0.47151
426.40	0.46700
426.60	0.46164
426.80	0.45644
427.00	0.45159
427.20	0.44622
427.40	0.44102
427.60	0.43599
427.80	0.43167
428.00	0.42803
428.20	0.42370
428.40	0.41919
428.60	0.41434
428.80	0.40985
429.00	0.40499
429.20	0.40048
429.40	0.39686
429.60	0.39339
429.80	0.38957
430.00	0.38577
430.20	0.38230
430.40	0.37848
430.60	0.37416
430.80	0.36948
431.00	0.36463
431.20	0.36099
431.40	0.35735
431.60	0.35388
431.80	0.35060
432.00	0.34731
432.20	0.34437
432.40	0.34125
432.60	0.33760
432.80	0.33380
433.00	0.33034
433.20	0.32738
433.40	0.32410
433.60	0.32063
433.80	0.31717
434.00	0.31406
434.20	0.31129
434.40	0.30763
434.60	0.30417
434.80	0.30054
435.00	0.29726
435.20	0.29482
435.40	0.29223
435.60	0.28963
435.80	0.28615
436.00	0.28374
436.20	0.28097
436.40	0.27854
436.60	0.27490
436.80	0.27247
437.00	0.27023
437.20	0.26710
437.40	0.26295
437.60	0.25949
437.80	0.25706
438.00	0.25533
438.20	0.25307
438.40	0.25066
438.60	0.24823
438.80	0.24581
439.00	0.24321
439.20	0.24009
439.40	0.23714
439.60	0.23455
439.80	0.23246
440.00	0.23090
440.20	0.22848
440.40	0.22589
440.60	0.22346
440.80	0.22172
441.00	0.22033
441.20	0.21792
441.40	0.21513
441.60	0.21272
441.80	0.21063
442.00	0.20838
442.20	0.20630
442.40	0.20388
442.60	0.20129
442.80	0.19869
443.00	0.19643
443.20	0.19471
443.40	0.19279
443.60	0.19124
443.80	0.18968
444.00	0.18813
444.20	0.18621
444.40	0.18482
444.60	0.18310
444.80	0.18119
445.00	0.17928
445.20	0.17739
445.40	0.17565
445.60	0.17373
445.80	0.17201
446.00	0.17045
446.20	0.16890
446.40	0.16699
446.60	0.16525
446.80	0.16353
447.00	0.16161
447.20	0.15971
447.40	0.15850
447.60	0.15711
447.80	0.15521
448.00	0.15365
448.20	0.15210
448.40	0.15088
448.60	0.14914
448.80	0.14793
449.00	0.14619
449.20	0.14430
449.40	0.14239
449.60	0.14099
449.80	0.13927
450.00	0.13737
450.20	0.13562
450.40	0.13425
450.60	0.13304
450.80	0.13199
451.00	0.13079
451.20	0.12957
451.40	0.12784
451.60	0.12610
451.80	0.12507
452.00	0.12420
452.20	0.12282
452.40	0.12177
452.60	0.12022
452.80	0.11900
453.00	0.11796
453.20	0.11622
453.40	0.11536
453.60	0.11415
453.80	0.11328
454.00	0.11225
454.20	0.11087
454.40	0.10982
454.60	0.10808
454.80	0.10723
455.00	0.10567
455.20	0.10514
455.40	0.10411
455.60	0.10290
455.80	0.10186
456.00	0.10065
456.20	0.099090
456.40	0.098220
456.60	0.097000
456.80	0.096140
457.00	0.094760
457.20	0.093530
457.40	0.092330
457.60	0.091820
457.80	0.091110
458.00	0.090420
458.20	0.089030
458.40	0.087830
458.60	0.086960
458.80	0.086090
459.00	0.085050
459.20	0.083840
459.40	0.082970
459.60	0.082450
459.80	0.081770
460.00	0.081070
460.20	0.080030
460.40	0.078640
460.60	0.077260
460.80	0.076220
461.00	0.075870
461.20	0.075190
461.40	0.074480
461.60	0.073110
461.80	0.072420
462.00	0.072060
462.20	0.071540
462.40	0.070330
462.60	0.069290
462.80	0.068420
463.00	0.068080
463.20	0.067560
463.40	0.066690
463.60	0.065830
463.80	0.064960
464.00	0.064260
464.20	0.064090
464.40	0.063400
464.60	0.062190
464.80	0.062370
465.00	0.061850
465.20	0.061140
465.40	0.059590
465.60	0.058710
465.80	0.058380
466.00	0.057690
466.20	0.057340
466.40	0.056310
466.60	0.055430
466.80	0.054910
467.00	0.055600
467.20	0.055780
467.40	0.055600
467.60	0.054740
467.80	0.053710
468.00	0.052650
468.20	0.051800
468.40	0.051270
468.60	0.050760
468.80	0.050400
469.00	0.049550
469.20	0.049190
469.40	0.049020
469.60	0.049360
469.80	0.049190
470.00	0.048510
470.20	0.048160
470.40	0.047280
470.60	0.046770
470.80	0.046080
471.00	0.045560
471.20	0.045200
471.40	0.044510
471.60	0.044170
471.80	0.044000
472.00	0.044350
472.20	0.044510
472.40	0.044000
472.60	0.043310
472.80	0.042430
473.00	0.041920
473.20	0.041400
473.40	0.040880
473.60	0.040190
473.80	0.039660
474.00	0.040190
474.20	0.040020
474.40	0.039850
474.60	0.039660
474.80	0.039680
475.00	0.039320
475.20	0.039140
475.40	0.038810
475.60	0.038630
475.80	0.038630
476.00	0.038630
476.20	0.038460
476.40	0.038110
476.60	0.037420
476.80	0.036540
477.00	0.036030
477.20	0.035850
477.40	0.035690
477.60	0.036030
477.80	0.036200
478.00	0.036030
478.20	0.035690
478.40	0.035340
478.60	0.035170
478.80	0.034650
479.00	0.034290
479.20	0.033950
479.40	0.033940
479.60	0.033950
479.80	0.033440
480.00	0.032920
480.20	0.032050
480.40	0.032050
480.60	0.032400
480.80	0.032560
481.00	0.032740
481.20	0.032740
481.40	0.032740
481.60	0.032050
481.80	0.031880
482.00	0.032220
482.20	0.032220
482.40	0.031880
482.60	0.031520
482.80	0.031350
483.00	0.030830
483.20	0.030140
483.40	0.029280
483.60	0.028760
483.80	0.028940
484.00	0.029280
484.20	0.029460
484.40	0.028930
484.60	0.028760
484.80	0.028760
485.00	0.028930
485.20	0.028930
485.40	0.028410
485.60	0.028410
485.80	0.028230
486.00	0.027890
486.20	0.027720
486.40	0.027370
486.60	0.027540
486.80	0.027540
487.00	0.027550
487.20	0.027370
487.40	0.027370
487.60	0.027540
487.80	0.027030
488.00	0.026160
488.20	0.025470
488.40	0.025630
488.60	0.026160
488.80	0.026510
489.00	0.026510
489.20	0.025810
489.40	0.024770
489.60	0.024600
489.80	0.025290
490.00	0.025630
490.20	0.025110
490.40	0.025110
490.60	0.025290
490.80	0.025630
491.00	0.025810
491.20	0.025990
491.40	0.025800
491.60	0.025640
491.80	0.025630
492.00	0.025990
492.20	0.025630
492.40	0.025290
492.60	0.025290
492.80	0.025630
493.00	0.025630
493.20	0.025290
493.40	0.025290
493.60	0.025630
493.80	0.025800
494.00	0.025810
494.20	0.025640
494.40	0.025460
494.60	0.025290
494.80	0.025460
495.00	0.025460
495.20	0.025640
495.40	0.025120
495.60	0.025120
495.80	0.025110
496.00	0.025470
496.20	0.025460
496.40	0.025810
496.60	0.025460
496.80	0.025460
497.00	0.025460
497.20	0.025290
497.40	0.025290
497.60	0.025290
497.80	0.025990
498.00	0.026680
498.20	0.026510
498.40	0.025800
498.60	0.025630
498.80	0.025990
499.00	0.025990
499.20	0.025810
499.40	0.025990
499.60	0.026330
499.80	0.026340
500.00	0.026680
500.20	0.027200
500.40	0.027540
500.60	0.027540
500.80	0.027540
501.00	0.028060
501.20	0.028240
501.40	0.028410
501.60	0.028400
501.80	0.027890
502.00	0.027710
502.20	0.027890
502.40	0.028060
502.60	0.028230
502.80	0.028580
503.00	0.029110
503.20	0.029970
503.40	0.030310
503.60	0.030660
503.80	0.030660
504.00	0.030830
504.20	0.030830
504.40	0.031010
504.60	0.030830
504.80	0.031180
505.00	0.032220
505.20	0.032740
505.40	0.033090
505.60	0.033250
505.80	0.033430
506.00	0.033950
506.20	0.034480
506.40	0.034640
506.60	0.034990
506.80	0.035510
507.00	0.035860
507.20	0.035690
507.40	0.035510
507.60	0.035690
507.80	0.036030
508.00	0.036200
508.20	0.036550
508.40	0.037240
508.60	0.038110
508.80	0.038280
509.00	0.037940
509.20	0.037770
509.40	0.038110
509.60	0.037940
509.80	0.038110
510.00	0.037940
510.20	0.037770
510.40	0.037590
510.60	0.037770
510.80	0.038110
511.00	0.038800
511.20	0.039140
511.40	0.039490
511.60	0.039680
511.80	0.039850
512.00	0.040020
512.20	0.040540
512.40	0.040710
512.60	0.040370
512.80	0.040190
513.00	0.040710
513.20	0.041230
513.40	0.041230
513.60	0.041050
513.80	0.041050
514.00	0.041570
514.20	0.041570
514.40	0.041750
514.60	0.041220
514.80	0.041230
515.00	0.041400
515.20	0.041750
515.40	0.042090
515.60	0.042090
515.80	0.041920
516.00	0.041740
516.20	0.041920
516.40	0.042450
516.60	0.042620
516.80	0.042790
517.00	0.042450
517.20	0.042260
517.40	0.042450
517.60	0.043140
517.80	0.043300
518.00	0.042960
518.20	0.042450
518.40	0.042280
518.60	0.041750
518.80	0.041570
519.00	0.041220
519.20	0.041060
519.40	0.040890
519.60	0.040530
519.80	0.040370
520.00	0.040190
520.20	0.040360
520.40	0.040190
520.60	0.039850
520.80	0.039660
521.00	0.039320
521.20	0.039660
521.40	0.039830
521.60	0.040020
521.80	0.040020
522.00	0.039850
522.20	0.039660
522.40	0.039510
522.60	0.038980
522.80	0.038290
523.00	0.037770
523.20	0.037770
523.40	0.037940
523.60	0.037420
523.80	0.036720
524.00	0.036550
524.20	0.036910
524.40	0.036890
524.60	0.036540
524.80	0.036380
525.00	0.036370
525.20	0.036380
525.40	0.035860
525.60	0.035860
525.80	0.035860
526.00	0.035340
526.20	0.034820
526.40	0.034650
526.60	0.034820
526.80	0.034820
527.00	0.034480
527.20	0.034480
527.40	0.034470
527.60	0.033950
527.80	0.033600
528.00	0.033080
528.20	0.033430
528.40	0.033600
528.60	0.033260
528.80	0.033430
529.00	0.033430
529.20	0.032910
529.40	0.032220
529.60	0.031880
529.80	0.031700
530.00	0.031710
530.20	0.032050
530.40	0.032400
530.60	0.032220
530.80	0.031880
531.00	0.031540
531.20	0.031350
531.40	0.031540
531.60	0.031520
531.80	0.031350
532.00	0.031350
532.20	0.031350
532.40	0.031000
532.60	0.030830
532.80	0.030490
533.00	0.030660
533.20	0.031170
533.40	0.031540
533.60	0.031170
533.80	0.031010
534.00	0.031000
534.20	0.031350
534.40	0.031180
534.60	0.030660
534.80	0.030140
535.00	0.029970
535.20	0.029970
535.40	0.029970
535.60	0.029800
535.80	0.030140
536.00	0.030140
536.20	0.030140
536.40	0.029630
536.60	0.029790
536.80	0.030310
537.00	0.030830
537.20	0.031180
537.40	0.030660
537.60	0.030140
537.80	0.029970
538.00	0.030140
538.20	0.030490
538.40	0.030660
538.60	0.030660
538.80	0.030660
539.00	0.030830
539.20	0.031000
539.40	0.031350
539.60	0.031000
539.80	0.030490
540.00	0.029970
540.20	0.029970
540.40	0.030140
540.60	0.030310
540.80	0.030480
541.00	0.030660
541.20	0.030830
541.40	0.030830
541.60	0.030660
541.80	0.030480
542.00	0.030310
542.20	0.030140
542.40	0.030320
542.60	0.031000
542.80	0.031180
543.00	0.030480
543.20	0.030140
543.40	0.029970
543.60	0.030660
543.80	0.030840
544.00	0.031010
544.20	0.030660
544.40	0.030660
544.60	0.031010
544.80	0.031520
545.00	0.031870
545.20	0.032050
545.40	0.032050
545.60	0.032230
545.80	0.031710
546.00	0.030830
546.20	0.030310
546.40	0.030830
546.60	0.032220
546.80	0.033260
547.00	0.033770
547.20	0.033610
547.40	0.033090
547.60	0.032740
547.80	0.033260
548.00	0.033430
548.20	0.033430
548.40	0.033260
548.60	0.033260
548.80	0.033430
549.00	0.034290
549.20	0.034820
549.40	0.035160
549.60	0.035330
549.80	0.035860
550.00	0.035850
550.20	0.035850
550.40	0.035860
550.60	0.036200
550.80	0.036550
551.00	0.037060
551.20	0.037250
551.40	0.037240
551.60	0.037770
551.80	0.038460
552.00	0.039140
552.20	0.039490
552.40	0.039660
552.60	0.040190
552.80	0.040880
553.00	0.040880
553.20	0.041060
553.40	0.041400
553.60	0.041910
553.80	0.042090
554.00	0.042620
554.20	0.042960
554.40	0.043310
554.60	0.043660
554.80	0.044170
555.00	0.044690
555.20	0.045370
555.40	0.045560
555.60	0.046250
555.80	0.046420
556.00	0.046080
556.20	0.046430
556.40	0.046940
556.60	0.047640
556.80	0.047820
557.00	0.047990
557.20	0.048510
557.40	0.049020
557.60	0.049200
557.80	0.049020
558.00	0.049020
558.20	0.049880
558.40	0.049890
558.60	0.049880
558.80	0.049710
559.00	0.049880
559.20	0.050230
559.40	0.050760
559.60	0.051270
559.80	0.051790
560.00	0.052310
560.20	0.052490
560.40	0.052490
560.60	0.052830
560.80	0.053700
561.00	0.054740
561.20	0.055600
561.40	0.055600
561.60	0.055260
561.80	0.054730
562.00	0.054740
562.20	0.055080
562.40	0.055600
562.60	0.056130
562.80	0.056130
563.00	0.056480
563.20	0.056820
563.40	0.056640
563.60	0.056820
563.80	0.057170
564.00	0.057160
564.20	0.057510
564.40	0.057680
564.60	0.057680
564.80	0.058030
565.00	0.058200
565.20	0.058550
565.40	0.058720
565.60	0.058200
565.80	0.058030
566.00	0.058370
566.20	0.058550
566.40	0.058890
566.60	0.058890
566.80	0.058890
567.00	0.058710
567.20	0.058890
567.40	0.058720
567.60	0.058890
567.80	0.059250
568.00	0.059250
568.20	0.059250
568.40	0.059420
568.60	0.059070
568.80	0.059240
569.00	0.058890
569.20	0.059590
569.40	0.060110
569.60	0.060280
569.80	0.060100
570.00	0.060110
570.20	0.059940
570.40	0.059590
570.60	0.059590
570.80	0.059940
571.00	0.060280
571.20	0.060620
571.40	0.061320
571.60	0.062010
571.80	0.062190
572.00	0.061840
572.20	0.061680
572.40	0.061660
572.60	0.062020
572.80	0.062370
573.00	0.062190
573.20	0.062360
573.40	0.062700
573.60	0.062880
573.80	0.063400
574.00	0.063740
574.20	0.064090
574.40	0.064090
574.60	0.064430
574.80	0.064790
575.00	0.065140
575.20	0.065310
575.40	0.065830
575.60	0.066170
575.80	0.066690
576.00	0.067200
576.20	0.067200
576.40	0.067030
576.60	0.067560
576.80	0.068250
577.00	0.069290
577.20	0.069800
577.40	0.070160
577.60	0.070160
577.80	0.070850
578.00	0.071020
578.20	0.071190
578.40	0.071360
578.60	0.072050
578.80	0.072760
579.00	0.073100
579.20	0.073620
579.40	0.074140
579.60	0.074480
579.80	0.074490
580.00	0.074310
580.20	0.074660
580.40	0.075170
580.60	0.075530
580.80	0.075700
581.00	0.076040
581.20	0.076050
581.40	0.076040
581.60	0.076220
581.80	0.076390
582.00	0.076390
582.20	0.076560
582.40	0.076740
582.60	0.077250
582.80	0.077940
583.00	0.078300
583.20	0.078300
583.40	0.078130
583.60	0.077430
583.80	0.077090
584.00	0.076730
584.20	0.076910
584.40	0.077260
584.60	0.078110
584.80	0.078110
585.00	0.078130
585.20	0.077770
585.40	0.077250
585.60	0.076740
585.80	0.076040
586.00	0.075530
586.20	0.075340
586.40	0.075700
586.60	0.075700
586.80	0.075000
587.00	0.075000
587.20	0.074830
587.40	0.074660
587.60	0.074480
587.80	0.073970
588.00	0.073280
588.20	0.072760
588.40	0.073270
588.60	0.073450
588.80	0.073280
589.00	0.072930
589.20	0.072230
589.40	0.071720
589.60	0.071190
589.80	0.071020
590.00	0.071020
590.20	0.070850
590.40	0.070330
590.60	0.069970
590.80	0.069990
591.00	0.069800
591.20	0.069290
591.40	0.068940
591.60	0.068590
591.80	0.068080
592.00	0.067730
592.20	0.067730
592.40	0.067740
592.60	0.067730
592.80	0.067390
593.00	0.066860
593.20	0.066520
593.40	0.066690
593.60	0.066690
593.80	0.066880
594.00	0.066510
594.20	0.066170
594.40	0.066000
594.60	0.066170
594.80	0.066340
595.00	0.066170
595.20	0.066170
595.40	0.066170
595.60	0.066340
595.80	0.066340
596.00	0.066170
596.20	0.066170
596.40	0.067050
596.60	0.067390
596.80	0.067730
597.00	0.067560
597.20	0.067730
597.40	0.067900
597.60	0.068420
597.80	0.068940
598.00	0.069630
598.20	0.069990
598.40	0.070500
598.60	0.071020
598.80	0.071890
599.00	0.073100
599.20	0.074140
599.40	0.074830
599.60	0.075700
599.80	0.076570
600.00	0.077960
600.20	0.079170
600.40	0.080200
600.60	0.081070
600.80	0.082110
601.00	0.083500
601.20	0.085050
601.40	0.087130
601.60	0.089030
601.80	0.090250
602.00	0.091800
602.20	0.093710
602.40	0.095790
602.60	0.097870
602.80	0.10030
603.00	0.10237
603.20	0.10463
603.40	0.10654
603.60	0.10896
603.80	0.11138
604.00	0.11433
604.20	0.11710
604.40	0.12021
604.60	0.12299
604.80	0.12593
605.00	0.12853
605.20	0.13199
605.40	0.13528
605.60	0.13875
605.80	0.14222
606.00	0.14585
606.20	0.14914
606.40	0.15208
606.60	0.15556
606.80	0.15937
607.00	0.16265
607.20	0.16613
607.40	0.16959
607.60	0.17322
607.80	0.17686
608.00	0.18050
608.20	0.18414
608.40	0.18812
608.60	0.19176
608.80	0.19539
609.00	0.19867
609.20	0.20164
609.40	0.20458
609.60	0.20787
609.80	0.21099
610.00	0.21427
610.20	0.21739
610.40	0.22016
610.60	0.22293
610.80	0.22536
611.00	0.22744
611.20	0.22935
611.40	0.23160
611.60	0.23368
611.80	0.23576
612.00	0.23714
612.20	0.23835
612.40	0.23921
612.60	0.23992
612.80	0.24112
613.00	0.24216
613.20	0.24268
613.40	0.24286
613.60	0.24304
613.80	0.24320
614.00	0.24303
614.20	0.24286
614.40	0.24250
614.60	0.24216
614.80	0.24130
615.00	0.24060
615.20	0.23938
615.40	0.23835
615.60	0.23696
615.80	0.23540
616.00	0.23350
616.20	0.23160
616.40	0.23004
616.60	0.22864
616.80	0.22675
617.00	0.22501
617.20	0.22259
617.40	0.21999
617.60	0.21756
617.80	0.21479
618.00	0.21290
618.20	0.21012
618.40	0.20718
618.60	0.20388
618.80	0.20041
619.00	0.19713
619.20	0.19453
619.40	0.19193
619.60	0.18933
619.80	0.18674
620.00	0.18361
620.20	0.18067
620.40	0.17772
620.60	0.17530
620.80	0.17219
621.00	0.16872
621.20	0.16525
621.40	0.16248
621.60	0.15988
621.80	0.15676
622.00	0.15296
622.20	0.14950
622.40	0.14637
622.60	0.14360
622.80	0.14083
623.00	0.13841
623.20	0.13564
623.40	0.13251
623.60	0.12940
623.80	0.12628
624.00	0.12350
624.20	0.12091
624.40	0.11849
624.60	0.11606
624.80	0.11311
625.00	0.11034
625.20	0.10739
625.40	0.10480
625.60	0.10307
625.80	0.10099
626.00	0.098910
626.20	0.096480
626.40	0.094050
626.60	0.091630
626.80	0.089560
627.00	0.087310
627.20	0.085230
627.40	0.082970
627.60	0.080900
627.80	0.079340
628.00	0.077250
628.20	0.075360
628.40	0.073100
628.60	0.071370
628.80	0.069630
629.00	0.068420
629.20	0.067030
629.40	0.065140
629.60	0.063230
629.80	0.061490
630.00	0.059760
630.20	0.058030
630.40	0.056650
630.60	0.055090
630.80	0.054050
631.00	0.052830
631.20	0.051630
631.40	0.050230
631.60	0.049020
631.80	0.047800
632.00	0.046420
632.20	0.045220
632.40	0.043820
632.60	0.042790
632.80	0.041570
633.00	0.040370
633.20	0.039150
633.40	0.038120
633.60	0.037240
633.80	0.036380
634.00	0.035680
634.20	0.035000
634.40	0.034120
634.60	0.032740
634.80	0.031520
635.00	0.030480
635.20	0.029620
635.40	0.029280
635.60	0.028760
635.80	0.027540
636.00	0.026160
636.20	0.025290
636.40	0.024770
636.60	0.024260
636.80	0.024080
637.00	0.023740
637.20	0.023040
637.40	0.022510
637.60	0.022000
637.80	0.021480
638.00	0.021130
638.20	0.020620
638.40	0.019920
638.60	0.019580
638.80	0.019060
639.00	0.018540
639.20	0.017850
639.40	0.017660
639.60	0.017680
639.80	0.017320
640.00	0.016630
640.20	0.016120
640.40	0.015250
640.60	0.014550
640.80	0.014370
641.00	0.014200
641.20	0.013690
641.40	0.013340
641.60	0.012480
641.80	0.012310
642.00	0.012140
642.20	0.011600
642.40	0.011440
642.60	0.011260
642.80	0.011260
643.00	0.011080
643.20	0.010740
643.40	0.010400
643.60	0.010220
643.80	0.0098800
644.00	0.0097100
644.20	0.0093500
644.40	0.0091700
644.60	0.0088300
644.80	0.0084800
645.00	0.0081400
645.20	0.0081400
645.40	0.0083100
645.60	0.0081400
645.80	0.0078000
646.00	0.0076300
646.20	0.0072800
646.40	0.0069200
646.60	0.0069200
646.80	0.0067500
647.00	0.0067500
647.20	0.0071100
647.40	0.0071100
647.60	0.0071100
647.80	0.0064000
648.00	0.0058900
648.20	0.0057200
648.40	0.0058900
648.60	0.0058900
648.80	0.0058800
649.00	0.0057100
649.20	0.0050300
649.40	0.0045100
649.60	0.0043300
649.80	0.0041700
650.00	0.0039800
650.20	0.0038100
650.40	0.0039800
650.60	0.0043400
650.80	0.0043300
651.00	0.0043400
651.20	0.0041500
651.40	0.0041500
651.60	0.0041500
651.80	0.0041500
652.00	0.0039800
652.20	0.0039800
652.40	0.0041500
652.60	0.0039800
652.80	0.0038000
653.00	0.0039800
653.20	0.0041700
653.40	0.0038100
653.60	0.0036400
653.80	0.0031200
654.00	0.0026000
654.20	0.0020900
654.40	0.0020800
654.60	0.0026000
654.80	0.0031200
655.00	0.0034600
655.20	0.0038100
655.40	0.0041700
655.60	0.0039800
655.80	0.0032900
656.00	0.0027700
656.20	0.0024200
656.40	0.0027700
656.60	0.0027800
656.80	0.0026000
657.00	0.0022500
657.20	0.0020800
657.40	0.0017400
657.60	0.0017400
