Wavelength (nm)	307 ZnC-T5MePy15 (SE369).DMF ems
628.80	0.35124
629.00	0.35472
629.20	0.35206
629.40	0.34760
629.60	0.33287
629.80	0.34257
630.00	0.32205
630.20	0.31439
630.40	0.31341
630.60	0.30642
630.80	0.30557
631.00	0.29623
631.20	0.29985
631.40	0.28398
631.60	0.29258
631.80	0.28327
632.00	0.28708
632.20	0.27318
632.40	0.26568
632.60	0.27364
632.80	0.26927
633.00	0.26871
633.20	0.25585
633.40	0.25716
633.60	0.24639
633.80	0.24759
634.00	0.24058
634.20	0.24751
634.40	0.23694
634.60	0.24924
634.80	0.24007
635.00	0.23702
635.20	0.22800
635.40	0.22894
635.60	0.22210
635.80	0.23000
636.00	0.21512
636.20	0.21275
636.40	0.20301
636.60	0.21747
636.80	0.21624
637.00	0.21370
637.20	0.21252
637.40	0.20933
637.60	0.20570
637.80	0.19577
638.00	0.19915
638.20	0.19379
638.40	0.19043
638.60	0.20196
638.80	0.19993
639.00	0.18994
639.20	0.19832
639.40	0.20040
639.60	0.20355
639.80	0.19021
640.00	0.19574
640.20	0.19523
640.40	0.19786
640.60	0.18810
640.80	0.19549
641.00	0.18950
641.20	0.18936
641.40	0.19297
641.60	0.19164
641.80	0.18308
642.00	0.18243
642.20	0.17536
642.40	0.17684
642.60	0.17859
642.80	0.19054
643.00	0.18636
643.20	0.18393
643.40	0.17613
643.60	0.18937
643.80	0.18283
644.00	0.18549
644.20	0.17319
644.40	0.18058
644.60	0.17605
644.80	0.18706
645.00	0.17518
645.20	0.18503
645.40	0.18498
645.60	0.18717
645.80	0.18677
646.00	0.17737
646.20	0.18613
646.40	0.18242
646.60	0.18650
646.80	0.18369
647.00	0.18579
647.20	0.18486
647.40	0.19258
647.60	0.18528
647.80	0.18354
648.00	0.17901
648.20	0.17493
648.40	0.17552
648.60	0.18284
648.80	0.18240
649.00	0.17312
649.20	0.18601
649.40	0.17139
649.60	0.19420
649.80	0.18099
650.00	0.18271
650.20	0.17885
650.40	0.18446
650.60	0.17892
650.80	0.18691
651.00	0.19114
651.20	0.17977
651.40	0.19024
651.60	0.17298
651.80	0.18580
652.00	0.19299
652.20	0.18457
652.40	0.19130
652.60	0.19281
652.80	0.19495
653.00	0.19653
653.20	0.18490
653.40	0.18720
653.60	0.19599
653.80	0.18733
654.00	0.18892
654.20	0.18789
654.40	0.19656
654.60	0.18502
654.80	0.19004
655.00	0.19010
655.20	0.19010
655.40	0.19064
655.60	0.18341
655.80	0.19742
656.00	0.18739
656.20	0.19078
656.40	0.19463
656.60	0.18789
656.80	0.20529
657.00	0.19335
657.20	0.19471
657.40	0.18929
657.60	0.18776
657.80	0.20204
658.00	0.19502
658.20	0.19696
658.40	0.20069
658.60	0.19967
658.80	0.19653
659.00	0.20174
659.20	0.19853
659.40	0.20837
659.60	0.20073
659.80	0.20123
660.00	0.20829
660.20	0.19696
660.40	0.19962
660.60	0.20002
660.80	0.20464
661.00	0.21123
661.20	0.19423
661.40	0.18866
661.60	0.19624
661.80	0.20931
662.00	0.20610
662.20	0.20604
662.40	0.19204
662.60	0.19930
662.80	0.20546
663.00	0.21052
663.20	0.20280
663.40	0.20486
663.60	0.19696
663.80	0.19983
664.00	0.20585
664.20	0.19643
664.40	0.21581
664.60	0.20873
664.80	0.20121
665.00	0.21123
665.20	0.19384
665.40	0.20388
665.60	0.21322
665.80	0.21063
666.00	0.20446
666.20	0.21556
666.40	0.21495
666.60	0.20496
666.80	0.20259
667.00	0.19709
667.20	0.20122
667.40	0.19959
667.60	0.20700
667.80	0.19903
668.00	0.19597
668.20	0.20734
668.40	0.19145
668.60	0.20117
668.80	0.21042
669.00	0.21428
669.20	0.21518
669.40	0.19779
669.60	0.20462
669.80	0.19854
670.00	0.21117
670.20	0.20491
670.40	0.20470
670.60	0.20722
670.80	0.20025
671.00	0.20543
671.20	0.20992
671.40	0.20254
671.60	0.20122
671.80	0.20565
672.00	0.19966
672.20	0.19621
672.40	0.20460
672.60	0.19754
672.80	0.20715
673.00	0.18900
673.20	0.18799
673.40	0.18237
673.60	0.19574
673.80	0.19287
674.00	0.19885
674.20	0.19328
674.40	0.18499
674.60	0.17824
674.80	0.19650
675.00	0.18838
675.20	0.18116
675.40	0.18534
675.60	0.19218
675.80	0.17716
676.00	0.19682
676.20	0.17846
676.40	0.18932
676.60	0.18674
676.80	0.18067
677.00	0.17497
677.20	0.18646
677.40	0.17934
677.60	0.16932
677.80	0.17248
678.00	0.16840
678.20	0.17304
678.40	0.17708
678.60	0.16992
678.80	0.16194
679.00	0.16369
679.20	0.16766
679.40	0.15573
679.60	0.17516
679.80	0.15812
680.00	0.16433
680.20	0.15516
680.40	0.15906
680.60	0.15890
680.80	0.15671
681.00	0.15363
681.20	0.14333
681.40	0.13978
681.60	0.15183
681.80	0.15390
682.00	0.15060
682.20	0.15277
682.40	0.14180
682.60	0.14584
682.80	0.14214
683.00	0.14686
683.20	0.12845
683.40	0.13749
683.60	0.13548
683.80	0.13479
684.00	0.12220
684.20	0.13433
684.40	0.12908
684.60	0.12710
684.80	0.12256
685.00	0.12361
685.20	0.11653
685.40	0.12751
685.60	0.11389
685.80	0.11977
686.00	0.11724
686.20	0.11746
686.40	0.12305
686.60	0.11973
686.80	0.11995
687.00	0.11641
687.20	0.10383
687.40	0.10656
687.60	0.11247
687.80	0.10701
688.00	0.10498
688.20	0.099650
688.40	0.097220
688.60	0.094870
688.80	0.10200
689.00	0.096960
689.20	0.094310
689.40	0.098690
689.60	0.094500
689.80	0.093730
690.00	0.094770
690.20	0.095890
690.40	0.085570
690.60	0.088040
690.80	0.090880
691.00	0.087750
691.20	0.084520
691.40	0.081830
691.60	0.086170
691.80	0.087000
692.00	0.075980
692.20	0.082590
692.40	0.078910
692.60	0.081880
692.80	0.078290
693.00	0.079660
693.20	0.081060
693.40	0.078180
693.60	0.079480
693.80	0.088870
694.00	0.079880
694.20	0.064950
694.40	0.079720
694.60	0.071340
694.80	0.078690
695.00	0.080090
695.20	0.068390
695.40	0.065340
695.60	0.069170
695.80	0.070690
696.00	0.072310
696.20	0.061110
696.40	0.075480
696.60	0.066690
696.80	0.071170
697.00	0.065190
697.20	0.072770
697.40	0.071540
697.60	0.063420
697.80	0.056260
698.00	0.067790
698.20	0.063020
698.40	0.061240
698.60	0.067010
698.80	0.057650
699.00	0.058170
699.20	0.060730
699.40	0.064010
699.60	0.058830
699.80	0.052910
700.00	0.060400
700.20	0.062800
700.40	0.056850
700.60	0.054900
700.80	0.056780
701.00	0.057940
701.20	0.060150
701.40	0.056930
701.60	0.057570
701.80	0.060840
702.00	0.052550
702.20	0.052650
702.40	0.057950
702.60	0.056260
702.80	0.054470
703.00	0.047320
703.20	0.054900
703.40	0.053080
703.60	0.053620
703.80	0.048990
704.00	0.052650
704.20	0.056760
704.40	0.054810
704.60	0.048070
704.80	0.048490
705.00	0.051100
705.20	0.042540
705.40	0.048550
705.60	0.058440
705.80	0.048510
706.00	0.047280
706.20	0.046700
706.40	0.054790
706.60	0.051330
706.80	0.053330
707.00	0.051530
707.20	0.046240
707.40	0.051840
707.60	0.051370
707.80	0.049550
708.00	0.049070
708.20	0.052230
708.40	0.051190
708.60	0.046040
708.80	0.038460
709.00	0.046320
709.20	0.057890
709.40	0.045680
709.60	0.047610
709.80	0.046420
710.00	0.043960
710.20	0.051940
710.40	0.039580
710.60	0.041870
710.80	0.042410
711.00	0.039200
711.20	0.042570
711.40	0.043120
711.60	0.047090
711.80	0.041500
712.00	0.041450
712.20	0.041880
712.40	0.039690
712.60	0.041080
712.80	0.042590
713.00	0.041580
713.20	0.042260
713.40	0.046560
713.60	0.040110
713.80	0.038480
714.00	0.040130
714.20	0.044580
714.40	0.038800
714.60	0.050740
714.80	0.042370
715.00	0.046130
715.20	0.044740
715.40	0.040130
715.60	0.046260
715.80	0.041260
716.00	0.038840
716.20	0.046390
716.40	0.039980
716.60	0.042300
716.80	0.038610
717.00	0.040180
717.20	0.035960
717.40	0.039310
717.60	0.038740
717.80	0.042360
718.00	0.041030
718.20	0.036260
718.40	0.038230
718.60	0.041750
718.80	0.039900
719.00	0.043570
719.20	0.041710
719.40	0.034930
719.60	0.042240
719.80	0.042440
720.00	0.033930
720.20	0.039330
720.40	0.034440
720.60	0.038040
720.80	0.040350
721.00	0.042800
721.20	0.037070
721.40	0.035810
721.60	0.034680
721.80	0.037670
722.00	0.040280
722.20	0.033000
722.40	0.039220
722.60	0.038090
722.80	0.038160
723.00	0.041060
723.20	0.038430
723.40	0.033340
723.60	0.041430
723.80	0.042330
724.00	0.039530
724.20	0.041390
724.40	0.031160
724.60	0.039200
724.80	0.035960
725.00	0.038790
725.20	0.044400
725.40	0.034050
725.60	0.034380
725.80	0.035830
726.00	0.030290
726.20	0.042680
726.40	0.034040
726.60	0.033380
726.80	0.037390
727.00	0.040280
727.20	0.037080
727.40	0.032450
727.60	0.036780
727.80	0.036410
728.00	0.040760
728.20	0.038530
728.40	0.036720
728.60	0.038080
728.80	0.031640
729.00	0.032840
729.20	0.030430
729.40	0.034830
729.60	0.038380
729.80	0.024720
730.00	0.034990
730.20	0.033880
730.40	0.027620
730.60	0.035900
730.80	0.029910
731.00	0.037060
731.20	0.023780
731.40	0.029010
731.60	0.032630
731.80	0.036270
732.00	0.033790
732.20	0.035340
732.40	0.031490
732.60	0.027770
732.80	0.033250
733.00	0.027850
733.20	0.021370
733.40	0.036150
733.60	0.029350
733.80	0.030620
734.00	0.029280
734.20	0.033320
734.40	0.030290
734.60	0.031880
734.80	0.026520
735.00	0.029040
735.20	0.034810
735.40	0.034080
735.60	0.021520
735.80	0.031990
736.00	0.039220
736.20	0.034110
736.40	0.029920
736.60	0.031370
736.80	0.032040
737.00	0.027980
737.20	0.028170
737.40	0.024720
737.60	0.039510
737.80	0.024620
738.00	0.029580
738.20	0.026750
738.40	0.032530
738.60	0.026330
738.80	0.028610
739.00	0.025420
739.20	0.031730
739.40	0.027090
739.60	0.030680
739.80	0.038170
740.00	0.029780
740.20	0.025770
740.40	0.034130
740.60	0.029280
740.80	0.017040
741.00	0.029220
741.20	0.032400
741.40	0.028000
741.60	0.029700
741.80	0.032740
742.00	0.032300
742.20	0.029510
742.40	0.034580
742.60	0.028780
742.80	0.025960
743.00	0.028030
743.20	0.024690
743.40	0.027780
743.60	0.025780
743.80	0.020210
744.00	0.019210
744.20	0.022310
744.40	0.026630
744.60	0.033030
744.80	0.020850
745.00	0.017940
745.20	0.026440
745.40	0.035150
745.60	0.022690
745.80	0.026030
746.00	0.030780
746.20	0.027150
746.40	0.025780
746.60	0.024760
746.80	0.021270
747.00	0.023060
747.20	0.030520
747.40	0.024180
747.60	0.021540
747.80	0.024950
748.00	0.019630
748.20	0.019650
748.40	0.030430
748.60	0.026520
748.80	0.020430
749.00	0.019190
749.20	0.027350
749.40	0.016880
749.60	0.014350
749.80	0.026910
750.00	0.023850
750.20	0.023330
750.40	0.025190
750.60	0.023390
750.80	0.022310
751.00	0.024920
751.20	0.022920
751.40	0.025530
751.60	0.026120
751.80	0.022250
752.00	0.026000
752.20	0.018010
752.40	0.015970
752.60	0.025170
752.80	0.026700
753.00	0.026550
753.20	0.023940
753.40	0.016220
753.60	0.020780
753.80	0.024600
754.00	0.025390
754.20	0.017990
754.40	0.019340
754.60	0.019360
754.80	0.016700
755.00	0.019980
755.20	0.022880
755.40	0.023880
755.60	0.019460
755.80	0.020650
756.00	0.015240
756.20	0.016800
756.40	0.025600
756.60	0.021720
756.80	0.019200
757.00	0.019810
757.20	0.019240
757.40	0.018080
757.60	0.012960
757.80	0.024460
758.00	0.022500
758.20	0.023730
758.40	0.021960
758.60	0.028990
758.80	0.015200
759.00	0.021040
759.20	0.018440
759.40	0.021490
759.60	0.016260
759.80	0.022760
760.00	0.021560
760.20	0.013650
760.40	0.013660
760.60	0.025700
760.80	0.023890
761.00	0.015720
761.20	0.017990
761.40	0.014300
761.60	0.016370
761.80	0.020910
762.00	0.024230
762.20	0.0079200
762.40	0.015580
762.60	0.029070
762.80	0.019750
763.00	0.013320
763.20	0.013330
763.40	0.017710
763.60	0.017310
763.80	0.019410
764.00	0.019850
764.20	0.010200
764.40	0.029980
764.60	0.012520
764.80	0.021810
765.00	0.019500
765.20	0.0083000
765.40	0.016360
765.60	0.021890
765.80	0.023610
766.00	0.019800
766.20	0.017890
766.40	0.010420
766.60	0.024560
766.80	0.010850
767.00	0.019880
767.20	0.019250
767.40	0.017330
767.60	0.014960
767.80	0.019300
768.00	0.019320
768.20	0.010640
768.40	0.015000
768.60	0.016750
768.80	0.018940
769.00	0.012400
769.20	0.013720
769.40	0.020300
769.60	0.017900
769.80	0.022100
770.00	0.013740
770.20	0.010650
770.40	0.021940
770.60	0.015090
770.80	0.014210
771.00	0.022220
771.20	0.018680
771.40	0.011110
771.60	0.015580
771.80	0.027450
772.00	0.013130
772.20	0.018750
772.40	0.018760
772.60	0.017420
772.80	0.019020
773.00	0.010900
773.20	0.020860
773.40	0.014300
773.60	0.0020400
773.80	0.021820
774.00	0.014090
774.20	0.015700
774.40	0.018220
774.60	0.020980
774.80	0.012740
775.00	0.018030
775.20	0.024940
775.40	0.014370
775.60	0.011140
775.80	0.016460
776.00	0.013230
776.20	0.021810
776.40	0.019970
776.60	0.016960
776.80	0.013950
777.00	0.011620
777.20	0.025630
777.40	0.022850
777.60	0.0060100
777.80	0.011630
778.00	0.015390
778.20	0.012110
778.40	0.011400
778.60	0.013760
778.80	0.011410
779.00	0.025370
779.20	0.025390
779.40	0.0095200
779.60	0.0052400
779.80	0.0000
780.00	0.011420
780.20	0.012380
780.40	0.017640
780.60	0.013820
780.80	0.028690
781.00	0.0061500
781.20	0.018650
781.40	0.015290
781.60	0.013850
781.80	0.025450
782.00	0.028130
782.20	0.016050
782.40	0.011690
782.60	0.022870
782.80	0.013640
783.00	0.013400
783.20	0.020480
783.40	0.022700
783.60	0.015380
783.80	0.023960
784.00	0.011460
784.20	0.020070
784.40	0.0099900
784.60	0.0067900
784.80	0.015670
785.00	0.0080100
785.20	0.014690
785.40	0.019160
785.60	0.017440
785.80	0.011230
786.00	0.015220
786.20	0.012730
786.40	0.013730
786.60	0.023730
786.80	0.0047400
787.00	0.011490
787.20	0.011750
787.40	0.014510
787.60	0.012250
787.80	0.0094900
788.00	0.015780
788.20	0.015030
788.40	0.023880
788.60	0.0092300
788.80	0.019860
789.00	0.0092300
789.20	0.017100
789.40	0.015330
789.60	0.011770
789.80	0.024250
790.00	0.018150
790.20	0.0094800
790.40	0.0061600
790.60	2.5045e-05
790.80	0.015110
791.00	0.0053800
791.20	0.017420
791.40	0.0069100
791.60	0.011020
791.80	0.0028000
792.00	0.011530
792.20	0.012560
792.40	0.0092200
792.60	0.0071600
792.80	0.022370
793.00	0.015150
793.20	0.0068900
793.40	0.0068900
793.60	0.018270
793.80	0.0071400
794.00	0.0076600
794.20	0.012070
794.40	0.017780
794.60	0.014150
794.80	0.0089500
795.00	0.014410
795.20	0.011030
795.40	0.020420
795.60	0.0029400
795.80	0.018090
796.00	0.013390
796.20	0.013660
796.40	0.017330
796.60	0.0044800
796.80	0.0086800
797.00	0.014200
797.20	0.0097300
797.40	0.021070
797.60	0.0084100
797.80	0.0084100
798.00	0.0039000
798.20	0.0012500
798.40	0.020600
798.60	0.0086600
798.80	0.015840
799.00	0.018240
799.20	0.017190
799.40	0.0041200
799.60	0.016130
799.80	0.0041100
800.00	0.0016900
