Wavelength (nm)	L214 H2C-T5M10A15 (SE247).ems
751.80	0.019140
752.00	0.020610
752.20	0.020490
752.40	0.022030
752.60	0.020580
752.80	0.020730
753.00	0.020450
753.20	0.017420
753.40	0.019720
753.60	0.015980
753.80	0.018400
754.00	0.020120
754.20	0.015540
754.40	0.019160
754.60	0.018710
754.80	0.018860
755.00	0.017090
755.20	0.018560
755.40	0.017330
755.60	0.014890
755.80	0.018020
756.00	0.016230
756.20	0.017550
756.40	0.016030
756.60	0.018020
756.80	0.014930
757.00	0.015630
757.20	0.016170
757.40	0.015200
757.60	0.015740
757.80	0.013170
758.00	0.015980
758.20	0.013060
758.40	0.015140
758.60	0.014430
758.80	0.014580
759.00	0.015130
759.20	0.017920
759.40	0.017320
759.60	0.015800
759.80	0.015950
760.00	0.013790
760.20	0.010910
760.40	0.014010
760.60	0.012170
760.80	0.013590
761.00	0.010160
761.20	0.012750
761.40	0.013070
761.60	0.016490
761.80	0.013460
762.00	0.011720
762.20	0.013030
762.40	0.013820
762.60	0.012130
762.80	0.014930
763.00	0.012230
763.20	0.0096900
763.40	0.013870
763.60	0.010200
763.80	0.012900
764.00	0.011430
764.20	0.015400
764.40	0.010920
764.60	0.011540
764.80	0.0093300
765.00	0.011700
765.20	0.011540
765.40	0.012890
765.60	0.013460
765.80	0.010930
766.00	0.0093100
766.20	0.011270
766.40	0.011540
766.60	0.012720
766.80	0.0096200
767.00	0.010430
767.20	0.010080
767.40	0.0096000
767.60	0.013810
767.80	0.011120
768.00	0.012190
768.20	0.0095400
768.40	0.0095600
768.60	0.010450
768.80	0.0087800
769.00	0.0094200
769.20	0.0081200
769.40	0.012330
769.60	0.012410
769.80	0.0063400
770.00	0.011950
770.20	0.011280
770.40	0.0085800
770.60	0.0082800
770.80	0.0096200
771.00	0.0088200
771.20	0.011940
771.40	0.0092900
771.60	0.0076500
771.80	0.0075300
772.00	0.0091400
772.20	0.0057000
772.40	0.0079600
772.60	0.0064900
772.80	0.0085600
773.00	0.0081900
773.20	0.0087200
773.40	0.0086000
773.60	0.0073900
773.80	0.010190
774.00	0.0079900
774.20	0.0085900
774.40	0.0084800
774.60	0.0068600
774.80	0.0092900
775.00	0.011730
775.20	0.0087900
775.40	0.0076900
775.60	0.0075000
775.80	0.0071200
776.00	0.0073900
776.20	0.0084000
776.40	0.0093300
776.60	0.0089500
776.80	0.0083000
777.00	0.0099700
777.20	0.0063300
777.40	0.0067400
777.60	0.0060800
777.80	0.0098300
778.00	0.0094500
778.20	0.0069100
778.40	0.0077900
778.60	0.0075400
778.80	0.0067400
779.00	0.0060100
779.20	0.0058800
779.40	0.0089300
779.60	0.0071800
779.80	0.0070600
780.00	0.0087000
780.20	0.0064000
780.40	0.0077700
780.60	0.0094900
780.80	0.0056800
781.00	0.0082900
781.20	0.0059700
781.40	0.010030
781.60	0.0060500
781.80	0.0057900
782.00	0.0074500
782.20	0.0078100
782.40	0.0045000
782.60	0.0089400
782.80	0.0076300
783.00	0.0051400
783.20	0.0067500
783.40	0.0048100
783.60	0.0075400
783.80	0.0043400
784.00	0.0042700
784.20	0.0073600
784.40	0.0074400
784.60	0.0064700
784.80	0.0063400
785.00	0.0057100
785.20	0.0072700
785.40	0.0068600
785.60	0.0064400
785.80	0.0061700
786.00	0.0063200
786.20	0.0059700
786.40	0.0069700
786.60	0.0086200
786.80	0.0056300
787.00	0.0072800
787.20	0.0052900
787.40	0.0046500
787.60	0.0064500
787.80	0.0065300
788.00	0.0073300
788.20	0.0074800
788.40	0.0085000
788.60	0.0060600
788.80	0.0049100
789.00	0.0026700
789.20	0.0042000
789.40	0.0047100
789.60	0.0045000
789.80	0.0058800
790.00	0.0052400
790.20	0.0059000
790.40	0.0043700
790.60	0.0062000
790.80	0.0045200
791.00	0.0053300
791.20	0.0050400
791.40	0.0048300
791.60	0.0043900
791.80	0.0052000
792.00	0.0033000
792.20	0.0045500
792.40	0.0044800
792.60	0.0030900
792.80	0.0064700
793.00	0.0031700
793.20	0.0061100
793.40	0.0060500
793.60	0.0042800
793.80	0.0062800
794.00	0.0053200
794.20	0.0050300
794.40	0.0033300
794.60	0.0060700
794.80	0.0069700
795.00	0.0077900
795.20	0.0034900
795.40	0.0047600
795.60	0.0043200
795.80	0.0029100
796.00	0.0049300
796.20	0.0042600
796.40	0.0056100
796.60	0.0044900
796.80	0.0034500
797.00	0.0043500
797.20	0.0031600
797.40	0.0051200
797.60	0.0039200
797.80	0.0068600
798.00	0.0045300
798.20	0.0033300
798.40	0.0068100
798.60	0.0042400
798.80	0.0039400
799.00	0.0052400
799.20	0.0077500
799.40	0.0038800
799.60	0.0035800
799.80	0.0069400
800.00	0.0055700
