Wavelength (nm)	229 FbC-Br7T10
590.00	0.020868
591.00	0.018617
592.00	0.016255
593.00	0.013793
594.00	0.013334
595.00	0.012132
596.00	0.011402
597.00	0.010819
598.00	0.0096103
599.00	0.0090218
600.00	0.0087396
601.00	0.0085667
602.00	0.0084399
603.00	0.0079794
604.00	0.0084689
605.00	0.0088543
606.00	0.0086660
607.00	0.0088141
608.00	0.0084475
609.00	0.0084001
610.00	0.0076425
611.00	0.0075831
612.00	0.0078251
613.00	0.0082369
614.00	0.0092198
615.00	0.010618
616.00	0.012279
617.00	0.014982
618.00	0.017630
619.00	0.020824
620.00	0.023935
621.00	0.027523
622.00	0.030595
623.00	0.033296
624.00	0.036275
625.00	0.039742
626.00	0.044720
627.00	0.052631
628.00	0.065807
629.00	0.085456
630.00	0.11242
631.00	0.14510
632.00	0.18257
633.00	0.21818
634.00	0.24602
635.00	0.25822
636.00	0.25236
637.00	0.23114
638.00	0.19919
639.00	0.16433
640.00	0.12975
641.00	0.10008
642.00	0.076010
643.00	0.057534
644.00	0.043720
645.00	0.034127
646.00	0.027103
647.00	0.021829
648.00	0.018194
649.00	0.015070
650.00	0.012839
651.00	0.010662
652.00	0.0088039
653.00	0.0073506
654.00	0.0061193
655.00	0.0037885
656.00	0.0029629
657.00	0.0027372
658.00	0.0025121
659.00	0.0023143
660.00	0.0020279
661.00	0.0016715
662.00	0.0013987
663.00	0.0013283
664.00	0.0011579
665.00	0.0010900
666.00	0.0010102
667.00	0.00092439
668.00	0.00082919
669.00	0.00083556
670.00	0.00079499
671.00	0.00068442
672.00	0.00047057
673.00	0.00057682
674.00	0.00081366
675.00	0.00076711
676.00	0.00064203
677.00	0.00073121
678.00	0.00048236
679.00	0.00050410
680.00	0.00039694
681.00	0.00053050
682.00	0.00049676
683.00	0.00055520
684.00	0.00043610
685.00	0.00034175
686.00	0.00034898
687.00	0.00043900
688.00	0.00039928
689.00	0.00049699
690.00	0.00041972
691.00	0.00030147
692.00	0.00039149
693.00	0.00043201
694.00	0.00051606
695.00	0.00054548
696.00	0.00066795
697.00	0.00041654
698.00	0.00048693
699.00	0.00060854
700.00	0.00063796
