Wavelength (nm)	368 H2C15-PEG6 (SE502).ems
645.50	0.57639
646.00	0.60284
646.50	0.64968
647.00	0.68650
647.50	0.72678
648.00	0.75802
648.50	0.79196
649.00	0.82771
649.50	0.86638
650.00	0.88461
650.50	0.90873
651.00	0.93538
651.50	0.95226
652.00	0.97348
652.50	0.98167
653.00	0.99182
653.50	1.0000
654.00	0.99587
654.50	0.99004
655.00	0.97759
655.50	0.96706
656.00	0.94861
656.50	0.92609
657.00	0.90581
657.50	0.87571
658.00	0.84931
658.50	0.82118
659.00	0.79251
659.50	0.76812
660.00	0.73194
660.50	0.70782
661.00	0.67954
661.50	0.65018
662.00	0.61715
662.50	0.58803
663.00	0.56430
663.50	0.53677
664.00	0.51086
664.50	0.48425
665.00	0.47127
665.50	0.44707
666.00	0.41565
666.50	0.39831
667.00	0.38485
667.50	0.35957
668.00	0.34580
668.50	0.32590
669.00	0.30907
669.50	0.29445
670.00	0.28583
670.50	0.26401
671.00	0.26022
671.50	0.24810
672.00	0.23649
672.50	0.22842
673.00	0.21803
673.50	0.20778
674.00	0.20095
674.50	0.19107
675.00	0.18620
675.50	0.17888
676.00	0.17439
676.50	0.16946
677.00	0.16266
677.50	0.16057
678.00	0.15488
678.50	0.15125
679.00	0.15286
679.50	0.14403
680.00	0.14126
680.50	0.14146
681.00	0.13824
681.50	0.13725
682.00	0.13382
682.50	0.13081
683.00	0.12744
683.50	0.13025
684.00	0.12915
684.50	0.12406
685.00	0.12377
685.50	0.12114
686.00	0.12390
686.50	0.12245
687.00	0.12133
687.50	0.11880
688.00	0.11662
688.50	0.11862
689.00	0.11773
689.50	0.11926
690.00	0.11573
690.50	0.11562
691.00	0.11612
691.50	0.11316
692.00	0.11456
692.50	0.11536
693.00	0.11374
693.50	0.11045
694.00	0.11198
694.50	0.11210
695.00	0.10815
695.50	0.11093
696.00	0.11162
696.50	0.10768
697.00	0.10474
697.50	0.10764
698.00	0.10366
698.50	0.10610
699.00	0.10324
699.50	0.10199
700.00	0.10131
700.50	0.10064
701.00	0.10058
701.50	0.10062
702.00	0.10014
702.50	0.098550
703.00	0.096920
703.50	0.099470
704.00	0.098290
704.50	0.097540
705.00	0.095460
705.50	0.096450
706.00	0.097140
706.50	0.094660
707.00	0.095010
707.50	0.092660
708.00	0.095550
708.50	0.090770
709.00	0.090390
709.50	0.088770
710.00	0.088890
710.50	0.093610
711.00	0.088300
711.50	0.090610
712.00	0.091700
712.50	0.088280
713.00	0.088690
713.50	0.090080
714.00	0.086230
714.50	0.088170
715.00	0.087090
715.50	0.084090
716.00	0.083630
716.50	0.087550
717.00	0.084770
717.50	0.083770
718.00	0.080850
718.50	0.085190
719.00	0.081410
719.50	0.085270
720.00	0.083170
720.50	0.084390
721.00	0.080940
721.50	0.080870
722.00	0.081560
722.50	0.077790
723.00	0.077710
723.50	0.074770
724.00	0.076870
724.50	0.076570
725.00	0.075010
725.50	0.073980
726.00	0.068320
726.50	0.070280
727.00	0.072100
727.50	0.068430
728.00	0.063640
728.50	0.065490
729.00	0.061420
729.50	0.063780
730.00	0.060240
730.50	0.060070
731.00	0.055130
731.50	0.054210
732.00	0.054790
732.50	0.051470
733.00	0.051260
733.50	0.050000
734.00	0.049440
734.50	0.047760
735.00	0.046470
735.50	0.046320
736.00	0.042850
736.50	0.040840
737.00	0.041020
737.50	0.039630
738.00	0.039390
738.50	0.037780
739.00	0.035400
739.50	0.037180
740.00	0.035090
740.50	0.032820
741.00	0.031980
741.50	0.031600
742.00	0.031770
742.50	0.028850
743.00	0.030000
743.50	0.030060
744.00	0.027070
744.50	0.023900
745.00	0.026450
745.50	0.024480
746.00	0.025570
746.50	0.023220
747.00	0.023510
747.50	0.023020
748.00	0.021250
748.50	0.022160
749.00	0.020510
749.50	0.022800
750.00	0.022640
750.50	0.020210
751.00	0.020020
751.50	0.020590
752.00	0.019840
752.50	0.019940
753.00	0.017520
753.50	0.019820
754.00	0.017830
754.50	0.019130
755.00	0.017600
755.50	0.016250
756.00	0.018960
756.50	0.017240
757.00	0.015590
757.50	0.018220
758.00	0.016940
758.50	0.014170
759.00	0.015830
759.50	0.015490
760.00	0.014650
760.50	0.014660
761.00	0.017660
761.50	0.014680
762.00	0.013440
762.50	0.014400
763.00	0.014530
763.50	0.013900
764.00	0.013390
764.50	0.013430
765.00	0.015990
765.50	0.012260
766.00	0.014060
766.50	0.012450
767.00	0.010430
767.50	0.012950
768.00	0.012760
768.50	0.011020
769.00	0.010020
769.50	0.010130
770.00	0.011580
770.50	0.0093500
771.00	0.012050
771.50	0.011120
772.00	0.011010
772.50	0.012180
773.00	0.010500
773.50	0.0090800
774.00	0.0090400
774.50	0.0094300
775.00	0.011280
775.50	0.0098300
776.00	0.0091300
776.50	0.0090500
777.00	0.0095400
777.50	0.0093100
778.00	0.0078600
778.50	0.0092700
779.00	0.0078600
779.50	0.0084000
780.00	0.0079600
780.50	0.010830
781.00	0.0084300
781.50	0.0079200
782.00	0.010420
782.50	0.0075900
783.00	0.0080300
783.50	0.0073600
784.00	0.0066300
784.50	0.0076900
785.00	0.0087000
785.50	0.0088400
786.00	0.0076400
786.50	0.0067900
787.00	0.0060400
787.50	0.0075300
788.00	0.0076200
788.50	0.0074400
789.00	0.0087400
789.50	0.0070900
790.00	0.0077600
790.50	0.0062600
791.00	0.0094700
791.50	0.0062500
792.00	0.0070500
792.50	0.0061200
793.00	0.0064300
793.50	0.0060900
794.00	0.0048700
794.50	0.0044000
795.00	0.0065600
795.50	0.0064300
796.00	0.0069200
796.50	0.0057300
797.00	0.0054800
797.50	0.0066600
798.00	0.0071100
798.50	0.0068100
799.00	0.0040700
799.50	0.0056700
800.00	0.0065300
