Wavelength (nm)	L275 FbC-Br13
498.00	0.086776
499.00	0.078162
500.00	0.070248
501.00	0.063105
502.00	0.055550
503.00	0.047671
504.00	0.042108
505.00	0.035557
506.00	0.030956
507.00	0.027386
508.00	0.024206
509.00	0.021704
510.00	0.019312
511.00	0.017231
512.00	0.016028
513.00	0.015399
514.00	0.014971
515.00	0.014709
516.00	0.014870
517.00	0.014479
518.00	0.012661
519.00	0.012080
520.00	0.012040
521.00	0.012427
522.00	0.011017
523.00	0.0095809
524.00	0.0091454
525.00	0.0082093
526.00	0.0074437
527.00	0.0072650
528.00	0.0076460
529.00	0.0076218
530.00	0.0076857
531.00	0.0085200
532.00	0.0071904
533.00	0.0081691
534.00	0.0085780
535.00	0.0095993
536.00	0.010634
537.00	0.011363
538.00	0.011585
539.00	0.011551
540.00	0.012684
541.00	0.013411
542.00	0.012584
543.00	0.012390
544.00	0.011865
545.00	0.010108
546.00	0.010160
547.00	0.010012
548.00	0.0097472
549.00	0.0094508
550.00	0.0089650
551.00	0.0075815
552.00	0.0069466
553.00	0.0064300
554.00	0.0059691
555.00	0.0066289
556.00	0.0064135
557.00	0.0072259
558.00	0.0073797
559.00	0.0064229
560.00	0.0061774
561.00	0.0060271
562.00	0.0064567
563.00	0.0066111
564.00	0.0066318
565.00	0.0066484
566.00	0.0060933
567.00	0.0063720
568.00	0.0063448
569.00	0.0065945
570.00	0.0068141
571.00	0.0071277
572.00	0.0073052
573.00	0.0077099
574.00	0.0080064
575.00	0.0087738
576.00	0.0098407
577.00	0.011370
578.00	0.012877
579.00	0.015030
580.00	0.017934
581.00	0.021028
582.00	0.023025
583.00	0.024696
584.00	0.026918
585.00	0.027896
586.00	0.029134
587.00	0.031005
588.00	0.032244
589.00	0.033365
590.00	0.034072
591.00	0.033833
592.00	0.031862
593.00	0.029821
594.00	0.027074
595.00	0.024181
596.00	0.021649
597.00	0.019740
598.00	0.018180
599.00	0.017753
600.00	0.017389
601.00	0.018016
602.00	0.018233
603.00	0.018957
604.00	0.019291
605.00	0.019260
606.00	0.019402
607.00	0.019906
608.00	0.020734
609.00	0.022618
610.00	0.024161
611.00	0.025927
612.00	0.026538
613.00	0.026375
614.00	0.025632
615.00	0.023572
616.00	0.021498
617.00	0.019886
618.00	0.018811
619.00	0.018168
620.00	0.018635
621.00	0.020444
622.00	0.023463
623.00	0.027386
624.00	0.032543
625.00	0.038205
626.00	0.044082
627.00	0.049917
628.00	0.056597
629.00	0.062487
630.00	0.069216
631.00	0.077801
632.00	0.088897
633.00	0.10796
634.00	0.13889
635.00	0.18465
636.00	0.24924
637.00	0.32271
638.00	0.39967
639.00	0.46479
640.00	0.50832
641.00	0.51673
642.00	0.49414
643.00	0.44457
644.00	0.38265
645.00	0.31598
646.00	0.25022
647.00	0.18958
648.00	0.13961
649.00	0.10307
650.00	0.078102
651.00	0.056943
652.00	0.040742
653.00	0.031079
654.00	0.023105
655.00	0.016167
656.00	0.012961
657.00	0.015252
658.00	0.012416
659.00	0.0072395
660.00	0.0046998
661.00	0.0051111
662.00	0.0047336
663.00	0.0046922
664.00	0.0036791
665.00	0.0027424
666.00	0.0012702
667.00	0.0013969
668.00	0.0019312
669.00	0.0028004
670.00	0.00071462
671.00	0.00092054
672.00	0.0012626
673.00	0.0019318
674.00	0.0015998
675.00	0.0011294
676.00	0.00066373
677.00	0.00086373
678.00	0.0015353
679.00	0.0015265
680.00	0.00061817
681.00	0.00060515
682.00	0.00055189
683.00	0.00036314
684.00	0.00030929
685.00	0.00077201
686.00	0.00040633
687.00	0.00063710
688.00	0.00017379
689.00	0.00023118
690.00	0.00052704
691.00	0.00087616
692.00	0.00064006
693.00	0.00052645
694.00	0.00016905
695.00	-0.00047947
696.00	0.00037734
697.00	8.6803e-05
698.00	0.00038444
699.00	0.00085486
700.00	0.0010779
