Wavelength (nm)	317 H2C-Br3
522.00	0.013922
523.00	0.011811
524.00	0.0099356
525.00	0.0082181
526.00	0.0070514
527.00	0.0060827
528.00	0.0056600
529.00	0.0055054
530.00	0.0056465
531.00	0.0059878
532.00	0.0063575
533.00	0.0068652
534.00	0.0071089
535.00	0.0074616
536.00	0.0082213
537.00	0.0090772
538.00	0.0098063
539.00	0.010286
540.00	0.010399
541.00	0.010351
542.00	0.010045
543.00	0.0095439
544.00	0.0090267
545.00	0.0085095
546.00	0.0081627
547.00	0.0077650
548.00	0.0071169
549.00	0.0065851
550.00	0.0061333
551.00	0.0058778
552.00	0.0055455
553.00	0.0052819
554.00	0.0051289
555.00	0.0052296
556.00	0.0052301
557.00	0.0052177
558.00	0.0053014
559.00	0.0052793
560.00	0.0052524
561.00	0.0050082
562.00	0.0048520
563.00	0.0048291
564.00	0.0048684
565.00	0.0047832
566.00	0.0049736
567.00	0.0050492
568.00	0.0051814
569.00	0.0054024
570.00	0.0053116
571.00	0.0053291
572.00	0.0051301
573.00	0.0057558
574.00	0.0064671
575.00	0.0067366
576.00	0.0083574
577.00	0.010442
578.00	0.012234
579.00	0.014774
580.00	0.018128
581.00	0.020785
582.00	0.021930
583.00	0.023022
584.00	0.025594
585.00	0.026729
586.00	0.027296
587.00	0.029309
588.00	0.030323
589.00	0.030775
590.00	0.030954
591.00	0.029947
592.00	0.028236
593.00	0.025676
594.00	0.022923
595.00	0.020929
596.00	0.019103
597.00	0.018183
598.00	0.017467
599.00	0.017049
600.00	0.016959
601.00	0.017148
602.00	0.017497
603.00	0.017733
604.00	0.017569
605.00	0.018064
606.00	0.018658
607.00	0.019696
608.00	0.021210
609.00	0.022911
610.00	0.024411
611.00	0.025145
612.00	0.025282
613.00	0.024631
614.00	0.023125
615.00	0.021422
616.00	0.019692
617.00	0.018478
618.00	0.017820
619.00	0.018202
620.00	0.019872
621.00	0.022721
622.00	0.027838
623.00	0.033955
624.00	0.041366
625.00	0.049193
626.00	0.056412
627.00	0.062323
628.00	0.066239
629.00	0.069580
630.00	0.073733
631.00	0.081884
632.00	0.098200
633.00	0.12567
634.00	0.16727
635.00	0.22336
636.00	0.29021
637.00	0.36051
638.00	0.42312
639.00	0.46475
640.00	0.48027
641.00	0.46851
642.00	0.43204
643.00	0.37712
644.00	0.31282
645.00	0.24856
646.00	0.19126
647.00	0.14321
648.00	0.10560
649.00	0.077896
650.00	0.057948
651.00	0.043972
652.00	0.034234
653.00	0.027282
654.00	0.021963
655.00	0.018589
656.00	0.013379
657.00	0.0092783
658.00	0.0084109
659.00	0.0081328
660.00	0.0069629
661.00	0.0059102
662.00	0.0050957
663.00	0.0044476
664.00	0.0040806
665.00	0.0037928
666.00	0.0035736
667.00	0.0035482
668.00	0.0034494
669.00	0.0034322
670.00	0.0033083
671.00	0.0032797
672.00	0.0032326
673.00	0.0030094
674.00	0.0030349
675.00	0.0029207
676.00	0.0028033
677.00	0.0027311
678.00	0.0026517
679.00	0.0026344
680.00	0.0026002
681.00	0.0025539
682.00	0.0025011
683.00	0.0024992
684.00	0.0024884
685.00	0.0023605
686.00	0.0022907
687.00	0.0022307
688.00	0.0022667
689.00	0.0022559
690.00	0.0022807
691.00	0.0022537
692.00	0.0021856
693.00	0.0022572
694.00	0.0021632
695.00	0.0022606
696.00	0.0022660
697.00	0.0022552
698.00	0.0021660
699.00	0.0022554
700.00	0.0022050
