Wavelength (nm)	229 FbC-Pn10Br15
519.00	0.042001
520.00	0.038325
521.00	0.035581
522.00	0.033553
523.00	0.032050
524.00	0.031059
525.00	0.030724
526.00	0.031106
527.00	0.033007
528.00	0.036393
529.00	0.041127
530.00	0.046627
531.00	0.051750
532.00	0.055225
533.00	0.056236
534.00	0.054671
535.00	0.051498
536.00	0.047495
537.00	0.043311
538.00	0.039588
539.00	0.036000
540.00	0.033076
541.00	0.030607
542.00	0.028352
543.00	0.026131
544.00	0.024045
545.00	0.021898
546.00	0.019733
547.00	0.017910
548.00	0.016127
549.00	0.014353
550.00	0.012993
551.00	0.011812
552.00	0.010704
553.00	0.0098222
554.00	0.0090675
555.00	0.0084263
556.00	0.0079112
557.00	0.0075608
558.00	0.0072843
559.00	0.0070532
560.00	0.0068600
561.00	0.0066242
562.00	0.0063042
563.00	0.0060163
564.00	0.0058458
565.00	0.0057369
566.00	0.0055456
567.00	0.0054983
568.00	0.0055229
569.00	0.0055968
570.00	0.0057227
571.00	0.0059528
572.00	0.0062672
573.00	0.0067313
574.00	0.0073080
575.00	0.0076811
576.00	0.0084093
577.00	0.0095675
578.00	0.010763
579.00	0.012584
580.00	0.015303
581.00	0.018595
582.00	0.021292
583.00	0.023826
584.00	0.026473
585.00	0.028271
586.00	0.029155
587.00	0.030074
588.00	0.031001
589.00	0.032009
590.00	0.032970
591.00	0.033220
592.00	0.032791
593.00	0.031657
594.00	0.029857
595.00	0.027935
596.00	0.025676
597.00	0.023280
598.00	0.021216
599.00	0.019272
600.00	0.017707
601.00	0.016415
602.00	0.015571
603.00	0.014773
604.00	0.014191
605.00	0.013523
606.00	0.012951
607.00	0.012394
608.00	0.012112
609.00	0.012007
610.00	0.011839
611.00	0.011775
612.00	0.011823
613.00	0.011561
614.00	0.011286
615.00	0.010895
616.00	0.010663
617.00	0.010450
618.00	0.010300
619.00	0.010306
620.00	0.010768
621.00	0.011754
622.00	0.013064
623.00	0.014742
624.00	0.016818
625.00	0.019746
626.00	0.023047
627.00	0.027364
628.00	0.032683
629.00	0.038366
630.00	0.043610
631.00	0.048119
632.00	0.052783
633.00	0.058842
634.00	0.068431
635.00	0.084052
636.00	0.10751
637.00	0.13916
638.00	0.17882
639.00	0.22098
640.00	0.25757
641.00	0.28447
642.00	0.29248
643.00	0.28032
644.00	0.25401
645.00	0.22021
646.00	0.18344
647.00	0.14751
648.00	0.11546
649.00	0.088885
650.00	0.068185
651.00	0.052293
652.00	0.040374
653.00	0.031446
654.00	0.024807
655.00	0.018310
656.00	0.015234
657.00	0.012692
658.00	0.0097786
659.00	0.0077625
660.00	0.0060153
661.00	0.0050201
662.00	0.0039055
663.00	0.0031384
664.00	0.0024263
665.00	0.0019547
666.00	0.0017464
667.00	0.0016668
668.00	0.0013344
669.00	0.0011374
670.00	0.0011346
671.00	0.0010030
672.00	0.00095752
673.00	0.00096794
674.00	0.00087608
675.00	0.00076339
676.00	0.00070373
677.00	0.00072172
678.00	0.00056453
679.00	0.00057968
680.00	0.00045657
681.00	0.00051528
682.00	0.00059767
683.00	0.00046320
684.00	0.00039218
685.00	0.00042058
686.00	0.00040259
687.00	0.00041774
688.00	0.00041774
689.00	0.00038081
690.00	0.00030695
691.00	0.00032020
692.00	0.00031831
693.00	0.00028990
694.00	0.00029369
695.00	0.00019899
696.00	0.00025865
697.00	0.00025202
698.00	0.00032683
699.00	0.00027001
700.00	0.00027475
