Wavelength (nm)	267 FbC-M10(CmPh)13Br15
422.00	0.62587
423.00	0.54510
424.00	0.46198
425.00	0.38097
426.00	0.30863
427.00	0.24379
428.00	0.19382
429.00	0.15135
430.00	0.11800
431.00	0.094842
432.00	0.075728
433.00	0.060411
434.00	0.049102
435.00	0.040897
436.00	0.034952
437.00	0.029971
438.00	0.026520
439.00	0.023982
440.00	0.021785
441.00	0.020940
442.00	0.019330
443.00	0.018525
444.00	0.017723
445.00	0.017498
446.00	0.017736
447.00	0.017523
448.00	0.017724
449.00	0.018022
450.00	0.018265
451.00	0.018675
452.00	0.018545
453.00	0.019159
454.00	0.019633
455.00	0.020285
456.00	0.020564
457.00	0.021196
458.00	0.022403
459.00	0.022830
460.00	0.023320
461.00	0.023870
462.00	0.023995
463.00	0.025032
464.00	0.025760
465.00	0.026117
466.00	0.026367
467.00	0.026127
468.00	0.026639
469.00	0.026487
470.00	0.027030
471.00	0.027685
472.00	0.027826
473.00	0.028380
474.00	0.028716
475.00	0.029383
476.00	0.029117
477.00	0.029230
478.00	0.029917
479.00	0.030061
480.00	0.030061
481.00	0.030548
482.00	0.030186
483.00	0.030268
484.00	0.030518
485.00	0.032369
486.00	0.032271
487.00	0.030171
488.00	0.032459
489.00	0.035988
490.00	0.038917
491.00	0.042782
492.00	0.046767
493.00	0.050838
494.00	0.055699
495.00	0.060240
496.00	0.063975
497.00	0.066774
498.00	0.069299
499.00	0.071615
500.00	0.073222
501.00	0.075495
502.00	0.078151
503.00	0.081024
504.00	0.084638
505.00	0.088680
506.00	0.091484
507.00	0.093112
508.00	0.094025
509.00	0.094639
510.00	0.093959
511.00	0.091096
512.00	0.088438
513.00	0.084162
514.00	0.079801
515.00	0.074492
516.00	0.068799
517.00	0.064187
518.00	0.057503
519.00	0.053677
520.00	0.048631
521.00	0.045627
522.00	0.042935
523.00	0.041424
524.00	0.039547
525.00	0.039356
526.00	0.040428
527.00	0.041546
528.00	0.045083
529.00	0.049707
530.00	0.054790
531.00	0.061321
532.00	0.066694
533.00	0.070093
534.00	0.071787
535.00	0.071043
536.00	0.068664
537.00	0.065213
538.00	0.061146
539.00	0.056647
540.00	0.052266
541.00	0.048533
542.00	0.044658
543.00	0.041240
544.00	0.038659
545.00	0.036080
546.00	0.033712
547.00	0.031876
548.00	0.030168
549.00	0.028083
550.00	0.026289
551.00	0.024767
552.00	0.023324
553.00	0.021392
554.00	0.019782
555.00	0.018449
556.00	0.016996
557.00	0.015370
558.00	0.014532
559.00	0.013637
560.00	0.013010
561.00	0.011813
562.00	0.011442
563.00	0.011359
564.00	0.010765
565.00	0.010249
566.00	0.0097925
567.00	0.0096914
568.00	0.0090579
569.00	0.0089123
570.00	0.0088194
571.00	0.0084776
572.00	0.0080521
573.00	0.0080326
574.00	0.0083733
575.00	0.0080820
576.00	0.0081271
577.00	0.0088259
578.00	0.0092040
579.00	0.0091579
580.00	0.010773
581.00	0.011780
582.00	0.012357
583.00	0.012439
584.00	0.015635
585.00	0.018912
586.00	0.020590
587.00	0.024448
588.00	0.027485
589.00	0.029544
590.00	0.032085
591.00	0.033835
592.00	0.035999
593.00	0.037168
594.00	0.037429
595.00	0.038671
596.00	0.039087
597.00	0.039179
598.00	0.038716
599.00	0.037641
600.00	0.035757
601.00	0.033673
602.00	0.031434
603.00	0.029368
604.00	0.027162
605.00	0.025181
606.00	0.023702
607.00	0.022332
608.00	0.021040
609.00	0.020436
610.00	0.019668
611.00	0.019139
612.00	0.018583
613.00	0.018180
614.00	0.017832
615.00	0.017827
616.00	0.017486
617.00	0.017561
618.00	0.017503
619.00	0.017110
620.00	0.016902
621.00	0.016086
622.00	0.015989
623.00	0.015603
624.00	0.015143
625.00	0.014967
626.00	0.015441
627.00	0.016080
628.00	0.017247
629.00	0.019679
630.00	0.022142
631.00	0.025340
632.00	0.030008
633.00	0.035484
634.00	0.041944
635.00	0.049228
636.00	0.056879
637.00	0.065126
638.00	0.074116
639.00	0.084188
640.00	0.098758
641.00	0.11818
642.00	0.14669
643.00	0.18186
644.00	0.22160
645.00	0.26361
646.00	0.30032
647.00	0.33134
648.00	0.34942
649.00	0.34922
650.00	0.33416
651.00	0.30485
652.00	0.26903
653.00	0.22814
654.00	0.19153
655.00	0.14433
656.00	0.11737
657.00	0.11018
658.00	0.084556
659.00	0.064232
660.00	0.050100
661.00	0.039199
662.00	0.030762
663.00	0.023948
664.00	0.019227
665.00	0.016011
666.00	0.013349
667.00	0.010331
668.00	0.0077234
669.00	0.0069579
670.00	0.0057212
671.00	0.0047660
672.00	0.0039347
673.00	0.0029175
674.00	0.0026931
675.00	0.0028561
676.00	0.0025807
677.00	0.0022905
678.00	0.0021368
679.00	0.0019558
680.00	0.0020362
681.00	0.0020178
682.00	0.0017015
683.00	0.0016233
684.00	0.0010729
685.00	0.0011674
686.00	0.0011435
687.00	0.0012696
688.00	0.0011816
689.00	0.0014500
690.00	0.0013897
691.00	0.0012190
692.00	0.0012266
693.00	0.0011022
694.00	0.0013304
695.00	0.0011854
696.00	0.0010946
697.00	0.00089303
698.00	0.00087293
699.00	0.00097725
700.00	0.0010408
