Wavelength (nm)	ZnC-T5M10Es15P20 (SE416)
466.00	0.050031
467.00	0.050701
468.00	0.051041
469.00	0.051410
470.00	0.051714
471.00	0.051880
472.00	0.052325
473.00	0.052586
474.00	0.052856
475.00	0.052786
476.00	0.052975
477.00	0.052766
478.00	0.052614
479.00	0.052257
480.00	0.051784
481.00	0.051203
482.00	0.050485
483.00	0.049550
484.00	0.048595
485.00	0.047193
486.00	0.046586
487.00	0.045850
488.00	0.043784
489.00	0.041788
490.00	0.040303
491.00	0.038563
492.00	0.036764
493.00	0.035065
494.00	0.033351
495.00	0.031762
496.00	0.030241
497.00	0.028601
498.00	0.027357
499.00	0.026230
500.00	0.024974
501.00	0.024129
502.00	0.023398
503.00	0.022745
504.00	0.022088
505.00	0.021823
506.00	0.021721
507.00	0.021857
508.00	0.022057
509.00	0.022402
510.00	0.023000
511.00	0.023611
512.00	0.024225
513.00	0.024802
514.00	0.025048
515.00	0.025156
516.00	0.025096
517.00	0.024855
518.00	0.024417
519.00	0.024005
520.00	0.023637
521.00	0.023258
522.00	0.022840
523.00	0.022515
524.00	0.022140
525.00	0.021813
526.00	0.021373
527.00	0.020745
528.00	0.020184
529.00	0.019571
530.00	0.019102
531.00	0.018257
532.00	0.017845
533.00	0.017305
534.00	0.017158
535.00	0.017003
536.00	0.016878
537.00	0.016911
538.00	0.017179
539.00	0.017246
540.00	0.017334
541.00	0.017472
542.00	0.017700
543.00	0.017823
544.00	0.017874
545.00	0.018099
546.00	0.018071
547.00	0.018303
548.00	0.018670
549.00	0.018893
550.00	0.019235
551.00	0.019574
552.00	0.020062
553.00	0.020553
554.00	0.021034
555.00	0.021484
556.00	0.021683
557.00	0.021756
558.00	0.021650
559.00	0.021387
560.00	0.021125
561.00	0.020827
562.00	0.020600
563.00	0.020606
564.00	0.020935
565.00	0.021488
566.00	0.022270
567.00	0.023271
568.00	0.024383
569.00	0.025520
570.00	0.026571
571.00	0.027644
572.00	0.028450
573.00	0.028746
574.00	0.028927
575.00	0.028898
576.00	0.028765
577.00	0.028801
578.00	0.029120
579.00	0.029519
580.00	0.030383
581.00	0.031576
582.00	0.032932
583.00	0.033682
584.00	0.034368
585.00	0.034980
586.00	0.034696
587.00	0.033847
588.00	0.032922
589.00	0.031368
590.00	0.029742
591.00	0.028090
592.00	0.026409
593.00	0.025033
594.00	0.023464
595.00	0.022038
596.00	0.020780
597.00	0.019661
598.00	0.018763
599.00	0.018537
600.00	0.018474
601.00	0.018760
602.00	0.019325
603.00	0.020458
604.00	0.021732
605.00	0.023535
606.00	0.025901
607.00	0.029207
608.00	0.033259
609.00	0.038506
610.00	0.045443
611.00	0.053954
612.00	0.064857
613.00	0.078234
614.00	0.094294
615.00	0.11277
616.00	0.13282
617.00	0.15229
618.00	0.16859
619.00	0.17975
620.00	0.18351
621.00	0.17915
622.00	0.16745
623.00	0.15097
624.00	0.13123
625.00	0.11079
626.00	0.091165
627.00	0.073613
628.00	0.058626
629.00	0.046159
630.00	0.036129
631.00	0.028072
632.00	0.021617
633.00	0.016835
634.00	0.013244
635.00	0.010430
636.00	0.0083740
637.00	0.0066545
638.00	0.0053089
639.00	0.0043361
640.00	0.0034285
641.00	0.0029882
642.00	0.0024787
643.00	0.0021934
644.00	0.0020950
645.00	0.0020329
646.00	0.0018285
647.00	0.0017849
648.00	0.0016155
649.00	0.0016232
650.00	0.0016528
651.00	0.0016784
652.00	0.0016443
653.00	0.0017153
654.00	0.0016735
655.00	0.0014639
656.00	0.0014654
657.00	0.0014404
658.00	0.0015328
659.00	0.0014755
660.00	0.0015965
661.00	0.0015942
662.00	0.0015883
663.00	0.0015182
664.00	0.0015204
665.00	0.0016115
666.00	0.0014524
667.00	0.0014443
668.00	0.0014389
669.00	0.0014788
670.00	0.0014850
671.00	0.0014693
672.00	0.0014872
673.00	0.0015357
674.00	0.0015338
675.00	0.0015248
676.00	0.0014875
677.00	0.0014667
678.00	0.0015885
679.00	0.0014963
680.00	0.0014778
681.00	0.0014805
682.00	0.0014377
683.00	0.0014328
684.00	0.0015221
685.00	0.0014682
686.00	0.0014960
687.00	0.0015462
688.00	0.0014658
689.00	0.0014469
690.00	0.0014423
691.00	0.0013380
692.00	0.0014180
693.00	0.0013824
694.00	0.0012736
695.00	0.0012893
696.00	0.0012488
697.00	0.0013764
698.00	0.0013274
699.00	0.0012150
700.00	0.0012567
