Wavelength (nm)	L220 ZnC-M10F13 (SE285).abs
423.20	0.74924
423.40	0.72963
423.60	0.71065
423.80	0.69105
424.00	0.67082
424.20	0.64884
424.40	0.62798
424.60	0.60725
424.80	0.58752
425.00	0.56716
425.20	0.54656
425.40	0.52620
425.60	0.50685
425.80	0.48812
426.00	0.46876
426.20	0.45003
426.40	0.43254
426.60	0.41606
426.80	0.39882
427.00	0.38197
427.20	0.36486
427.40	0.34850
427.60	0.33314
427.80	0.31928
428.00	0.30592
428.20	0.29293
428.40	0.28057
428.60	0.26833
428.80	0.25596
429.00	0.24410
429.20	0.23386
429.40	0.22337
429.60	0.21350
429.80	0.20414
430.00	0.19577
430.20	0.18678
430.40	0.17804
430.60	0.17042
430.80	0.16342
431.00	0.15631
431.20	0.14869
431.40	0.14182
431.60	0.13545
431.80	0.12859
432.00	0.12209
432.20	0.11709
432.40	0.11173
432.60	0.10623
432.80	0.10086
433.00	0.096490
433.20	0.092871
433.40	0.089247
433.60	0.085003
433.80	0.081756
434.00	0.077636
434.20	0.074760
434.40	0.071513
434.60	0.070016
434.80	0.068395
435.00	0.066268
435.20	0.063273
435.40	0.060274
435.60	0.058400
435.80	0.056902
436.00	0.055906
436.20	0.054156
436.40	0.052659
436.60	0.050661
436.80	0.049411
437.00	0.048038
437.20	0.046541
437.40	0.045415
437.60	0.044042
437.80	0.042540
438.00	0.041920
438.20	0.041791
438.40	0.041167
438.60	0.040418
438.80	0.040294
439.00	0.039669
439.20	0.038420
439.40	0.037300
439.60	0.036675
439.80	0.036422
440.00	0.035673
440.20	0.035797
440.40	0.034801
440.60	0.034052
440.80	0.033428
441.00	0.033551
441.20	0.032803
441.40	0.032302
441.60	0.031301
441.80	0.031053
442.00	0.030929
442.20	0.030552
442.40	0.030428
442.60	0.030304
442.80	0.030304
443.00	0.030428
443.20	0.030180
443.40	0.029556
443.60	0.029303
443.80	0.029055
444.00	0.028554
444.20	0.028058
444.40	0.027681
444.60	0.027305
444.80	0.027181
445.00	0.027181
445.20	0.027057
445.40	0.026933
445.60	0.026556
445.80	0.026556
446.00	0.026184
446.20	0.025807
446.40	0.025183
446.60	0.025436
446.80	0.025059
447.00	0.025059
447.20	0.025059
447.40	0.024935
447.60	0.024434
447.80	0.024310
448.00	0.024434
448.20	0.024558
448.40	0.024310
448.60	0.024186
448.80	0.023933
449.00	0.024186
449.20	0.023809
449.40	0.023686
449.60	0.023438
449.80	0.023933
450.00	0.023562
450.20	0.023562
450.40	0.023562
450.60	0.024186
450.80	0.023438
451.00	0.022560
451.20	0.022188
451.40	0.022560
451.60	0.022684
451.80	0.022188
452.00	0.021812
452.20	0.021564
452.40	0.021812
452.60	0.022312
452.80	0.022937
453.00	0.022684
453.20	0.022188
453.40	0.022064
453.60	0.021812
453.80	0.021935
454.00	0.021311
454.20	0.020939
454.40	0.020190
454.60	0.020438
454.80	0.020686
455.00	0.020939
455.20	0.020438
455.40	0.020061
455.60	0.020438
455.80	0.020190
456.00	0.020438
456.20	0.020438
456.40	0.020438
456.60	0.020438
456.80	0.020061
457.00	0.019442
457.20	0.019442
457.40	0.019690
457.60	0.020061
457.80	0.019937
458.00	0.019937
458.20	0.019690
458.40	0.019566
458.60	0.019313
458.80	0.019065
459.00	0.019189
459.20	0.019566
459.40	0.019690
459.60	0.018817
459.80	0.018316
460.00	0.018316
460.20	0.019065
460.40	0.018941
460.60	0.018440
460.80	0.018564
461.00	0.019189
461.20	0.019065
461.40	0.019313
461.60	0.019313
461.80	0.019313
462.00	0.018564
462.20	0.018564
462.40	0.018941
462.60	0.019313
462.80	0.019065
463.00	0.019065
463.20	0.018817
463.40	0.018817
463.60	0.018941
463.80	0.019065
464.00	0.018688
464.20	0.017816
464.40	0.017568
464.60	0.017444
464.80	0.017067
465.00	0.017067
465.20	0.017067
465.40	0.017816
465.60	0.017568
465.80	0.016943
466.00	0.016819
466.20	0.017568
466.40	0.017692
466.60	0.017568
466.80	0.017191
467.00	0.017191
467.20	0.017816
467.40	0.018192
467.60	0.017940
467.80	0.017940
468.00	0.017940
468.20	0.017940
468.40	0.017816
468.60	0.017816
468.80	0.016819
469.00	0.016566
469.20	0.016566
469.40	0.016943
469.60	0.016943
469.80	0.016194
470.00	0.016566
470.20	0.017315
470.40	0.017940
470.60	0.017692
470.80	0.017444
471.00	0.016819
471.20	0.017568
471.40	0.018316
471.60	0.018941
471.80	0.018941
472.00	0.018440
472.20	0.017692
472.40	0.017444
472.60	0.017568
472.80	0.017692
473.00	0.017444
473.20	0.017816
473.40	0.018316
473.60	0.018192
473.80	0.018063
474.00	0.017816
474.20	0.018192
474.40	0.018316
474.60	0.017816
474.80	0.017816
475.00	0.018063
475.20	0.017315
475.40	0.016690
475.60	0.016442
475.80	0.016819
476.00	0.016819
476.20	0.016690
476.40	0.016318
476.60	0.016194
476.80	0.016065
477.00	0.016442
477.20	0.016566
477.40	0.016819
477.60	0.017067
477.80	0.016819
478.00	0.016819
478.20	0.016318
478.40	0.016318
478.60	0.016194
478.80	0.016442
479.00	0.016442
479.20	0.016442
479.40	0.015694
479.60	0.016065
479.80	0.016318
480.00	0.016442
480.20	0.016318
480.40	0.016442
480.60	0.016566
480.80	0.016318
481.00	0.015317
481.20	0.014568
481.40	0.014692
481.60	0.015193
481.80	0.015942
482.00	0.015441
482.20	0.015694
482.40	0.015317
482.60	0.015570
482.80	0.015441
483.00	0.015818
483.20	0.015570
483.40	0.015694
483.60	0.015317
483.80	0.015193
484.00	0.015441
484.20	0.015942
484.40	0.015694
484.60	0.015942
484.80	0.015570
485.00	0.015441
485.20	0.015317
485.40	0.015069
485.60	0.014945
485.80	0.015069
486.00	0.015069
486.20	0.015069
486.40	0.015069
486.60	0.015317
486.80	0.015818
487.00	0.015818
487.20	0.015818
487.40	0.015694
487.60	0.015694
487.80	0.015441
488.00	0.014945
488.20	0.014945
488.40	0.015193
488.60	0.015317
488.80	0.015069
489.00	0.015193
489.20	0.015317
489.40	0.015069
489.60	0.015069
489.80	0.015069
490.00	0.014945
490.20	0.014821
490.40	0.014692
490.60	0.014945
490.80	0.015317
491.00	0.015317
491.20	0.015069
491.40	0.014945
491.60	0.014444
491.80	0.014821
492.00	0.015694
492.20	0.015441
492.40	0.015317
492.60	0.015069
492.80	0.015317
493.00	0.015441
493.20	0.015694
493.40	0.015441
493.60	0.015069
493.80	0.015069
494.00	0.015441
494.20	0.015570
494.40	0.015441
494.60	0.015193
494.80	0.015317
495.00	0.015694
495.20	0.016194
495.40	0.016690
495.60	0.016690
495.80	0.016442
496.00	0.016943
496.20	0.017067
496.40	0.017315
496.60	0.017568
496.80	0.017191
497.00	0.016566
497.20	0.016690
497.40	0.017067
497.60	0.017444
497.80	0.017692
498.00	0.017191
498.20	0.017067
498.40	0.017067
498.60	0.017191
498.80	0.017692
499.00	0.017940
499.20	0.018063
499.40	0.017816
499.60	0.017940
499.80	0.018192
500.00	0.018316
500.20	0.018192
500.40	0.018316
500.60	0.018564
500.80	0.019189
501.00	0.019313
501.20	0.018941
501.40	0.018564
501.60	0.018688
501.80	0.019189
502.00	0.019442
502.20	0.019566
502.40	0.019189
502.60	0.019189
502.80	0.019690
503.00	0.020438
503.20	0.020815
503.40	0.020815
503.60	0.020438
503.80	0.020190
504.00	0.020815
504.20	0.021311
504.40	0.021688
504.60	0.021935
504.80	0.021440
505.00	0.021688
505.20	0.021564
505.40	0.021935
505.60	0.021935
505.80	0.022188
506.00	0.021935
506.20	0.021564
506.40	0.021688
506.60	0.022188
506.80	0.022560
507.00	0.022937
507.20	0.023061
507.40	0.023438
507.60	0.023686
507.80	0.023686
508.00	0.023686
508.20	0.023809
508.40	0.024186
508.60	0.023686
508.80	0.023061
509.00	0.023061
509.20	0.023309
509.40	0.023686
509.60	0.024062
509.80	0.024682
510.00	0.024811
510.20	0.024558
510.40	0.023686
510.60	0.022684
510.80	0.022560
511.00	0.022684
511.20	0.023562
511.40	0.023686
511.60	0.023686
511.80	0.023438
512.00	0.023438
512.20	0.023309
512.40	0.023686
512.60	0.024062
512.80	0.023933
513.00	0.024062
513.20	0.024062
513.40	0.024186
513.60	0.024310
513.80	0.023933
514.00	0.023309
514.20	0.022937
514.40	0.022813
514.60	0.023309
514.80	0.023309
515.00	0.023686
515.20	0.024062
515.40	0.023809
515.60	0.023686
515.80	0.023686
516.00	0.023809
516.20	0.023309
516.40	0.022813
516.60	0.022064
516.80	0.022188
517.00	0.022436
517.20	0.022312
517.40	0.022188
517.60	0.022064
517.80	0.022188
518.00	0.022312
518.20	0.022188
518.40	0.021935
518.60	0.022188
518.80	0.022188
519.00	0.021935
519.20	0.021440
519.40	0.021187
519.60	0.021564
519.80	0.021688
520.00	0.021935
520.20	0.021688
520.40	0.021440
520.60	0.020939
520.80	0.020815
521.00	0.020686
521.20	0.020686
521.40	0.020815
521.60	0.020438
521.80	0.020438
522.00	0.020686
522.20	0.020815
522.40	0.021063
522.60	0.020438
522.80	0.019313
523.00	0.018564
523.20	0.018440
523.40	0.018688
523.60	0.018316
523.80	0.018316
524.00	0.018688
524.20	0.019189
524.40	0.019313
524.60	0.018941
524.80	0.018688
525.00	0.018316
525.20	0.018192
525.40	0.017940
525.60	0.017816
525.80	0.017191
526.00	0.016819
526.20	0.017067
526.40	0.017315
526.60	0.017315
526.80	0.017067
527.00	0.017191
527.20	0.017067
527.40	0.016690
527.60	0.016690
527.80	0.016819
528.00	0.016819
528.20	0.016819
528.40	0.016566
528.60	0.016690
528.80	0.017067
529.00	0.016690
529.20	0.016690
529.40	0.016442
529.60	0.016318
529.80	0.016065
530.00	0.016194
530.20	0.016318
530.40	0.016566
530.60	0.017067
530.80	0.017191
531.00	0.016690
531.20	0.016566
531.40	0.016442
531.60	0.016194
531.80	0.016194
532.00	0.016318
532.20	0.016065
532.40	0.015818
532.60	0.015942
532.80	0.016065
533.00	0.016194
533.20	0.016442
533.40	0.016442
533.60	0.016318
533.80	0.016065
534.00	0.016442
534.20	0.016690
534.40	0.016819
534.60	0.016690
534.80	0.016819
535.00	0.016819
535.20	0.016819
535.40	0.016690
535.60	0.016442
535.80	0.016442
536.00	0.016566
536.20	0.016566
536.40	0.016194
536.60	0.016318
536.80	0.016318
537.00	0.016194
537.20	0.016065
537.40	0.016318
537.60	0.016318
537.80	0.016442
538.00	0.016194
538.20	0.016819
538.40	0.017067
538.60	0.017067
538.80	0.017067
539.00	0.016943
539.20	0.017191
539.40	0.017191
539.60	0.016566
539.80	0.016819
540.00	0.017692
540.20	0.018564
540.40	0.018941
540.60	0.018564
540.80	0.018192
541.00	0.018192
541.20	0.018564
541.40	0.018688
541.60	0.018941
541.80	0.019313
542.00	0.019313
542.20	0.019442
542.40	0.019690
542.60	0.019566
542.80	0.019814
543.00	0.020314
543.20	0.020438
543.40	0.020314
543.60	0.020438
543.80	0.020815
544.00	0.021187
544.20	0.021311
544.40	0.021440
544.60	0.021564
544.80	0.021440
545.00	0.021688
545.20	0.021935
545.40	0.022188
545.60	0.022188
545.80	0.022188
546.00	0.022436
546.20	0.022188
546.40	0.022436
546.60	0.022436
546.80	0.022560
547.00	0.022684
547.20	0.022937
547.40	0.023562
547.60	0.023686
547.80	0.023809
548.00	0.024434
548.20	0.024558
548.40	0.024682
548.60	0.024811
548.80	0.024811
549.00	0.024811
549.20	0.025183
549.40	0.025307
549.60	0.025560
549.80	0.025684
550.00	0.025807
550.20	0.026556
550.40	0.026933
550.60	0.027434
550.80	0.027434
551.00	0.027305
551.20	0.027305
551.40	0.027434
551.60	0.027305
551.80	0.027558
552.00	0.027681
552.20	0.028058
552.40	0.028430
552.60	0.028430
552.80	0.028430
553.00	0.028683
553.20	0.028931
553.40	0.028807
553.60	0.029055
553.80	0.029303
554.00	0.030056
554.20	0.030428
554.40	0.029927
554.60	0.029679
554.80	0.029803
555.00	0.030180
555.20	0.030552
555.40	0.030552
555.60	0.030180
555.80	0.030056
556.00	0.029556
556.20	0.029803
556.40	0.029556
556.60	0.029803
556.80	0.030180
557.00	0.030552
557.20	0.030180
557.40	0.030056
557.60	0.029927
557.80	0.030180
558.00	0.030304
558.20	0.029927
558.40	0.029803
558.60	0.029803
558.80	0.029927
559.00	0.030180
559.20	0.030056
559.40	0.029679
559.60	0.029556
559.80	0.029556
560.00	0.029055
560.20	0.029055
560.40	0.028807
560.60	0.028931
560.80	0.028683
561.00	0.028683
561.20	0.029055
561.40	0.028683
561.60	0.028554
561.80	0.028430
562.00	0.028683
562.20	0.028306
562.40	0.027929
562.60	0.027558
562.80	0.027305
563.00	0.027181
563.20	0.027305
563.40	0.027057
563.60	0.026933
563.80	0.026556
564.00	0.026556
564.20	0.026680
564.40	0.026933
564.60	0.026933
564.80	0.026556
565.00	0.026184
565.20	0.025684
565.40	0.025684
565.60	0.025436
565.80	0.025307
566.00	0.025436
566.20	0.026184
566.40	0.025807
566.60	0.024811
566.80	0.024434
567.00	0.024811
567.20	0.024935
567.40	0.024434
567.60	0.024310
567.80	0.024682
568.00	0.024811
568.20	0.025183
568.40	0.025436
568.60	0.025684
568.80	0.025684
569.00	0.025436
569.20	0.025436
569.40	0.025560
569.60	0.025807
569.80	0.025807
570.00	0.025807
570.20	0.026432
570.40	0.026933
570.60	0.026933
570.80	0.026933
571.00	0.027305
571.20	0.027681
571.40	0.027929
571.60	0.027681
571.80	0.028058
572.00	0.028554
572.20	0.029179
572.40	0.029927
572.60	0.030428
572.80	0.030304
573.00	0.030805
573.20	0.031301
573.40	0.031925
573.60	0.032426
573.80	0.033428
574.00	0.034300
574.20	0.034925
574.40	0.035549
574.60	0.035302
574.80	0.035425
575.00	0.036050
575.20	0.037047
575.40	0.037300
575.60	0.037423
575.80	0.038048
576.00	0.039045
576.20	0.040170
576.40	0.040671
576.60	0.041167
576.80	0.041791
577.00	0.042168
577.20	0.042540
577.40	0.042917
577.60	0.043541
577.80	0.043789
578.00	0.044166
578.20	0.044667
578.40	0.045162
578.60	0.046040
578.80	0.046541
579.00	0.046913
579.20	0.047413
579.40	0.048162
579.60	0.048663
579.80	0.049287
580.00	0.049163
580.20	0.049034
580.40	0.049411
580.60	0.050408
580.80	0.050909
581.00	0.051533
581.20	0.051409
581.40	0.051285
581.60	0.051781
581.80	0.052034
582.00	0.052535
582.20	0.052406
582.40	0.052783
582.60	0.053407
582.80	0.054032
583.00	0.054404
583.20	0.054533
583.40	0.055157
583.60	0.055653
583.80	0.056278
584.00	0.056655
584.20	0.056655
584.40	0.056779
584.60	0.057026
584.80	0.057026
585.00	0.057279
585.20	0.057403
585.40	0.057904
585.60	0.058400
585.80	0.058529
586.00	0.059153
586.20	0.059153
586.40	0.059153
586.60	0.059024
586.80	0.059401
587.00	0.059277
587.20	0.059525
587.40	0.059277
587.60	0.059525
587.80	0.059778
588.00	0.059902
588.20	0.060150
588.40	0.060274
588.60	0.060527
588.80	0.060527
589.00	0.060898
589.20	0.060403
589.40	0.060403
589.60	0.060527
589.80	0.060274
590.00	0.060527
590.20	0.060403
590.40	0.060026
590.60	0.060026
590.80	0.059902
591.00	0.060403
591.20	0.060774
591.40	0.061275
591.60	0.061151
591.80	0.061022
592.00	0.061275
592.20	0.061022
592.40	0.060651
592.60	0.060150
592.80	0.059902
593.00	0.059902
593.20	0.060026
593.40	0.059902
593.60	0.059649
593.80	0.059401
594.00	0.059525
594.20	0.059649
594.40	0.059778
594.60	0.059649
594.80	0.059525
595.00	0.059277
595.20	0.059153
595.40	0.058653
595.60	0.058276
595.80	0.057780
596.00	0.058028
596.20	0.057904
596.40	0.057026
596.60	0.055906
596.80	0.055405
597.00	0.055653
597.20	0.055653
597.40	0.055529
597.60	0.055157
597.80	0.054904
598.00	0.054781
598.20	0.054781
598.40	0.054280
598.60	0.054156
598.80	0.053655
599.00	0.053030
599.20	0.053030
599.40	0.052659
599.60	0.052282
599.80	0.052034
600.00	0.052158
600.20	0.052158
600.40	0.052034
600.60	0.051533
600.80	0.051409
601.00	0.051409
601.20	0.051409
601.40	0.051032
601.60	0.050661
601.80	0.050284
602.00	0.050284
602.20	0.050284
602.40	0.050160
602.60	0.049659
602.80	0.049659
603.00	0.049535
603.20	0.049783
603.40	0.049535
603.60	0.049163
603.80	0.048787
604.00	0.048663
604.20	0.048911
604.40	0.048663
604.60	0.048539
604.80	0.048162
605.00	0.048286
605.20	0.047914
605.40	0.047785
605.60	0.047160
605.80	0.046789
606.00	0.046665
606.20	0.046164
606.40	0.046164
606.60	0.045916
606.80	0.045539
607.00	0.045663
607.20	0.045663
607.40	0.044791
607.60	0.044414
607.80	0.043665
608.00	0.043165
608.20	0.042540
608.40	0.042044
608.60	0.042044
608.80	0.042540
609.00	0.042669
609.20	0.042540
609.40	0.042292
609.60	0.042168
609.80	0.042168
610.00	0.042044
610.20	0.041791
610.40	0.041167
610.60	0.040919
610.80	0.041043
611.00	0.041043
611.20	0.040795
611.40	0.040418
611.60	0.041295
611.80	0.042044
612.00	0.042292
612.20	0.042540
612.40	0.043165
612.60	0.043417
612.80	0.044166
613.00	0.044543
613.20	0.044915
613.40	0.045415
613.60	0.045916
613.80	0.046412
614.00	0.047037
614.20	0.048038
614.40	0.048663
614.60	0.048663
614.80	0.049659
615.00	0.050909
615.20	0.052535
615.40	0.053531
615.60	0.054657
615.80	0.055782
616.00	0.056655
616.20	0.057651
616.40	0.058776
616.60	0.060150
616.80	0.061399
617.00	0.063020
617.20	0.064146
617.40	0.065018
617.60	0.066644
617.80	0.068018
618.00	0.069892
618.20	0.071141
618.40	0.072514
618.60	0.074012
618.80	0.075261
619.00	0.077011
619.20	0.078756
619.40	0.080129
619.60	0.081632
619.80	0.083754
620.00	0.086123
620.20	0.088250
620.40	0.090248
620.60	0.091993
620.80	0.094368
621.00	0.096614
621.20	0.099861
621.40	0.10248
621.60	0.10473
621.80	0.10673
622.00	0.11023
622.20	0.11348
622.40	0.11735
622.60	0.12072
622.80	0.12434
623.00	0.12784
623.20	0.13158
623.40	0.13595
623.60	0.14070
623.80	0.14557
624.00	0.15081
624.20	0.15569
624.40	0.16105
624.60	0.16680
624.80	0.17292
625.00	0.17979
625.20	0.18578
625.40	0.19215
625.60	0.19939
625.80	0.20713
626.00	0.21500
626.20	0.22312
626.40	0.23148
626.60	0.24010
626.80	0.24947
627.00	0.25834
627.20	0.26758
627.40	0.27744
627.60	0.28806
627.80	0.29767
628.00	0.30741
628.20	0.31815
628.40	0.32877
628.60	0.33938
628.80	0.35000
629.00	0.36061
629.20	0.37123
629.40	0.38084
629.60	0.39034
629.80	0.40045
630.00	0.40994
630.20	0.41831
630.40	0.42655
630.60	0.43467
630.80	0.44254
631.00	0.44940
631.20	0.45602
631.40	0.46201
631.60	0.46751
631.80	0.47263
632.00	0.47725
632.20	0.48125
632.40	0.48449
632.60	0.48687
632.80	0.48874
633.00	0.48961
633.20	0.48974
633.40	0.48899
633.60	0.48799
633.80	0.48587
634.00	0.48350
634.20	0.48062
634.40	0.47725
634.60	0.47288
634.80	0.46776
635.00	0.46239
635.20	0.45627
635.40	0.44978
635.60	0.44291
635.80	0.43529
636.00	0.42705
636.20	0.41831
636.40	0.40957
636.60	0.40020
636.80	0.39096
637.00	0.38147
637.20	0.37172
637.40	0.36111
637.60	0.35124
637.80	0.34038
638.00	0.32952
638.20	0.31953
638.40	0.30929
638.60	0.29867
638.80	0.28781
639.00	0.27694
639.20	0.26633
639.40	0.25584
639.60	0.24647
639.80	0.23685
640.00	0.22761
640.20	0.21862
640.40	0.21026
640.60	0.20151
640.80	0.19240
641.00	0.18341
641.20	0.17454
641.40	0.16680
641.60	0.15993
641.80	0.15319
642.00	0.14619
642.20	0.13932
642.40	0.13346
642.60	0.12684
642.80	0.12047
643.00	0.11535
643.20	0.11035
643.40	0.10511
643.60	0.099737
643.80	0.094993
644.00	0.090620
644.20	0.085999
644.40	0.081632
644.60	0.077884
644.80	0.073764
645.00	0.070140
645.20	0.066768
645.40	0.063273
645.60	0.060651
645.80	0.057904
646.00	0.055529
646.20	0.053030
646.40	0.050537
646.60	0.048410
646.80	0.046412
647.00	0.044042
647.20	0.042168
647.40	0.039793
647.60	0.038172
647.80	0.036298
648.00	0.034424
648.20	0.032927
648.40	0.032054
648.60	0.031177
648.80	0.030056
649.00	0.028807
649.20	0.027305
649.40	0.026184
649.60	0.025183
649.80	0.024434
650.00	0.023686
650.20	0.022813
650.40	0.021812
650.60	0.020815
650.80	0.019937
651.00	0.019065
651.20	0.018688
651.40	0.018440
651.60	0.017692
651.80	0.017191
652.00	0.016566
652.20	0.016065
652.40	0.015317
652.60	0.014945
652.80	0.014068
653.00	0.013820
653.20	0.013572
653.40	0.013195
653.60	0.012694
653.80	0.012070
654.00	0.011822
654.20	0.011321
654.40	0.011073
654.60	0.010696
654.80	0.010696
655.00	0.0099476
655.20	0.0095758
655.40	0.0095758
655.60	0.0091990
655.80	0.0089511
656.00	0.0088222
656.20	0.0084504
656.40	0.0083264
656.60	0.0079496
656.80	0.0077018
657.00	0.0072010
657.20	0.0070771
657.40	0.0070771
657.60	0.0073250
657.80	0.0074489
658.00	0.0077018
658.20	0.0070771
658.40	0.0064524
658.60	0.0059517
658.80	0.0062045
659.00	0.0057038
