Wavelength (nm)	202 ZnC-E3M10E13 (SE217)
706.00	0.00081802
707.00	0.00076635
708.00	0.00070328
709.00	0.00060080
710.00	0.00054562
711.00	0.00057978
712.00	0.00049219
713.00	0.00048255
714.00	0.00043175
715.00	0.00045015
716.00	0.00044226
717.00	0.00043613
718.00	0.00044752
719.00	0.00044314
720.00	0.00046591
721.00	0.00041686
722.00	0.00047993
723.00	0.00049131
724.00	0.00048956
725.00	0.00053949
726.00	0.00062007
727.00	0.00062708
728.00	0.00069365
729.00	0.00071292
730.00	0.00072781
731.00	0.00078824
732.00	0.00087145
733.00	0.00085832
734.00	0.00089598
735.00	0.00093977
736.00	0.00096693
737.00	0.0010204
738.00	0.0010808
739.00	0.0011141
740.00	0.0011517
741.00	0.0010650
742.00	0.0011456
743.00	0.0011298
744.00	0.0011412
745.00	0.0012323
746.00	0.0011990
747.00	0.0012498
748.00	0.0012271
749.00	0.0012709
750.00	0.0012954
