Wavelength (nm)	L285 FbOP-A3P10 (SE363).abs
346.20	0.20851
346.40	0.20859
346.60	0.20874
346.80	0.20855
347.00	0.20910
347.20	0.20874
347.40	0.20937
347.60	0.20921
347.80	0.20953
348.00	0.20976
348.20	0.21016
348.40	0.21063
348.60	0.21110
348.80	0.21149
349.00	0.21181
349.20	0.21114
349.40	0.21118
349.60	0.21220
349.80	0.21365
350.00	0.21357
350.20	0.21381
350.40	0.21420
350.60	0.21459
350.80	0.21471
351.00	0.21499
351.20	0.21546
351.40	0.21562
351.60	0.21573
351.80	0.21593
352.00	0.21675
352.20	0.21770
352.40	0.21805
352.60	0.21817
352.80	0.21770
353.00	0.21805
353.20	0.21860
353.40	0.21970
353.60	0.22025
353.80	0.22100
354.00	0.22104
354.20	0.22155
354.40	0.22253
354.60	0.22327
354.80	0.22402
355.00	0.22402
355.20	0.22414
355.40	0.22496
355.60	0.22606
355.80	0.22740
356.00	0.22803
356.20	0.22881
356.40	0.22862
356.60	0.22905
356.80	0.22936
357.00	0.23030
357.20	0.23160
357.40	0.23352
357.60	0.23451
357.80	0.23517
358.00	0.23565
358.20	0.23674
358.40	0.23816
358.60	0.23997
358.80	0.24134
359.00	0.24220
359.20	0.24307
359.40	0.24425
359.60	0.24503
359.80	0.24625
360.00	0.24727
360.20	0.24943
360.40	0.25033
360.60	0.25163
360.80	0.25293
361.00	0.25493
361.20	0.25689
361.40	0.25784
361.60	0.25913
361.80	0.26066
362.00	0.26259
362.20	0.26392
362.40	0.26545
362.60	0.26722
362.80	0.26852
363.00	0.27005
363.20	0.27111
363.40	0.27307
363.60	0.27472
363.80	0.27700
364.00	0.27771
364.20	0.27932
364.40	0.28057
364.60	0.28274
364.80	0.28438
365.00	0.28560
365.20	0.28666
365.40	0.28772
365.60	0.28953
365.80	0.29126
366.00	0.29275
366.20	0.29412
366.40	0.29573
366.60	0.29711
366.80	0.29848
367.00	0.29982
367.20	0.30131
367.40	0.30292
367.60	0.30406
367.80	0.30563
368.00	0.30677
368.20	0.30826
368.40	0.31011
368.60	0.31180
368.80	0.31309
369.00	0.31415
369.20	0.31569
369.40	0.31737
369.60	0.31961
369.80	0.32095
370.00	0.32248
370.20	0.32393
370.40	0.32523
370.60	0.32704
370.80	0.32888
371.00	0.33018
371.20	0.33171
371.40	0.33332
371.60	0.33489
371.80	0.33650
372.00	0.33823
372.20	0.34055
372.40	0.34247
372.60	0.34479
372.80	0.34620
373.00	0.34797
373.20	0.34985
373.40	0.35217
373.60	0.35437
373.80	0.35653
374.00	0.35869
374.20	0.36093
374.40	0.36372
374.60	0.36635
374.80	0.36922
375.00	0.37197
375.20	0.37448
375.40	0.37798
375.60	0.38127
375.80	0.38457
376.00	0.38713
376.20	0.39007
376.40	0.39282
376.60	0.39600
376.80	0.39930
377.00	0.40284
377.20	0.40676
377.40	0.41026
377.60	0.41403
377.80	0.41764
378.00	0.42129
378.20	0.42448
378.40	0.42777
378.60	0.43170
378.80	0.43579
379.00	0.43983
379.20	0.44376
379.40	0.44753
379.60	0.45150
379.80	0.45570
380.00	0.46045
380.20	0.46505
380.40	0.46984
380.60	0.47439
380.80	0.47863
381.00	0.48315
381.20	0.48767
381.40	0.49293
381.60	0.49776
381.80	0.50283
382.00	0.50793
382.20	0.51351
382.40	0.51826
382.60	0.52329
382.80	0.52863
383.00	0.53468
383.20	0.53994
383.40	0.54485
383.60	0.55004
383.80	0.55502
384.00	0.55985
384.20	0.56421
384.40	0.56932
384.60	0.57423
384.80	0.57886
385.00	0.58334
385.20	0.58782
385.40	0.59237
385.60	0.59669
385.80	0.60117
386.00	0.60557
386.20	0.60981
386.40	0.61346
386.60	0.61739
386.80	0.62038
387.00	0.62324
387.20	0.62583
387.40	0.62858
387.60	0.63098
387.80	0.63330
388.00	0.63534
388.20	0.63730
388.40	0.63872
388.60	0.64005
388.80	0.64099
389.00	0.64158
389.20	0.64205
389.40	0.64237
389.60	0.64249
389.80	0.64229
390.00	0.64178
390.20	0.64099
390.40	0.63966
390.60	0.63848
390.80	0.63711
391.00	0.63589
391.20	0.63436
391.40	0.63247
391.60	0.63008
391.80	0.62733
392.00	0.62426
392.20	0.62132
392.40	0.61833
392.60	0.61527
392.80	0.61209
393.00	0.60871
393.20	0.60549
393.40	0.60231
393.60	0.59897
393.80	0.59579
394.00	0.59261
394.20	0.58900
394.40	0.58530
394.60	0.58181
394.80	0.57839
395.00	0.57525
395.20	0.57262
395.40	0.56975
395.60	0.56665
395.80	0.56358
396.00	0.56088
396.20	0.55813
396.40	0.55542
396.60	0.55282
396.80	0.55047
397.00	0.54858
397.20	0.54646
397.40	0.54469
397.60	0.54297
397.80	0.54143
398.00	0.54014
398.20	0.53888
398.40	0.53802
398.60	0.53747
398.80	0.53653
399.00	0.53539
399.20	0.53436
399.40	0.53374
399.60	0.53330
399.80	0.53268
400.00	0.53236
400.20	0.53248
400.40	0.53279
400.60	0.53287
400.80	0.53275
401.00	0.53307
401.20	0.53346
401.40	0.53385
401.60	0.53444
401.80	0.53539
402.00	0.53653
402.20	0.53723
402.40	0.53778
402.60	0.53849
402.80	0.53931
403.00	0.54022
403.20	0.54088
403.40	0.54151
403.60	0.54265
403.80	0.54363
404.00	0.54458
404.20	0.54517
404.40	0.54607
404.60	0.54717
404.80	0.54835
405.00	0.54929
405.20	0.55055
405.40	0.55157
405.60	0.55290
405.80	0.55408
406.00	0.55526
406.20	0.55628
406.40	0.55765
406.60	0.55887
406.80	0.56005
407.00	0.56115
407.20	0.56233
407.40	0.56374
407.60	0.56484
407.80	0.56598
408.00	0.56700
408.20	0.56842
408.40	0.57026
408.60	0.57246
408.80	0.57435
409.00	0.57600
409.20	0.57757
409.40	0.57949
409.60	0.58153
409.80	0.58310
410.00	0.58495
410.20	0.58672
410.40	0.58892
410.60	0.59119
410.80	0.59379
411.00	0.59622
411.20	0.59846
411.40	0.60097
411.60	0.60384
411.80	0.60671
412.00	0.60946
412.20	0.61225
412.40	0.61566
412.60	0.61916
412.80	0.62277
413.00	0.62642
413.20	0.63019
413.40	0.63349
413.60	0.63695
413.80	0.64088
414.00	0.64535
414.20	0.64979
414.40	0.65447
414.60	0.65922
414.80	0.66385
415.00	0.66856
415.20	0.67347
415.40	0.67795
415.60	0.68274
415.80	0.68777
416.00	0.69331
416.20	0.69881
416.40	0.70466
416.60	0.71043
416.80	0.71656
417.00	0.72245
417.20	0.72795
417.40	0.73286
417.60	0.73796
417.80	0.74346
418.00	0.74939
418.20	0.75540
418.40	0.76117
418.60	0.76710
418.80	0.77303
419.00	0.77924
419.20	0.78541
419.40	0.79145
419.60	0.79695
419.80	0.80253
420.00	0.80862
420.20	0.81490
420.40	0.82083
420.60	0.82657
420.80	0.83238
421.00	0.83792
421.20	0.84373
421.40	0.84930
421.60	0.85488
421.80	0.86018
422.00	0.86564
422.20	0.87087
422.40	0.87554
422.60	0.88010
422.80	0.88465
423.00	0.88933
423.20	0.89380
423.40	0.89804
423.60	0.90166
423.80	0.90539
424.00	0.90928
424.20	0.91316
424.40	0.91646
424.60	0.91941
424.80	0.92200
425.00	0.92463
425.20	0.92719
425.40	0.92935
425.60	0.93127
425.80	0.93296
426.00	0.93453
426.20	0.93567
426.40	0.93685
426.60	0.93763
426.80	0.93806
427.00	0.93818
427.20	0.93838
427.40	0.93846
427.60	0.93826
427.80	0.93799
428.00	0.93744
428.20	0.93704
428.40	0.93618
428.60	0.93528
428.80	0.93429
429.00	0.93296
429.20	0.93170
429.40	0.93029
429.60	0.92887
429.80	0.92715
430.00	0.92514
430.20	0.92310
430.40	0.92114
430.60	0.91941
430.80	0.91780
431.00	0.91611
431.20	0.91426
431.40	0.91210
431.60	0.90975
431.80	0.90743
432.00	0.90539
432.20	0.90366
432.40	0.90193
432.60	0.89997
432.80	0.89800
433.00	0.89628
433.20	0.89478
433.40	0.89357
433.60	0.89239
433.80	0.89117
434.00	0.88988
434.20	0.88874
434.40	0.88760
434.60	0.88658
434.80	0.88559
435.00	0.88516
435.20	0.88501
435.40	0.88489
435.60	0.88497
435.80	0.88501
436.00	0.88501
436.20	0.88508
436.40	0.88587
436.60	0.88705
436.80	0.88795
437.00	0.88866
437.20	0.88968
437.40	0.89078
437.60	0.89211
437.80	0.89353
438.00	0.89514
438.20	0.89694
438.40	0.89922
438.60	0.90142
438.80	0.90354
439.00	0.90555
439.20	0.90794
439.40	0.91053
439.60	0.91324
439.80	0.91611
440.00	0.91937
440.20	0.92251
440.40	0.92558
440.60	0.92876
440.80	0.93206
441.00	0.93535
441.20	0.93861
441.40	0.94250
441.60	0.94619
441.80	0.94989
442.00	0.95326
442.20	0.95696
442.40	0.96080
442.60	0.96442
442.80	0.96740
443.00	0.97047
443.20	0.97376
443.40	0.97699
443.60	0.98005
443.80	0.98268
444.00	0.98551
444.20	0.98802
444.40	0.99053
444.60	0.99246
444.80	0.99442
445.00	0.99611
445.20	0.99760
445.40	0.99882
445.60	0.99953
445.80	0.99996
446.00	1.0000
446.20	0.99980
446.40	0.99933
446.60	0.99851
446.80	0.99709
447.00	0.99521
447.20	0.99301
447.40	0.99053
447.60	0.98794
447.80	0.98460
448.00	0.98103
448.20	0.97706
448.40	0.97263
448.60	0.96744
448.80	0.96167
449.00	0.95538
449.20	0.94859
449.40	0.94191
449.60	0.93488
449.80	0.92746
450.00	0.91953
450.20	0.91132
450.40	0.90307
450.60	0.89412
450.80	0.88465
451.00	0.87456
451.20	0.86423
451.40	0.85363
451.60	0.84267
451.80	0.83155
452.00	0.82008
452.20	0.80807
452.40	0.79534
452.60	0.78234
452.80	0.76954
453.00	0.75658
453.20	0.74354
453.40	0.73038
453.60	0.71742
453.80	0.70450
454.00	0.69150
454.20	0.67819
454.40	0.66460
454.60	0.65085
454.80	0.63715
455.00	0.62305
455.20	0.60895
455.40	0.59481
455.60	0.58114
455.80	0.56728
456.00	0.55330
456.20	0.53935
456.40	0.52569
456.60	0.51249
456.80	0.49961
457.00	0.48696
457.20	0.47408
457.40	0.46143
457.60	0.44875
457.80	0.43602
458.00	0.42314
458.20	0.41097
458.40	0.39965
458.60	0.38846
458.80	0.37660
459.00	0.36478
459.20	0.35308
459.40	0.34153
459.60	0.33041
459.80	0.31985
460.00	0.30944
460.20	0.29923
460.40	0.28922
460.60	0.27940
460.80	0.26954
461.00	0.26015
461.20	0.25128
461.40	0.24283
461.60	0.23486
461.80	0.22685
462.00	0.21868
462.20	0.21106
462.40	0.20423
462.60	0.19767
462.80	0.19079
463.00	0.18396
463.20	0.17736
463.40	0.17092
463.60	0.16483
463.80	0.15902
464.00	0.15337
464.20	0.14779
464.40	0.14241
464.60	0.13707
464.80	0.13200
465.00	0.12721
465.20	0.12316
465.40	0.11939
465.60	0.11566
465.80	0.11185
466.00	0.10816
466.20	0.10447
466.40	0.10090
466.60	0.097480
466.80	0.094220
467.00	0.091390
467.20	0.088600
467.40	0.086050
467.60	0.083730
467.80	0.081340
468.00	0.079140
468.20	0.077020
468.40	0.074860
468.60	0.072460
468.80	0.070340
469.00	0.068490
469.20	0.066770
469.40	0.065200
469.60	0.063820
469.80	0.062520
470.00	0.060990
470.20	0.059260
470.40	0.057730
470.60	0.056360
470.80	0.055260
471.00	0.054360
471.20	0.053530
471.40	0.052710
471.60	0.051880
471.80	0.051060
472.00	0.050230
472.20	0.049330
472.40	0.048430
472.60	0.047520
472.80	0.046740
473.00	0.046150
473.20	0.045720
473.40	0.045240
473.60	0.044580
473.80	0.043990
474.00	0.043520
474.20	0.042970
474.40	0.042490
474.60	0.042100
474.80	0.041870
475.00	0.041630
475.20	0.041430
475.40	0.041160
475.60	0.040690
475.80	0.040180
476.00	0.039860
476.20	0.039630
476.40	0.039430
476.60	0.039310
476.80	0.039120
477.00	0.038960
477.20	0.038880
477.40	0.038800
477.60	0.038610
477.80	0.038410
478.00	0.038210
478.20	0.038290
478.40	0.038290
478.60	0.038250
478.80	0.037980
479.00	0.037820
479.20	0.037940
479.40	0.038060
479.60	0.038170
479.80	0.038170
480.00	0.038100
480.20	0.038060
480.40	0.038060
480.60	0.038060
480.80	0.038020
481.00	0.037980
481.20	0.037900
481.40	0.037940
481.60	0.038140
481.80	0.038370
482.00	0.038370
482.20	0.038290
482.40	0.038170
482.60	0.038290
482.80	0.038490
483.00	0.038840
483.20	0.038840
483.40	0.038920
483.60	0.038840
483.80	0.039080
484.00	0.039160
484.20	0.039310
484.40	0.039430
484.60	0.039750
484.80	0.039780
485.00	0.039900
485.20	0.039980
485.40	0.040140
485.60	0.040330
485.80	0.040410
486.00	0.040330
486.20	0.040530
486.40	0.040690
486.60	0.040920
486.80	0.041240
487.00	0.041360
487.20	0.041470
487.40	0.041670
487.60	0.041910
487.80	0.042140
488.00	0.042340
488.20	0.042460
488.40	0.042610
488.60	0.042850
488.80	0.042890
489.00	0.043010
489.20	0.043200
489.40	0.043400
489.60	0.043590
489.80	0.043630
490.00	0.043750
490.20	0.044070
490.40	0.044380
490.60	0.044650
490.80	0.044850
491.00	0.045010
491.20	0.045130
491.40	0.045240
491.60	0.045320
491.80	0.045520
492.00	0.045830
492.20	0.046070
492.40	0.046270
492.60	0.046460
492.80	0.046740
493.00	0.046930
493.20	0.046700
493.40	0.046620
493.60	0.046740
493.80	0.046930
494.00	0.047090
494.20	0.047290
494.40	0.047400
494.60	0.047480
494.80	0.047640
495.00	0.047880
495.20	0.048190
495.40	0.048350
495.60	0.048660
495.80	0.048780
496.00	0.048700
496.20	0.048660
496.40	0.048660
496.60	0.048660
496.80	0.048700
497.00	0.048740
497.20	0.048780
497.40	0.048780
497.60	0.048970
497.80	0.049010
498.00	0.049250
498.20	0.049370
498.40	0.049560
498.60	0.049450
498.80	0.049210
499.00	0.049050
499.20	0.049250
499.40	0.049490
499.60	0.049560
499.80	0.049560
500.00	0.049370
500.20	0.049410
500.40	0.049330
500.60	0.049370
500.80	0.049370
501.00	0.049210
501.20	0.049090
501.40	0.049010
501.60	0.049130
501.80	0.049090
502.00	0.049050
502.20	0.048970
502.40	0.048860
502.60	0.048660
502.80	0.048390
503.00	0.048350
503.20	0.048350
503.40	0.048350
503.60	0.048230
503.80	0.048190
504.00	0.048190
504.20	0.048070
504.40	0.047880
504.60	0.047800
504.80	0.047880
505.00	0.047840
505.20	0.047640
505.40	0.047520
505.60	0.047330
505.80	0.047210
506.00	0.047170
506.20	0.046970
506.40	0.046850
506.60	0.046780
506.80	0.046740
507.00	0.046810
507.20	0.046740
507.40	0.046700
507.60	0.046540
507.80	0.046460
508.00	0.046420
508.20	0.046420
508.40	0.046460
508.60	0.046420
508.80	0.046420
509.00	0.046460
509.20	0.046700
509.40	0.046930
509.60	0.047130
509.80	0.047170
510.00	0.047050
510.20	0.047170
510.40	0.047170
510.60	0.047360
510.80	0.047400
511.00	0.047560
511.20	0.047640
511.40	0.047640
511.60	0.047760
511.80	0.047990
512.00	0.048390
512.20	0.048740
512.40	0.049090
512.60	0.049450
512.80	0.049680
513.00	0.049920
513.20	0.050040
513.40	0.050510
513.60	0.050940
513.80	0.051410
514.00	0.051880
514.20	0.052430
514.40	0.052780
514.60	0.053180
514.80	0.053730
515.00	0.054360
515.20	0.054940
515.40	0.055530
515.60	0.056240
515.80	0.056870
516.00	0.057540
516.20	0.058280
516.40	0.059030
516.60	0.059700
516.80	0.060360
517.00	0.061270
517.20	0.062170
517.40	0.062720
517.60	0.063270
517.80	0.063900
518.00	0.064680
518.20	0.065310
518.40	0.066140
518.60	0.067120
518.80	0.067940
519.00	0.068730
519.20	0.069550
519.40	0.070420
519.60	0.071240
519.80	0.072030
520.00	0.073010
520.20	0.074070
520.40	0.075050
520.60	0.075720
520.80	0.076700
521.00	0.077840
521.20	0.079060
521.40	0.080200
521.60	0.081220
521.80	0.082280
522.00	0.083300
522.20	0.084130
522.40	0.085030
522.60	0.086050
522.80	0.087310
523.00	0.088410
523.20	0.089350
523.40	0.090210
523.60	0.091190
523.80	0.092370
524.00	0.093390
524.20	0.094420
524.40	0.095480
524.60	0.096540
524.80	0.097600
525.00	0.098580
525.20	0.099680
525.40	0.10054
525.60	0.10164
525.80	0.10262
526.00	0.10376
526.20	0.10478
526.40	0.10569
526.60	0.10655
526.80	0.10761
527.00	0.10875
527.20	0.10973
527.40	0.11064
527.60	0.11166
527.80	0.11248
528.00	0.11342
528.20	0.11448
528.40	0.11551
528.60	0.11637
528.80	0.11723
529.00	0.11825
529.20	0.11888
529.40	0.11967
529.60	0.12057
529.80	0.12163
530.00	0.12281
530.20	0.12379
530.40	0.12466
530.60	0.12536
530.80	0.12595
531.00	0.12638
531.20	0.12733
531.40	0.12831
531.60	0.12898
531.80	0.12941
532.00	0.13004
532.20	0.13063
532.40	0.13118
532.60	0.13173
532.80	0.13228
533.00	0.13279
533.20	0.13310
533.40	0.13326
533.60	0.13369
533.80	0.13420
534.00	0.13455
534.20	0.13455
534.40	0.13467
534.60	0.13475
534.80	0.13491
535.00	0.13483
535.20	0.13483
535.40	0.13459
535.60	0.13455
535.80	0.13447
536.00	0.13428
536.20	0.13400
536.40	0.13369
536.60	0.13353
536.80	0.13322
537.00	0.13294
537.20	0.13247
537.40	0.13200
537.60	0.13149
537.80	0.13082
538.00	0.13004
538.20	0.12921
538.40	0.12858
538.60	0.12796
538.80	0.12729
539.00	0.12662
539.20	0.12587
539.40	0.12505
539.60	0.12422
539.80	0.12309
540.00	0.12202
540.20	0.12100
540.40	0.12010
540.60	0.11920
540.80	0.11818
541.00	0.11715
541.20	0.11598
541.40	0.11511
541.60	0.11417
541.80	0.11315
542.00	0.11193
542.20	0.11067
542.40	0.10954
542.60	0.10844
542.80	0.10726
543.00	0.10620
543.20	0.10486
543.40	0.10349
543.60	0.10223
543.80	0.10109
544.00	0.099990
544.20	0.098970
544.40	0.097830
544.60	0.096730
544.80	0.095550
545.00	0.094420
545.20	0.093320
545.40	0.092290
545.60	0.091390
545.80	0.090410
546.00	0.089470
546.20	0.088450
546.40	0.087500
546.60	0.086560
546.80	0.085500
547.00	0.084710
547.20	0.084090
547.40	0.083420
547.60	0.082670
547.80	0.082000
548.00	0.081300
548.20	0.080590
548.40	0.080080
548.60	0.079570
548.80	0.079100
549.00	0.078630
549.20	0.078190
549.40	0.077880
549.60	0.077610
549.80	0.077330
550.00	0.077100
550.20	0.076940
550.40	0.076940
550.60	0.076900
550.80	0.076820
551.00	0.076740
551.20	0.076820
551.40	0.077060
551.60	0.077250
551.80	0.077570
552.00	0.077720
552.20	0.078040
552.40	0.078430
552.60	0.078980
552.80	0.079650
553.00	0.080120
553.20	0.080790
553.40	0.081530
553.60	0.082550
553.80	0.083540
554.00	0.084400
554.20	0.085380
554.40	0.086320
554.60	0.087420
554.80	0.088520
555.00	0.089620
555.20	0.090880
555.40	0.092140
555.60	0.093550
555.80	0.095040
556.00	0.096610
556.20	0.098220
556.40	0.099950
556.60	0.10176
556.80	0.10364
557.00	0.10549
557.20	0.10726
557.40	0.10914
557.60	0.11115
557.80	0.11315
558.00	0.11515
558.20	0.11712
558.40	0.11912
558.60	0.12120
558.80	0.12352
559.00	0.12580
559.20	0.12803
559.40	0.13004
559.60	0.13212
559.80	0.13432
560.00	0.13660
560.20	0.13887
560.40	0.14115
560.60	0.14335
560.80	0.14555
561.00	0.14795
561.20	0.15026
561.40	0.15258
561.60	0.15474
561.80	0.15682
562.00	0.15879
562.20	0.16098
562.40	0.16307
562.60	0.16511
562.80	0.16695
563.00	0.16892
563.20	0.17080
563.40	0.17241
563.60	0.17410
563.80	0.17567
564.00	0.17748
564.20	0.17913
564.40	0.18082
564.60	0.18227
564.80	0.18353
565.00	0.18455
565.20	0.18557
565.40	0.18675
565.60	0.18789
565.80	0.18895
566.00	0.18966
566.20	0.19036
566.40	0.19099
566.60	0.19158
566.80	0.19213
567.00	0.19252
567.20	0.19291
567.40	0.19327
567.60	0.19362
567.80	0.19370
568.00	0.19374
568.20	0.19382
568.40	0.19390
568.60	0.19362
568.80	0.19335
569.00	0.19295
569.20	0.19268
569.40	0.19225
569.60	0.19158
569.80	0.19099
570.00	0.19028
570.20	0.18942
570.40	0.18856
570.60	0.18761
570.80	0.18679
571.00	0.18581
571.20	0.18475
571.40	0.18365
571.60	0.18227
571.80	0.18086
572.00	0.17933
572.20	0.17787
572.40	0.17642
572.60	0.17505
572.80	0.17371
573.00	0.17241
573.20	0.17084
573.40	0.16923
573.60	0.16735
573.80	0.16558
574.00	0.16389
574.20	0.16205
574.40	0.16020
574.60	0.15816
574.80	0.15623
575.00	0.15439
575.20	0.15258
575.40	0.15081
575.60	0.14905
575.80	0.14700
576.00	0.14500
576.20	0.14292
576.40	0.14088
576.60	0.13883
576.80	0.13695
577.00	0.13495
577.20	0.13294
577.40	0.13090
577.60	0.12882
577.80	0.12654
578.00	0.12458
578.20	0.12265
578.40	0.12053
578.60	0.11829
578.80	0.11594
579.00	0.11386
579.20	0.11181
579.40	0.10969
579.60	0.10757
579.80	0.10545
580.00	0.10345
580.20	0.10117
580.40	0.099130
580.60	0.097200
580.80	0.095160
581.00	0.093120
581.20	0.091190
581.40	0.089150
581.60	0.087270
581.80	0.085380
582.00	0.083460
582.20	0.081650
582.40	0.079920
582.60	0.078430
582.80	0.076780
583.00	0.074900
583.20	0.073050
583.40	0.071280
583.60	0.069870
583.80	0.068610
584.00	0.067120
584.20	0.065510
584.40	0.063900
584.60	0.062330
584.80	0.060800
585.00	0.059500
585.20	0.058170
585.40	0.057070
585.60	0.055810
585.80	0.054430
586.00	0.053140
586.20	0.051920
586.40	0.050700
586.60	0.049560
586.80	0.048460
587.00	0.047360
587.20	0.046380
587.40	0.045440
587.60	0.044580
587.80	0.043630
588.00	0.042890
588.20	0.041940
588.40	0.041040
588.60	0.040060
588.80	0.039270
589.00	0.038410
589.20	0.037590
589.40	0.037040
589.60	0.036370
589.80	0.035820
590.00	0.035110
590.20	0.034600
590.40	0.033970
590.60	0.033500
590.80	0.032950
591.00	0.032280
591.20	0.031690
591.40	0.031140
591.60	0.030670
591.80	0.030080
592.00	0.029490
592.20	0.028980
592.40	0.028670
592.60	0.028400
592.80	0.028040
593.00	0.027570
593.20	0.027140
593.40	0.026790
593.60	0.026310
593.80	0.025880
594.00	0.025650
594.20	0.025290
594.40	0.024980
594.60	0.024780
594.80	0.024620
595.00	0.024190
595.20	0.023840
595.40	0.023530
595.60	0.023330
595.80	0.023090
596.00	0.022780
596.20	0.022580
596.40	0.022350
596.60	0.022230
596.80	0.021990
597.00	0.021880
597.20	0.021840
597.40	0.021760
597.60	0.021560
597.80	0.021520
598.00	0.021560
598.20	0.021440
598.40	0.021330
598.60	0.021210
598.80	0.021290
599.00	0.021210
599.20	0.020970
599.40	0.020970
599.60	0.021010
599.80	0.021210
600.00	0.021210
600.20	0.021210
600.40	0.021290
600.60	0.021250
600.80	0.021290
601.00	0.021290
601.20	0.021440
601.40	0.021720
601.60	0.021760
601.80	0.021880
602.00	0.021920
602.20	0.022030
602.40	0.022110
602.60	0.022190
602.80	0.022430
603.00	0.022700
603.20	0.023050
603.40	0.023330
603.60	0.023410
603.80	0.023560
604.00	0.023720
604.20	0.024150
604.40	0.024590
604.60	0.024860
604.80	0.025100
605.00	0.025410
605.20	0.025690
605.40	0.025880
605.60	0.026120
605.80	0.026510
606.00	0.026980
606.20	0.027450
606.40	0.027810
606.60	0.028160
606.80	0.028590
607.00	0.029020
607.20	0.029300
607.40	0.029690
607.60	0.030320
607.80	0.030950
608.00	0.031340
608.20	0.032090
608.40	0.032720
608.60	0.033380
608.80	0.033820
609.00	0.034360
609.20	0.034990
609.40	0.035780
