Wavelength (nm)	ZnC-A13
505.00	0.022523
506.00	0.022906
507.00	0.023113
508.00	0.023323
509.00	0.023324
510.00	0.023360
511.00	0.023384
512.00	0.023071
513.00	0.022606
514.00	0.022103
515.00	0.021504
516.00	0.021071
517.00	0.020540
518.00	0.019942
519.00	0.019374
520.00	0.018688
521.00	0.018037
522.00	0.017589
523.00	0.017151
524.00	0.016855
525.00	0.016482
526.00	0.016327
527.00	0.016205
528.00	0.016110
529.00	0.016155
530.00	0.016247
531.00	0.016435
532.00	0.016721
533.00	0.017115
534.00	0.017362
535.00	0.017720
536.00	0.017973
537.00	0.018376
538.00	0.018908
539.00	0.019458
540.00	0.019986
541.00	0.020492
542.00	0.021147
543.00	0.021762
544.00	0.022286
545.00	0.022742
546.00	0.023418
547.00	0.023997
548.00	0.024529
549.00	0.024934
550.00	0.025183
551.00	0.025453
552.00	0.025672
553.00	0.025901
554.00	0.026051
555.00	0.026104
556.00	0.026162
557.00	0.026000
558.00	0.025971
559.00	0.025732
560.00	0.025680
561.00	0.025610
562.00	0.025504
563.00	0.025789
564.00	0.026346
565.00	0.027147
566.00	0.028480
567.00	0.030423
568.00	0.032751
569.00	0.035575
570.00	0.038802
571.00	0.042171
572.00	0.045486
573.00	0.048344
574.00	0.051171
575.00	0.053540
576.00	0.055289
577.00	0.057285
578.00	0.059443
579.00	0.060865
580.00	0.062304
581.00	0.063674
582.00	0.064400
583.00	0.064050
584.00	0.064170
585.00	0.064436
586.00	0.064143
587.00	0.063983
588.00	0.063571
589.00	0.062562
590.00	0.061894
591.00	0.060886
592.00	0.059965
593.00	0.059155
594.00	0.057643
595.00	0.056567
596.00	0.055817
597.00	0.055365
598.00	0.055086
599.00	0.054845
600.00	0.054034
601.00	0.053105
602.00	0.051461
603.00	0.050289
604.00	0.049418
605.00	0.048918
606.00	0.049627
607.00	0.050997
608.00	0.053468
609.00	0.056989
610.00	0.061666
611.00	0.067141
612.00	0.073412
613.00	0.080954
614.00	0.089771
615.00	0.10058
616.00	0.11403
617.00	0.13186
618.00	0.15389
619.00	0.18100
620.00	0.21488
621.00	0.25234
622.00	0.29760
623.00	0.34578
624.00	0.39480
625.00	0.44112
626.00	0.47740
627.00	0.50217
628.00	0.51079
629.00	0.50260
630.00	0.47929
631.00	0.44387
632.00	0.39714
633.00	0.34455
634.00	0.28815
635.00	0.23403
636.00	0.18568
637.00	0.14428
638.00	0.11042
639.00	0.084244
640.00	0.063928
641.00	0.048934
642.00	0.037511
643.00	0.029318
644.00	0.023278
645.00	0.018604
646.00	0.015270
647.00	0.012702
648.00	0.010750
649.00	0.0092402
650.00	0.0080439
651.00	0.0070988
652.00	0.0064721
653.00	0.0058223
654.00	0.0053139
655.00	0.0051498
656.00	0.0047599
657.00	0.0042509
658.00	0.0040442
659.00	0.0034968
660.00	0.0030719
661.00	0.0028982
662.00	0.0027078
663.00	0.0025235
664.00	0.0022943
665.00	0.0019726
666.00	0.0016402
667.00	0.0015159
668.00	0.0015115
669.00	0.0016288
670.00	0.0015785
671.00	0.0014939
672.00	0.0013502
673.00	0.0011130
674.00	0.00091381
675.00	0.00086444
676.00	0.00091292
677.00	0.00096494
678.00	0.0010469
679.00	0.0011792
680.00	0.0011633
681.00	0.0010222
682.00	0.00084593
683.00	0.00064669
684.00	0.00071193
685.00	0.00070311
686.00	0.00067578
687.00	0.00055060
688.00	0.00059821
689.00	0.00060438
690.00	0.00065022
691.00	0.00078069
692.00	0.00082918
693.00	0.00085386
694.00	0.00086091
695.00	0.00074895
696.00	0.00083094
697.00	0.00088119
698.00	0.00094995
699.00	0.00092174
700.00	0.00082389
