Wavelength (nm)	202 ZnC-M10 (SE198)
594.00	0.038190
595.00	0.043536
596.00	0.048086
597.00	0.058376
598.00	0.073103
599.00	0.090526
600.00	0.11405
601.00	0.14139
602.00	0.17045
603.00	0.19911
604.00	0.21899
605.00	0.23303
606.00	0.23479
607.00	0.22509
608.00	0.20641
609.00	0.18190
610.00	0.15411
611.00	0.12696
612.00	0.10216
613.00	0.081214
614.00	0.063722
615.00	0.049948
616.00	0.039128
617.00	0.031096
618.00	0.024392
619.00	0.020027
620.00	0.016223
621.00	0.012966
622.00	0.011246
623.00	0.0095705
624.00	0.0077632
625.00	0.0069043
626.00	0.0055870
627.00	0.0049704
628.00	0.0041158
629.00	0.0038724
630.00	0.0034686
631.00	0.0033257
632.00	0.0033518
633.00	0.0030965
634.00	0.0030626
635.00	0.0029109
636.00	0.0029721
637.00	0.0025562
638.00	0.0023478
639.00	0.0019789
640.00	0.0020542
641.00	0.0018239
642.00	0.0018818
643.00	0.0019800
644.00	0.0018294
645.00	0.0018578
646.00	0.0017115
647.00	0.0016744
648.00	0.0018534
649.00	0.0017093
650.00	0.0014747
651.00	0.0016622
652.00	0.0016457
653.00	0.0018234
654.00	0.0017045
655.00	0.0017916
656.00	0.0018338
657.00	0.0016314
658.00	0.0017552
659.00	0.0018420
660.00	0.0017840
661.00	0.0019661
662.00	0.0020477
663.00	0.0021523
664.00	0.0021914
665.00	0.0022644
666.00	0.0021933
667.00	0.0024223
668.00	0.0023948
669.00	0.0025311
670.00	0.0024993
671.00	0.0025973
672.00	0.0028547
673.00	0.0024845
674.00	0.0025815
675.00	0.0026326
676.00	0.0025419
677.00	0.0024827
678.00	0.0026092
679.00	0.0024704
680.00	0.0024844
681.00	0.0023915
682.00	0.0023291
683.00	0.0023813
684.00	0.0023833
685.00	0.0024726
686.00	0.0023251
687.00	0.0024068
688.00	0.0023248
689.00	0.0025265
690.00	0.0025514
691.00	0.0027608
692.00	0.0027508
693.00	0.0029874
694.00	0.0028552
695.00	0.0033440
696.00	0.0031124
697.00	0.0036634
698.00	0.0032867
699.00	0.0035441
700.00	0.0036574
