Wavelength (nm)	 205 Zn-1 (SE195) [ZnC-T5M10A13]
437.00	0.14706
438.00	0.12030
439.00	0.099932
440.00	0.084615
441.00	0.072476
442.00	0.063819
443.00	0.057791
444.00	0.052851
445.00	0.049426
446.00	0.046753
447.00	0.044763
448.00	0.043312
449.00	0.042181
450.00	0.041300
451.00	0.040585
452.00	0.040006
453.00	0.039530
454.00	0.039192
455.00	0.038740
456.00	0.038339
457.00	0.038028
458.00	0.037702
459.00	0.037259
460.00	0.036998
461.00	0.036728
462.00	0.036495
463.00	0.036118
464.00	0.035691
465.00	0.035503
466.00	0.035080
467.00	0.034791
468.00	0.034411
469.00	0.033853
470.00	0.033621
471.00	0.033113
472.00	0.032718
473.00	0.032146
474.00	0.031518
475.00	0.030957
476.00	0.030329
477.00	0.029718
478.00	0.028871
479.00	0.028101
480.00	0.027296
481.00	0.026440
482.00	0.025576
483.00	0.024794
484.00	0.023952
485.00	0.023024
486.00	0.021955
487.00	0.021719
488.00	0.021314
489.00	0.020204
490.00	0.019391
491.00	0.018864
492.00	0.018351
493.00	0.017801
494.00	0.017290
495.00	0.016971
496.00	0.016798
497.00	0.016343
498.00	0.016230
499.00	0.015949
500.00	0.016014
501.00	0.016187
502.00	0.016223
503.00	0.016335
504.00	0.016589
505.00	0.016784
506.00	0.017289
507.00	0.017638
508.00	0.017876
509.00	0.018221
510.00	0.018809
511.00	0.019127
512.00	0.019539
513.00	0.019984
514.00	0.020334
515.00	0.020492
516.00	0.020798
517.00	0.021000
518.00	0.021069
519.00	0.021075
520.00	0.020847
521.00	0.020803
522.00	0.020548
523.00	0.020367
524.00	0.019939
525.00	0.019472
526.00	0.019153
527.00	0.018769
528.00	0.018402
529.00	0.017937
530.00	0.017646
531.00	0.017431
532.00	0.017208
533.00	0.016843
534.00	0.016643
535.00	0.016499
536.00	0.016391
537.00	0.016368
538.00	0.016233
539.00	0.016192
540.00	0.016116
541.00	0.016165
542.00	0.016097
543.00	0.016082
544.00	0.016221
545.00	0.016401
546.00	0.016629
547.00	0.016961
548.00	0.017268
549.00	0.017643
550.00	0.018134
551.00	0.018670
552.00	0.019344
553.00	0.019947
554.00	0.020684
555.00	0.021383
556.00	0.022203
557.00	0.023041
558.00	0.023721
559.00	0.024455
560.00	0.025093
561.00	0.025612
562.00	0.026055
563.00	0.026328
564.00	0.026418
565.00	0.026289
566.00	0.026281
567.00	0.025990
568.00	0.025699
569.00	0.025334
570.00	0.025073
571.00	0.025158
572.00	0.025375
573.00	0.025980
574.00	0.026666
575.00	0.027978
576.00	0.029707
577.00	0.031878
578.00	0.033776
579.00	0.036335
580.00	0.038508
581.00	0.040981
582.00	0.042358
583.00	0.044333
584.00	0.045806
585.00	0.046334
586.00	0.046927
587.00	0.047220
588.00	0.047008
589.00	0.046970
590.00	0.046862
591.00	0.046860
592.00	0.047152
593.00	0.047410
594.00	0.047978
595.00	0.048555
596.00	0.048773
597.00	0.048942
598.00	0.048528
599.00	0.047715
600.00	0.046832
601.00	0.045659
602.00	0.044444
603.00	0.043025
604.00	0.041736
605.00	0.040512
606.00	0.039164
607.00	0.038084
608.00	0.037177
609.00	0.036430
610.00	0.035961
611.00	0.036066
612.00	0.036665
613.00	0.037897
614.00	0.039578
615.00	0.041781
616.00	0.044622
617.00	0.048002
618.00	0.051699
619.00	0.056019
620.00	0.061094
621.00	0.067036
622.00	0.074512
623.00	0.083782
624.00	0.095443
625.00	0.11083
626.00	0.12962
627.00	0.15288
628.00	0.17965
629.00	0.20935
630.00	0.24086
631.00	0.27208
632.00	0.30253
633.00	0.32779
634.00	0.34548
635.00	0.35203
636.00	0.34612
637.00	0.32802
638.00	0.29982
639.00	0.26565
640.00	0.22783
641.00	0.19097
642.00	0.15612
643.00	0.12534
644.00	0.098924
645.00	0.077028
646.00	0.059462
647.00	0.045647
648.00	0.035193
649.00	0.027186
650.00	0.021033
651.00	0.016519
652.00	0.012999
653.00	0.010245
654.00	0.0081424
655.00	0.0065270
656.00	0.0050437
657.00	0.0044814
658.00	0.0040258
659.00	0.0025182
660.00	0.0020377
661.00	0.0015901
662.00	0.0011512
663.00	0.00088451
664.00	0.00068185
665.00	0.00049224
666.00	0.00036729
667.00	0.00029331
668.00	0.00021063
669.00	0.00025912
670.00	0.00012670
671.00	0.00019353
672.00	0.00020330
673.00	0.00014531
674.00	0.00011654
675.00	0.00013874
676.00	6.1475e-05
677.00	0.00011476
678.00	0.00013075
679.00	6.7783e-05
680.00	6.0767e-05
681.00	0.00011903
682.00	0.00011077
683.00	0.00013173
684.00	0.00019008
685.00	0.00011396
686.00	7.5125e-05
687.00	8.4786e-05
688.00	1.2386e-05
689.00	4.6403e-06
690.00	3.3572e-05
691.00	4.3231e-05
692.00	1.8078e-05
693.00	2.7738e-05
694.00	2.2479e-05
695.00	7.8763e-05
696.00	2.7500e-05
697.00	0.00011176
698.00	6.6092e-05
699.00	0.00012238
700.00	0.00015442
