Wavelength (nm)	236 FbC1-PO3H2 (SE266) abs
464.80	0.021230
465.00	0.021440
465.20	0.021350
465.40	0.021020
465.60	0.021620
465.80	0.021660
466.00	0.021080
466.20	0.021480
466.40	0.021890
466.60	0.021420
466.80	0.021300
467.00	0.022070
467.20	0.021630
467.40	0.021620
467.60	0.021400
467.80	0.022110
468.00	0.021490
468.20	0.021760
468.40	0.022190
468.60	0.021150
468.80	0.021370
469.00	0.022040
469.20	0.021550
469.40	0.021670
469.60	0.022250
469.80	0.022150
470.00	0.021550
470.20	0.021900
470.40	0.022440
470.60	0.021770
470.80	0.021850
471.00	0.022170
471.20	0.022010
471.40	0.021750
471.60	0.022030
471.80	0.022280
472.00	0.021700
472.20	0.022100
472.40	0.022730
472.60	0.021970
472.80	0.022010
473.00	0.022420
473.20	0.022310
473.40	0.022090
473.60	0.022700
473.80	0.022620
474.00	0.022210
474.20	0.022830
474.40	0.022520
474.60	0.022300
474.80	0.022520
475.00	0.023040
475.20	0.022990
475.40	0.022450
475.60	0.023390
475.80	0.023490
476.00	0.022390
476.20	0.023110
476.40	0.023320
476.60	0.023380
476.80	0.023130
477.00	0.023850
477.20	0.023650
477.40	0.023270
477.60	0.024110
477.80	0.023760
478.00	0.023790
478.20	0.024040
478.40	0.024630
478.60	0.024250
478.80	0.024400
479.00	0.024830
479.20	0.025050
479.40	0.024620
479.60	0.025770
479.80	0.025820
480.00	0.025760
480.20	0.025990
480.40	0.026440
480.60	0.026290
480.80	0.026280
481.00	0.027780
481.20	0.027300
481.40	0.027430
481.60	0.028320
481.80	0.028830
482.00	0.028720
482.20	0.029240
482.40	0.029800
482.60	0.029830
482.80	0.029740
483.00	0.030900
483.20	0.031110
483.40	0.031120
483.60	0.031950
483.80	0.032740
484.00	0.032390
484.20	0.033210
484.40	0.033770
484.60	0.034040
484.80	0.034490
485.00	0.035530
485.20	0.035980
485.40	0.035520
485.60	0.037060
485.80	0.037580
486.00	0.037830
486.20	0.038130
486.40	0.039160
486.60	0.039270
486.80	0.039640
487.00	0.040770
487.20	0.041070
487.40	0.041030
487.60	0.042170
487.80	0.042930
488.00	0.042700
488.20	0.043880
488.40	0.044660
488.60	0.044370
488.80	0.044430
489.00	0.045780
489.20	0.045840
489.40	0.046030
489.60	0.046830
489.80	0.047460
490.00	0.047400
490.20	0.048080
490.40	0.049080
490.60	0.049100
490.80	0.049390
491.00	0.050120
491.20	0.050560
491.40	0.050360
491.60	0.051460
491.80	0.051570
492.00	0.051980
492.20	0.052390
492.40	0.053100
492.60	0.053400
492.80	0.053410
493.00	0.054280
493.20	0.054520
493.40	0.054410
493.60	0.055340
493.80	0.055460
494.00	0.055290
494.20	0.055770
494.40	0.056970
494.60	0.056510
494.80	0.056660
495.00	0.057560
495.20	0.058020
495.40	0.057730
495.60	0.058450
495.80	0.058470
496.00	0.058690
496.20	0.058410
496.40	0.059650
496.60	0.059140
496.80	0.059250
497.00	0.059750
497.20	0.060240
497.40	0.059760
497.60	0.060460
497.80	0.061070
498.00	0.060420
498.20	0.060620
498.40	0.060930
498.60	0.060820
498.80	0.060490
499.00	0.061420
499.20	0.061460
499.40	0.060770
499.60	0.061660
499.80	0.061670
500.00	0.061150
500.20	0.061050
500.40	0.061350
500.60	0.061650
500.80	0.060980
501.00	0.061450
501.20	0.061550
501.40	0.061160
501.60	0.061050
501.80	0.061460
502.00	0.061250
502.20	0.061110
502.40	0.061240
502.60	0.061230
502.80	0.060270
503.00	0.060860
503.20	0.060820
503.40	0.060230
503.60	0.060570
503.80	0.060650
504.00	0.059480
504.20	0.059250
504.40	0.059630
504.60	0.059070
504.80	0.058220
505.00	0.058780
505.20	0.058280
505.40	0.057550
505.60	0.057600
505.80	0.057070
506.00	0.056540
506.20	0.056420
506.40	0.055620
506.60	0.054920
506.80	0.054370
507.00	0.054270
507.20	0.053970
507.40	0.052670
507.60	0.052190
507.80	0.052220
508.00	0.051270
508.20	0.050230
508.40	0.049970
508.60	0.049260
508.80	0.048730
509.00	0.048250
509.20	0.047850
509.40	0.046330
509.60	0.046160
509.80	0.045700
510.00	0.044630
510.20	0.044050
510.40	0.044010
510.60	0.042930
510.80	0.041790
511.00	0.041780
511.20	0.040670
511.40	0.039830
511.60	0.039480
511.80	0.039040
512.00	0.037980
512.20	0.037310
512.40	0.037560
512.60	0.036340
512.80	0.035510
513.00	0.035210
513.20	0.034720
513.40	0.033790
513.60	0.033540
513.80	0.033150
514.00	0.032390
514.20	0.031670
514.40	0.031830
514.60	0.031040
514.80	0.030590
515.00	0.030340
515.20	0.030100
515.40	0.029000
515.60	0.029330
515.80	0.029090
516.00	0.028190
516.20	0.027720
516.40	0.027870
516.60	0.027630
516.80	0.026860
517.00	0.026990
517.20	0.026970
517.40	0.025790
517.60	0.025860
517.80	0.026240
518.00	0.025260
518.20	0.025020
518.40	0.025250
518.60	0.024980
518.80	0.024540
519.00	0.025160
519.20	0.024730
519.40	0.024090
519.60	0.024010
519.80	0.024490
520.00	0.023820
520.20	0.023930
520.40	0.023980
520.60	0.023680
520.80	0.023390
521.00	0.023760
521.20	0.023470
521.40	0.022990
521.60	0.023280
521.80	0.023660
522.00	0.023490
522.20	0.023200
522.40	0.023670
522.60	0.023100
522.80	0.023160
523.00	0.023310
523.20	0.023730
523.40	0.022780
523.60	0.023150
523.80	0.023330
524.00	0.023130
524.20	0.022810
524.40	0.023740
524.60	0.023440
524.80	0.023020
525.00	0.023330
525.20	0.023340
525.40	0.023030
525.60	0.023520
525.80	0.023500
526.00	0.023220
526.20	0.023110
526.40	0.023780
526.60	0.023430
526.80	0.023370
527.00	0.023420
527.20	0.023660
527.40	0.023100
527.60	0.023460
527.80	0.023570
528.00	0.023260
528.20	0.023010
528.40	0.023360
528.60	0.023740
528.80	0.023130
529.00	0.023070
529.20	0.023460
529.40	0.023080
529.60	0.023290
529.80	0.023700
530.00	0.022790
530.20	0.022750
530.40	0.023150
530.60	0.022860
530.80	0.022620
531.00	0.022650
531.20	0.023240
531.40	0.022700
531.60	0.022500
531.80	0.022490
532.00	0.022560
532.20	0.022010
532.40	0.022450
532.60	0.022070
532.80	0.021640
533.00	0.022020
533.20	0.022090
533.40	0.021650
533.60	0.021130
533.80	0.021510
534.00	0.020880
534.20	0.020790
534.40	0.021340
534.60	0.021010
534.80	0.020390
535.00	0.020880
535.20	0.020850
535.40	0.020370
535.60	0.020140
535.80	0.020380
536.00	0.019920
536.20	0.019980
536.40	0.020050
536.60	0.019550
536.80	0.018960
537.00	0.019420
537.20	0.019240
537.40	0.018700
537.60	0.018360
537.80	0.018880
538.00	0.018240
538.20	0.018190
538.40	0.018610
538.60	0.018100
538.80	0.017530
539.00	0.018060
539.20	0.018010
539.40	0.017170
539.60	0.016960
539.80	0.017780
540.00	0.016860
540.20	0.016760
540.40	0.017020
540.60	0.016870
540.80	0.016360
541.00	0.016280
541.20	0.016450
541.40	0.015890
541.60	0.015800
541.80	0.016150
542.00	0.015710
542.20	0.015120
542.40	0.015450
542.60	0.015890
542.80	0.014850
543.00	0.015290
543.20	0.015440
543.40	0.014570
543.60	0.014780
543.80	0.015260
544.00	0.014620
544.20	0.014340
544.40	0.014560
544.60	0.014690
544.80	0.014140
545.00	0.014380
545.20	0.014550
545.40	0.013960
545.60	0.013530
545.80	0.014350
546.00	0.013660
546.20	0.013510
546.40	0.013820
546.60	0.013660
546.80	0.013240
547.00	0.013240
547.20	0.013960
547.40	0.013050
547.60	0.012860
547.80	0.013380
548.00	0.012750
548.20	0.012760
548.40	0.013180
548.60	0.013350
548.80	0.012650
549.00	0.012990
549.20	0.013240
549.40	0.012500
549.60	0.012720
549.80	0.012790
550.00	0.012660
550.20	0.012120
550.40	0.012610
550.60	0.012840
550.80	0.012240
551.00	0.012280
551.20	0.012520
551.40	0.012600
551.60	0.011990
551.80	0.012720
552.00	0.012500
552.20	0.012380
552.40	0.012460
552.60	0.012540
552.80	0.012000
553.00	0.011820
553.20	0.012700
553.40	0.012280
553.60	0.011910
553.80	0.012630
554.00	0.012440
554.20	0.011720
554.40	0.012580
554.60	0.012220
554.80	0.011850
555.00	0.012060
555.20	0.012640
555.40	0.011850
555.60	0.012180
555.80	0.012530
556.00	0.012550
556.20	0.011800
556.40	0.012470
556.60	0.012870
556.80	0.012040
557.00	0.012320
557.20	0.012860
557.40	0.012350
557.60	0.012480
557.80	0.012940
558.00	0.012830
558.20	0.012340
558.40	0.013050
558.60	0.013350
558.80	0.012620
559.00	0.013470
559.20	0.013550
559.40	0.013000
559.60	0.012990
559.80	0.013390
560.00	0.013720
560.20	0.012730
560.40	0.013800
560.60	0.013740
560.80	0.013130
561.00	0.013440
561.20	0.014260
561.40	0.013910
561.60	0.013750
561.80	0.014330
562.00	0.014050
562.20	0.014240
562.40	0.014710
562.60	0.014940
562.80	0.014620
563.00	0.014760
563.20	0.015780
563.40	0.015330
563.60	0.015340
563.80	0.016250
564.00	0.016240
564.20	0.015660
564.40	0.016670
564.60	0.016880
564.80	0.016620
565.00	0.016850
565.20	0.017700
565.40	0.017210
565.60	0.017230
565.80	0.018410
566.00	0.018090
566.20	0.018330
566.40	0.018770
566.60	0.018830
566.80	0.018840
567.00	0.019020
567.20	0.019830
567.40	0.019830
567.60	0.019900
567.80	0.020400
568.00	0.020630
568.20	0.020180
568.40	0.020950
568.60	0.021660
568.80	0.021290
569.00	0.021630
569.20	0.022400
569.40	0.022300
569.60	0.022540
569.80	0.023150
570.00	0.022850
570.20	0.023230
570.40	0.023640
570.60	0.023550
570.80	0.023360
571.00	0.024060
571.20	0.024510
571.40	0.023900
571.60	0.024390
571.80	0.025270
572.00	0.025060
572.20	0.024770
572.40	0.025410
572.60	0.025570
572.80	0.025140
573.00	0.026000
573.20	0.026050
573.40	0.025940
573.60	0.026130
573.80	0.026350
574.00	0.025910
574.20	0.025930
574.40	0.026810
574.60	0.026790
574.80	0.026320
575.00	0.026250
575.20	0.026900
575.40	0.026620
575.60	0.025970
575.80	0.026600
576.00	0.026730
576.20	0.026330
576.40	0.026710
576.60	0.026630
576.80	0.026230
577.00	0.026600
577.20	0.026320
577.40	0.025930
577.60	0.026190
577.80	0.026440
578.00	0.025910
578.20	0.025280
578.40	0.025480
578.60	0.025610
578.80	0.024810
579.00	0.025300
579.20	0.025450
579.40	0.024680
579.60	0.024630
579.80	0.024850
580.00	0.024530
580.20	0.023800
580.40	0.024530
580.60	0.023880
580.80	0.023600
581.00	0.023650
581.20	0.023570
581.40	0.023250
581.60	0.022580
581.80	0.022740
582.00	0.022580
582.20	0.022150
582.40	0.022140
582.60	0.022750
582.80	0.021390
583.00	0.021740
583.20	0.021870
583.40	0.021310
583.60	0.020690
583.80	0.020670
584.00	0.020780
584.20	0.020360
584.40	0.020640
584.60	0.020550
584.80	0.019280
585.00	0.019960
585.20	0.019720
585.40	0.019450
585.60	0.019060
585.80	0.019500
586.00	0.019250
586.20	0.018580
586.40	0.018830
586.60	0.018660
586.80	0.018260
587.00	0.018390
587.20	0.018300
587.40	0.018030
587.60	0.017600
587.80	0.018220
588.00	0.017550
588.20	0.017260
588.40	0.017790
588.60	0.017580
588.80	0.016870
589.00	0.016780
589.20	0.017520
589.40	0.016880
589.60	0.016760
589.80	0.017010
590.00	0.016910
590.20	0.016550
590.40	0.016680
590.60	0.017190
590.80	0.016240
591.00	0.016420
591.20	0.016780
591.40	0.016130
591.60	0.016260
591.80	0.016850
592.00	0.016270
592.20	0.015610
592.40	0.016270
592.60	0.016170
592.80	0.015940
593.00	0.015710
593.20	0.016190
593.40	0.015820
593.60	0.015700
593.80	0.016060
594.00	0.015900
594.20	0.015600
594.40	0.016280
594.60	0.016140
594.80	0.015420
595.00	0.015650
595.20	0.016120
595.40	0.016050
595.60	0.015880
595.80	0.016590
596.00	0.015860
596.20	0.015720
596.40	0.016030
596.60	0.016210
596.80	0.015810
597.00	0.016060
597.20	0.015980
597.40	0.015860
597.60	0.016010
597.80	0.016040
598.00	0.016200
598.20	0.016000
598.40	0.015910
598.60	0.016180
598.80	0.015870
599.00	0.015630
599.20	0.016110
599.40	0.016410
599.60	0.016190
599.80	0.016250
600.00	0.016340
600.20	0.016090
600.40	0.016530
600.60	0.017020
600.80	0.016410
601.00	0.016300
601.20	0.016810
601.40	0.016560
601.60	0.016220
601.80	0.017030
602.00	0.017090
602.20	0.016700
602.40	0.017030
602.60	0.017100
602.80	0.016980
603.00	0.017300
603.20	0.017940
603.40	0.017980
603.60	0.017360
603.80	0.018010
604.00	0.017920
604.20	0.018190
604.40	0.018570
604.60	0.018830
604.80	0.018620
605.00	0.018720
605.20	0.019450
605.40	0.019380
605.60	0.019710
605.80	0.020160
606.00	0.020440
606.20	0.020270
606.40	0.020920
606.60	0.021260
606.80	0.021390
607.00	0.021890
607.20	0.022300
607.40	0.022570
607.60	0.022470
607.80	0.023450
608.00	0.024020
608.20	0.023830
608.40	0.024530
608.60	0.025190
608.80	0.025130
609.00	0.026130
609.20	0.026330
609.40	0.027120
609.60	0.027350
609.80	0.028400
610.00	0.028740
610.20	0.028280
610.40	0.029240
610.60	0.030440
610.80	0.030230
611.00	0.031090
611.20	0.031930
611.40	0.032290
611.60	0.032750
611.80	0.033730
612.00	0.034570
612.20	0.034550
612.40	0.035990
612.60	0.036560
612.80	0.037030
613.00	0.037780
613.20	0.039260
613.40	0.039660
613.60	0.040250
613.80	0.041440
614.00	0.042440
614.20	0.042770
614.40	0.043930
614.60	0.045250
614.80	0.045560
615.00	0.046960
615.20	0.048450
615.40	0.049590
615.60	0.050800
615.80	0.051960
616.00	0.053600
616.20	0.054550
616.40	0.056500
616.60	0.058120
616.80	0.059420
617.00	0.060370
617.20	0.063080
617.40	0.064890
617.60	0.066160
617.80	0.068440
618.00	0.070510
618.20	0.072410
618.40	0.074270
618.60	0.076570
618.80	0.078320
619.00	0.080050
619.20	0.083320
619.40	0.085120
619.60	0.087010
619.80	0.089850
620.00	0.091770
620.20	0.094020
620.40	0.096040
620.60	0.098440
620.80	0.10088
621.00	0.10296
621.20	0.10590
621.40	0.10774
621.60	0.10955
621.80	0.11281
622.00	0.11434
622.20	0.11670
622.40	0.11837
622.60	0.12049
622.80	0.12216
623.00	0.12368
623.20	0.12547
623.40	0.12716
623.60	0.12812
623.80	0.12994
624.00	0.13131
624.20	0.13159
624.40	0.13301
624.60	0.13452
624.80	0.13455
625.00	0.13479
625.20	0.13559
625.40	0.13600
625.60	0.13591
625.80	0.13609
626.00	0.13616
626.20	0.13557
626.40	0.13537
626.60	0.13493
626.80	0.13399
627.00	0.13341
627.20	0.13287
627.40	0.13205
627.60	0.13004
627.80	0.12934
628.00	0.12818
628.20	0.12624
628.40	0.12527
628.60	0.12427
628.80	0.12196
629.00	0.11997
629.20	0.11884
629.40	0.11686
629.60	0.11467
629.80	0.11287
630.00	0.11121
630.20	0.10863
630.40	0.10620
630.60	0.10463
630.80	0.10242
631.00	0.10004
631.20	0.097870
631.40	0.095640
631.60	0.093130
631.80	0.091420
632.00	0.089050
632.20	0.086510
632.40	0.084580
632.60	0.082420
632.80	0.080040
633.00	0.077540
633.20	0.075650
633.40	0.073570
633.60	0.071120
633.80	0.069280
634.00	0.067300
634.20	0.064720
634.40	0.063200
634.60	0.061120
634.80	0.059020
635.00	0.056360
635.20	0.055710
635.40	0.053640
635.60	0.051750
635.80	0.050180
636.00	0.048420
636.20	0.046390
636.40	0.045080
636.60	0.043630
636.80	0.041750
637.00	0.040310
637.20	0.038990
637.40	0.037750
637.60	0.035830
637.80	0.035370
638.00	0.034250
638.20	0.032910
638.40	0.031210
638.60	0.030490
638.80	0.029190
639.00	0.027980
639.20	0.027220
639.40	0.026450
639.60	0.025110
639.80	0.024400
640.00	0.023530
640.20	0.022390
640.40	0.021600
640.60	0.021660
640.80	0.020540
641.00	0.019620
641.20	0.018980
641.40	0.018660
641.60	0.017700
641.80	0.017100
642.00	0.016520
642.20	0.015630
642.40	0.014830
642.60	0.015050
642.80	0.014420
643.00	0.013690
643.20	0.013440
643.40	0.013300
643.60	0.012380
643.80	0.011970
644.00	0.012200
644.20	0.011170
644.40	0.010970
644.60	0.010870
644.80	0.010350
645.00	0.0099400
645.20	0.0097400
645.40	0.0098900
645.60	0.0092500
645.80	0.0089200
646.00	0.0090200
646.20	0.0085400
646.40	0.0077000
646.60	0.0082100
646.80	0.0074500
647.00	0.0073200
647.20	0.0075500
647.40	0.0072300
647.60	0.0068700
647.80	0.0070500
648.00	0.0067400
648.20	0.0062100
648.40	0.0059200
648.60	0.0061400
648.80	0.0056200
649.00	0.0059200
649.20	0.0057900
649.40	0.0057500
649.60	0.0055100
649.80	0.0052700
650.00	0.0051300
650.20	0.0046800
650.40	0.0048700
650.60	0.0051800
650.80	0.0047500
651.00	0.0046500
651.20	0.0050500
651.40	0.0049600
651.60	0.0048500
651.80	0.0047900
652.00	0.0045700
652.20	0.0044400
652.40	0.0042100
652.60	0.0046900
652.80	0.0044400
653.00	0.0041000
653.20	0.0042700
653.40	0.0044700
653.60	0.0040200
653.80	0.0039000
654.00	0.0040000
654.20	0.0038700
654.40	0.0035000
654.60	0.0044200
654.80	0.0037100
655.00	0.0032500
655.20	0.0036400
655.40	0.0037800
655.60	0.0034000
655.80	0.0032500
656.00	0.0037100
656.20	0.0034300
656.40	0.0029100
656.60	0.0038400
656.80	0.0031800
657.00	0.0032000
657.20	0.0033300
657.40	0.0031300
657.60	0.0031400
657.80	0.0030300
658.00	0.0031900
