Wavelength (nm)	179 1-I15.abs
460.00	0.015180
461.00	0.015687
462.00	0.015147
463.00	0.017134
464.00	0.018451
465.00	0.018554
466.00	0.018230
467.00	0.017730
468.00	0.018858
469.00	0.018774
470.00	0.019145
471.00	0.020157
472.00	0.021544
473.00	0.022486
474.00	0.022701
475.00	0.023382
476.00	0.023286
477.00	0.023344
478.00	0.024208
479.00	0.024363
480.00	0.025165
481.00	0.024805
482.00	0.024934
483.00	0.025045
484.00	0.024856
485.00	0.024383
486.00	0.024384
487.00	0.024385
488.00	0.024363
489.00	0.024897
490.00	0.025748
491.00	0.025832
492.00	0.026602
493.00	0.027943
494.00	0.029099
495.00	0.030837
496.00	0.034007
497.00	0.036267
498.00	0.039114
499.00	0.043469
500.00	0.045965
501.00	0.049495
502.00	0.052550
503.00	0.054627
504.00	0.056316
505.00	0.059197
506.00	0.061490
507.00	0.063677
508.00	0.067231
509.00	0.069942
510.00	0.072485
511.00	0.075563
512.00	0.077614
513.00	0.079623
514.00	0.081382
515.00	0.083612
516.00	0.085356
517.00	0.086481
518.00	0.086319
519.00	0.086293
520.00	0.084175
521.00	0.081121
522.00	0.076950
523.00	0.072115
524.00	0.067277
525.00	0.060967
526.00	0.055498
527.00	0.050810
528.00	0.047241
529.00	0.044176
530.00	0.041367
531.00	0.039342
532.00	0.037978
533.00	0.038978
534.00	0.040366
535.00	0.042891
536.00	0.046536
537.00	0.052090
538.00	0.058554
539.00	0.063534
540.00	0.067797
541.00	0.071087
542.00	0.072758
543.00	0.073189
544.00	0.072866
545.00	0.071579
546.00	0.069311
547.00	0.066869
548.00	0.063725
549.00	0.058783
550.00	0.054557
551.00	0.050226
552.00	0.045928
553.00	0.040997
554.00	0.035877
555.00	0.031483
556.00	0.027646
557.00	0.023704
558.00	0.021015
559.00	0.018139
560.00	0.016302
561.00	0.014407
562.00	0.012314
563.00	0.011471
564.00	0.010700
565.00	0.0095564
566.00	0.0086869
567.00	0.0091343
568.00	0.0081487
569.00	0.0084992
570.00	0.0083161
571.00	0.0073328
572.00	0.0063477
573.00	0.0060618
574.00	0.0076425
575.00	0.0063045
576.00	0.0062591
577.00	0.0082615
578.00	0.0085346
579.00	0.0063481
580.00	0.0091146
581.00	0.011474
582.00	0.011616
583.00	0.0079972
584.00	0.012844
585.00	0.018505
586.00	0.017626
587.00	0.021863
588.00	0.025458
589.00	0.026133
590.00	0.029237
591.00	0.031483
592.00	0.034263
593.00	0.037012
594.00	0.035508
595.00	0.036772
596.00	0.035931
597.00	0.035598
598.00	0.035385
599.00	0.034381
600.00	0.031060
601.00	0.028467
602.00	0.025654
603.00	0.023581
604.00	0.020345
605.00	0.017960
606.00	0.017083
607.00	0.015274
608.00	0.014044
609.00	0.013122
610.00	0.012983
611.00	0.011883
612.00	0.011256
613.00	0.010957
614.00	0.011039
615.00	0.010582
616.00	0.0097960
617.00	0.0096652
618.00	0.0096367
619.00	0.0085837
620.00	0.0091825
621.00	0.0083217
622.00	0.0091178
623.00	0.0092761
624.00	0.0088057
625.00	0.0087539
626.00	0.0094234
627.00	0.011083
628.00	0.012801
629.00	0.015732
630.00	0.018618
631.00	0.022131
632.00	0.026629
633.00	0.031008
634.00	0.035659
635.00	0.039835
636.00	0.044638
637.00	0.049227
638.00	0.055481
639.00	0.064602
640.00	0.077628
641.00	0.097361
642.00	0.12533
643.00	0.15997
644.00	0.19542
645.00	0.22882
646.00	0.25325
647.00	0.26615
648.00	0.26258
649.00	0.24446
650.00	0.21512
651.00	0.18002
652.00	0.14534
653.00	0.11370
654.00	0.087318
655.00	0.066470
656.00	0.055509
657.00	0.033315
658.00	0.024594
659.00	0.023948
660.00	0.019197
661.00	0.015246
662.00	0.012626
663.00	0.010096
664.00	0.0081060
665.00	0.0066450
666.00	0.0051221
667.00	0.0046169
668.00	0.0035973
669.00	0.0027695
670.00	0.0025419
671.00	0.0025373
672.00	0.0020509
673.00	0.0013324
674.00	0.0014361
675.00	0.0012915
676.00	0.0014980
677.00	0.0011213
678.00	0.0011878
679.00	0.00091206
680.00	0.0011635
681.00	0.0010387
682.00	0.0011998
683.00	0.0011681
684.00	0.0012278
685.00	0.00099466
686.00	0.00090289
687.00	0.00097676
688.00	0.0011098
689.00	0.0013117
690.00	0.0013315
691.00	0.00085517
692.00	0.0010171
693.00	0.0012002
694.00	0.00079643
695.00	0.0012021
696.00	0.0012576
697.00	0.0011438
698.00	0.00084691
699.00	0.0012273
700.00	0.0011383
