Wavelength (nm)	229 FbC-T5Br15
487.00	0.034968
488.00	0.038301
489.00	0.042684
490.00	0.047245
491.00	0.051695
492.00	0.055526
493.00	0.059044
494.00	0.061566
495.00	0.063641
496.00	0.065315
497.00	0.067078
498.00	0.068822
499.00	0.071254
500.00	0.074079
501.00	0.077550
502.00	0.080996
503.00	0.083982
504.00	0.086016
505.00	0.086872
506.00	0.087067
507.00	0.086355
508.00	0.084833
509.00	0.082233
510.00	0.079010
511.00	0.074800
512.00	0.070036
513.00	0.064560
514.00	0.058831
515.00	0.053166
516.00	0.047974
517.00	0.043481
518.00	0.039590
519.00	0.036290
520.00	0.033993
521.00	0.032242
522.00	0.031548
523.00	0.031648
524.00	0.032938
525.00	0.035233
526.00	0.038970
527.00	0.043481
528.00	0.048458
529.00	0.053177
530.00	0.057379
531.00	0.060064
532.00	0.061304
533.00	0.060841
534.00	0.059394
535.00	0.056738
536.00	0.053308
537.00	0.049768
538.00	0.046101
539.00	0.042473
540.00	0.039411
541.00	0.036240
542.00	0.033349
543.00	0.030572
544.00	0.027855
545.00	0.025240
546.00	0.022703
547.00	0.020272
548.00	0.018326
549.00	0.016505
550.00	0.014673
551.00	0.013231
552.00	0.012080
553.00	0.010964
554.00	0.010060
555.00	0.0092284
556.00	0.0086521
557.00	0.0081749
558.00	0.0077477
559.00	0.0074036
560.00	0.0070415
561.00	0.0068092
562.00	0.0064875
563.00	0.0063096
564.00	0.0062042
565.00	0.0059773
566.00	0.0057717
567.00	0.0056630
568.00	0.0057046
569.00	0.0058218
570.00	0.0059741
571.00	0.0063544
572.00	0.0067059
573.00	0.0071959
574.00	0.0077744
575.00	0.0083315
576.00	0.0091187
577.00	0.010135
578.00	0.011442
579.00	0.013424
580.00	0.015968
581.00	0.019129
582.00	0.021693
583.00	0.024042
584.00	0.026094
585.00	0.027361
586.00	0.028172
587.00	0.029165
588.00	0.030104
589.00	0.031110
590.00	0.031930
591.00	0.032075
592.00	0.031766
593.00	0.030826
594.00	0.029293
595.00	0.027364
596.00	0.025117
597.00	0.022750
598.00	0.020470
599.00	0.018429
600.00	0.016972
601.00	0.015939
602.00	0.015227
603.00	0.014860
604.00	0.014336
605.00	0.013908
606.00	0.013485
607.00	0.013117
608.00	0.012918
609.00	0.012896
610.00	0.012703
611.00	0.012400
612.00	0.012104
613.00	0.011506
614.00	0.010958
615.00	0.010493
616.00	0.010239
617.00	0.010191
618.00	0.010322
619.00	0.010731
620.00	0.011275
621.00	0.012133
622.00	0.013403
623.00	0.015348
624.00	0.017685
625.00	0.021018
626.00	0.025645
627.00	0.031392
628.00	0.037685
629.00	0.043961
630.00	0.049737
631.00	0.054521
632.00	0.059092
633.00	0.065023
634.00	0.074385
635.00	0.090764
636.00	0.11626
637.00	0.15094
638.00	0.19392
639.00	0.23787
640.00	0.27422
641.00	0.29775
642.00	0.29907
643.00	0.27972
644.00	0.24751
645.00	0.20991
646.00	0.17090
647.00	0.13512
648.00	0.10456
649.00	0.080140
650.00	0.061333
651.00	0.047127
652.00	0.036751
653.00	0.029189
654.00	0.023347
655.00	0.018410
656.00	0.014899
657.00	0.012977
658.00	0.010100
659.00	0.0077807
660.00	0.0060156
661.00	0.0049056
662.00	0.0039533
663.00	0.0032353
664.00	0.0025301
665.00	0.0022777
666.00	0.0019400
667.00	0.0017440
668.00	0.0015331
669.00	0.0013200
670.00	0.0012348
671.00	0.0012007
672.00	0.0011315
673.00	0.0011070
674.00	0.0010580
675.00	0.0010260
676.00	0.0010207
677.00	0.00098020
678.00	0.00094611
679.00	0.00086195
680.00	0.00077887
681.00	0.00074158
682.00	0.00079911
683.00	0.00077993
684.00	0.00081934
685.00	0.00074904
686.00	0.00068938
687.00	0.00072454
688.00	0.00067447
689.00	0.00064677
690.00	0.00062547
691.00	0.00064677
692.00	0.00058819
693.00	0.00058073
694.00	0.00044331
695.00	0.00057221
696.00	0.00055197
697.00	0.00057327
698.00	0.00051255
699.00	0.00053918
700.00	0.00045929
