Wavelength (nm)	L267 FbC-M10Es13 (SE343).ems
633.00	0.0072105
633.20	0.0071663
633.40	0.0079516
633.60	0.0083924
633.80	0.0090285
634.00	0.0080481
634.20	0.0096387
634.40	0.010763
634.60	0.010744
634.80	0.010738
635.00	0.010804
635.20	0.011403
635.40	0.012372
635.60	0.012703
635.80	0.013061
636.00	0.014560
636.20	0.013417
636.40	0.016757
636.60	0.016924
636.80	0.016441
637.00	0.019222
637.20	0.020539
637.40	0.019303
637.60	0.019593
637.80	0.021202
638.00	0.023706
638.20	0.023222
638.40	0.026938
638.60	0.028516
638.80	0.026298
639.00	0.028700
639.20	0.030966
639.40	0.033927
639.60	0.034905
639.80	0.034375
640.00	0.035755
640.20	0.038731
640.40	0.041012
640.60	0.043222
640.80	0.045396
641.00	0.047165
641.20	0.050384
641.40	0.050603
641.60	0.053299
641.80	0.056237
642.00	0.058873
642.20	0.063681
642.40	0.065289
642.60	0.069717
642.80	0.071922
643.00	0.076592
643.20	0.080403
643.40	0.081599
643.60	0.088805
643.80	0.093013
644.00	0.097889
644.20	0.10121
644.40	0.10683
644.60	0.11710
644.80	0.12055
645.00	0.12846
645.20	0.13302
645.40	0.13993
645.60	0.14943
645.80	0.16164
646.00	0.16828
646.20	0.18093
646.40	0.19255
646.60	0.20305
646.80	0.21327
647.00	0.22987
647.20	0.24490
647.40	0.26031
647.60	0.27808
647.80	0.28534
648.00	0.30678
648.20	0.32352
648.40	0.34562
648.60	0.35965
648.80	0.38368
649.00	0.40303
649.20	0.42121
649.40	0.44957
649.60	0.46992
649.80	0.50127
650.00	0.51286
650.20	0.54559
650.40	0.56265
650.60	0.59052
650.80	0.61609
651.00	0.64061
651.20	0.65800
651.40	0.68978
651.60	0.70932
651.80	0.72944
652.00	0.75143
652.20	0.78247
652.40	0.79550
652.60	0.81164
652.80	0.84210
653.00	0.85631
653.20	0.87609
653.40	0.89134
653.60	0.91704
653.80	0.91165
654.00	0.92677
654.20	0.94202
654.40	0.95642
654.60	0.96290
654.80	0.96730
655.00	0.97045
655.20	0.98904
655.40	0.98993
655.60	0.98034
655.80	1.0000
656.00	0.97881
656.20	0.98843
656.40	0.97036
656.60	0.98067
656.80	0.98297
657.00	0.96894
657.20	0.95716
657.40	0.93941
657.60	0.93537
657.80	0.92392
658.00	0.90873
658.20	0.89612
658.40	0.88200
658.60	0.85686
658.80	0.84085
659.00	0.82927
659.20	0.80999
659.40	0.79608
659.60	0.76758
659.80	0.75069
660.00	0.72531
660.20	0.72357
660.40	0.69564
660.60	0.67341
660.80	0.65312
661.00	0.63936
661.20	0.61533
661.40	0.60746
661.60	0.57393
661.80	0.57232
662.00	0.54801
662.20	0.53782
662.40	0.52003
662.60	0.50285
662.80	0.48722
663.00	0.46985
663.20	0.45164
663.40	0.44619
663.60	0.43461
663.80	0.41998
664.00	0.40734
664.20	0.38529
664.40	0.38536
664.60	0.36590
664.80	0.35307
665.00	0.34509
665.20	0.34008
665.40	0.32268
665.60	0.31880
665.80	0.30660
666.00	0.29972
666.20	0.29025
666.40	0.28561
666.60	0.27216
666.80	0.26979
667.00	0.25801
667.20	0.25195
667.40	0.24303
667.60	0.23979
667.80	0.22793
668.00	0.21895
668.20	0.22041
668.40	0.21517
668.60	0.20241
668.80	0.19818
669.00	0.19243
669.20	0.19074
669.40	0.18869
669.60	0.18488
669.80	0.17524
670.00	0.17412
670.20	0.16310
670.40	0.16165
670.60	0.15900
670.80	0.15262
671.00	0.14835
671.20	0.14408
671.40	0.14469
671.60	0.14217
671.80	0.13909
672.00	0.13067
672.20	0.12878
672.40	0.12909
672.60	0.12045
672.80	0.11989
673.00	0.11608
673.20	0.11473
673.40	0.11139
673.60	0.11053
673.80	0.10579
674.00	0.10395
674.20	0.10232
674.40	0.10253
674.60	0.097413
674.80	0.090838
675.00	0.089763
675.20	0.092513
675.40	0.087732
675.60	0.087433
675.80	0.084589
676.00	0.083615
676.20	0.082297
676.40	0.079830
676.60	0.079023
676.80	0.077119
677.00	0.075498
677.20	0.074911
677.40	0.073730
677.60	0.073032
677.80	0.070168
678.00	0.075015
678.20	0.069461
678.40	0.063763
678.60	0.067208
678.80	0.066157
679.00	0.068762
679.20	0.063819
679.40	0.066649
679.60	0.063779
679.80	0.063895
680.00	0.063567
680.20	0.066097
680.40	0.062819
680.60	0.063709
680.80	0.063353
681.00	0.065010
681.20	0.063559
681.40	0.062646
681.60	0.063793
681.80	0.066206
682.00	0.064732
682.20	0.065199
682.40	0.064489
682.60	0.061304
682.80	0.066132
683.00	0.065180
683.20	0.067653
683.40	0.065630
683.60	0.068391
683.80	0.065962
684.00	0.070424
684.20	0.065769
684.40	0.067784
684.60	0.064553
684.80	0.073823
685.00	0.071429
685.20	0.073594
685.40	0.071253
685.60	0.069191
685.80	0.071252
686.00	0.069516
686.20	0.072011
686.40	0.070169
686.60	0.071910
686.80	0.073144
687.00	0.073311
687.20	0.071423
687.40	0.071176
687.60	0.070799
687.80	0.072509
688.00	0.073018
688.20	0.071406
688.40	0.072930
688.60	0.073116
688.80	0.073502
689.00	0.073734
689.20	0.071550
689.40	0.070038
689.60	0.071347
689.80	0.068713
690.00	0.071773
690.20	0.071093
690.40	0.069342
690.60	0.071697
690.80	0.070917
691.00	0.073872
691.20	0.068754
691.40	0.069895
691.60	0.068951
691.80	0.067129
692.00	0.068218
692.20	0.066946
692.40	0.070928
692.60	0.069368
692.80	0.072120
693.00	0.069405
693.20	0.069755
693.40	0.068759
693.60	0.068921
693.80	0.068442
694.00	0.070216
694.20	0.069202
694.40	0.068389
694.60	0.070696
694.80	0.070789
695.00	0.070488
695.20	0.070452
695.40	0.070621
695.60	0.070192
695.80	0.069840
696.00	0.072820
696.20	0.071937
696.40	0.071152
696.60	0.072225
696.80	0.074279
697.00	0.075312
697.20	0.074342
697.40	0.076070
697.60	0.076475
697.80	0.073423
698.00	0.074431
698.20	0.076912
698.40	0.075951
698.60	0.074174
698.80	0.075315
699.00	0.075431
699.20	0.081184
699.40	0.079817
699.60	0.078557
699.80	0.079562
700.00	0.079642
700.20	0.078391
700.40	0.076066
700.60	0.079096
700.80	0.080796
701.00	0.075860
701.20	0.078588
701.40	0.078531
701.60	0.077431
701.80	0.076377
702.00	0.075053
702.20	0.077273
702.40	0.076337
702.60	0.074591
702.80	0.077900
703.00	0.075447
703.20	0.077482
703.40	0.075821
703.60	0.070851
703.80	0.074854
704.00	0.071345
704.20	0.072283
704.40	0.070516
704.60	0.070176
704.80	0.073343
705.00	0.070581
705.20	0.068516
705.40	0.071231
705.60	0.067397
705.80	0.067570
706.00	0.069185
706.20	0.064522
706.40	0.068830
706.60	0.066840
706.80	0.065436
707.00	0.068106
707.20	0.066421
707.40	0.066214
707.60	0.065080
707.80	0.061491
708.00	0.062773
708.20	0.067305
708.40	0.060619
708.60	0.062050
708.80	0.062146
709.00	0.061824
709.20	0.059758
709.40	0.060951
709.60	0.057955
709.80	0.062532
710.00	0.058875
710.20	0.058344
710.40	0.058133
710.60	0.061880
710.80	0.056535
711.00	0.057968
711.20	0.057715
711.40	0.056715
711.60	0.057698
711.80	0.056404
712.00	0.057797
712.20	0.057275
712.40	0.058033
712.60	0.060025
712.80	0.057815
713.00	0.059625
713.20	0.053538
713.40	0.055018
713.60	0.055399
713.80	0.057595
714.00	0.057519
714.20	0.056142
714.40	0.054898
714.60	0.056080
714.80	0.054221
715.00	0.051780
715.20	0.055486
715.40	0.056559
715.60	0.055699
715.80	0.054754
716.00	0.052564
716.20	0.055347
716.40	0.053041
716.60	0.055596
716.80	0.054203
717.00	0.057079
717.20	0.055016
717.40	0.055105
717.60	0.053751
717.80	0.055973
718.00	0.057640
718.20	0.057077
718.40	0.051812
718.60	0.052476
718.80	0.052829
719.00	0.054292
719.20	0.057577
719.40	0.055240
719.60	0.054129
719.80	0.054315
720.00	0.053320
720.20	0.051681
720.40	0.050023
720.60	0.054600
720.80	0.053626
721.00	0.049997
721.20	0.050315
721.40	0.052383
721.60	0.052446
721.80	0.052774
722.00	0.052603
722.20	0.050991
722.40	0.051126
722.60	0.050869
722.80	0.051276
723.00	0.052446
723.20	0.049415
723.40	0.050787
723.60	0.049791
723.80	0.051847
724.00	0.049845
724.20	0.051940
724.40	0.050247
724.60	0.052985
724.80	0.049549
725.00	0.049069
725.20	0.049523
725.40	0.049003
725.60	0.048885
725.80	0.048817
726.00	0.050767
726.20	0.050013
726.40	0.049366
726.60	0.046895
726.80	0.051966
727.00	0.051828
727.20	0.047413
727.40	0.049387
727.60	0.048088
727.80	0.048654
728.00	0.048301
728.20	0.047080
728.40	0.045164
728.60	0.047253
728.80	0.044312
729.00	0.049515
729.20	0.047798
729.40	0.046191
729.60	0.050049
729.80	0.046131
730.00	0.044181
730.20	0.046571
730.40	0.045663
730.60	0.043449
730.80	0.043846
731.00	0.044251
731.20	0.042198
731.40	0.043756
731.60	0.045331
731.80	0.041482
732.00	0.044211
732.20	0.041522
732.40	0.041076
732.60	0.038979
732.80	0.040275
733.00	0.039352
733.20	0.040354
733.40	0.037996
733.60	0.035913
733.80	0.038796
734.00	0.037191
734.20	0.037742
734.40	0.036154
734.60	0.035598
734.80	0.034103
735.00	0.032226
735.20	0.033342
735.40	0.031491
735.60	0.030858
735.80	0.032906
736.00	0.031468
736.20	0.035542
736.40	0.030139
736.60	0.030435
736.80	0.030336
737.00	0.030215
737.20	0.028205
737.40	0.029845
737.60	0.027311
737.80	0.025304
738.00	0.026320
738.20	0.024625
738.40	0.025656
738.60	0.023090
738.80	0.023199
739.00	0.025073
739.20	0.022641
739.40	0.022560
739.60	0.020437
739.80	0.024147
740.00	0.022799
740.20	0.020387
740.40	0.021826
740.60	0.018858
740.80	0.019824
741.00	0.020053
741.20	0.019774
741.40	0.017054
741.60	0.019361
741.80	0.017718
742.00	0.017253
742.20	0.018744
742.40	0.017235
742.60	0.018170
742.80	0.017447
743.00	0.016802
743.20	0.017690
743.40	0.015906
743.60	0.014674
743.80	0.016237
744.00	0.015132
744.20	0.013862
744.40	0.016064
744.60	0.014192
744.80	0.015193
745.00	0.015071
745.20	0.015067
745.40	0.013097
745.60	0.012311
745.80	0.014684
746.00	0.013435
746.20	0.013185
746.40	0.013560
746.60	0.012862
746.80	0.013861
747.00	0.011104
747.20	0.012369
747.40	0.011820
747.60	0.012174
747.80	0.012801
748.00	0.012796
748.20	0.011476
748.40	0.011386
748.60	0.012089
748.80	0.011012
749.00	0.011345
749.20	0.012633
749.40	0.013231
749.60	0.012009
749.80	0.010999
750.00	0.011706
750.20	0.011518
750.40	0.012222
750.60	0.010580
750.80	0.010763
751.00	0.0095566
751.20	0.011994
751.40	0.010774
751.60	0.010557
751.80	0.0091178
752.00	0.0091241
752.20	0.0098435
752.40	0.0098276
752.60	0.0087821
752.80	0.010182
753.00	0.010012
753.20	0.010881
753.40	0.0095292
753.60	0.0097702
753.80	0.0092288
754.00	0.010869
754.20	0.0097862
754.40	0.0091594
754.60	0.0098937
754.80	0.0094879
755.00	0.0098898
755.20	0.0094520
755.40	0.0098968
755.60	0.0097096
755.80	0.0082547
756.00	0.0096665
756.20	0.0079540
756.40	0.010450
756.60	0.0089470
756.80	0.0086466
757.00	0.0091191
757.20	0.0094419
757.40	0.0087508
757.60	0.0085353
757.80	0.0093534
758.00	0.0086692
758.20	0.0093082
758.40	0.0092690
758.60	0.0084591
758.80	0.0096152
759.00	0.0081120
759.20	0.0081465
759.40	0.0076625
759.60	0.0084481
759.80	0.0073992
760.00	0.0085181
760.20	0.0081239
760.40	0.0090780
760.60	0.0086617
760.80	0.0082576
761.00	0.0082617
761.20	0.0079236
761.40	0.0086329
761.60	0.0073961
761.80	0.0082079
762.00	0.0077639
762.20	0.0062772
762.40	0.0084053
762.60	0.0066347
762.80	0.0077056
763.00	0.0082500
763.20	0.0074997
763.40	0.0083411
763.60	0.0069807
763.80	0.0058759
764.00	0.0081427
764.20	0.0071136
764.40	0.0068954
764.60	0.0072783
764.80	0.0076891
765.00	0.0074932
765.20	0.0067199
765.40	0.0084194
765.60	0.0069781
765.80	0.0081335
766.00	0.0075473
766.20	0.0064972
766.40	0.0079600
766.60	0.0067338
766.80	0.0057151
767.00	0.0069854
767.20	0.0082112
767.40	0.0070792
767.60	0.0063271
767.80	0.0081679
768.00	0.0064859
768.20	0.0062825
768.40	0.0073871
768.60	0.0066625
768.80	0.0061921
769.00	0.0073939
769.20	0.0062173
769.40	0.0073989
769.60	0.0062095
769.80	0.0079241
770.00	0.0073320
770.20	0.0069362
770.40	0.0057149
770.60	0.0065909
770.80	0.0061359
771.00	0.0054476
771.20	0.0061250
771.40	0.0057585
771.60	0.0061338
771.80	0.0058119
772.00	0.0069853
772.20	0.0064299
772.40	0.0051584
772.60	0.0053988
772.80	0.0056003
773.00	0.0072167
773.20	0.0065537
773.40	0.0054710
773.60	0.0058946
773.80	0.0062169
774.00	0.0062103
774.20	0.0062403
774.40	0.0050523
774.60	0.0057539
774.80	0.0048799
775.00	0.0044492
775.20	0.0053481
775.40	0.0060082
775.60	0.0058350
775.80	0.0058852
776.00	0.0053146
776.20	0.0057783
776.40	0.0058745
776.60	0.0044057
776.80	0.0056077
777.00	0.0053098
777.20	0.0057325
777.40	0.0046750
777.60	0.0066028
777.80	0.0053188
778.00	0.0058817
778.20	0.0066805
778.40	0.0059745
778.60	0.0054593
778.80	0.0053761
779.00	0.0049861
779.20	0.0061924
779.40	0.0066391
779.60	0.0057969
779.80	0.0059714
780.00	0.0053881
780.20	0.0054014
780.40	0.0052211
780.60	0.0051269
780.80	0.0051685
781.00	0.0043714
781.20	0.0059781
781.40	0.0055638
781.60	0.0053322
781.80	0.0048301
782.00	0.0049119
782.20	0.0051150
782.40	0.0055675
782.60	0.0057685
782.80	0.0058196
783.00	0.0036583
783.20	0.0050801
783.40	0.0054702
783.60	0.0051967
783.80	0.0046058
784.00	0.0043260
784.20	0.0040356
784.40	0.0047272
784.60	0.0041095
784.80	0.0038289
785.00	0.0045720
785.20	0.0052731
785.40	0.0049743
785.60	0.0041544
785.80	0.0036371
786.00	0.0056872
786.20	0.0037235
786.40	0.0049272
786.60	0.0040673
786.80	0.0043933
787.00	0.0041102
787.20	0.0042374
787.40	0.0040551
787.60	0.0037973
787.80	0.0038523
788.00	0.0037199
788.20	0.0043991
788.40	0.0045470
788.60	0.0042510
788.80	0.0055388
789.00	0.0041241
789.20	0.0042240
789.40	0.0047208
789.60	0.0031825
789.80	0.0043946
790.00	0.0043064
790.20	0.0034864
790.40	0.0039215
790.60	0.0046381
790.80	0.0041566
791.00	0.0034365
791.20	0.0046179
791.40	0.0039826
791.60	0.0039296
791.80	0.0047024
792.00	0.0035784
792.20	0.0033270
792.40	0.0039674
792.60	0.0047099
792.80	0.0036116
793.00	0.0036000
793.20	0.0041182
793.40	0.0034752
793.60	0.0031028
793.80	0.0049586
794.00	0.0032907
794.20	0.0039339
794.40	0.0044004
794.60	0.0038757
794.80	0.0030887
795.00	0.0041081
795.20	0.0046507
795.40	0.0035250
795.60	0.0028078
795.80	0.0030345
796.00	0.0028276
796.20	0.0030803
796.40	0.0034809
796.60	0.0038709
796.80	0.0028553
797.00	0.0034040
797.20	0.0030418
797.40	0.0035681
797.60	0.0034623
797.80	0.0032081
798.00	0.0033827
798.20	0.0028962
798.40	0.0023466
798.60	0.0032661
798.80	0.0048222
799.00	0.0031239
799.20	0.0031063
799.40	0.0029830
799.60	0.0033680
799.80	0.0029876
800.00	0.0035245
