Wavelength (nm)	212 H2C (SE211)
482.00	0.083461
483.00	0.083817
484.00	0.082483
485.00	0.080467
486.00	0.079500
487.00	0.080287
488.00	0.083499
489.00	0.088722
490.00	0.094007
491.00	0.097745
492.00	0.098916
493.00	0.097141
494.00	0.093060
495.00	0.087726
496.00	0.081415
497.00	0.074805
498.00	0.067997
499.00	0.060797
500.00	0.053559
501.00	0.046586
502.00	0.040131
503.00	0.034493
504.00	0.029980
505.00	0.026325
506.00	0.023317
507.00	0.020865
508.00	0.018960
509.00	0.017284
510.00	0.015718
511.00	0.014507
512.00	0.013382
513.00	0.012661
514.00	0.012119
515.00	0.011706
516.00	0.011153
517.00	0.010575
518.00	0.010019
519.00	0.0095077
520.00	0.0090302
521.00	0.0084481
522.00	0.0079866
523.00	0.0075793
524.00	0.0074870
525.00	0.0075234
526.00	0.0077665
527.00	0.0080532
528.00	0.0084578
529.00	0.0087409
530.00	0.0091518
531.00	0.0095139
532.00	0.010130
533.00	0.010710
534.00	0.011299
535.00	0.011689
536.00	0.011703
537.00	0.011424
538.00	0.011085
539.00	0.010623
540.00	0.010151
541.00	0.0098192
542.00	0.0093329
543.00	0.0087755
544.00	0.0083948
545.00	0.0079121
546.00	0.0075109
547.00	0.0071080
548.00	0.0066519
549.00	0.0064771
550.00	0.0065427
551.00	0.0064975
552.00	0.0065907
553.00	0.0065924
554.00	0.0064114
555.00	0.0063422
556.00	0.0062206
557.00	0.0061922
558.00	0.0059384
559.00	0.0058381
560.00	0.0059047
561.00	0.0059091
562.00	0.0059703
563.00	0.0060662
564.00	0.0061922
565.00	0.0064149
566.00	0.0066847
567.00	0.0069696
568.00	0.0072287
569.00	0.0077195
570.00	0.0084197
571.00	0.0097091
572.00	0.011443
573.00	0.013715
574.00	0.016475
575.00	0.019163
576.00	0.021588
577.00	0.023491
578.00	0.024719
579.00	0.025625
580.00	0.026548
581.00	0.028080
582.00	0.029417
583.00	0.030513
584.00	0.031030
585.00	0.030673
586.00	0.029350
587.00	0.027239
588.00	0.024704
589.00	0.022143
590.00	0.019721
591.00	0.017871
592.00	0.016689
593.00	0.016138
594.00	0.016094
595.00	0.016354
596.00	0.016605
597.00	0.016663
598.00	0.016567
599.00	0.016443
600.00	0.016307
601.00	0.016613
602.00	0.017480
603.00	0.018693
604.00	0.019901
605.00	0.021031
606.00	0.021477
607.00	0.021267
608.00	0.020307
609.00	0.018884
610.00	0.017205
611.00	0.015603
612.00	0.014541
613.00	0.014178
614.00	0.014844
615.00	0.016989
616.00	0.020918
617.00	0.026636
618.00	0.033490
619.00	0.040896
620.00	0.048110
621.00	0.053692
622.00	0.057755
623.00	0.060323
624.00	0.062342
625.00	0.066541
626.00	0.076544
627.00	0.096713
628.00	0.12973
629.00	0.17601
630.00	0.23310
631.00	0.29439
632.00	0.35446
633.00	0.39968
634.00	0.42078
635.00	0.41067
636.00	0.37357
637.00	0.31854
638.00	0.25652
639.00	0.19830
640.00	0.14746
641.00	0.10777
642.00	0.077871
643.00	0.057077
644.00	0.042366
645.00	0.032229
646.00	0.025273
647.00	0.020307
648.00	0.016450
649.00	0.013275
650.00	0.010560
651.00	0.0083016
652.00	0.0066031
653.00	0.0053296
654.00	0.0042265
655.00	0.0034243
656.00	0.0028013
657.00	0.0024569
658.00	0.0021712
659.00	0.0019635
660.00	0.0018091
661.00	0.0017248
662.00	0.0017550
663.00	0.0018712
664.00	0.0017798
665.00	0.0016698
666.00	0.0015979
667.00	0.0014745
668.00	0.0014470
669.00	0.0012784
670.00	0.0012252
671.00	0.0011737
672.00	0.0011808
673.00	0.0011009
674.00	0.0010370
675.00	0.0010184
676.00	0.0010077
677.00	0.00093586
678.00	0.00096603
679.00	0.00087995
680.00	0.00090036
681.00	0.00080363
682.00	0.00083025
683.00	0.00081073
684.00	0.00077700
685.00	0.00074506
686.00	0.00071045
687.00	0.00071843
688.00	0.00070335
689.00	0.00071045
690.00	0.00066252
691.00	0.00068648
692.00	0.00066962
693.00	0.00070690
694.00	0.00068205
695.00	0.00065631
696.00	0.00060306
697.00	0.00063413
698.00	0.00060661
699.00	0.00067229
700.00	0.00065010
