Wavelength (nm)	344 6 (ZnC-Ar10)	E
470.00	0.010186	
471.00	0.010358	
472.00	0.0097208	
473.00	0.0092679	
474.00	0.0093261	
475.00	0.0087140	
476.00	0.0088170	
477.00	0.0087559	
478.00	0.0084759	
479.00	0.0083658	
480.00	0.0076956	
481.00	0.0080948	
482.00	0.0075904	
483.00	0.0074083	
484.00	0.0076541	
485.00	0.0077172	
486.00	0.0078350	
487.00	0.0074085	
488.00	0.0089962	
489.00	0.0089532	
490.00	0.0096228	
491.00	0.010117	
492.00	0.011561	
493.00	0.012092	
494.00	0.013149	
495.00	0.014038	
496.00	0.015880	
497.00	0.017264	
498.00	0.018612	
499.00	0.019728	
500.00	0.021316	
501.00	0.022521	
502.00	0.022742	
503.00	0.023036	
504.00	0.023902	
505.00	0.023001	
506.00	0.022347	
507.00	0.022437	
508.00	0.020768	
509.00	0.020901	
510.00	0.020462	
511.00	0.019923	
512.00	0.019308	
513.00	0.018088	
514.00	0.017611	
515.00	0.017007	
516.00	0.016354	
517.00	0.015591	
518.00	0.014980	
519.00	0.014250	
520.00	0.013249	
521.00	0.013253	
522.00	0.012707	
523.00	0.012330	
524.00	0.011792	
525.00	0.012157	
526.00	0.011906	
527.00	0.011540	
528.00	0.011152	
529.00	0.010906	
530.00	0.011322	
531.00	0.011125	
532.00	0.011479	
533.00	0.011594	
534.00	0.011162	
535.00	0.010617	
536.00	0.010547	
537.00	0.010534	
538.00	0.010473	
539.00	0.010373	
540.00	0.010320	
541.00	0.0099691	
542.00	0.0098697	
543.00	0.010374	
544.00	0.0099636	
545.00	0.0099626	
546.00	0.0097410	
547.00	0.010230	
548.00	0.0098448	
549.00	0.0097380	
550.00	0.011072	
551.00	0.011364	
552.00	0.012430	
553.00	0.013737	
554.00	0.015214	
555.00	0.016407	
556.00	0.018149	
557.00	0.019514	
558.00	0.021368	
559.00	0.023297	
560.00	0.024200	
561.00	0.024513	
562.00	0.025100	
563.00	0.025577	
564.00	0.025605	
565.00	0.025176	
566.00	0.024677	
567.00	0.024193	
568.00	0.023514	
569.00	0.023367	
570.00	0.022788	
571.00	0.022682	
572.00	0.022347	
573.00	0.021700	
574.00	0.021319	
575.00	0.020380	
576.00	0.019798	
577.00	0.018951	
578.00	0.018310	
579.00	0.017870	
580.00	0.017574	
581.00	0.016530	
582.00	0.016110	
583.00	0.015397	
584.00	0.015265	
585.00	0.014778	
586.00	0.014361	
587.00	0.014718	
588.00	0.015224	
589.00	0.016385	
590.00	0.018068	
591.00	0.019909	
592.00	0.022130	
593.00	0.024177	
594.00	0.026579	
595.00	0.030179	
596.00	0.034107	
597.00	0.040205	
598.00	0.048012	
599.00	0.058498	
600.00	0.071742	
601.00	0.088674	
602.00	0.10900	
603.00	0.13243	
604.00	0.15399	
605.00	0.17629	
606.00	0.19428	
607.00	0.20579	
608.00	0.21066	
609.00	0.20854	
610.00	0.19907	
611.00	0.18540	
612.00	0.16800	
613.00	0.14827	
614.00	0.12842	
615.00	0.10954	
616.00	0.092751	
617.00	0.077296	
618.00	0.064802	
619.00	0.054046	
620.00	0.044682	
621.00	0.037856	
622.00	0.031377	
623.00	0.026518	
624.00	0.022401	
625.00	0.019018	
626.00	0.016164	
627.00	0.014137	
628.00	0.011861	
629.00	0.010136	
630.00	0.0092610	
631.00	0.0078059	
632.00	0.0070159	
633.00	0.0063923	
634.00	0.0059546	
635.00	0.0052174	
636.00	0.0042928	
637.00	0.0038373	
638.00	0.0036785	
639.00	0.0035777	
640.00	0.0032416	
641.00	0.0029409	
642.00	0.0028201	
643.00	0.0024016	
644.00	0.0016598	
645.00	0.0014485	
646.00	0.0017781	
647.00	0.0018684	
648.00	0.00086211	
649.00	0.00068250	
650.00	0.0010503	
651.00	0.00048765	
652.00	0.00094884	
653.00	0.00062022	
654.00	0.00058003	
655.00	0.00078637	
656.00	0.00071162	
657.00	0.00091615	
658.00	0.00051451	
659.00	0.00016537	
660.00	0.00019858	
661.00	0.00010507	
662.00	0.00015110	
663.00	0.00027413	
664.00	0.00014263	
665.00	0.00031938	
666.00	0.00017491	
667.00	0.00014071	
668.00	0.00031238	
669.00	0.00012321	
670.00	0.00014224	
671.00	0.00041361	
672.00	0.00014838	
673.00	0.00017086	
674.00	0.00026994	
675.00	0.00021030	
676.00	0.00012450	
677.00	0.00028608	
678.00	0.00038189	
679.00	0.00015123	
680.00	0.00038470	
681.00	0.00027950	
682.00	0.00014750	
683.00	0.00042500	
684.00	0.00024100	
685.00	0.00054780	
686.00	0.00012450	
687.00	0.00035470	
688.00	0.00018960	
689.00	0.00035700	
690.00	0.00014730	
691.00	0.00064780	
692.00	0.00012580	
693.00	0.00032540	
694.00	0.00028740	
695.00	0.00045870	
696.00	0.00042360	
697.00	0.00032158	
698.00	0.00027980	
699.00	0.00045780	
700.00	0.00052140	
